fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ferrol,66065,176,
2020-11-22,Ferrol,66065,179,
2020-11-23,Ferrol,66065,184,
2020-11-24,Ferrol,66065,189,
2020-11-25,Ferrol,66065,174,
2020-11-26,Ferrol,66065,175,
2020-11-27,Ferrol,66065,185,
2020-11-28,Ferrol,66065,159,
2020-11-29,Ferrol,66065,150,
2020-11-30,Ferrol,66065,149,
2020-12-01,Ferrol,66065,140,
2020-12-02,Ferrol,66065,138,
2020-12-03,Ferrol,66065,128,
2020-12-04,Ferrol,66065,126,
2020-12-05,Ferrol,66065,130,
2020-12-06,Ferrol,66065,112,
2020-12-07,Ferrol,66065,110,
2020-12-08,Ferrol,66065,108,
2020-12-09,Ferrol,66065,120,
2020-12-10,Ferrol,66065,119,
2020-12-11,Ferrol,66065,118,
2020-12-12,Ferrol,66065,111,
2020-12-13,Ferrol,66065,115,
2020-12-14,Ferrol,66065,115,
2020-12-15,Ferrol,66065,115,
2020-12-16,Ferrol,66065,115,
2020-12-17,Ferrol,66065,115,
2020-12-18,Ferrol,66065,120,
2020-12-19,Ferrol,66065,115,
2020-12-20,Ferrol,66065,113,
2020-12-21,Ferrol,66065,108,
2020-12-22,Ferrol,66065,103,
2020-12-23,Ferrol,66065,97,
2020-12-24,Ferrol,66065,91,
2020-12-25,Ferrol,66065,90,
2020-12-26,Ferrol,66065,92,
2020-12-27,Ferrol,66065,87,
2020-12-28,Ferrol,66065,83,
2020-12-29,Ferrol,66065,89,
2020-12-30,Ferrol,66065,89,
2020-12-31,Ferrol,66065,103,
2021-01-01,Ferrol,66065,105,
2021-01-02,Ferrol,66065,115,
2021-01-03,Ferrol,66065,115,
2021-01-04,Ferrol,66065,125,
2021-01-05,Ferrol,66065,130,
2021-01-06,Ferrol,66065,140,
2021-01-07,Ferrol,66065,138,
2021-01-08,Ferrol,66065,144,
2021-01-09,Ferrol,66065,151,
2021-01-10,Ferrol,66065,164,
2021-01-11,Ferrol,66065,191,
2021-01-12,Ferrol,66065,203,
2021-01-13,Ferrol,66065,219,
2021-01-14,Ferrol,66065,224,
2021-01-15,Ferrol,66065,230,
2021-01-16,Ferrol,66065,251,
2021-01-17,Ferrol,66065,268,
2021-01-18,Ferrol,66065,275,
2021-01-19,Ferrol,66065,293,
2021-01-20,Ferrol,66065,293,
2021-01-21,Ferrol,66065,323,
2021-01-22,Ferrol,66065,332,
2021-01-23,Ferrol,66065,374,
2021-01-24,Ferrol,66065,386,
2021-01-25,Ferrol,66065,382,
2021-01-26,Ferrol,66065,395,
2021-01-27,Ferrol,66065,399,
2021-01-28,Ferrol,66065,403,
2021-01-29,Ferrol,66065,426,
2021-01-30,Ferrol,66065,430,
2021-01-31,Ferrol,66065,442,
2021-02-01,Ferrol,66065,441,
2021-02-02,Ferrol,66065,434,
2021-02-03,Ferrol,66065,442,
2021-02-04,Ferrol,66065,441,
2021-02-05,Ferrol,66065,440,
2021-02-06,Ferrol,66065,419,
2021-02-07,Ferrol,66065,422,
2021-02-08,Ferrol,66065,420,
2021-02-09,Ferrol,66065,405,
2021-02-10,Ferrol,66065,400,
2021-02-11,Ferrol,66065,406,
2021-02-12,Ferrol,66065,386,
2021-02-13,Ferrol,66065,365,
2021-02-14,Ferrol,66065,351,
2021-02-15,Ferrol,66065,340,
2021-02-16,Ferrol,66065,330,
2021-02-17,Ferrol,66065,316,
2021-02-18,Ferrol,66065,286,
2021-02-19,Ferrol,66065,278,
2021-02-20,Ferrol,66065,265,
2021-02-21,Ferrol,66065,252,
2021-02-22,Ferrol,66065,241,
2021-02-23,Ferrol,66065,231,
2021-02-24,Ferrol,66065,213,
2021-02-25,Ferrol,66065,188,
2021-02-26,Ferrol,66065,169,
2021-02-27,Ferrol,66065,152,
2021-02-28,Ferrol,66065,137,
2021-03-01,Ferrol,66065,127,
2021-03-02,Ferrol,66065,117,26
2021-03-03,Ferrol,66065,108,24
2021-03-04,Ferrol,66065,108,21
2021-03-05,Ferrol,66065,100,22
2021-03-06,Ferrol,66065,85,27
2021-03-07,Ferrol,66065,71,28
2021-03-08,Ferrol,66065,62,30
2021-03-09,Ferrol,66065,61,35
2021-03-10,Ferrol,66065,61,37
2021-03-11,Ferrol,66065,56,35
2021-03-12,Ferrol,66065,56,34
2021-03-13,Ferrol,66065,73,46
2021-03-14,Ferrol,66065,72,43
2021-03-15,Ferrol,66065,74,43
2021-03-16,Ferrol,66065,75,39
2021-03-17,Ferrol,66065,72,34
2021-03-18,Ferrol,66065,76,40
2021-03-19,Ferrol,66065,76,41
2021-03-20,Ferrol,66065,72,26
2021-03-21,Ferrol,66065,68,25
2021-03-22,Ferrol,66065,64,21
2021-03-23,Ferrol,66065,60,21
2021-03-24,Ferrol,66065,60,26
2021-03-25,Ferrol,66065,65,25
2021-03-26,Ferrol,66065,64,23
2021-03-27,Ferrol,66065,46,21
2021-03-28,Ferrol,66065,47,23
2021-03-29,Ferrol,66065,44,24
2021-03-30,Ferrol,66065,46,25
2021-03-31,Ferrol,66065,47,21
2021-04-01,Ferrol,66065,42,17
2021-04-02,Ferrol,66065,38,15
2021-04-03,Ferrol,66065,37,16
2021-04-04,Ferrol,66065,37,14
2021-04-05,Ferrol,66065,38,14
2021-04-06,Ferrol,66065,36,11
2021-04-07,Ferrol,66065,31,10
2021-04-08,Ferrol,66065,29,12
2021-04-09,Ferrol,66065,25,10
2021-04-10,Ferrol,66065,25,
2021-04-11,Ferrol,66065,26,12
2021-04-12,Ferrol,66065,29,15
2021-04-13,Ferrol,66065,30,19
2021-04-14,Ferrol,66065,34,24
2021-04-15,Ferrol,66065,34,22
2021-04-16,Ferrol,66065,34,24
2021-04-17,Ferrol,66065,35,26
2021-04-18,Ferrol,66065,34,22
2021-04-19,Ferrol,66065,38,23
2021-04-20,Ferrol,66065,41,22
2021-04-21,Ferrol,66065,41,17
2021-04-22,Ferrol,66065,39,17
2021-04-23,Ferrol,66065,42,18
2021-04-24,Ferrol,66065,49,23
2021-04-25,Ferrol,66065,46,24
2021-04-26,Ferrol,66065,44,21
2021-04-27,Ferrol,66065,41,19
2021-04-28,Ferrol,66065,35,18
2021-04-29,Ferrol,66065,33,16
2021-04-30,Ferrol,66065,31,13
2021-05-01,Ferrol,66065,29,
2021-05-02,Ferrol,66065,32,
2021-05-03,Ferrol,66065,29,
2021-05-04,Ferrol,66065,27,
2021-05-05,Ferrol,66065,27,
2021-05-06,Ferrol,66065,24,
2021-05-07,Ferrol,66065,24,11
2021-05-08,Ferrol,66065,23,17
2021-05-09,Ferrol,66065,22,14
2021-05-10,Ferrol,66065,25,17
2021-05-11,Ferrol,66065,25,17
2021-05-12,Ferrol,66065,29,20
2021-05-13,Ferrol,66065,29,21
2021-05-14,Ferrol,66065,32,21
