fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Foz,9980,23,
2020-11-22,Foz,9980,23,
2020-11-23,Foz,9980,24,
2020-11-24,Foz,9980,24,
2020-11-25,Foz,9980,27,
2020-11-26,Foz,9980,29,
2020-11-27,Foz,9980,29,
2020-11-28,Foz,9980,26,
2020-11-29,Foz,9980,27,
2020-11-30,Foz,9980,28,
2020-12-01,Foz,9980,26,
2020-12-02,Foz,9980,22,
2020-12-03,Foz,9980,21,
2020-12-04,Foz,9980,20,
2020-12-05,Foz,9980,19,
2020-12-06,Foz,9980,16,
2020-12-07,Foz,9980,15,
2020-12-08,Foz,9980,15,
2020-12-09,Foz,9980,,
2020-12-10,Foz,9980,,
2020-12-11,Foz,9980,,
2020-12-12,Foz,9980,,
2020-12-13,Foz,9980,,
2020-12-14,Foz,9980,,
2020-12-15,Foz,9980,,
2020-12-16,Foz,9980,,
2020-12-17,Foz,9980,,
2020-12-18,Foz,9980,,
2020-12-19,Foz,9980,,
2020-12-20,Foz,9980,,
2020-12-21,Foz,9980,,
2020-12-22,Foz,9980,,
2020-12-23,Foz,9980,,
2020-12-24,Foz,9980,,
2020-12-25,Foz,9980,,
2020-12-26,Foz,9980,,
2020-12-27,Foz,9980,,
2020-12-28,Foz,9980,,
2020-12-29,Foz,9980,,
2020-12-30,Foz,9980,,
2020-12-31,Foz,9980,,
2021-01-01,Foz,9980,11,
2021-01-02,Foz,9980,12,
2021-01-03,Foz,9980,12,
2021-01-04,Foz,9980,10,
2021-01-05,Foz,9980,10,
2021-01-06,Foz,9980,10,
2021-01-07,Foz,9980,10,
2021-01-08,Foz,9980,,
2021-01-09,Foz,9980,,
2021-01-10,Foz,9980,,
2021-01-11,Foz,9980,,
2021-01-12,Foz,9980,,
2021-01-13,Foz,9980,,
2021-01-14,Foz,9980,,
2021-01-15,Foz,9980,,
2021-01-16,Foz,9980,,
2021-01-17,Foz,9980,,
2021-01-18,Foz,9980,,
2021-01-19,Foz,9980,11,
2021-01-20,Foz,9980,12,
2021-01-21,Foz,9980,13,
2021-01-22,Foz,9980,12,
2021-01-23,Foz,9980,12,
2021-01-24,Foz,9980,12,
2021-01-25,Foz,9980,12,
2021-01-26,Foz,9980,12,
2021-01-27,Foz,9980,10,
2021-01-28,Foz,9980,12,
2021-01-29,Foz,9980,10,
2021-01-30,Foz,9980,12,
2021-01-31,Foz,9980,12,
2021-02-01,Foz,9980,13,
2021-02-02,Foz,9980,11,
2021-02-03,Foz,9980,10,
2021-02-04,Foz,9980,10,
2021-02-05,Foz,9980,11,
2021-02-06,Foz,9980,10,
2021-02-07,Foz,9980,11,
2021-02-08,Foz,9980,11,
2021-02-09,Foz,9980,11,
2021-02-10,Foz,9980,10,
2021-02-11,Foz,9980,,
2021-02-12,Foz,9980,,
2021-02-13,Foz,9980,,
2021-02-14,Foz,9980,,
2021-02-15,Foz,9980,,
2021-02-16,Foz,9980,,
