fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Friol,3744,,
2020-11-22,Friol,3744,,
2020-11-23,Friol,3744,,
2020-11-24,Friol,3744,,
2020-11-25,Friol,3744,,
2020-11-26,Friol,3744,,
2020-11-27,Friol,3744,,
2020-11-28,Friol,3744,,
2020-11-29,Friol,3744,,
2020-11-30,Friol,3744,,
2020-12-01,Friol,3744,,
2020-12-02,Friol,3744,,
2020-12-03,Friol,3744,,
2020-12-04,Friol,3744,,
2020-12-05,Friol,3744,,
2020-12-06,Friol,3744,,
2020-12-07,Friol,3744,,
2020-12-08,Friol,3744,,
2020-12-09,Friol,3744,,
2020-12-10,Friol,3744,,
2020-12-11,Friol,3744,,
2020-12-12,Friol,3744,0,
2020-12-13,Friol,3744,0,
2020-12-14,Friol,3744,0,
2020-12-15,Friol,3744,0,
2020-12-16,Friol,3744,,
2020-12-17,Friol,3744,,
2020-12-18,Friol,3744,,
2020-12-19,Friol,3744,,
2020-12-20,Friol,3744,,
2020-12-21,Friol,3744,,
2020-12-22,Friol,3744,,
2020-12-23,Friol,3744,,
2020-12-24,Friol,3744,,
2020-12-25,Friol,3744,,
2020-12-26,Friol,3744,,
2020-12-27,Friol,3744,,
2020-12-28,Friol,3744,,
2020-12-29,Friol,3744,,
2020-12-30,Friol,3744,,
2020-12-31,Friol,3744,,
2021-01-01,Friol,3744,,
2021-01-02,Friol,3744,,
2021-01-03,Friol,3744,,
2021-01-04,Friol,3744,,
2021-01-05,Friol,3744,0,
2021-01-06,Friol,3744,0,
2021-01-07,Friol,3744,0,
2021-01-08,Friol,3744,0,
2021-01-09,Friol,3744,0,
2021-01-10,Friol,3744,0,
2021-01-11,Friol,3744,0,
2021-01-12,Friol,3744,,
2021-01-13,Friol,3744,,
2021-01-14,Friol,3744,,
2021-01-15,Friol,3744,,
2021-01-16,Friol,3744,,
2021-01-17,Friol,3744,,
2021-01-18,Friol,3744,,
2021-01-19,Friol,3744,,
2021-01-20,Friol,3744,,
2021-01-21,Friol,3744,,
2021-01-22,Friol,3744,,
2021-01-23,Friol,3744,,
2021-01-24,Friol,3744,10,
2021-01-25,Friol,3744,12,
2021-01-26,Friol,3744,11,
2021-01-27,Friol,3744,12,
2021-01-28,Friol,3744,14,
2021-01-29,Friol,3744,12,
2021-01-30,Friol,3744,14,
2021-01-31,Friol,3744,15,
2021-02-01,Friol,3744,15,
2021-02-02,Friol,3744,15,
2021-02-03,Friol,3744,16,
2021-02-04,Friol,3744,16,
2021-02-05,Friol,3744,14,
2021-02-06,Friol,3744,12,
2021-02-07,Friol,3744,11,
2021-02-08,Friol,3744,10,
2021-02-09,Friol,3744,10,
2021-02-10,Friol,3744,,
2021-02-11,Friol,3744,,
2021-02-12,Friol,3744,,
2021-02-13,Friol,3744,,
2021-02-14,Friol,3744,,
2021-02-15,Friol,3744,,
2021-02-16,Friol,3744,,
2021-02-17,Friol,3744,,
2021-02-18,Friol,3744,,
2021-02-19,Friol,3744,,
2021-02-20,Friol,3744,,
2021-02-21,Friol,3744,,
2021-02-22,Friol,3744,,
2021-02-23,Friol,3744,,
2021-02-24,Friol,3744,,
2021-02-25,Friol,3744,,
2021-02-26,Friol,3744,,
2021-02-27,Friol,3744,,
2021-02-28,Friol,3744,0,
2021-03-01,Friol,3744,0,
2021-03-02,Friol,3744,0,0
2021-03-03,Friol,3744,0,0
2021-03-04,Friol,3744,0,0
2021-03-05,Friol,3744,0,0
2021-03-06,Friol,3744,0,0
2021-03-07,Friol,3744,0,0
2021-03-08,Friol,3744,0,0
2021-03-09,Friol,3744,0,0
2021-03-10,Friol,3744,0,0
2021-03-11,Friol,3744,0,0
2021-03-12,Friol,3744,,
2021-03-13,Friol,3744,,
2021-03-14,Friol,3744,,
2021-03-15,Friol,3744,,
2021-03-16,Friol,3744,,
2021-03-17,Friol,3744,,
2021-03-18,Friol,3744,,
2021-03-19,Friol,3744,,
2021-03-20,Friol,3744,,
2021-03-21,Friol,3744,,
2021-03-22,Friol,3744,,
2021-03-23,Friol,3744,,
2021-03-24,Friol,3744,,
2021-03-25,Friol,3744,,
2021-03-26,Friol,3744,,0
2021-03-27,Friol,3744,,0
2021-03-28,Friol,3744,,0
2021-03-29,Friol,3744,,0
2021-03-30,Friol,3744,,
2021-03-31,Friol,3744,,
2021-04-01,Friol,3744,,
