fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Guitiriz,5484,,
2020-11-22,Guitiriz,5484,,
2020-11-23,Guitiriz,5484,,
2020-11-24,Guitiriz,5484,,
2020-11-25,Guitiriz,5484,,
2020-11-26,Guitiriz,5484,,
2020-11-27,Guitiriz,5484,,
2020-11-28,Guitiriz,5484,,
2020-11-29,Guitiriz,5484,,
2020-11-30,Guitiriz,5484,,
2020-12-01,Guitiriz,5484,,
2020-12-02,Guitiriz,5484,,
2020-12-03,Guitiriz,5484,,
2020-12-04,Guitiriz,5484,,
2020-12-05,Guitiriz,5484,,
2020-12-06,Guitiriz,5484,,
2020-12-07,Guitiriz,5484,,
2020-12-08,Guitiriz,5484,,
2020-12-09,Guitiriz,5484,,
2020-12-10,Guitiriz,5484,,
2020-12-11,Guitiriz,5484,,
2020-12-12,Guitiriz,5484,,
2020-12-13,Guitiriz,5484,,
2020-12-14,Guitiriz,5484,,
2020-12-15,Guitiriz,5484,,
2020-12-16,Guitiriz,5484,,
2020-12-17,Guitiriz,5484,,
2020-12-18,Guitiriz,5484,,
2020-12-19,Guitiriz,5484,,
2020-12-20,Guitiriz,5484,,
2020-12-21,Guitiriz,5484,,
2020-12-22,Guitiriz,5484,,
2020-12-23,Guitiriz,5484,,
2020-12-24,Guitiriz,5484,,
2020-12-25,Guitiriz,5484,,
2020-12-26,Guitiriz,5484,,
2020-12-27,Guitiriz,5484,0,
2020-12-28,Guitiriz,5484,0,
2020-12-29,Guitiriz,5484,0,
2020-12-30,Guitiriz,5484,0,
2020-12-31,Guitiriz,5484,0,
2021-01-01,Guitiriz,5484,,
2021-01-02,Guitiriz,5484,,
2021-01-03,Guitiriz,5484,,
2021-01-04,Guitiriz,5484,,
2021-01-05,Guitiriz,5484,,
2021-01-06,Guitiriz,5484,,
2021-01-07,Guitiriz,5484,,
2021-01-08,Guitiriz,5484,,
2021-01-09,Guitiriz,5484,,
2021-01-10,Guitiriz,5484,,
2021-01-11,Guitiriz,5484,,
2021-01-12,Guitiriz,5484,,
2021-01-13,Guitiriz,5484,,
2021-01-14,Guitiriz,5484,,
2021-01-15,Guitiriz,5484,,
2021-01-16,Guitiriz,5484,,
2021-01-17,Guitiriz,5484,,
2021-01-18,Guitiriz,5484,,
2021-01-19,Guitiriz,5484,,
2021-01-20,Guitiriz,5484,,
2021-01-21,Guitiriz,5484,,
2021-01-22,Guitiriz,5484,,
2021-01-23,Guitiriz,5484,,
2021-01-24,Guitiriz,5484,,
2021-01-25,Guitiriz,5484,,
2021-01-26,Guitiriz,5484,,
2021-01-27,Guitiriz,5484,,
2021-01-28,Guitiriz,5484,,
2021-01-29,Guitiriz,5484,,
2021-01-30,Guitiriz,5484,,
2021-01-31,Guitiriz,5484,,
2021-02-01,Guitiriz,5484,,
2021-02-02,Guitiriz,5484,,
2021-02-03,Guitiriz,5484,,
2021-02-04,Guitiriz,5484,10,
2021-02-05,Guitiriz,5484,15,
2021-02-06,Guitiriz,5484,17,
2021-02-07,Guitiriz,5484,23,
2021-02-08,Guitiriz,5484,32,
2021-02-09,Guitiriz,5484,41,
2021-02-10,Guitiriz,5484,53,
2021-02-11,Guitiriz,5484,61,
2021-02-12,Guitiriz,5484,74,
2021-02-13,Guitiriz,5484,88,
2021-02-14,Guitiriz,5484,101,
2021-02-15,Guitiriz,5484,113,
2021-02-16,Guitiriz,5484,112,
2021-02-17,Guitiriz,5484,115,
2021-02-18,Guitiriz,5484,119,
2021-02-19,Guitiriz,5484,121,
2021-02-20,Guitiriz,5484,118,
2021-02-21,Guitiriz,5484,117,
2021-02-22,Guitiriz,5484,111,
2021-02-23,Guitiriz,5484,106,
2021-02-24,Guitiriz,5484,94,
2021-02-25,Guitiriz,5484,87,
2021-02-26,Guitiriz,5484,74,
2021-02-27,Guitiriz,5484,60,
2021-02-28,Guitiriz,5484,47,
2021-03-01,Guitiriz,5484,36,
2021-03-02,Guitiriz,5484,36,
2021-03-03,Guitiriz,5484,34,
2021-03-04,Guitiriz,5484,29,
2021-03-05,Guitiriz,5484,27,11
2021-03-06,Guitiriz,5484,27,11
2021-03-07,Guitiriz,5484,22,10
2021-03-08,Guitiriz,5484,19,
2021-03-09,Guitiriz,5484,15,
2021-03-10,Guitiriz,5484,14,
2021-03-11,Guitiriz,5484,12,
2021-03-12,Guitiriz,5484,12,
