fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Lalín,20218,67,
2020-11-22,Lalín,20218,65,
2020-11-23,Lalín,20218,57,
2020-11-24,Lalín,20218,58,
2020-11-25,Lalín,20218,54,
2020-11-26,Lalín,20218,54,
2020-11-27,Lalín,20218,51,
2020-11-28,Lalín,20218,46,
2020-11-29,Lalín,20218,39,
2020-11-30,Lalín,20218,35,
2020-12-01,Lalín,20218,32,
2020-12-02,Lalín,20218,25,
2020-12-03,Lalín,20218,21,
2020-12-04,Lalín,20218,16,
2020-12-05,Lalín,20218,12,
2020-12-06,Lalín,20218,10,
2020-12-07,Lalín,20218,,
2020-12-08,Lalín,20218,,
2020-12-09,Lalín,20218,,
2020-12-10,Lalín,20218,,
2020-12-11,Lalín,20218,,
2020-12-12,Lalín,20218,,
2020-12-13,Lalín,20218,,
2020-12-14,Lalín,20218,,
2020-12-15,Lalín,20218,10,
2020-12-16,Lalín,20218,13,
2020-12-17,Lalín,20218,15,
2020-12-18,Lalín,20218,17,
2020-12-19,Lalín,20218,17,
2020-12-20,Lalín,20218,21,
2020-12-21,Lalín,20218,24,
2020-12-22,Lalín,20218,26,
2020-12-23,Lalín,20218,26,
2020-12-24,Lalín,20218,27,
2020-12-25,Lalín,20218,27,
2020-12-26,Lalín,20218,30,
2020-12-27,Lalín,20218,26,
2020-12-28,Lalín,20218,23,
2020-12-29,Lalín,20218,26,
2020-12-30,Lalín,20218,24,
2020-12-31,Lalín,20218,23,
2021-01-01,Lalín,20218,22,
2021-01-02,Lalín,20218,22,
2021-01-03,Lalín,20218,18,
2021-01-04,Lalín,20218,17,
2021-01-05,Lalín,20218,16,
2021-01-06,Lalín,20218,17,
2021-01-07,Lalín,20218,21,
2021-01-08,Lalín,20218,25,
2021-01-09,Lalín,20218,21,
2021-01-10,Lalín,20218,22,
2021-01-11,Lalín,20218,25,
2021-01-12,Lalín,20218,28,
2021-01-13,Lalín,20218,27,
2021-01-14,Lalín,20218,29,
2021-01-15,Lalín,20218,32,
2021-01-16,Lalín,20218,34,
2021-01-17,Lalín,20218,37,
2021-01-18,Lalín,20218,36,
2021-01-19,Lalín,20218,38,
2021-01-20,Lalín,20218,41,
2021-01-21,Lalín,20218,43,
2021-01-22,Lalín,20218,50,
2021-01-23,Lalín,20218,53,
2021-01-24,Lalín,20218,60,
2021-01-25,Lalín,20218,66,
2021-01-26,Lalín,20218,61,
2021-01-27,Lalín,20218,65,
2021-01-28,Lalín,20218,63,
2021-01-29,Lalín,20218,69,
2021-01-30,Lalín,20218,72,
2021-01-31,Lalín,20218,75,
2021-02-01,Lalín,20218,78,
2021-02-02,Lalín,20218,80,
2021-02-03,Lalín,20218,83,
2021-02-04,Lalín,20218,84,
2021-02-05,Lalín,20218,78,
2021-02-06,Lalín,20218,85,
2021-02-07,Lalín,20218,87,
2021-02-08,Lalín,20218,81,
2021-02-09,Lalín,20218,79,
2021-02-10,Lalín,20218,78,
2021-02-11,Lalín,20218,80,
2021-02-12,Lalín,20218,72,
2021-02-13,Lalín,20218,69,
2021-02-14,Lalín,20218,64,
2021-02-15,Lalín,20218,61,
2021-02-16,Lalín,20218,58,
2021-02-17,Lalín,20218,53,
2021-02-18,Lalín,20218,49,
2021-02-19,Lalín,20218,45,
2021-02-20,Lalín,20218,37,
2021-02-21,Lalín,20218,27,
2021-02-22,Lalín,20218,24,
2021-02-23,Lalín,20218,24,
2021-02-24,Lalín,20218,20,
2021-02-25,Lalín,20218,20,
2021-02-26,Lalín,20218,18,
2021-02-27,Lalín,20218,16,
2021-02-28,Lalín,20218,15,
2021-03-01,Lalín,20218,16,
2021-03-02,Lalín,20218,14,
2021-03-03,Lalín,20218,11,
2021-03-04,Lalín,20218,10,
2021-03-05,Lalín,20218,,
2021-03-06,Lalín,20218,11,
2021-03-07,Lalín,20218,11,
2021-03-08,Lalín,20218,11,
2021-03-09,Lalín,20218,12,
2021-03-10,Lalín,20218,13,
2021-03-11,Lalín,20218,10,
2021-03-12,Lalín,20218,12,
2021-03-13,Lalín,20218,13,
2021-03-14,Lalín,20218,13,
2021-03-15,Lalín,20218,12,
2021-03-16,Lalín,20218,12,
2021-03-17,Lalín,20218,12,
2021-03-18,Lalín,20218,,
2021-03-19,Lalín,20218,10,
