fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Lousame,3338,,
2020-11-22,Lousame,3338,,
2020-11-23,Lousame,3338,,
2020-11-24,Lousame,3338,,
2020-11-25,Lousame,3338,,
2020-11-26,Lousame,3338,,
2020-11-27,Lousame,3338,0,
2020-11-28,Lousame,3338,,
2020-11-29,Lousame,3338,,
2020-11-30,Lousame,3338,,
2020-12-01,Lousame,3338,,
2020-12-02,Lousame,3338,,
2020-12-03,Lousame,3338,,
2020-12-04,Lousame,3338,,
2020-12-05,Lousame,3338,,
2020-12-06,Lousame,3338,,
2020-12-07,Lousame,3338,,
2020-12-08,Lousame,3338,,
2020-12-09,Lousame,3338,,
2020-12-10,Lousame,3338,,
2020-12-11,Lousame,3338,,
2020-12-12,Lousame,3338,,
2020-12-13,Lousame,3338,,
2020-12-14,Lousame,3338,,
2020-12-15,Lousame,3338,,
2020-12-16,Lousame,3338,,
2020-12-17,Lousame,3338,,
2020-12-18,Lousame,3338,,
2020-12-19,Lousame,3338,,
2020-12-20,Lousame,3338,,
2020-12-21,Lousame,3338,,
2020-12-22,Lousame,3338,,
2020-12-23,Lousame,3338,,
2020-12-24,Lousame,3338,,
2020-12-25,Lousame,3338,,
2020-12-26,Lousame,3338,,
2020-12-27,Lousame,3338,,
2020-12-28,Lousame,3338,11,
2020-12-29,Lousame,3338,14,
2020-12-30,Lousame,3338,14,
2020-12-31,Lousame,3338,14,
2021-01-01,Lousame,3338,14,
2021-01-02,Lousame,3338,15,
2021-01-03,Lousame,3338,15,
2021-01-04,Lousame,3338,15,
2021-01-05,Lousame,3338,13,
2021-01-06,Lousame,3338,12,
2021-01-07,Lousame,3338,13,
2021-01-08,Lousame,3338,15,
2021-01-09,Lousame,3338,19,
2021-01-10,Lousame,3338,19,
2021-01-11,Lousame,3338,17,
2021-01-12,Lousame,3338,14,
2021-01-13,Lousame,3338,16,
2021-01-14,Lousame,3338,16,
2021-01-15,Lousame,3338,17,
2021-01-16,Lousame,3338,17,
2021-01-17,Lousame,3338,19,
2021-01-18,Lousame,3338,23,
2021-01-19,Lousame,3338,25,
2021-01-20,Lousame,3338,25,
2021-01-21,Lousame,3338,25,
2021-01-22,Lousame,3338,21,
2021-01-23,Lousame,3338,15,
2021-01-24,Lousame,3338,15,
2021-01-25,Lousame,3338,16,
2021-01-26,Lousame,3338,17,
2021-01-27,Lousame,3338,16,
2021-01-28,Lousame,3338,16,
2021-01-29,Lousame,3338,15,
2021-01-30,Lousame,3338,14,
2021-01-31,Lousame,3338,12,
2021-02-01,Lousame,3338,,
2021-02-02,Lousame,3338,,
2021-02-03,Lousame,3338,,
2021-02-04,Lousame,3338,,
2021-02-05,Lousame,3338,,
2021-02-06,Lousame,3338,,
2021-02-07,Lousame,3338,,
2021-02-08,Lousame,3338,,
2021-02-09,Lousame,3338,,
2021-02-10,Lousame,3338,,
2021-02-11,Lousame,3338,,
2021-02-12,Lousame,3338,,
2021-02-13,Lousame,3338,,
2021-02-14,Lousame,3338,,
2021-02-15,Lousame,3338,,
2021-02-16,Lousame,3338,,
2021-02-17,Lousame,3338,,
2021-02-18,Lousame,3338,,
2021-02-19,Lousame,3338,,
2021-02-20,Lousame,3338,,
2021-02-21,Lousame,3338,,
2021-02-22,Lousame,3338,,
2021-02-23,Lousame,3338,,
2021-02-24,Lousame,3338,,
2021-02-25,Lousame,3338,,
2021-02-26,Lousame,3338,,
2021-02-27,Lousame,3338,,
2021-02-28,Lousame,3338,,
2021-03-01,Lousame,3338,,
2021-03-02,Lousame,3338,,0
2021-03-03,Lousame,3338,,0
2021-03-04,Lousame,3338,,0
2021-03-05,Lousame,3338,,0
2021-03-06,Lousame,3338,,0
2021-03-07,Lousame,3338,0,0
2021-03-08,Lousame,3338,0,0
2021-03-09,Lousame,3338,0,0
2021-03-10,Lousame,3338,0,0
2021-03-11,Lousame,3338,0,0
2021-03-12,Lousame,3338,0,0
2021-03-13,Lousame,3338,0,0
2021-03-14,Lousame,3338,0,0
2021-03-15,Lousame,3338,0,0
2021-03-16,Lousame,3338,0,0
2021-03-17,Lousame,3338,0,0
2021-03-18,Lousame,3338,0,0
2021-03-19,Lousame,3338,0,0
2021-03-20,Lousame,3338,0,0
2021-03-21,Lousame,3338,0,0
2021-03-22,Lousame,3338,0,0
2021-03-23,Lousame,3338,0,0
2021-03-24,Lousame,3338,0,0
2021-03-25,Lousame,3338,0,0
2021-03-26,Lousame,3338,0,0
2021-03-27,Lousame,3338,0,0
2021-03-28,Lousame,3338,0,0
2021-03-29,Lousame,3338,0,0
2021-03-30,Lousame,3338,0,0
2021-03-31,Lousame,3338,0,0
2021-04-01,Lousame,3338,0,0
2021-04-02,Lousame,3338,0,0
2021-04-03,Lousame,3338,0,0
2021-04-04,Lousame,3338,,
2021-04-05,Lousame,3338,,
2021-04-06,Lousame,3338,,
2021-04-07,Lousame,3338,,
2021-04-08,Lousame,3338,,
2021-04-09,Lousame,3338,,
2021-04-10,Lousame,3338,,
2021-04-11,Lousame,3338,,
2021-04-12,Lousame,3338,,
2021-04-13,Lousame,3338,,
2021-04-14,Lousame,3338,,
2021-04-15,Lousame,3338,,0
2021-04-16,Lousame,3338,,0
2021-04-17,Lousame,3338,,0
2021-04-18,Lousame,3338,,0
2021-04-19,Lousame,3338,,0
2021-04-20,Lousame,3338,,0
2021-04-21,Lousame,3338,,0
2021-04-22,Lousame,3338,0,0
2021-04-23,Lousame,3338,0,0
2021-04-24,Lousame,3338,0,0
2021-04-25,Lousame,3338,0,0
2021-04-26,Lousame,3338,0,0
2021-04-27,Lousame,3338,0,0
2021-04-28,Lousame,3338,0,0
2021-04-29,Lousame,3338,0,0
2021-04-30,Lousame,3338,0,0
2021-05-01,Lousame,3338,0,0
2021-05-02,Lousame,3338,0,0
2021-05-03,Lousame,3338,0,0
2021-05-04,Lousame,3338,0,0
2021-05-05,Lousame,3338,0,0
2021-05-06,Lousame,3338,0,0
2021-05-07,Lousame,3338,0,0
2021-05-08,Lousame,3338,0,0
2021-05-09,Lousame,3338,0,0
2021-05-10,Lousame,3338,0,0
2021-05-11,Lousame,3338,0,0
2021-05-12,Lousame,3338,0,0
2021-05-13,Lousame,3338,0,0
2021-05-14,Lousame,3338,0,0
2021-05-15,Lousame,3338,0,0
2021-05-16,Lousame,3338,0,0
2021-05-17,Lousame,3338,0,0
2021-05-18,Lousame,3338,0,0
2021-05-19,Lousame,3338,0,0
2021-05-20,Lousame,3338,0,0
2021-05-21,Lousame,3338,0,0
2021-05-22,Lousame,3338,0,0
2021-05-23,Lousame,3338,0,0
2021-05-24,Lousame,3338,0,0
2021-05-25,Lousame,3338,,
2021-05-26,Lousame,3338,,
2021-05-27,Lousame,3338,,
2021-05-28,Lousame,3338,,
2021-05-29,Lousame,3338,,
2021-05-30,Lousame,3338,,
2021-05-31,Lousame,3338,,
2021-06-01,Lousame,3338,,
2021-06-02,Lousame,3338,,
2021-06-03,Lousame,3338,10,
2021-06-04,Lousame,3338,11,
2021-06-05,Lousame,3338,11,
2021-06-06,Lousame,3338,12,
2021-06-07,Lousame,3338,13,
2021-06-08,Lousame,3338,13,
2021-06-09,Lousame,3338,,
2021-06-10,Lousame,3338,,
2021-06-11,Lousame,3338,,
2021-06-12,Lousame,3338,,
2021-06-13,Lousame,3338,,
2021-06-14,Lousame,3338,,
2021-06-15,Lousame,3338,,0
2021-06-16,Lousame,3338,,0
2021-06-17,Lousame,3338,,0
2021-06-18,Lousame,3338,,
2021-06-19,Lousame,3338,,
2021-06-20,Lousame,3338,,
2021-06-21,Lousame,3338,,
2021-06-22,Lousame,3338,,
2021-06-23,Lousame,3338,,
2021-06-24,Lousame,3338,,
2021-06-25,Lousame,3338,,0
2021-06-26,Lousame,3338,,0
2021-06-27,Lousame,3338,,
2021-06-28,Lousame,3338,,
2021-06-29,Lousame,3338,,
2021-06-30,Lousame,3338,,
2021-07-01,Lousame,3338,,
2021-07-02,Lousame,3338,,
2021-07-03,Lousame,3338,,
2021-07-04,Lousame,3338,,0
2021-07-05,Lousame,3338,,0
2021-07-06,Lousame,3338,,0
2021-07-07,Lousame,3338,,0
2021-07-08,Lousame,3338,,
2021-07-09,Lousame,3338,,
2021-07-10,Lousame,3338,,
2021-07-11,Lousame,3338,,
2021-07-12,Lousame,3338,,
2021-07-13,Lousame,3338,,
2021-07-14,Lousame,3338,,
2021-07-15,Lousame,3338,,
2021-07-16,Lousame,3338,,
2021-07-17,Lousame,3338,,
2021-07-18,Lousame,3338,,
2021-07-19,Lousame,3338,,
2021-07-20,Lousame,3338,,
2021-07-21,Lousame,3338,,
2021-07-22,Lousame,3338,,
2021-07-23,Lousame,3338,,
2021-07-24,Lousame,3338,,
2021-07-25,Lousame,3338,10,
2021-07-26,Lousame,3338,11,
2021-07-27,Lousame,3338,11,
2021-07-28,Lousame,3338,11,
2021-07-29,Lousame,3338,12,
2021-07-30,Lousame,3338,11,
2021-07-31,Lousame,3338,14,
2021-08-01,Lousame,3338,14,
2021-08-02,Lousame,3338,15,
2021-08-03,Lousame,3338,15,
2021-08-04,Lousame,3338,14,
2021-08-05,Lousame,3338,12,
2021-08-06,Lousame,3338,12,
2021-08-07,Lousame,3338,10,
2021-08-08,Lousame,3338,,
2021-08-09,Lousame,3338,,
2021-08-10,Lousame,3338,,
2021-08-11,Lousame,3338,,
2021-08-12,Lousame,3338,,
2021-08-13,Lousame,3338,,
2021-08-14,Lousame,3338,,
2021-08-15,Lousame,3338,,
2021-08-16,Lousame,3338,,
2021-08-17,Lousame,3338,,
2021-08-18,Lousame,3338,,
2021-08-19,Lousame,3338,,
2021-08-20,Lousame,3338,,
2021-08-21,Lousame,3338,,
2021-08-22,Lousame,3338,,
2021-08-23,Lousame,3338,,
2021-08-24,Lousame,3338,,
2021-08-25,Lousame,3338,,
2021-08-26,Lousame,3338,,
2021-08-27,Lousame,3338,,
