fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,27028,Lugo,98276,331,,,336.80654483292,,,,,,,,
2020-11-22,27028,Lugo,98276,326,,,331.718832675323,,,,,,,,
2020-11-23,27028,Lugo,98276,318,,,323.578493223167,,,,,,,,
2020-11-24,27028,Lugo,98276,310,,,315.438153771012,,,,,,,,
2020-11-25,27028,Lugo,98276,324,,,329.683747812284,,,,,,,,
2020-11-26,27028,Lugo,98276,319,,,324.596035654687,,,,,,,,
2020-11-27,27028,Lugo,98276,315,,,320.525865928609,,,,,,,,
2020-11-28,27028,Lugo,98276,289,,,294.069762709105,,,,,,,,
2020-11-29,27028,Lugo,98276,281,,,285.92942325695,,,,,,,,
2020-11-30,27028,Lugo,98276,254,,,258.455777605926,,,,,,,,
2020-12-01,27028,Lugo,98276,233,,,237.087386544019,,,,,,,,
2020-12-02,27028,Lugo,98276,234,,,238.104928975538,,,,,,,,
2020-12-03,27028,Lugo,98276,225,,,228.947047091864,,,,,,,,
2020-12-04,27028,Lugo,98276,221,,,224.876877365786,,,,,,,,
2020-12-05,27028,Lugo,98276,206,,,209.613740892995,,,,,,,,
2020-12-06,27028,Lugo,98276,186,,,189.262892262607,,,,,,,,
2020-12-07,27028,Lugo,98276,181,,,184.17518010501,,,,,,,,
2020-12-08,27028,Lugo,98276,164,,,166.876958769181,,,,,,,,
2020-12-09,27028,Lugo,98276,162,,,164.841873906142,,,,,,,,
2020-12-10,27028,Lugo,98276,153,,,155.683992022467,,,,,,,,
2020-12-11,27028,Lugo,98276,148,,,150.59627986487,,,,,,,,
2020-12-12,27028,Lugo,98276,144,,,146.526110138793,,,,,,,,
2020-12-13,27028,Lugo,98276,137,,,139.403313118157,,,,,,,,
2020-12-14,27028,Lugo,98276,140,,,142.455940412715,,,,,,,,
2020-12-15,27028,Lugo,98276,133,,,135.333143392079,,,,,,,,
2020-12-16,27028,Lugo,98276,124,,,126.175261508405,,,,,,,,
2020-12-17,27028,Lugo,98276,114,,,115.999837193211,,,,,,,,
2020-12-18,27028,Lugo,98276,112,,,113.964752330172,,,,,,,,
2020-12-19,27028,Lugo,98276,107,,,108.877040172575,,,,,,,,
2020-12-20,27028,Lugo,98276,109,,,110.912125035614,,,,,,,,
2020-12-21,27028,Lugo,98276,101,,,102.771785583459,,,,,,,,
2020-12-22,27028,Lugo,98276,102,,,103.789328014978,,,,,,,,
2020-12-23,27028,Lugo,98276,97,,,98.7016158573813,,,,,,,,
2020-12-24,27028,Lugo,98276,100,,,101.754243151939,,,,,,,,
2020-12-25,27028,Lugo,98276,100,,,101.754243151939,,,,,,,,
2020-12-26,27028,Lugo,98276,96,,,97.6840734258619,,,,,,,,
2020-12-27,27028,Lugo,98276,96,,,97.6840734258619,,,,,,,,
2020-12-28,27028,Lugo,98276,87,,,88.5261915421873,,,,,,,,
2020-12-29,27028,Lugo,98276,87,,,88.5261915421873,,,,,,,,
2020-12-30,27028,Lugo,98276,82,,,83.4384793845903,,,,,,,,
2020-12-31,27028,Lugo,98276,94,,,95.6489885628231,,,,,,,,
2021-01-01,27028,Lugo,98276,96,,,97.6840734258619,,,,,,,,
2021-01-02,27028,Lugo,98276,98,,,99.7191582889007,,,,,,,,
2021-01-03,27028,Lugo,98276,95,,,96.6665309943425,,,,,,,,
2021-01-04,27028,Lugo,98276,98,,,99.7191582889007,,,,,,,,
2021-01-05,27028,Lugo,98276,103,,,104.806870446498,,,,,,,,
2021-01-06,27028,Lugo,98276,101,,,102.771785583459,,,,,,,,
2021-01-07,27028,Lugo,98276,100,,,101.754243151939,,,,,,,,
2021-01-08,27028,Lugo,98276,107,,,108.877040172575,,,,,,,,
2021-01-09,27028,Lugo,98276,107,,,108.877040172575,,,,,,,,
2021-01-10,27028,Lugo,98276,105,,,106.841955309536,,,,,,,,
2021-01-11,27028,Lugo,98276,116,,,118.03492205625,,,,,,,,
2021-01-12,27028,Lugo,98276,113,,,114.982294761692,,,,,,,,
2021-01-13,27028,Lugo,98276,126,,,128.210346371444,,,,,,,,
2021-01-14,27028,Lugo,98276,118,,,120.070006919289,,,,,,,,
2021-01-15,27028,Lugo,98276,118,,,120.070006919289,,,,,,,,
2021-01-16,27028,Lugo,98276,124,,,126.175261508405,,,,,,,,
2021-01-17,27028,Lugo,98276,136,,,138.385770686638,,,,,,,,
