fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Láncara,2605,10,
2020-11-22,Láncara,2605,11,
2020-11-23,Láncara,2605,11,
2020-11-24,Láncara,2605,11,
2020-11-25,Láncara,2605,14,
2020-11-26,Láncara,2605,14,
2020-11-27,Láncara,2605,13,
2020-11-28,Láncara,2605,10,
2020-11-29,Láncara,2605,,
2020-11-30,Láncara,2605,,
2020-12-01,Láncara,2605,,
2020-12-02,Láncara,2605,,
2020-12-03,Láncara,2605,,
2020-12-04,Láncara,2605,,
2020-12-05,Láncara,2605,,
2020-12-06,Láncara,2605,,
2020-12-07,Láncara,2605,,
2020-12-08,Láncara,2605,,
2020-12-09,Láncara,2605,,
2020-12-10,Láncara,2605,,
2020-12-11,Láncara,2605,,
2020-12-12,Láncara,2605,,
2020-12-13,Láncara,2605,,
2020-12-14,Láncara,2605,,
2020-12-15,Láncara,2605,,
2020-12-16,Láncara,2605,,
2020-12-17,Láncara,2605,,
2020-12-18,Láncara,2605,,
2020-12-19,Láncara,2605,,
2020-12-20,Láncara,2605,,
2020-12-21,Láncara,2605,,
2020-12-22,Láncara,2605,,
2020-12-23,Láncara,2605,,
2020-12-24,Láncara,2605,,
2020-12-25,Láncara,2605,,
2020-12-26,Láncara,2605,,
2020-12-27,Láncara,2605,,
2020-12-28,Láncara,2605,,
2020-12-29,Láncara,2605,,
2020-12-30,Láncara,2605,,
2020-12-31,Láncara,2605,,
2021-01-01,Láncara,2605,,
2021-01-02,Láncara,2605,,
2021-01-03,Láncara,2605,0,
2021-01-04,Láncara,2605,0,
2021-01-05,Láncara,2605,,
2021-01-06,Láncara,2605,,
2021-01-07,Láncara,2605,,
2021-01-08,Láncara,2605,,
2021-01-09,Láncara,2605,,
2021-01-10,Láncara,2605,,
2021-01-11,Láncara,2605,,
2021-01-12,Láncara,2605,,
2021-01-13,Láncara,2605,,
2021-01-14,Láncara,2605,,
2021-01-15,Láncara,2605,,
2021-01-16,Láncara,2605,,
2021-01-17,Láncara,2605,,
2021-01-18,Láncara,2605,12,
2021-01-19,Láncara,2605,10,
2021-01-20,Láncara,2605,11,
2021-01-21,Láncara,2605,15,
2021-01-22,Láncara,2605,16,
