fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Maceda,2872,0,
2020-11-22,Maceda,2872,0,
2020-11-23,Maceda,2872,,
2020-11-24,Maceda,2872,,
2020-11-25,Maceda,2872,,
2020-11-26,Maceda,2872,,
2020-11-27,Maceda,2872,,
2020-11-28,Maceda,2872,,
2020-11-29,Maceda,2872,,
2020-11-30,Maceda,2872,,
2020-12-01,Maceda,2872,,
2020-12-02,Maceda,2872,,
2020-12-03,Maceda,2872,,
2020-12-04,Maceda,2872,,
2020-12-05,Maceda,2872,,
2020-12-06,Maceda,2872,,
2020-12-07,Maceda,2872,,
2020-12-08,Maceda,2872,,
2020-12-09,Maceda,2872,,
2020-12-10,Maceda,2872,,
2020-12-11,Maceda,2872,,
2020-12-12,Maceda,2872,,
2020-12-13,Maceda,2872,,
2020-12-14,Maceda,2872,,
2020-12-15,Maceda,2872,,
2020-12-16,Maceda,2872,,
2020-12-17,Maceda,2872,,
2020-12-18,Maceda,2872,,
2020-12-19,Maceda,2872,,
2020-12-20,Maceda,2872,,
2020-12-21,Maceda,2872,,
2020-12-22,Maceda,2872,,
2020-12-23,Maceda,2872,,
2020-12-24,Maceda,2872,,
2020-12-25,Maceda,2872,,
2020-12-26,Maceda,2872,,
2020-12-27,Maceda,2872,,
2020-12-28,Maceda,2872,,
2020-12-29,Maceda,2872,,
2020-12-30,Maceda,2872,,
2020-12-31,Maceda,2872,,
2021-01-01,Maceda,2872,,
2021-01-02,Maceda,2872,,
2021-01-03,Maceda,2872,,
2021-01-04,Maceda,2872,,
2021-01-05,Maceda,2872,,
2021-01-06,Maceda,2872,,
2021-01-07,Maceda,2872,,
2021-01-08,Maceda,2872,,
2021-01-09,Maceda,2872,,
2021-01-10,Maceda,2872,,
2021-01-11,Maceda,2872,,
2021-01-12,Maceda,2872,,
2021-01-13,Maceda,2872,,
2021-01-14,Maceda,2872,,
2021-01-15,Maceda,2872,,
2021-01-16,Maceda,2872,,
2021-01-17,Maceda,2872,,
2021-01-18,Maceda,2872,,
2021-01-19,Maceda,2872,,
2021-01-20,Maceda,2872,,
2021-01-21,Maceda,2872,,
2021-01-22,Maceda,2872,10,
2021-01-23,Maceda,2872,11,
2021-01-24,Maceda,2872,12,
2021-01-25,Maceda,2872,13,
2021-01-26,Maceda,2872,14,
2021-01-27,Maceda,2872,15,
2021-01-28,Maceda,2872,15,
2021-01-29,Maceda,2872,15,
2021-01-30,Maceda,2872,15,
2021-01-31,Maceda,2872,15,
2021-02-01,Maceda,2872,16,
2021-02-02,Maceda,2872,17,
2021-02-03,Maceda,2872,15,
2021-02-04,Maceda,2872,14,
2021-02-05,Maceda,2872,11,
2021-02-06,Maceda,2872,10,
2021-02-07,Maceda,2872,10,
2021-02-08,Maceda,2872,10,
2021-02-09,Maceda,2872,,
2021-02-10,Maceda,2872,,
2021-02-11,Maceda,2872,,
2021-02-12,Maceda,2872,,
2021-02-13,Maceda,2872,,
2021-02-14,Maceda,2872,,
2021-02-15,Maceda,2872,,
2021-02-16,Maceda,2872,,
2021-02-17,Maceda,2872,,
2021-02-18,Maceda,2872,,
2021-02-19,Maceda,2872,,
2021-02-20,Maceda,2872,,
2021-02-21,Maceda,2872,,
2021-02-22,Maceda,2872,,
2021-02-23,Maceda,2872,,
2021-02-24,Maceda,2872,,
2021-02-25,Maceda,2872,,
2021-02-26,Maceda,2872,,
2021-02-27,Maceda,2872,,
2021-02-28,Maceda,2872,,
2021-03-01,Maceda,2872,10,
2021-03-02,Maceda,2872,10,
2021-03-03,Maceda,2872,10,
2021-03-04,Maceda,2872,,
2021-03-05,Maceda,2872,,
2021-03-06,Maceda,2872,,
2021-03-07,Maceda,2872,,
2021-03-08,Maceda,2872,,0
2021-03-09,Maceda,2872,,0
2021-03-10,Maceda,2872,,0
2021-03-11,Maceda,2872,,0
2021-03-12,Maceda,2872,,0
2021-03-13,Maceda,2872,,0
2021-03-14,Maceda,2872,,0
2021-03-15,Maceda,2872,0,0
2021-03-16,Maceda,2872,0,0
2021-03-17,Maceda,2872,0,0
2021-03-18,Maceda,2872,0,0
2021-03-19,Maceda,2872,0,0
2021-03-20,Maceda,2872,0,0
2021-03-21,Maceda,2872,0,0
2021-03-22,Maceda,2872,0,0
2021-03-23,Maceda,2872,0,0
2021-03-24,Maceda,2872,0,0
2021-03-25,Maceda,2872,0,0
2021-03-26,Maceda,2872,0,0
2021-03-27,Maceda,2872,0,0
2021-03-28,Maceda,2872,0,0
2021-03-29,Maceda,2872,0,0
2021-03-30,Maceda,2872,0,0
2021-03-31,Maceda,2872,0,0
2021-04-01,Maceda,2872,0,0
2021-04-02,Maceda,2872,0,0
2021-04-03,Maceda,2872,0,0
2021-04-04,Maceda,2872,0,0
2021-04-05,Maceda,2872,0,0
2021-04-06,Maceda,2872,0,0
2021-04-07,Maceda,2872,0,0
2021-04-08,Maceda,2872,0,0
2021-04-09,Maceda,2872,0,0
2021-04-10,Maceda,2872,0,0
2021-04-11,Maceda,2872,0,0
2021-04-12,Maceda,2872,0,0
2021-04-13,Maceda,2872,0,0
2021-04-14,Maceda,2872,0,0
2021-04-15,Maceda,2872,0,0
2021-04-16,Maceda,2872,0,0
2021-04-17,Maceda,2872,0,0
2021-04-18,Maceda,2872,0,0
2021-04-19,Maceda,2872,0,0
2021-04-20,Maceda,2872,0,0
2021-04-21,Maceda,2872,0,0
2021-04-22,Maceda,2872,0,0
2021-04-23,Maceda,2872,0,0
2021-04-24,Maceda,2872,0,0
2021-04-25,Maceda,2872,0,0
2021-04-26,Maceda,2872,0,0
2021-04-27,Maceda,2872,0,0
2021-04-28,Maceda,2872,0,0
2021-04-29,Maceda,2872,0,0
2021-04-30,Maceda,2872,0,0
2021-05-01,Maceda,2872,0,0
2021-05-02,Maceda,2872,0,0
2021-05-03,Maceda,2872,0,0
2021-05-04,Maceda,2872,0,0
2021-05-05,Maceda,2872,0,0
2021-05-06,Maceda,2872,0,0
2021-05-07,Maceda,2872,0,0
2021-05-08,Maceda,2872,0,0
2021-05-09,Maceda,2872,0,0
2021-05-10,Maceda,2872,0,0
2021-05-11,Maceda,2872,0,0
2021-05-12,Maceda,2872,0,0
2021-05-13,Maceda,2872,0,0
2021-05-14,Maceda,2872,,
2021-05-15,Maceda,2872,,
2021-05-16,Maceda,2872,,
2021-05-17,Maceda,2872,,
2021-05-18,Maceda,2872,,
2021-05-19,Maceda,2872,,
2021-05-20,Maceda,2872,,
2021-05-21,Maceda,2872,,
2021-05-22,Maceda,2872,,
2021-05-23,Maceda,2872,,
2021-05-24,Maceda,2872,,
2021-05-25,Maceda,2872,,
2021-05-26,Maceda,2872,,
2021-05-27,Maceda,2872,,0
2021-05-28,Maceda,2872,,0
2021-05-29,Maceda,2872,,0
2021-05-30,Maceda,2872,,0
2021-05-31,Maceda,2872,,0
2021-06-01,Maceda,2872,,0
2021-06-02,Maceda,2872,,0
2021-06-03,Maceda,2872,0,0
2021-06-04,Maceda,2872,0,0
2021-06-05,Maceda,2872,0,0
2021-06-06,Maceda,2872,0,0
2021-06-07,Maceda,2872,0,0
2021-06-08,Maceda,2872,0,0
2021-06-09,Maceda,2872,0,0
2021-06-10,Maceda,2872,0,0
2021-06-11,Maceda,2872,0,0
2021-06-12,Maceda,2872,0,0
2021-06-13,Maceda,2872,0,0
2021-06-14,Maceda,2872,0,0
2021-06-15,Maceda,2872,0,0
2021-06-16,Maceda,2872,0,0
2021-06-17,Maceda,2872,0,0
2021-06-18,Maceda,2872,0,0
2021-06-19,Maceda,2872,0,0
2021-06-20,Maceda,2872,0,0
2021-06-21,Maceda,2872,0,0
2021-06-22,Maceda,2872,0,0
2021-06-23,Maceda,2872,0,0
2021-06-24,Maceda,2872,0,0
2021-06-25,Maceda,2872,0,0
2021-06-26,Maceda,2872,0,0
2021-06-27,Maceda,2872,0,0
2021-06-28,Maceda,2872,0,0
2021-06-29,Maceda,2872,0,0
2021-06-30,Maceda,2872,0,0
2021-07-01,Maceda,2872,0,0
2021-07-02,Maceda,2872,0,0
2021-07-03,Maceda,2872,0,0
2021-07-04,Maceda,2872,0,0
2021-07-05,Maceda,2872,0,0
2021-07-06,Maceda,2872,0,0
2021-07-07,Maceda,2872,0,0
2021-07-08,Maceda,2872,0,0
2021-07-09,Maceda,2872,0,0
2021-07-10,Maceda,2872,0,0
2021-07-11,Maceda,2872,,
2021-07-12,Maceda,2872,,
2021-07-13,Maceda,2872,,
2021-07-14,Maceda,2872,,
2021-07-15,Maceda,2872,11,11
2021-07-16,Maceda,2872,12,12
2021-07-17,Maceda,2872,14,14
2021-07-18,Maceda,2872,16,13
2021-07-19,Maceda,2872,16,11
2021-07-20,Maceda,2872,18,11
2021-07-21,Maceda,2872,18,
2021-07-22,Maceda,2872,20,
2021-07-23,Maceda,2872,24,12
2021-07-24,Maceda,2872,30,16
2021-07-25,Maceda,2872,29,16
2021-07-26,Maceda,2872,27,16
2021-07-27,Maceda,2872,25,14
2021-07-28,Maceda,2872,26,17
2021-07-29,Maceda,2872,25,16
2021-07-30,Maceda,2872,24,12
2021-07-31,Maceda,2872,24,
2021-08-01,Maceda,2872,23,
2021-08-02,Maceda,2872,23,
2021-08-03,Maceda,2872,21,
2021-08-04,Maceda,2872,22,
2021-08-05,Maceda,2872,21,
2021-08-06,Maceda,2872,17,
2021-08-07,Maceda,2872,11,
2021-08-08,Maceda,2872,,
2021-08-09,Maceda,2872,,
2021-08-10,Maceda,2872,,
2021-08-11,Maceda,2872,,
2021-08-12,Maceda,2872,,0
2021-08-13,Maceda,2872,,
2021-08-14,Maceda,2872,,
2021-08-15,Maceda,2872,,
2021-08-16,Maceda,2872,,
2021-08-17,Maceda,2872,,
2021-08-18,Maceda,2872,,
2021-08-19,Maceda,2872,,
2021-08-20,Maceda,2872,,
2021-08-21,Maceda,2872,,
2021-08-22,Maceda,2872,,
2021-08-23,Maceda,2872,,
2021-08-24,Maceda,2872,,
2021-08-25,Maceda,2872,,
2021-08-26,Maceda,2872,,
2021-08-27,Maceda,2872,,
2021-08-28,Maceda,2872,,
2021-08-29,Maceda,2872,,
2021-08-30,Maceda,2872,,
2021-08-31,Maceda,2872,,
2021-09-01,Maceda,2872,,
2021-09-02,Maceda,2872,,
2021-09-03,Maceda,2872,,
2021-09-04,Maceda,2872,,0
2021-09-05,Maceda,2872,,0
2021-09-06,Maceda,2872,,0
2021-09-07,Maceda,2872,,0
2021-09-08,Maceda,2872,,0
2021-09-09,Maceda,2872,,0
2021-09-10,Maceda,2872,,0
2021-09-11,Maceda,2872,0,0
2021-09-12,Maceda,2872,0,0
2021-09-13,Maceda,2872,0,0
2021-09-14,Maceda,2872,0,0
2021-09-15,Maceda,2872,0,0
2021-09-16,Maceda,2872,0,0
2021-09-17,Maceda,2872,0,0
2021-09-18,Maceda,2872,0,0
2021-09-19,Maceda,2872,0,0
2021-09-20,Maceda,2872,0,0
2021-09-21,Maceda,2872,0,0
2021-09-22,Maceda,2872,0,0
2021-09-23,Maceda,2872,0,0
2021-09-24,Maceda,2872,0,0
2021-09-25,Maceda,2872,0,0
2021-09-26,Maceda,2872,0,0
2021-09-27,Maceda,2872,0,0
2021-09-28,Maceda,2872,0,0
2021-09-29,Maceda,2872,0,0
2021-09-30,Maceda,2872,0,0
2021-10-01,Maceda,2872,0,0
2021-10-02,Maceda,2872,0,0
2021-10-03,Maceda,2872,0,0
2021-10-04,Maceda,2872,0,0
2021-10-05,Maceda,2872,0,0
2021-10-06,Maceda,2872,0,0
2021-10-07,Maceda,2872,0,0
2021-10-08,Maceda,2872,0,0
2021-10-09,Maceda,2872,0,0
2021-10-10,Maceda,2872,0,0
2021-10-11,Maceda,2872,0,0
2021-10-12,Maceda,2872,0,0
2021-10-13,Maceda,2872,0,0
2021-10-14,Maceda,2872,0,0
2021-10-15,Maceda,2872,0,0
2021-10-16,Maceda,2872,0,0
2021-10-17,Maceda,2872,0,0
2021-10-18,Maceda,2872,0,0
2021-10-19,Maceda,2872,0,0
2021-10-20,Maceda,2872,0,0
