fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Malpica de Bergantiños",5391,63,
2020-11-22,"Malpica de Bergantiños",5391,57,
2020-11-23,"Malpica de Bergantiños",5391,53,
2020-11-24,"Malpica de Bergantiños",5391,49,
2020-11-25,"Malpica de Bergantiños",5391,54,
2020-11-26,"Malpica de Bergantiños",5391,50,
2020-11-27,"Malpica de Bergantiños",5391,46,
2020-11-28,"Malpica de Bergantiños",5391,44,
2020-11-29,"Malpica de Bergantiños",5391,42,
2020-11-30,"Malpica de Bergantiños",5391,34,
2020-12-01,"Malpica de Bergantiños",5391,28,
2020-12-02,"Malpica de Bergantiños",5391,24,
2020-12-03,"Malpica de Bergantiños",5391,20,
2020-12-04,"Malpica de Bergantiños",5391,18,
2020-12-05,"Malpica de Bergantiños",5391,15,
2020-12-06,"Malpica de Bergantiños",5391,11,
2020-12-07,"Malpica de Bergantiños",5391,10,
2020-12-08,"Malpica de Bergantiños",5391,11,
2020-12-09,"Malpica de Bergantiños",5391,,
2020-12-10,"Malpica de Bergantiños",5391,,
2020-12-11,"Malpica de Bergantiños",5391,,
2020-12-12,"Malpica de Bergantiños",5391,,
2020-12-13,"Malpica de Bergantiños",5391,,
2020-12-14,"Malpica de Bergantiños",5391,,
2020-12-15,"Malpica de Bergantiños",5391,,
2020-12-16,"Malpica de Bergantiños",5391,,
2020-12-17,"Malpica de Bergantiños",5391,,
2020-12-18,"Malpica de Bergantiños",5391,,
2020-12-19,"Malpica de Bergantiños",5391,,
2020-12-20,"Malpica de Bergantiños",5391,10,
2020-12-21,"Malpica de Bergantiños",5391,11,
2020-12-22,"Malpica de Bergantiños",5391,,
2020-12-23,"Malpica de Bergantiños",5391,,
2020-12-24,"Malpica de Bergantiños",5391,,
2020-12-25,"Malpica de Bergantiños",5391,,
2020-12-26,"Malpica de Bergantiños",5391,,
2020-12-27,"Malpica de Bergantiños",5391,,
2020-12-28,"Malpica de Bergantiños",5391,,
2020-12-29,"Malpica de Bergantiños",5391,,
2020-12-30,"Malpica de Bergantiños",5391,,
2020-12-31,"Malpica de Bergantiños",5391,,
2021-01-01,"Malpica de Bergantiños",5391,10,
2021-01-02,"Malpica de Bergantiños",5391,,
2021-01-03,"Malpica de Bergantiños",5391,,
2021-01-04,"Malpica de Bergantiños",5391,,
2021-01-05,"Malpica de Bergantiños",5391,,
