fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Maside,2705,,
2020-11-22,Maside,2705,,
2020-11-23,Maside,2705,,
2020-11-24,Maside,2705,,
2020-11-25,Maside,2705,,
2020-11-26,Maside,2705,,
2020-11-27,Maside,2705,,
2020-11-28,Maside,2705,,
2020-11-29,Maside,2705,,
2020-11-30,Maside,2705,,
2020-12-01,Maside,2705,,
2020-12-02,Maside,2705,,
2020-12-03,Maside,2705,,
2020-12-04,Maside,2705,,
2020-12-05,Maside,2705,,
2020-12-06,Maside,2705,,
2020-12-07,Maside,2705,,
2020-12-08,Maside,2705,,
2020-12-09,Maside,2705,,
2020-12-10,Maside,2705,,
2020-12-11,Maside,2705,,
2020-12-12,Maside,2705,0,
2020-12-13,Maside,2705,0,
2020-12-14,Maside,2705,0,
2020-12-15,Maside,2705,0,
2020-12-16,Maside,2705,0,
2020-12-17,Maside,2705,0,
2020-12-18,Maside,2705,0,
2020-12-19,Maside,2705,0,
2020-12-20,Maside,2705,0,
2020-12-21,Maside,2705,0,
2020-12-22,Maside,2705,0,
2020-12-23,Maside,2705,0,
2020-12-24,Maside,2705,0,
2020-12-25,Maside,2705,0,
2020-12-26,Maside,2705,0,
2020-12-27,Maside,2705,0,
2020-12-28,Maside,2705,0,
2020-12-29,Maside,2705,0,
2020-12-30,Maside,2705,0,
2020-12-31,Maside,2705,0,
2021-01-01,Maside,2705,0,
2021-01-02,Maside,2705,0,
2021-01-03,Maside,2705,0,
2021-01-04,Maside,2705,0,
2021-01-05,Maside,2705,0,
2021-01-06,Maside,2705,0,
2021-01-07,Maside,2705,0,
2021-01-08,Maside,2705,0,
2021-01-09,Maside,2705,0,
2021-01-10,Maside,2705,0,
2021-01-11,Maside,2705,0,
2021-01-12,Maside,2705,0,
2021-01-13,Maside,2705,0,
2021-01-14,Maside,2705,0,
2021-01-15,Maside,2705,,
2021-01-16,Maside,2705,,
2021-01-17,Maside,2705,,
2021-01-18,Maside,2705,,
2021-01-19,Maside,2705,,
2021-01-20,Maside,2705,,
2021-01-21,Maside,2705,11,
2021-01-22,Maside,2705,12,
2021-01-23,Maside,2705,13,
2021-01-24,Maside,2705,13,
2021-01-25,Maside,2705,13,
2021-01-26,Maside,2705,14,
2021-01-27,Maside,2705,19,
2021-01-28,Maside,2705,20,
2021-01-29,Maside,2705,19,
2021-01-30,Maside,2705,20,
2021-01-31,Maside,2705,24,
2021-02-01,Maside,2705,25,
2021-02-02,Maside,2705,25,
2021-02-03,Maside,2705,24,
2021-02-04,Maside,2705,22,
2021-02-05,Maside,2705,23,
2021-02-06,Maside,2705,23,
2021-02-07,Maside,2705,23,
2021-02-08,Maside,2705,23,
2021-02-09,Maside,2705,23,
2021-02-10,Maside,2705,18,
2021-02-11,Maside,2705,19,
2021-02-12,Maside,2705,17,
2021-02-13,Maside,2705,15,
2021-02-14,Maside,2705,11,
2021-02-15,Maside,2705,10,
2021-02-16,Maside,2705,,
2021-02-17,Maside,2705,,
2021-02-18,Maside,2705,,
2021-02-19,Maside,2705,,
2021-02-20,Maside,2705,,
2021-02-21,Maside,2705,,
2021-02-22,Maside,2705,,
2021-02-23,Maside,2705,,
2021-02-24,Maside,2705,,
2021-02-25,Maside,2705,,
2021-02-26,Maside,2705,,
2021-02-27,Maside,2705,,
2021-02-28,Maside,2705,,
2021-03-01,Maside,2705,,
2021-03-02,Maside,2705,,0
2021-03-03,Maside,2705,,0
2021-03-04,Maside,2705,,0
2021-03-05,Maside,2705,,0
2021-03-06,Maside,2705,,0
2021-03-07,Maside,2705,,0
2021-03-08,Maside,2705,,
2021-03-09,Maside,2705,,
2021-03-10,Maside,2705,,
2021-03-11,Maside,2705,,
2021-03-12,Maside,2705,,
2021-03-13,Maside,2705,,
2021-03-14,Maside,2705,,
2021-03-15,Maside,2705,10,
2021-03-16,Maside,2705,10,
2021-03-17,Maside,2705,11,
2021-03-18,Maside,2705,11,
2021-03-19,Maside,2705,13,
2021-03-20,Maside,2705,14,
2021-03-21,Maside,2705,14,
2021-03-22,Maside,2705,13,
2021-03-23,Maside,2705,12,
2021-03-24,Maside,2705,12,
2021-03-25,Maside,2705,,
2021-03-26,Maside,2705,,
2021-03-27,Maside,2705,,0
2021-03-28,Maside,2705,,0
2021-03-29,Maside,2705,,0
2021-03-30,Maside,2705,,0
2021-03-31,Maside,2705,,0
2021-04-01,Maside,2705,,0
2021-04-02,Maside,2705,,0
2021-04-03,Maside,2705,0,0
2021-04-04,Maside,2705,0,0
2021-04-05,Maside,2705,0,0
2021-04-06,Maside,2705,0,0
2021-04-07,Maside,2705,0,0
2021-04-08,Maside,2705,0,0
2021-04-09,Maside,2705,0,0
2021-04-10,Maside,2705,0,0
2021-04-11,Maside,2705,0,0
2021-04-12,Maside,2705,0,0
2021-04-13,Maside,2705,0,0
2021-04-14,Maside,2705,0,0
2021-04-15,Maside,2705,0,0
2021-04-16,Maside,2705,0,0
2021-04-17,Maside,2705,0,0
2021-04-18,Maside,2705,0,0
2021-04-19,Maside,2705,0,0
2021-04-20,Maside,2705,0,0
2021-04-21,Maside,2705,0,0
2021-04-22,Maside,2705,0,0
2021-04-23,Maside,2705,0,0
2021-04-24,Maside,2705,0,0
2021-04-25,Maside,2705,0,0
2021-04-26,Maside,2705,0,0
2021-04-27,Maside,2705,0,0
2021-04-28,Maside,2705,0,0
2021-04-29,Maside,2705,0,0
2021-04-30,Maside,2705,0,0
2021-05-01,Maside,2705,0,0
2021-05-02,Maside,2705,0,0
2021-05-03,Maside,2705,0,0
2021-05-04,Maside,2705,0,0
2021-05-05,Maside,2705,0,0
2021-05-06,Maside,2705,0,0
2021-05-07,Maside,2705,0,0
2021-05-08,Maside,2705,0,0
2021-05-09,Maside,2705,0,0
2021-05-10,Maside,2705,0,0
2021-05-11,Maside,2705,0,0
2021-05-12,Maside,2705,0,0
2021-05-13,Maside,2705,0,0
2021-05-14,Maside,2705,0,0
2021-05-15,Maside,2705,0,0
2021-05-16,Maside,2705,0,0
2021-05-17,Maside,2705,0,0
2021-05-18,Maside,2705,0,0
