fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Mazaricos,3885,,
2020-11-22,Mazaricos,3885,10,
2020-11-23,Mazaricos,3885,12,
2020-11-24,Mazaricos,3885,13,
2020-11-25,Mazaricos,3885,16,
2020-11-26,Mazaricos,3885,17,
2020-11-27,Mazaricos,3885,16,
2020-11-28,Mazaricos,3885,23,
2020-11-29,Mazaricos,3885,28,
2020-11-30,Mazaricos,3885,29,
2020-12-01,Mazaricos,3885,30,
2020-12-02,Mazaricos,3885,31,
2020-12-03,Mazaricos,3885,33,
2020-12-04,Mazaricos,3885,34,
2020-12-05,Mazaricos,3885,35,
2020-12-06,Mazaricos,3885,35,
2020-12-07,Mazaricos,3885,33,
2020-12-08,Mazaricos,3885,36,
2020-12-09,Mazaricos,3885,32,
2020-12-10,Mazaricos,3885,32,
2020-12-11,Mazaricos,3885,33,
2020-12-12,Mazaricos,3885,28,
2020-12-13,Mazaricos,3885,28,
2020-12-14,Mazaricos,3885,30,
2020-12-15,Mazaricos,3885,30,
2020-12-16,Mazaricos,3885,36,
2020-12-17,Mazaricos,3885,43,
2020-12-18,Mazaricos,3885,42,
2020-12-19,Mazaricos,3885,44,
2020-12-20,Mazaricos,3885,46,
2020-12-21,Mazaricos,3885,47,
2020-12-22,Mazaricos,3885,44,
2020-12-23,Mazaricos,3885,45,
2020-12-24,Mazaricos,3885,50,
2020-12-25,Mazaricos,3885,51,
2020-12-26,Mazaricos,3885,49,
2020-12-27,Mazaricos,3885,45,
2020-12-28,Mazaricos,3885,42,
2020-12-29,Mazaricos,3885,41,
2020-12-30,Mazaricos,3885,32,
2020-12-31,Mazaricos,3885,25,
2021-01-01,Mazaricos,3885,25,
2021-01-02,Mazaricos,3885,23,
2021-01-03,Mazaricos,3885,19,
2021-01-04,Mazaricos,3885,19,
2021-01-05,Mazaricos,3885,18,
2021-01-06,Mazaricos,3885,18,
2021-01-07,Mazaricos,3885,12,
2021-01-08,Mazaricos,3885,,
2021-01-09,Mazaricos,3885,,
2021-01-10,Mazaricos,3885,,
2021-01-11,Mazaricos,3885,,
2021-01-12,Mazaricos,3885,,
2021-01-13,Mazaricos,3885,,
2021-01-14,Mazaricos,3885,,
2021-01-15,Mazaricos,3885,,
2021-01-16,Mazaricos,3885,,
2021-01-17,Mazaricos,3885,,
2021-01-18,Mazaricos,3885,,
2021-01-19,Mazaricos,3885,,
2021-01-20,Mazaricos,3885,,
2021-01-21,Mazaricos,3885,,
2021-01-22,Mazaricos,3885,,
2021-01-23,Mazaricos,3885,,
2021-01-24,Mazaricos,3885,,
2021-01-25,Mazaricos,3885,,
2021-01-26,Mazaricos,3885,15,
2021-01-27,Mazaricos,3885,18,
2021-01-28,Mazaricos,3885,18,
2021-01-29,Mazaricos,3885,18,
2021-01-30,Mazaricos,3885,20,
2021-01-31,Mazaricos,3885,21,
2021-02-01,Mazaricos,3885,21,
2021-02-02,Mazaricos,3885,22,
2021-02-03,Mazaricos,3885,21,
2021-02-04,Mazaricos,3885,22,
2021-02-05,Mazaricos,3885,18,
2021-02-06,Mazaricos,3885,16,
2021-02-07,Mazaricos,3885,15,
2021-02-08,Mazaricos,3885,14,
2021-02-09,Mazaricos,3885,,
2021-02-10,Mazaricos,3885,,
2021-02-11,Mazaricos,3885,,
2021-02-12,Mazaricos,3885,,
2021-02-13,Mazaricos,3885,,
2021-02-14,Mazaricos,3885,,
2021-02-15,Mazaricos,3885,,
2021-02-16,Mazaricos,3885,,
2021-02-17,Mazaricos,3885,,
2021-02-18,Mazaricos,3885,,
2021-02-19,Mazaricos,3885,,
2021-02-20,Mazaricos,3885,,
2021-02-21,Mazaricos,3885,,
2021-02-22,Mazaricos,3885,,
2021-02-23,Mazaricos,3885,,
2021-02-24,Mazaricos,3885,,
2021-02-25,Mazaricos,3885,,
2021-02-26,Mazaricos,3885,,
2021-02-27,Mazaricos,3885,,
2021-02-28,Mazaricos,3885,,
2021-03-01,Mazaricos,3885,,
2021-03-02,Mazaricos,3885,,
2021-03-03,Mazaricos,3885,,
2021-03-04,Mazaricos,3885,,
2021-03-05,Mazaricos,3885,,
2021-03-06,Mazaricos,3885,,
2021-03-07,Mazaricos,3885,,
2021-03-08,Mazaricos,3885,,0
2021-03-09,Mazaricos,3885,,0
2021-03-10,Mazaricos,3885,,0
2021-03-11,Mazaricos,3885,,0
2021-03-12,Mazaricos,3885,,0
2021-03-13,Mazaricos,3885,,0
2021-03-14,Mazaricos,3885,,0
2021-03-15,Mazaricos,3885,0,0
2021-03-16,Mazaricos,3885,0,0
2021-03-17,Mazaricos,3885,0,0
2021-03-18,Mazaricos,3885,0,0
2021-03-19,Mazaricos,3885,0,0
2021-03-20,Mazaricos,3885,0,0
2021-03-21,Mazaricos,3885,0,0
2021-03-22,Mazaricos,3885,0,0
2021-03-23,Mazaricos,3885,0,0
2021-03-24,Mazaricos,3885,,
2021-03-25,Mazaricos,3885,,
2021-03-26,Mazaricos,3885,,
2021-03-27,Mazaricos,3885,,
2021-03-28,Mazaricos,3885,,
2021-03-29,Mazaricos,3885,,
2021-03-30,Mazaricos,3885,,
2021-03-31,Mazaricos,3885,,
2021-04-01,Mazaricos,3885,,
2021-04-02,Mazaricos,3885,,
2021-04-03,Mazaricos,3885,,
2021-04-04,Mazaricos,3885,,
2021-04-05,Mazaricos,3885,,
2021-04-06,Mazaricos,3885,,
2021-04-07,Mazaricos,3885,,0
2021-04-08,Mazaricos,3885,,0
2021-04-09,Mazaricos,3885,,0
2021-04-10,Mazaricos,3885,,0
2021-04-11,Mazaricos,3885,,0
2021-04-12,Mazaricos,3885,,0
2021-04-13,Mazaricos,3885,,
2021-04-14,Mazaricos,3885,,
2021-04-15,Mazaricos,3885,,
2021-04-16,Mazaricos,3885,,
2021-04-17,Mazaricos,3885,,
2021-04-18,Mazaricos,3885,,
2021-04-19,Mazaricos,3885,,
2021-04-20,Mazaricos,3885,,0
2021-04-21,Mazaricos,3885,,0
2021-04-22,Mazaricos,3885,,0
2021-04-23,Mazaricos,3885,,0
2021-04-24,Mazaricos,3885,,0
2021-04-25,Mazaricos,3885,,0
2021-04-26,Mazaricos,3885,,0
2021-04-27,Mazaricos,3885,0,0
2021-04-28,Mazaricos,3885,0,0
2021-04-29,Mazaricos,3885,0,0
2021-04-30,Mazaricos,3885,0,0
2021-05-01,Mazaricos,3885,0,0
2021-05-02,Mazaricos,3885,0,0
2021-05-03,Mazaricos,3885,0,0
2021-05-04,Mazaricos,3885,0,0
2021-05-05,Mazaricos,3885,0,0
2021-05-06,Mazaricos,3885,,
2021-05-07,Mazaricos,3885,,
2021-05-08,Mazaricos,3885,,
2021-05-09,Mazaricos,3885,,
2021-05-10,Mazaricos,3885,,
2021-05-11,Mazaricos,3885,,
2021-05-12,Mazaricos,3885,,
2021-05-13,Mazaricos,3885,,0
2021-05-14,Mazaricos,3885,,0
2021-05-15,Mazaricos,3885,,0
2021-05-16,Mazaricos,3885,,0
2021-05-17,Mazaricos,3885,,0
2021-05-18,Mazaricos,3885,,0
2021-05-19,Mazaricos,3885,,0
2021-05-20,Mazaricos,3885,0,0
2021-05-21,Mazaricos,3885,0,0
2021-05-22,Mazaricos,3885,0,0
2021-05-23,Mazaricos,3885,0,0
2021-05-24,Mazaricos,3885,0,0
2021-05-25,Mazaricos,3885,0,0
2021-05-26,Mazaricos,3885,0,0
2021-05-27,Mazaricos,3885,0,0
2021-05-28,Mazaricos,3885,0,0
2021-05-29,Mazaricos,3885,0,0
2021-05-30,Mazaricos,3885,0,0
2021-05-31,Mazaricos,3885,0,0
2021-06-01,Mazaricos,3885,0,0
2021-06-02,Mazaricos,3885,0,0
2021-06-03,Mazaricos,3885,0,0
2021-06-04,Mazaricos,3885,0,0
2021-06-05,Mazaricos,3885,0,0
2021-06-06,Mazaricos,3885,0,0
2021-06-07,Mazaricos,3885,0,0
2021-06-08,Mazaricos,3885,0,0
2021-06-09,Mazaricos,3885,0,0
2021-06-10,Mazaricos,3885,0,0
2021-06-11,Mazaricos,3885,0,0
2021-06-12,Mazaricos,3885,0,0
2021-06-13,Mazaricos,3885,0,0
2021-06-14,Mazaricos,3885,0,0
2021-06-15,Mazaricos,3885,0,0
2021-06-16,Mazaricos,3885,0,0
2021-06-17,Mazaricos,3885,0,0
2021-06-18,Mazaricos,3885,0,0
2021-06-19,Mazaricos,3885,,
2021-06-20,Mazaricos,3885,,
2021-06-21,Mazaricos,3885,,
2021-06-22,Mazaricos,3885,,
2021-06-23,Mazaricos,3885,,
2021-06-24,Mazaricos,3885,,
2021-06-25,Mazaricos,3885,,
2021-06-26,Mazaricos,3885,,0
2021-06-27,Mazaricos,3885,,0
2021-06-28,Mazaricos,3885,,0
2021-06-29,Mazaricos,3885,,0
2021-06-30,Mazaricos,3885,,0
2021-07-01,Mazaricos,3885,,0
2021-07-02,Mazaricos,3885,,0
2021-07-03,Mazaricos,3885,0,0
2021-07-04,Mazaricos,3885,0,0
2021-07-05,Mazaricos,3885,0,0
2021-07-06,Mazaricos,3885,0,0
2021-07-07,Mazaricos,3885,0,0
2021-07-08,Mazaricos,3885,0,0
2021-07-09,Mazaricos,3885,0,0
2021-07-10,Mazaricos,3885,0,0
2021-07-11,Mazaricos,3885,,
2021-07-12,Mazaricos,3885,,
2021-07-13,Mazaricos,3885,,
2021-07-14,Mazaricos,3885,,
2021-07-15,Mazaricos,3885,,
2021-07-16,Mazaricos,3885,,
2021-07-17,Mazaricos,3885,,
2021-07-18,Mazaricos,3885,,
2021-07-19,Mazaricos,3885,,
2021-07-20,Mazaricos,3885,,
2021-07-21,Mazaricos,3885,,
2021-07-22,Mazaricos,3885,,
2021-07-23,Mazaricos,3885,,
2021-07-24,Mazaricos,3885,,
2021-07-25,Mazaricos,3885,,
2021-07-26,Mazaricos,3885,10,
2021-07-27,Mazaricos,3885,10,
2021-07-28,Mazaricos,3885,11,
2021-07-29,Mazaricos,3885,11,
2021-07-30,Mazaricos,3885,10,
2021-07-31,Mazaricos,3885,,
2021-08-01,Mazaricos,3885,11,
2021-08-02,Mazaricos,3885,,
2021-08-03,Mazaricos,3885,,
2021-08-04,Mazaricos,3885,,
2021-08-05,Mazaricos,3885,,
2021-08-06,Mazaricos,3885,,
2021-08-07,Mazaricos,3885,,
2021-08-08,Mazaricos,3885,,
2021-08-09,Mazaricos,3885,,
2021-08-10,Mazaricos,3885,,
2021-08-11,Mazaricos,3885,,
2021-08-12,Mazaricos,3885,,
2021-08-13,Mazaricos,3885,,
2021-08-14,Mazaricos,3885,,
2021-08-15,Mazaricos,3885,,
2021-08-16,Mazaricos,3885,,
2021-08-17,Mazaricos,3885,,
2021-08-18,Mazaricos,3885,,
2021-08-19,Mazaricos,3885,,
2021-08-20,Mazaricos,3885,,
2021-08-21,Mazaricos,3885,,
2021-08-22,Mazaricos,3885,,
2021-08-23,Mazaricos,3885,,
2021-08-24,Mazaricos,3885,,
2021-08-25,Mazaricos,3885,,
2021-08-26,Mazaricos,3885,,
2021-08-27,Mazaricos,3885,,
2021-08-28,Mazaricos,3885,,
2021-08-29,Mazaricos,3885,,0
2021-08-30,Mazaricos,3885,,0
2021-08-31,Mazaricos,3885,,0
2021-09-01,Mazaricos,3885,,0
2021-09-02,Mazaricos,3885,,0
2021-09-03,Mazaricos,3885,,0
2021-09-04,Mazaricos,3885,,0
2021-09-05,Mazaricos,3885,0,0
2021-09-06,Mazaricos,3885,0,0
2021-09-07,Mazaricos,3885,0,0
2021-09-08,Mazaricos,3885,0,0
2021-09-09,Mazaricos,3885,0,0
2021-09-10,Mazaricos,3885,0,0
2021-09-11,Mazaricos,3885,0,0
2021-09-12,Mazaricos,3885,0,0
2021-09-13,Mazaricos,3885,0,0
2021-09-14,Mazaricos,3885,0,0
2021-09-15,Mazaricos,3885,0,0
2021-09-16,Mazaricos,3885,0,0
2021-09-17,Mazaricos,3885,0,0
2021-09-18,Mazaricos,3885,0,0
2021-09-19,Mazaricos,3885,0,0
2021-09-20,Mazaricos,3885,0,0
2021-09-21,Mazaricos,3885,0,0
2021-09-22,Mazaricos,3885,0,0
2021-09-23,Mazaricos,3885,0,0
2021-09-24,Mazaricos,3885,0,0
2021-09-25,Mazaricos,3885,0,0
2021-09-26,Mazaricos,3885,0,0
2021-09-27,Mazaricos,3885,0,0
2021-09-28,Mazaricos,3885,0,0
2021-09-29,Mazaricos,3885,0,0
2021-09-30,Mazaricos,3885,0,0
2021-10-01,Mazaricos,3885,0,0
2021-10-02,Mazaricos,3885,0,0
2021-10-03,Mazaricos,3885,0,0
2021-10-04,Mazaricos,3885,0,0
2021-10-05,Mazaricos,3885,0,0
2021-10-06,Mazaricos,3885,0,0
2021-10-07,Mazaricos,3885,0,0
2021-10-08,Mazaricos,3885,0,0
2021-10-09,Mazaricos,3885,0,0
2021-10-10,Mazaricos,3885,0,0
2021-10-11,Mazaricos,3885,0,0
2021-10-12,Mazaricos,3885,0,0
2021-10-13,Mazaricos,3885,0,0
2021-10-14,Mazaricos,3885,0,0
2021-10-15,Mazaricos,3885,0,0
2021-10-16,Mazaricos,3885,0,0
2021-10-17,Mazaricos,3885,0,0
2021-10-18,Mazaricos,3885,0,0
2021-10-19,Mazaricos,3885,0,0
2021-10-20,Mazaricos,3885,0,0
2021-10-21,Mazaricos,3885,0,0
2021-10-22,Mazaricos,3885,0,0
2021-10-23,Mazaricos,3885,0,0
2021-10-24,Mazaricos,3885,0,0
2021-10-25,Mazaricos,3885,0,0
2021-10-26,Mazaricos,3885,0,0
2021-10-27,Mazaricos,3885,0,0
2021-10-28,Mazaricos,3885,0,0
2021-10-29,Mazaricos,3885,0,0
2021-10-30,Mazaricos,3885,0,0
2021-10-31,Mazaricos,3885,0,0
2021-11-01,Mazaricos,3885,0,0
2021-11-02,Mazaricos,3885,0,0
2021-11-03,Mazaricos,3885,0,0
2021-11-04,Mazaricos,3885,0,0
2021-11-05,Mazaricos,3885,0,0
2021-11-06,Mazaricos,3885,0,0
2021-11-07,Mazaricos,3885,0,0
2021-11-08,Mazaricos,3885,0,0
2021-11-09,Mazaricos,3885,0,0
2021-11-10,Mazaricos,3885,0,0
2021-11-11,Mazaricos,3885,0,0
2021-11-12,Mazaricos,3885,0,0
2021-11-13,Mazaricos,3885,0,0
2021-11-14,Mazaricos,3885,0,0
2021-11-15,Mazaricos,3885,0,0
2021-11-16,Mazaricos,3885,0,0
2021-11-17,Mazaricos,3885,,
2021-11-18,Mazaricos,3885,,
2021-11-19,Mazaricos,3885,,
2021-11-20,Mazaricos,3885,,
2021-11-21,Mazaricos,3885,,
2021-11-22,Mazaricos,3885,,
2021-11-23,Mazaricos,3885,10,10
2021-11-24,Mazaricos,3885,17,15
2021-11-25,Mazaricos,3885,17,12
2021-11-26,Mazaricos,3885,18,13
2021-11-27,Mazaricos,3885,19,12
2021-11-28,Mazaricos,3885,19,12
2021-11-29,Mazaricos,3885,20,12
2021-11-30,Mazaricos,3885,20,10
2021-12-01,Mazaricos,3885,19,
2021-12-02,Mazaricos,3885,19,
2021-12-03,Mazaricos,3885,19,
2021-12-04,Mazaricos,3885,18,
2021-12-05,Mazaricos,3885,22,10
2021-12-06,Mazaricos,3885,21,
2021-12-07,Mazaricos,3885,21,11
2021-12-08,Mazaricos,3885,15,11
2021-12-09,Mazaricos,3885,15,
2021-12-10,Mazaricos,3885,14,
2021-12-11,Mazaricos,3885,13,
2021-12-12,Mazaricos,3885,14,
2021-12-13,Mazaricos,3885,13,
2021-12-14,Mazaricos,3885,14,
2021-12-15,Mazaricos,3885,13,
2021-12-16,Mazaricos,3885,11,
2021-12-17,Mazaricos,3885,11,
2021-12-18,Mazaricos,3885,12,
2021-12-19,Mazaricos,3885,,
2021-12-20,Mazaricos,3885,,
2021-12-21,Mazaricos,3885,,
2021-12-22,Mazaricos,3885,10,
2021-12-23,Mazaricos,3885,11,
2021-12-24,Mazaricos,3885,14,11
2021-12-25,Mazaricos,3885,19,14
2021-12-26,Mazaricos,3885,22,17
2021-12-27,Mazaricos,3885,25,20
2021-12-28,Mazaricos,3885,26,21
2021-12-29,Mazaricos,3885,32,24
2021-12-30,Mazaricos,3885,41,33
2021-12-31,Mazaricos,3885,49,38
2022-01-01,Mazaricos,3885,55,41
2022-01-02,Mazaricos,3885,55,38
2022-01-03,Mazaricos,3885,55,35
2022-01-04,Mazaricos,3885,56,35
2022-01-05,Mazaricos,3885,55,31
2022-01-06,Mazaricos,3885,60,27
