fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Mañón,1356,0,
2020-11-22,Mañón,1356,0,
2020-11-23,Mañón,1356,0,
2020-11-24,Mañón,1356,0,
2020-11-25,Mañón,1356,0,
2020-11-26,Mañón,1356,0,
2020-11-27,Mañón,1356,0,
2020-11-28,Mañón,1356,0,
2020-11-29,Mañón,1356,0,
2020-11-30,Mañón,1356,0,
2020-12-01,Mañón,1356,0,
2020-12-02,Mañón,1356,0,
2020-12-03,Mañón,1356,0,
2020-12-04,Mañón,1356,0,
2020-12-05,Mañón,1356,0,
2020-12-06,Mañón,1356,0,
2020-12-07,Mañón,1356,0,
2020-12-08,Mañón,1356,0,
2020-12-09,Mañón,1356,0,
2020-12-10,Mañón,1356,0,
2020-12-11,Mañón,1356,0,
2020-12-12,Mañón,1356,0,
2020-12-13,Mañón,1356,0,
2020-12-14,Mañón,1356,0,
2020-12-15,Mañón,1356,0,
2020-12-16,Mañón,1356,0,
2020-12-17,Mañón,1356,0,
2020-12-18,Mañón,1356,0,
2020-12-19,Mañón,1356,0,
2020-12-20,Mañón,1356,0,
2020-12-21,Mañón,1356,0,
2020-12-22,Mañón,1356,0,
2020-12-23,Mañón,1356,0,
2020-12-24,Mañón,1356,0,
2020-12-25,Mañón,1356,0,
2020-12-26,Mañón,1356,0,
2020-12-27,Mañón,1356,,
2020-12-28,Mañón,1356,,
2020-12-29,Mañón,1356,,
2020-12-30,Mañón,1356,,
2020-12-31,Mañón,1356,,
2021-01-01,Mañón,1356,,
2021-01-02,Mañón,1356,,
2021-01-03,Mañón,1356,,
2021-01-04,Mañón,1356,,
2021-01-05,Mañón,1356,,
2021-01-06,Mañón,1356,,
2021-01-07,Mañón,1356,,
2021-01-08,Mañón,1356,,
2021-01-09,Mañón,1356,,
2021-01-10,Mañón,1356,,
2021-01-11,Mañón,1356,,
2021-01-12,Mañón,1356,,
2021-01-13,Mañón,1356,,
2021-01-14,Mañón,1356,14,
2021-01-15,Mañón,1356,23,
2021-01-16,Mañón,1356,34,
2021-01-17,Mañón,1356,38,
2021-01-18,Mañón,1356,41,
2021-01-19,Mañón,1356,47,
2021-01-20,Mañón,1356,48,
2021-01-21,Mañón,1356,52,
2021-01-22,Mañón,1356,53,
2021-01-23,Mañón,1356,52,
2021-01-24,Mañón,1356,50,
2021-01-25,Mañón,1356,51,
2021-01-26,Mañón,1356,51,
2021-01-27,Mañón,1356,48,
2021-01-28,Mañón,1356,44,
2021-01-29,Mañón,1356,37,
2021-01-30,Mañón,1356,26,
2021-01-31,Mañón,1356,24,
2021-02-01,Mañón,1356,23,
2021-02-02,Mañón,1356,17,
2021-02-03,Mañón,1356,17,
2021-02-04,Mañón,1356,14,
2021-02-05,Mañón,1356,13,
2021-02-06,Mañón,1356,14,
2021-02-07,Mañón,1356,13,
2021-02-08,Mañón,1356,13,
2021-02-09,Mañón,1356,13,
2021-02-10,Mañón,1356,12,
2021-02-11,Mañón,1356,12,
2021-02-12,Mañón,1356,10,
2021-02-13,Mañón,1356,10,
2021-02-14,Mañón,1356,,
2021-02-15,Mañón,1356,,
2021-02-16,Mañón,1356,,
2021-02-17,Mañón,1356,,
2021-02-18,Mañón,1356,,
2021-02-19,Mañón,1356,,
2021-02-20,Mañón,1356,,
