fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Meis,4791,28,
2020-11-22,Meis,4791,30,
2020-11-23,Meis,4791,29,
2020-11-24,Meis,4791,28,
2020-11-25,Meis,4791,27,
2020-11-26,Meis,4791,25,
2020-11-27,Meis,4791,26,
2020-11-28,Meis,4791,24,
2020-11-29,Meis,4791,26,
2020-11-30,Meis,4791,24,
2020-12-01,Meis,4791,22,
2020-12-02,Meis,4791,22,
2020-12-03,Meis,4791,22,
2020-12-04,Meis,4791,17,
2020-12-05,Meis,4791,18,
2020-12-06,Meis,4791,15,
2020-12-07,Meis,4791,14,
2020-12-08,Meis,4791,13,
2020-12-09,Meis,4791,12,
2020-12-10,Meis,4791,11,
2020-12-11,Meis,4791,,
2020-12-12,Meis,4791,,
2020-12-13,Meis,4791,,
2020-12-14,Meis,4791,,
2020-12-15,Meis,4791,,
2020-12-16,Meis,4791,,
2020-12-17,Meis,4791,,
2020-12-18,Meis,4791,,
2020-12-19,Meis,4791,,
2020-12-20,Meis,4791,,
2020-12-21,Meis,4791,,
2020-12-22,Meis,4791,,
2020-12-23,Meis,4791,,
2020-12-24,Meis,4791,,
2020-12-25,Meis,4791,,
2020-12-26,Meis,4791,,
2020-12-27,Meis,4791,,
2020-12-28,Meis,4791,,
2020-12-29,Meis,4791,,
2020-12-30,Meis,4791,,
2020-12-31,Meis,4791,,
2021-01-01,Meis,4791,,
2021-01-02,Meis,4791,,
2021-01-03,Meis,4791,,
2021-01-04,Meis,4791,,
2021-01-05,Meis,4791,,
2021-01-06,Meis,4791,,
2021-01-07,Meis,4791,,
2021-01-08,Meis,4791,,
2021-01-09,Meis,4791,,
2021-01-10,Meis,4791,,
2021-01-11,Meis,4791,,
2021-01-12,Meis,4791,,
2021-01-13,Meis,4791,,
2021-01-14,Meis,4791,11,
2021-01-15,Meis,4791,17,
2021-01-16,Meis,4791,19,
2021-01-17,Meis,4791,23,
2021-01-18,Meis,4791,25,
2021-01-19,Meis,4791,27,
2021-01-20,Meis,4791,29,
2021-01-21,Meis,4791,34,
2021-01-22,Meis,4791,37,
2021-01-23,Meis,4791,43,
2021-01-24,Meis,4791,45,
2021-01-25,Meis,4791,44,
2021-01-26,Meis,4791,44,
2021-01-27,Meis,4791,47,
2021-01-28,Meis,4791,46,
2021-01-29,Meis,4791,42,
2021-01-30,Meis,4791,41,
2021-01-31,Meis,4791,40,
2021-02-01,Meis,4791,40,
2021-02-02,Meis,4791,38,
2021-02-03,Meis,4791,39,
2021-02-04,Meis,4791,38,
2021-02-05,Meis,4791,37,
2021-02-06,Meis,4791,33,
2021-02-07,Meis,4791,34,
2021-02-08,Meis,4791,33,
2021-02-09,Meis,4791,34,
2021-02-10,Meis,4791,32,
2021-02-11,Meis,4791,32,
2021-02-12,Meis,4791,32,
2021-02-13,Meis,4791,33,
2021-02-14,Meis,4791,35,
2021-02-15,Meis,4791,33,
2021-02-16,Meis,4791,35,
2021-02-17,Meis,4791,33,
2021-02-18,Meis,4791,29,
2021-02-19,Meis,4791,28,
2021-02-20,Meis,4791,25,
2021-02-21,Meis,4791,22,
2021-02-22,Meis,4791,22,
2021-02-23,Meis,4791,19,
2021-02-24,Meis,4791,17,
2021-02-25,Meis,4791,17,
2021-02-26,Meis,4791,16,
2021-02-27,Meis,4791,12,
2021-02-28,Meis,4791,,
2021-03-01,Meis,4791,,
2021-03-02,Meis,4791,,
2021-03-03,Meis,4791,,
2021-03-04,Meis,4791,,
2021-03-05,Meis,4791,,
2021-03-06,Meis,4791,,
2021-03-07,Meis,4791,,0
2021-03-08,Meis,4791,,0
2021-03-09,Meis,4791,,0
2021-03-10,Meis,4791,,0
2021-03-11,Meis,4791,,0
2021-03-12,Meis,4791,,0
2021-03-13,Meis,4791,,0
2021-03-14,Meis,4791,0,0
2021-03-15,Meis,4791,0,0
2021-03-16,Meis,4791,0,0
2021-03-17,Meis,4791,0,0
2021-03-18,Meis,4791,0,0
2021-03-19,Meis,4791,0,0
2021-03-20,Meis,4791,0,0
2021-03-21,Meis,4791,0,0
2021-03-22,Meis,4791,0,0
2021-03-23,Meis,4791,0,0
2021-03-24,Meis,4791,0,0
2021-03-25,Meis,4791,,
2021-03-26,Meis,4791,,
2021-03-27,Meis,4791,,
2021-03-28,Meis,4791,,
2021-03-29,Meis,4791,,
2021-03-30,Meis,4791,,
2021-03-31,Meis,4791,,
2021-04-01,Meis,4791,,
2021-04-02,Meis,4791,,
2021-04-03,Meis,4791,,
2021-04-04,Meis,4791,,
2021-04-05,Meis,4791,10,
2021-04-06,Meis,4791,10,
2021-04-07,Meis,4791,10,
2021-04-08,Meis,4791,,
2021-04-09,Meis,4791,,
2021-04-10,Meis,4791,,
2021-04-11,Meis,4791,,
2021-04-12,Meis,4791,,0
2021-04-13,Meis,4791,,
2021-04-14,Meis,4791,,
2021-04-15,Meis,4791,,
2021-04-16,Meis,4791,,
2021-04-17,Meis,4791,,
2021-04-18,Meis,4791,,
2021-04-19,Meis,4791,,
2021-04-20,Meis,4791,,
2021-04-21,Meis,4791,,
2021-04-22,Meis,4791,11,
2021-04-23,Meis,4791,11,
2021-04-24,Meis,4791,11,
2021-04-25,Meis,4791,11,
2021-04-26,Meis,4791,11,
2021-04-27,Meis,4791,,
2021-04-28,Meis,4791,,
2021-04-29,Meis,4791,,0
2021-04-30,Meis,4791,,0
2021-05-01,Meis,4791,,0
2021-05-02,Meis,4791,,0
2021-05-03,Meis,4791,,0
2021-05-04,Meis,4791,,0
2021-05-05,Meis,4791,,0
2021-05-06,Meis,4791,0,0
2021-05-07,Meis,4791,0,0
2021-05-08,Meis,4791,0,0
2021-05-09,Meis,4791,0,0
2021-05-10,Meis,4791,0,0
2021-05-11,Meis,4791,0,0
2021-05-12,Meis,4791,0,0
2021-05-13,Meis,4791,0,0
2021-05-14,Meis,4791,0,0
2021-05-15,Meis,4791,0,0
2021-05-16,Meis,4791,0,0
2021-05-17,Meis,4791,0,0
2021-05-18,Meis,4791,0,0
2021-05-19,Meis,4791,,
2021-05-20,Meis,4791,,
2021-05-21,Meis,4791,,
2021-05-22,Meis,4791,,
2021-05-23,Meis,4791,,
2021-05-24,Meis,4791,,
2021-05-25,Meis,4791,,
2021-05-26,Meis,4791,,
2021-05-27,Meis,4791,,
2021-05-28,Meis,4791,,
2021-05-29,Meis,4791,,0
2021-05-30,Meis,4791,,
2021-05-31,Meis,4791,,
2021-06-01,Meis,4791,,
2021-06-02,Meis,4791,,
2021-06-03,Meis,4791,,
2021-06-04,Meis,4791,,
2021-06-05,Meis,4791,,
2021-06-06,Meis,4791,,0
2021-06-07,Meis,4791,,0
2021-06-08,Meis,4791,,0
2021-06-09,Meis,4791,,0
2021-06-10,Meis,4791,,0
2021-06-11,Meis,4791,,0
2021-06-12,Meis,4791,,0
2021-06-13,Meis,4791,0,0
2021-06-14,Meis,4791,0,0
2021-06-15,Meis,4791,0,0
2021-06-16,Meis,4791,0,0
2021-06-17,Meis,4791,0,0
2021-06-18,Meis,4791,0,0
2021-06-19,Meis,4791,0,0
2021-06-20,Meis,4791,0,0
2021-06-21,Meis,4791,0,0
2021-06-22,Meis,4791,0,0
2021-06-23,Meis,4791,0,0
2021-06-24,Meis,4791,0,0
2021-06-25,Meis,4791,0,0
2021-06-26,Meis,4791,0,0
2021-06-27,Meis,4791,,
2021-06-28,Meis,4791,,
2021-06-29,Meis,4791,,
2021-06-30,Meis,4791,,
2021-07-01,Meis,4791,,
2021-07-02,Meis,4791,,
2021-07-03,Meis,4791,,
2021-07-04,Meis,4791,,
2021-07-05,Meis,4791,11,
2021-07-06,Meis,4791,11,
2021-07-07,Meis,4791,12,
2021-07-08,Meis,4791,14,
2021-07-09,Meis,4791,14,
2021-07-10,Meis,4791,19,10
2021-07-11,Meis,4791,19,11
2021-07-12,Meis,4791,17,
2021-07-13,Meis,4791,18,10
2021-07-14,Meis,4791,18,
2021-07-15,Meis,4791,15,
2021-07-16,Meis,4791,17,
2021-07-17,Meis,4791,20,10
2021-07-18,Meis,4791,21,10
2021-07-19,Meis,4791,21,12
2021-07-20,Meis,4791,25,15
2021-07-21,Meis,4791,27,18
2021-07-22,Meis,4791,29,22
2021-07-23,Meis,4791,32,23
2021-07-24,Meis,4791,29,19
2021-07-25,Meis,4791,34,24
2021-07-26,Meis,4791,35,23
2021-07-27,Meis,4791,36,21
2021-07-28,Meis,4791,37,19
2021-07-29,Meis,4791,37,15
2021-07-30,Meis,4791,37,14
2021-07-31,Meis,4791,33,14
2021-08-01,Meis,4791,34,10
2021-08-02,Meis,4791,34,11
2021-08-03,Meis,4791,34,13
2021-08-04,Meis,4791,34,15
2021-08-05,Meis,4791,32,17
2021-08-06,Meis,4791,29,15
2021-08-07,Meis,4791,27,13
2021-08-08,Meis,4791,22,12
2021-08-09,Meis,4791,23,12
2021-08-10,Meis,4791,22,
2021-08-11,Meis,4791,22,
2021-08-12,Meis,4791,26,
2021-08-13,Meis,4791,26,11
2021-08-14,Meis,4791,26,13
2021-08-15,Meis,4791,24,12
2021-08-16,Meis,4791,22,10
2021-08-17,Meis,4791,19,10
2021-08-18,Meis,4791,17,10
2021-08-19,Meis,4791,16,
2021-08-20,Meis,4791,16,
2021-08-21,Meis,4791,16,
2021-08-22,Meis,4791,15,
2021-08-23,Meis,4791,13,
2021-08-24,Meis,4791,12,
2021-08-25,Meis,4791,11,
2021-08-26,Meis,4791,,0
2021-08-27,Meis,4791,,0
2021-08-28,Meis,4791,,0
2021-08-29,Meis,4791,,
2021-08-30,Meis,4791,,
2021-08-31,Meis,4791,,
2021-09-01,Meis,4791,,
2021-09-02,Meis,4791,,
2021-09-03,Meis,4791,,
2021-09-04,Meis,4791,,
2021-09-05,Meis,4791,,
2021-09-06,Meis,4791,,
2021-09-07,Meis,4791,,
2021-09-08,Meis,4791,,
2021-09-09,Meis,4791,,0
2021-09-10,Meis,4791,,
2021-09-11,Meis,4791,,
2021-09-12,Meis,4791,,
2021-09-13,Meis,4791,,
2021-09-14,Meis,4791,,
2021-09-15,Meis,4791,,
2021-09-16,Meis,4791,,
2021-09-17,Meis,4791,,
2021-09-18,Meis,4791,,
2021-09-19,Meis,4791,,
2021-09-20,Meis,4791,,0
2021-09-21,Meis,4791,,0
2021-09-22,Meis,4791,,
2021-09-23,Meis,4791,,
2021-09-24,Meis,4791,,
2021-09-25,Meis,4791,,
2021-09-26,Meis,4791,,
2021-09-27,Meis,4791,,
2021-09-28,Meis,4791,,
2021-09-29,Meis,4791,,0
2021-09-30,Meis,4791,,0
2021-10-01,Meis,4791,,0
2021-10-02,Meis,4791,,0
2021-10-03,Meis,4791,,0
2021-10-04,Meis,4791,,0
2021-10-05,Meis,4791,,0
2021-10-06,Meis,4791,0,0
2021-10-07,Meis,4791,0,0
2021-10-08,Meis,4791,0,0
2021-10-09,Meis,4791,0,0
2021-10-10,Meis,4791,0,0
2021-10-11,Meis,4791,0,0
2021-10-12,Meis,4791,0,0
2021-10-13,Meis,4791,0,0
2021-10-14,Meis,4791,0,0
2021-10-15,Meis,4791,0,0
2021-10-16,Meis,4791,0,0
2021-10-17,Meis,4791,0,0
2021-10-18,Meis,4791,0,0
2021-10-19,Meis,4791,,
2021-10-20,Meis,4791,,
2021-10-21,Meis,4791,,
2021-10-22,Meis,4791,,
2021-10-23,Meis,4791,,
2021-10-24,Meis,4791,,
2021-10-25,Meis,4791,,
2021-10-26,Meis,4791,,0
2021-10-27,Meis,4791,,0
2021-10-28,Meis,4791,,0
2021-10-29,Meis,4791,,0
2021-10-30,Meis,4791,,0
2021-10-31,Meis,4791,,0
2021-11-01,Meis,4791,,0
2021-11-02,Meis,4791,0,0
2021-11-03,Meis,4791,0,0
2021-11-04,Meis,4791,0,0
2021-11-05,Meis,4791,0,0
2021-11-06,Meis,4791,0,0
2021-11-07,Meis,4791,0,0
2021-11-08,Meis,4791,0,0
2021-11-09,Meis,4791,0,0
2021-11-10,Meis,4791,0,0
2021-11-11,Meis,4791,0,0
2021-11-12,Meis,4791,0,0
2021-11-13,Meis,4791,0,0
2021-11-14,Meis,4791,0,0
2021-11-15,Meis,4791,0,0
2021-11-16,Meis,4791,0,0
2021-11-17,Meis,4791,0,0
2021-11-18,Meis,4791,0,0
2021-11-19,Meis,4791,0,0
2021-11-20,Meis,4791,0,0
2021-11-21,Meis,4791,0,0
2021-11-22,Meis,4791,0,0
2021-11-23,Meis,4791,,
2021-11-24,Meis,4791,,
2021-11-25,Meis,4791,,
2021-11-26,Meis,4791,,
2021-11-27,Meis,4791,,
2021-11-28,Meis,4791,,
2021-11-29,Meis,4791,,
2021-11-30,Meis,4791,,
2021-12-01,Meis,4791,,
2021-12-02,Meis,4791,,
2021-12-03,Meis,4791,,
2021-12-04,Meis,4791,,
2021-12-05,Meis,4791,,
2021-12-06,Meis,4791,,
2021-12-07,Meis,4791,,
2021-12-08,Meis,4791,,
2021-12-09,Meis,4791,,
2021-12-10,Meis,4791,,
2021-12-11,Meis,4791,10,
2021-12-12,Meis,4791,,
2021-12-13,Meis,4791,,
2021-12-14,Meis,4791,10,
2021-12-15,Meis,4791,12,
2021-12-16,Meis,4791,14,
2021-12-17,Meis,4791,12,
2021-12-18,Meis,4791,16,10
2021-12-19,Meis,4791,21,15
2021-12-20,Meis,4791,26,20
2021-12-21,Meis,4791,26,19
2021-12-22,Meis,4791,24,17
2021-12-23,Meis,4791,27,18
2021-12-24,Meis,4791,27,19
2021-12-25,Meis,4791,28,18
2021-12-26,Meis,4791,34,19
2021-12-27,Meis,4791,40,20
2021-12-28,Meis,4791,43,24
2021-12-29,Meis,4791,48,31
2021-12-30,Meis,4791,57,39
2021-12-31,Meis,4791,65,46
2022-01-01,Meis,4791,66,48
2022-01-02,Meis,4791,66,47
2022-01-03,Meis,4791,64,44
2022-01-04,Meis,4791,67,43
2022-01-05,Meis,4791,73,43
2022-01-06,Meis,4791,75,35
2022-01-07,Meis,4791,82,35
2022-01-08,Meis,4791,82,32
2022-01-09,Meis,4791,78,30
2022-01-10,Meis,4791,72,27
2022-01-11,Meis,4791,70,26
2022-01-12,Meis,4791,67,23
2022-01-13,Meis,4791,84,48
2022-01-14,Meis,4791,88,52
2022-01-15,Meis,4791,101,68
2022-01-16,Meis,4791,119,85
2022-01-17,Meis,4791,127,93
2022-01-18,Meis,4791,129,90
2022-01-19,Meis,4791,135,93
2022-01-20,Meis,4791,145,96
2022-01-21,Meis,4791,139,86
2022-01-22,Meis,4791,147,77
2022-01-23,Meis,4791,149,64
2022-01-24,Meis,4791,151,58
2022-01-25,Meis,4791,149,59
2022-01-26,Meis,4791,150,55
2022-01-27,Meis,4791,147,49
2022-01-28,Meis,4791,139,53
2022-01-29,Meis,4791,130,53
2022-01-30,Meis,4791,118,54
2022-01-31,Meis,4791,115,57
2022-02-01,Meis,4791,110,51
2022-02-02,Meis,4791,98,41
2022-02-03,Meis,4791,91,40
2022-02-04,Meis,4791,94,41
2022-02-05,Meis,4791,89,36
2022-02-06,Meis,4791,89,35
2022-02-07,Meis,4791,85,29
2022-02-08,Meis,4791,82,31
2022-02-09,Meis,4791,74,33
2022-02-10,Meis,4791,70,30
2022-02-11,Meis,4791,70,29
2022-02-12,Meis,4791,63,27
2022-02-13,Meis,4791,59,24
2022-02-14,Meis,4791,55,26
2022-02-15,Meis,4791,56,25
2022-02-16,Meis,4791,66,33
2022-02-17,Meis,4791,63,33
2022-02-18,Meis,4791,57,28
2022-02-19,Meis,4791,55,28
2022-02-20,Meis,4791,49,25
2022-02-21,Meis,4791,52,26
2022-02-22,Meis,4791,49,24
2022-02-23,Meis,4791,50,17
2022-02-24,Meis,4791,46,13
2022-02-25,Meis,4791,43,15
2022-02-26,Meis,4791,41,13
2022-02-27,Meis,4791,41,16
2022-02-28,Meis,4791,41,15
2022-03-01,Meis,4791,40,16
2022-03-02,Meis,4791,30,13
2022-03-03,Meis,4791,29,16
2022-03-04,Meis,4791,31,16
2022-03-05,Meis,4791,34,21
2022-03-06,Meis,4791,40,24
2022-03-07,Meis,4791,38,23
2022-03-08,Meis,4791,40,24
2022-03-09,Meis,4791,48,35
2022-03-10,Meis,4791,54,38
2022-03-11,Meis,4791,56,40
2022-03-12,Meis,4791,56,35
2022-03-14,Meis,4791,49,26
2022-03-15,Meis,4791,55,31
