fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Melón,1184,,
2020-11-22,Melón,1184,,
2020-11-23,Melón,1184,,
2020-11-24,Melón,1184,,
2020-11-25,Melón,1184,,
2020-11-26,Melón,1184,,
2020-11-27,Melón,1184,,
2020-11-28,Melón,1184,,
2020-11-29,Melón,1184,,
2020-11-30,Melón,1184,,
2020-12-01,Melón,1184,,
2020-12-02,Melón,1184,,
2020-12-03,Melón,1184,,
2020-12-04,Melón,1184,,
2020-12-05,Melón,1184,,
2020-12-06,Melón,1184,0,
2020-12-07,Melón,1184,0,
2020-12-08,Melón,1184,0,
2020-12-09,Melón,1184,0,
2020-12-10,Melón,1184,0,
2020-12-11,Melón,1184,0,
2020-12-12,Melón,1184,0,
2020-12-13,Melón,1184,0,
2020-12-14,Melón,1184,0,
2020-12-15,Melón,1184,0,
2020-12-16,Melón,1184,0,
2020-12-17,Melón,1184,0,
2020-12-18,Melón,1184,0,
2020-12-19,Melón,1184,0,
2020-12-20,Melón,1184,0,
2020-12-21,Melón,1184,0,
2020-12-22,Melón,1184,0,
2020-12-23,Melón,1184,0,
2020-12-24,Melón,1184,0,
2020-12-25,Melón,1184,0,
2020-12-26,Melón,1184,0,
2020-12-27,Melón,1184,0,
2020-12-28,Melón,1184,0,
2020-12-29,Melón,1184,0,
2020-12-30,Melón,1184,0,
2020-12-31,Melón,1184,,
2021-01-01,Melón,1184,,
2021-01-02,Melón,1184,,
2021-01-03,Melón,1184,,
2021-01-04,Melón,1184,,
2021-01-05,Melón,1184,,
2021-01-06,Melón,1184,,
2021-01-07,Melón,1184,,
2021-01-08,Melón,1184,,
2021-01-09,Melón,1184,,
2021-01-10,Melón,1184,,
2021-01-11,Melón,1184,,
2021-01-12,Melón,1184,,
2021-01-13,Melón,1184,,
2021-01-14,Melón,1184,,
2021-01-15,Melón,1184,,
2021-01-16,Melón,1184,,
2021-01-17,Melón,1184,,
2021-01-18,Melón,1184,,
2021-01-19,Melón,1184,,
2021-01-20,Melón,1184,,
2021-01-21,Melón,1184,,
2021-01-22,Melón,1184,,
2021-01-23,Melón,1184,,
2021-01-24,Melón,1184,,
2021-01-25,Melón,1184,,
2021-01-26,Melón,1184,,
2021-01-27,Melón,1184,,
2021-01-28,Melón,1184,,
2021-01-29,Melón,1184,,
2021-01-30,Melón,1184,,
2021-01-31,Melón,1184,,
2021-02-01,Melón,1184,10,
2021-02-02,Melón,1184,11,
2021-02-03,Melón,1184,11,
2021-02-04,Melón,1184,10,
2021-02-05,Melón,1184,,
2021-02-06,Melón,1184,,
2021-02-07,Melón,1184,,
2021-02-08,Melón,1184,,
2021-02-09,Melón,1184,,
2021-02-10,Melón,1184,,
2021-02-11,Melón,1184,,
2021-02-12,Melón,1184,,
2021-02-13,Melón,1184,,
2021-02-14,Melón,1184,,
2021-02-15,Melón,1184,,
2021-02-16,Melón,1184,0,
2021-02-17,Melón,1184,0,
2021-02-18,Melón,1184,0,
2021-02-19,Melón,1184,0,
2021-02-20,Melón,1184,0,
2021-02-21,Melón,1184,0,
2021-02-22,Melón,1184,0,
2021-02-23,Melón,1184,0,
2021-02-24,Melón,1184,0,
2021-02-25,Melón,1184,0,
2021-02-26,Melón,1184,0,
2021-02-27,Melón,1184,0,
2021-02-28,Melón,1184,0,
2021-03-01,Melón,1184,0,
2021-03-02,Melón,1184,0,0
2021-03-03,Melón,1184,0,0
2021-03-04,Melón,1184,0,0
2021-03-05,Melón,1184,0,0
2021-03-06,Melón,1184,0,0
2021-03-07,Melón,1184,0,0
2021-03-08,Melón,1184,0,0
2021-03-09,Melón,1184,0,0
2021-03-10,Melón,1184,0,0
2021-03-11,Melón,1184,0,0
2021-03-12,Melón,1184,0,0
2021-03-13,Melón,1184,0,0
2021-03-14,Melón,1184,0,0
2021-03-15,Melón,1184,,
2021-03-16,Melón,1184,,
2021-03-17,Melón,1184,,
2021-03-18,Melón,1184,,
2021-03-19,Melón,1184,,
2021-03-20,Melón,1184,,
2021-03-21,Melón,1184,,
2021-03-22,Melón,1184,,0
2021-03-23,Melón,1184,,0
2021-03-24,Melón,1184,,0
2021-03-25,Melón,1184,,0
2021-03-26,Melón,1184,,0
2021-03-27,Melón,1184,,0
2021-03-28,Melón,1184,,0
2021-03-29,Melón,1184,0,0
2021-03-30,Melón,1184,0,0
2021-03-31,Melón,1184,0,0
2021-04-01,Melón,1184,0,0
2021-04-02,Melón,1184,0,0
2021-04-03,Melón,1184,0,0
2021-04-04,Melón,1184,0,0
2021-04-05,Melón,1184,0,0
2021-04-06,Melón,1184,0,0
2021-04-07,Melón,1184,0,0
2021-04-08,Melón,1184,0,0
2021-04-09,Melón,1184,0,0
2021-04-10,Melón,1184,0,0
2021-04-11,Melón,1184,0,0
2021-04-12,Melón,1184,0,0
2021-04-13,Melón,1184,0,0
2021-04-14,Melón,1184,0,0
2021-04-15,Melón,1184,0,0
2021-04-16,Melón,1184,0,0
2021-04-17,Melón,1184,0,0
2021-04-18,Melón,1184,0,0
2021-04-19,Melón,1184,0,0
2021-04-20,Melón,1184,0,0
2021-04-21,Melón,1184,0,0
2021-04-22,Melón,1184,0,0
2021-04-23,Melón,1184,0,0
2021-04-24,Melón,1184,0,0
2021-04-25,Melón,1184,0,0
2021-04-26,Melón,1184,0,0
2021-04-27,Melón,1184,0,0
2021-04-28,Melón,1184,0,0
2021-04-29,Melón,1184,0,0
2021-04-30,Melón,1184,0,0
2021-05-01,Melón,1184,0,0
2021-05-02,Melón,1184,0,0
2021-05-03,Melón,1184,0,0
2021-05-04,Melón,1184,0,0
2021-05-05,Melón,1184,0,0
2021-05-06,Melón,1184,0,0
2021-05-07,Melón,1184,0,0
2021-05-08,Melón,1184,0,0
2021-05-09,Melón,1184,0,0
2021-05-10,Melón,1184,0,0
2021-05-11,Melón,1184,0,0
2021-05-12,Melón,1184,0,0
2021-05-13,Melón,1184,0,0
2021-05-14,Melón,1184,0,0
2021-05-15,Melón,1184,0,0
2021-05-16,Melón,1184,0,0
2021-05-17,Melón,1184,0,0
2021-05-18,Melón,1184,0,0
2021-05-19,Melón,1184,0,0
2021-05-20,Melón,1184,0,0
2021-05-21,Melón,1184,0,0
2021-05-22,Melón,1184,0,0
2021-05-23,Melón,1184,0,0
2021-05-24,Melón,1184,0,0
2021-05-25,Melón,1184,0,0
2021-05-26,Melón,1184,0,0
2021-05-27,Melón,1184,0,0
2021-05-28,Melón,1184,0,0
2021-05-29,Melón,1184,0,0
2021-05-30,Melón,1184,0,0
2021-05-31,Melón,1184,0,0
2021-06-01,Melón,1184,0,0
2021-06-02,Melón,1184,0,0
2021-06-03,Melón,1184,0,0
2021-06-04,Melón,1184,0,0
2021-06-05,Melón,1184,0,0
2021-06-06,Melón,1184,0,0
2021-06-07,Melón,1184,0,0
2021-06-08,Melón,1184,0,0
2021-06-09,Melón,1184,0,0
2021-06-10,Melón,1184,0,0
2021-06-11,Melón,1184,0,0
2021-06-12,Melón,1184,0,0
2021-06-13,Melón,1184,0,0
2021-06-14,Melón,1184,0,0
2021-06-15,Melón,1184,0,0
2021-06-16,Melón,1184,0,0
2021-06-17,Melón,1184,0,0
2021-06-18,Melón,1184,0,0
2021-06-19,Melón,1184,0,0
2021-06-20,Melón,1184,0,0
2021-06-21,Melón,1184,0,0
2021-06-22,Melón,1184,0,0
2021-06-23,Melón,1184,0,0
2021-06-24,Melón,1184,0,0
2021-06-25,Melón,1184,0,0
2021-06-26,Melón,1184,0,0
2021-06-27,Melón,1184,0,0
2021-06-28,Melón,1184,0,0
2021-06-29,Melón,1184,0,0
2021-06-30,Melón,1184,0,0
2021-07-01,Melón,1184,,
2021-07-02,Melón,1184,,
2021-07-03,Melón,1184,,
2021-07-04,Melón,1184,,
2021-07-05,Melón,1184,,
2021-07-06,Melón,1184,,
2021-07-07,Melón,1184,,
2021-07-08,Melón,1184,,0
2021-07-09,Melón,1184,,0
2021-07-10,Melón,1184,,0
2021-07-11,Melón,1184,,
2021-07-12,Melón,1184,,
2021-07-13,Melón,1184,,
2021-07-14,Melón,1184,,
2021-07-15,Melón,1184,,
2021-07-16,Melón,1184,,
2021-07-17,Melón,1184,,
2021-07-18,Melón,1184,,0
2021-07-19,Melón,1184,,0
2021-07-20,Melón,1184,,0
2021-07-21,Melón,1184,,0
2021-07-22,Melón,1184,,0
2021-07-23,Melón,1184,,0
2021-07-24,Melón,1184,,0
2021-07-25,Melón,1184,,
2021-07-26,Melón,1184,,
2021-07-27,Melón,1184,,
2021-07-28,Melón,1184,,
2021-07-29,Melón,1184,,
2021-07-30,Melón,1184,,
2021-07-31,Melón,1184,,
2021-08-01,Melón,1184,,0
2021-08-02,Melón,1184,,0
2021-08-03,Melón,1184,,0
2021-08-04,Melón,1184,,0
2021-08-05,Melón,1184,,
2021-08-06,Melón,1184,,
2021-08-07,Melón,1184,,
2021-08-08,Melón,1184,,
2021-08-09,Melón,1184,,
2021-08-10,Melón,1184,,
2021-08-11,Melón,1184,,
2021-08-12,Melón,1184,,0
2021-08-13,Melón,1184,,0
2021-08-14,Melón,1184,,0
2021-08-15,Melón,1184,,0
2021-08-16,Melón,1184,,0
2021-08-17,Melón,1184,,0
2021-08-18,Melón,1184,,0
2021-08-19,Melón,1184,0,0
2021-08-20,Melón,1184,0,0
2021-08-21,Melón,1184,0,0
2021-08-22,Melón,1184,0,0
2021-08-23,Melón,1184,0,0
2021-08-24,Melón,1184,0,0
2021-08-25,Melón,1184,0,0
2021-08-26,Melón,1184,0,0
2021-08-27,Melón,1184,0,0
2021-08-28,Melón,1184,0,0
