fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Mesía,2530,,
2020-11-22,Mesía,2530,,
2020-11-23,Mesía,2530,,
2020-11-24,Mesía,2530,,
2020-11-25,Mesía,2530,,
2020-11-26,Mesía,2530,,
2020-11-27,Mesía,2530,,
2020-11-28,Mesía,2530,,
2020-11-29,Mesía,2530,,
2020-11-30,Mesía,2530,,
2020-12-01,Mesía,2530,,
2020-12-02,Mesía,2530,,
2020-12-03,Mesía,2530,,
2020-12-04,Mesía,2530,,
2020-12-05,Mesía,2530,,
2020-12-06,Mesía,2530,,
2020-12-07,Mesía,2530,,
2020-12-08,Mesía,2530,,
2020-12-09,Mesía,2530,,
2020-12-10,Mesía,2530,,
2020-12-11,Mesía,2530,,
2020-12-12,Mesía,2530,0,
2020-12-13,Mesía,2530,0,
2020-12-14,Mesía,2530,,
2020-12-15,Mesía,2530,,
2020-12-16,Mesía,2530,,
2020-12-17,Mesía,2530,,
2020-12-18,Mesía,2530,,
2020-12-19,Mesía,2530,,
2020-12-20,Mesía,2530,,
2020-12-21,Mesía,2530,,
2020-12-22,Mesía,2530,,
2020-12-23,Mesía,2530,,
2020-12-24,Mesía,2530,,
2020-12-25,Mesía,2530,,
2020-12-26,Mesía,2530,,
2020-12-27,Mesía,2530,,
2020-12-28,Mesía,2530,,
2020-12-29,Mesía,2530,,
2020-12-30,Mesía,2530,,
2020-12-31,Mesía,2530,,
2021-01-01,Mesía,2530,,
2021-01-02,Mesía,2530,,
2021-01-03,Mesía,2530,,
2021-01-04,Mesía,2530,,
2021-01-05,Mesía,2530,,
2021-01-06,Mesía,2530,,
2021-01-07,Mesía,2530,10,
2021-01-08,Mesía,2530,11,
2021-01-09,Mesía,2530,11,
2021-01-10,Mesía,2530,10,
2021-01-11,Mesía,2530,,
2021-01-12,Mesía,2530,,
2021-01-13,Mesía,2530,,
2021-01-14,Mesía,2530,,
2021-01-15,Mesía,2530,11,
2021-01-16,Mesía,2530,12,
2021-01-17,Mesía,2530,10,
2021-01-18,Mesía,2530,,
2021-01-19,Mesía,2530,,
2021-01-20,Mesía,2530,10,
2021-01-21,Mesía,2530,11,
2021-01-22,Mesía,2530,11,
2021-01-23,Mesía,2530,11,
2021-01-24,Mesía,2530,14,
2021-01-25,Mesía,2530,18,
2021-01-26,Mesía,2530,20,
2021-01-27,Mesía,2530,20,
2021-01-28,Mesía,2530,22,
2021-01-29,Mesía,2530,24,
2021-01-30,Mesía,2530,28,
2021-01-31,Mesía,2530,28,
2021-02-01,Mesía,2530,32,
2021-02-02,Mesía,2530,32,
2021-02-03,Mesía,2530,35,
2021-02-04,Mesía,2530,34,
2021-02-05,Mesía,2530,34,
2021-02-06,Mesía,2530,33,
2021-02-07,Mesía,2530,33,
2021-02-08,Mesía,2530,30,
2021-02-09,Mesía,2530,28,
2021-02-10,Mesía,2530,27,
2021-02-11,Mesía,2530,25,
2021-02-12,Mesía,2530,21,
2021-02-13,Mesía,2530,16,
2021-02-14,Mesía,2530,16,
2021-02-15,Mesía,2530,12,
2021-02-16,Mesía,2530,10,
2021-02-17,Mesía,2530,,
2021-02-18,Mesía,2530,,
2021-02-19,Mesía,2530,,
2021-02-20,Mesía,2530,,
2021-02-21,Mesía,2530,,
2021-02-22,Mesía,2530,,
2021-02-23,Mesía,2530,,
2021-02-24,Mesía,2530,,
2021-02-25,Mesía,2530,,
2021-02-26,Mesía,2530,,
2021-02-27,Mesía,2530,,
2021-02-28,Mesía,2530,,
2021-03-01,Mesía,2530,,
2021-03-02,Mesía,2530,,0
2021-03-03,Mesía,2530,,0
2021-03-04,Mesía,2530,,0
2021-03-05,Mesía,2530,,0
2021-03-06,Mesía,2530,,0
2021-03-07,Mesía,2530,0,0
2021-03-08,Mesía,2530,0,0
2021-03-09,Mesía,2530,0,0
2021-03-10,Mesía,2530,0,0
2021-03-11,Mesía,2530,0,0
2021-03-12,Mesía,2530,0,0
2021-03-13,Mesía,2530,0,0
2021-03-14,Mesía,2530,0,0
2021-03-15,Mesía,2530,0,0
2021-03-16,Mesía,2530,0,0
2021-03-17,Mesía,2530,0,0
2021-03-18,Mesía,2530,0,0
2021-03-19,Mesía,2530,0,0
2021-03-20,Mesía,2530,0,0
2021-03-21,Mesía,2530,,
