fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Miño,6200,,
2020-11-22,Miño,6200,,
2020-11-23,Miño,6200,,
2020-11-24,Miño,6200,,
2020-11-25,Miño,6200,,
2020-11-26,Miño,6200,11,
2020-11-27,Miño,6200,11,
2020-11-28,Miño,6200,10,
2020-11-29,Miño,6200,10,
2020-11-30,Miño,6200,10,
2020-12-01,Miño,6200,10,
2020-12-02,Miño,6200,11,
2020-12-03,Miño,6200,11,
2020-12-04,Miño,6200,11,
2020-12-05,Miño,6200,10,
2020-12-06,Miño,6200,,
2020-12-07,Miño,6200,,
2020-12-08,Miño,6200,,
2020-12-09,Miño,6200,,
2020-12-10,Miño,6200,,
2020-12-11,Miño,6200,,
2020-12-12,Miño,6200,,
2020-12-13,Miño,6200,,
2020-12-14,Miño,6200,,
2020-12-15,Miño,6200,,
2020-12-16,Miño,6200,,
2020-12-17,Miño,6200,,
2020-12-18,Miño,6200,,
2020-12-19,Miño,6200,,
2020-12-20,Miño,6200,,
2020-12-21,Miño,6200,,
2020-12-22,Miño,6200,,
2020-12-23,Miño,6200,,
2020-12-24,Miño,6200,,
2020-12-25,Miño,6200,,
2020-12-26,Miño,6200,,
2020-12-27,Miño,6200,,
2020-12-28,Miño,6200,,
2020-12-29,Miño,6200,0,
2020-12-30,Miño,6200,0,
2020-12-31,Miño,6200,0,
2021-01-01,Miño,6200,0,
2021-01-02,Miño,6200,0,
2021-01-03,Miño,6200,0,
2021-01-04,Miño,6200,,
2021-01-05,Miño,6200,,
2021-01-06,Miño,6200,,
2021-01-07,Miño,6200,,
2021-01-08,Miño,6200,,
2021-01-09,Miño,6200,,
2021-01-10,Miño,6200,,
2021-01-11,Miño,6200,,
2021-01-12,Miño,6200,,
2021-01-13,Miño,6200,,
2021-01-14,Miño,6200,,
2021-01-15,Miño,6200,,
2021-01-16,Miño,6200,,
2021-01-17,Miño,6200,,
2021-01-18,Miño,6200,,
2021-01-19,Miño,6200,,
2021-01-20,Miño,6200,10,
2021-01-21,Miño,6200,12,
2021-01-22,Miño,6200,16,
2021-01-23,Miño,6200,24,
2021-01-24,Miño,6200,27,
2021-01-25,Miño,6200,28,
2021-01-26,Miño,6200,32,
2021-01-27,Miño,6200,31,
2021-01-28,Miño,6200,33,
2021-01-29,Miño,6200,33,
2021-01-30,Miño,6200,39,
2021-01-31,Miño,6200,39,
2021-02-01,Miño,6200,39,
2021-02-02,Miño,6200,40,
2021-02-03,Miño,6200,40,
2021-02-04,Miño,6200,38,
2021-02-05,Miño,6200,37,
2021-02-06,Miño,6200,32,
2021-02-07,Miño,6200,30,
2021-02-08,Miño,6200,31,
2021-02-09,Miño,6200,27,
2021-02-10,Miño,6200,33,
2021-02-11,Miño,6200,34,
2021-02-12,Miño,6200,34,
2021-02-13,Miño,6200,28,
2021-02-14,Miño,6200,29,
2021-02-15,Miño,6200,28,
2021-02-16,Miño,6200,26,
2021-02-17,Miño,6200,23,
2021-02-18,Miño,6200,23,
2021-02-19,Miño,6200,21,
2021-02-20,Miño,6200,18,
