fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Moeche,1226,,
2020-11-22,Moeche,1226,,
2020-11-23,Moeche,1226,,
2020-11-24,Moeche,1226,,
2020-11-25,Moeche,1226,,
2020-11-26,Moeche,1226,,
2020-11-27,Moeche,1226,,
2020-11-28,Moeche,1226,,
2020-11-29,Moeche,1226,,
2020-11-30,Moeche,1226,,
2020-12-01,Moeche,1226,,
2020-12-02,Moeche,1226,,
2020-12-03,Moeche,1226,,
2020-12-04,Moeche,1226,,
2020-12-05,Moeche,1226,,
2020-12-06,Moeche,1226,,
2020-12-07,Moeche,1226,,
2020-12-08,Moeche,1226,,
2020-12-09,Moeche,1226,,
2020-12-10,Moeche,1226,,
2020-12-11,Moeche,1226,,
2020-12-12,Moeche,1226,,
2020-12-13,Moeche,1226,,
2020-12-14,Moeche,1226,,
2020-12-15,Moeche,1226,,
2020-12-16,Moeche,1226,,
2020-12-17,Moeche,1226,,
2020-12-18,Moeche,1226,,
2020-12-19,Moeche,1226,,
2020-12-20,Moeche,1226,,
2020-12-21,Moeche,1226,,
2020-12-22,Moeche,1226,,
2020-12-23,Moeche,1226,,
2020-12-24,Moeche,1226,,
2020-12-25,Moeche,1226,,
2020-12-26,Moeche,1226,,
2020-12-27,Moeche,1226,,
2020-12-28,Moeche,1226,,
2020-12-29,Moeche,1226,,
2020-12-30,Moeche,1226,,
2020-12-31,Moeche,1226,,
2021-01-01,Moeche,1226,,
2021-01-02,Moeche,1226,,
2021-01-03,Moeche,1226,,
2021-01-04,Moeche,1226,,
2021-01-05,Moeche,1226,,
2021-01-06,Moeche,1226,,
2021-01-07,Moeche,1226,,
2021-01-08,Moeche,1226,,
2021-01-09,Moeche,1226,,
2021-01-10,Moeche,1226,,
2021-01-11,Moeche,1226,,
2021-01-12,Moeche,1226,,
2021-01-13,Moeche,1226,,
2021-01-14,Moeche,1226,,
2021-01-15,Moeche,1226,10,
2021-01-16,Moeche,1226,12,
2021-01-17,Moeche,1226,15,
2021-01-18,Moeche,1226,20,
2021-01-19,Moeche,1226,22,
2021-01-20,Moeche,1226,24,
2021-01-21,Moeche,1226,36,
2021-01-22,Moeche,1226,38,
