fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Mondariz,4440,25,
2020-11-22,Mondariz,4440,24,
2020-11-23,Mondariz,4440,24,
2020-11-24,Mondariz,4440,22,
2020-11-25,Mondariz,4440,19,
2020-11-26,Mondariz,4440,17,
2020-11-27,Mondariz,4440,17,
2020-11-28,Mondariz,4440,15,
2020-11-29,Mondariz,4440,14,
2020-11-30,Mondariz,4440,14,
2020-12-01,Mondariz,4440,15,
2020-12-02,Mondariz,4440,16,
2020-12-03,Mondariz,4440,15,
2020-12-04,Mondariz,4440,10,
2020-12-05,Mondariz,4440,,
2020-12-06,Mondariz,4440,,
2020-12-07,Mondariz,4440,,
2020-12-08,Mondariz,4440,,
2020-12-09,Mondariz,4440,,
2020-12-10,Mondariz,4440,,
2020-12-11,Mondariz,4440,,
2020-12-12,Mondariz,4440,,
2020-12-13,Mondariz,4440,,
2020-12-14,Mondariz,4440,,
2020-12-15,Mondariz,4440,,
2020-12-16,Mondariz,4440,,
2020-12-17,Mondariz,4440,,
2020-12-18,Mondariz,4440,,
2020-12-19,Mondariz,4440,,
2020-12-20,Mondariz,4440,,
2020-12-21,Mondariz,4440,,
2020-12-22,Mondariz,4440,,
2020-12-23,Mondariz,4440,,
2020-12-24,Mondariz,4440,,
2020-12-25,Mondariz,4440,,
2020-12-26,Mondariz,4440,,
2020-12-27,Mondariz,4440,,
2020-12-28,Mondariz,4440,,
2020-12-29,Mondariz,4440,,
2020-12-30,Mondariz,4440,,
2020-12-31,Mondariz,4440,,
2021-01-01,Mondariz,4440,,
2021-01-02,Mondariz,4440,,
2021-01-03,Mondariz,4440,,
2021-01-04,Mondariz,4440,,
2021-01-05,Mondariz,4440,,
2021-01-06,Mondariz,4440,,
2021-01-07,Mondariz,4440,,
2021-01-08,Mondariz,4440,,
2021-01-09,Mondariz,4440,,
2021-01-10,Mondariz,4440,,
2021-01-11,Mondariz,4440,,
2021-01-12,Mondariz,4440,,
2021-01-13,Mondariz,4440,,
2021-01-14,Mondariz,4440,15,
2021-01-15,Mondariz,4440,23,
2021-01-16,Mondariz,4440,35,
2021-01-17,Mondariz,4440,42,
2021-01-18,Mondariz,4440,45,
2021-01-19,Mondariz,4440,47,
2021-01-20,Mondariz,4440,50,
2021-01-21,Mondariz,4440,58,
2021-01-22,Mondariz,4440,64,
2021-01-23,Mondariz,4440,67,
