fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Mondoñedo,3568,,
2020-11-22,Mondoñedo,3568,,
2020-11-23,Mondoñedo,3568,,
2020-11-24,Mondoñedo,3568,,
2020-11-25,Mondoñedo,3568,,
2020-11-26,Mondoñedo,3568,,
2020-11-27,Mondoñedo,3568,,
2020-11-28,Mondoñedo,3568,,
2020-11-29,Mondoñedo,3568,,
2020-11-30,Mondoñedo,3568,,
2020-12-01,Mondoñedo,3568,,
2020-12-02,Mondoñedo,3568,,
2020-12-03,Mondoñedo,3568,,
2020-12-04,Mondoñedo,3568,,
2020-12-05,Mondoñedo,3568,,
2020-12-06,Mondoñedo,3568,,
2020-12-07,Mondoñedo,3568,,
2020-12-08,Mondoñedo,3568,,
2020-12-09,Mondoñedo,3568,,
2020-12-10,Mondoñedo,3568,0,
2020-12-11,Mondoñedo,3568,0,
2020-12-12,Mondoñedo,3568,0,
2020-12-13,Mondoñedo,3568,0,
2020-12-14,Mondoñedo,3568,0,
2020-12-15,Mondoñedo,3568,0,
2020-12-16,Mondoñedo,3568,0,
2020-12-17,Mondoñedo,3568,0,
2020-12-18,Mondoñedo,3568,0,
2020-12-19,Mondoñedo,3568,0,
2020-12-20,Mondoñedo,3568,0,
2020-12-21,Mondoñedo,3568,0,
2020-12-22,Mondoñedo,3568,0,
2020-12-23,Mondoñedo,3568,0,
2020-12-24,Mondoñedo,3568,0,
2020-12-25,Mondoñedo,3568,0,
2020-12-26,Mondoñedo,3568,0,
2020-12-27,Mondoñedo,3568,0,
2020-12-28,Mondoñedo,3568,,
2020-12-29,Mondoñedo,3568,,
2020-12-30,Mondoñedo,3568,,
2020-12-31,Mondoñedo,3568,,
2021-01-01,Mondoñedo,3568,,
2021-01-02,Mondoñedo,3568,,
2021-01-03,Mondoñedo,3568,,
2021-01-04,Mondoñedo,3568,,
2021-01-05,Mondoñedo,3568,,
2021-01-06,Mondoñedo,3568,,
2021-01-07,Mondoñedo,3568,,
2021-01-08,Mondoñedo,3568,,
2021-01-09,Mondoñedo,3568,,
2021-01-10,Mondoñedo,3568,,
2021-01-11,Mondoñedo,3568,,
2021-01-12,Mondoñedo,3568,,
2021-01-13,Mondoñedo,3568,,
2021-01-14,Mondoñedo,3568,,
2021-01-15,Mondoñedo,3568,,
2021-01-16,Mondoñedo,3568,,
2021-01-17,Mondoñedo,3568,,
2021-01-18,Mondoñedo,3568,,
2021-01-19,Mondoñedo,3568,,
2021-01-20,Mondoñedo,3568,,
2021-01-21,Mondoñedo,3568,,
2021-01-22,Mondoñedo,3568,,
2021-01-23,Mondoñedo,3568,,
2021-01-24,Mondoñedo,3568,,
2021-01-25,Mondoñedo,3568,,
2021-01-26,Mondoñedo,3568,,
2021-01-27,Mondoñedo,3568,,
2021-01-28,Mondoñedo,3568,,
2021-01-29,Mondoñedo,3568,,
2021-01-30,Mondoñedo,3568,,
2021-01-31,Mondoñedo,3568,,
2021-02-01,Mondoñedo,3568,,
2021-02-02,Mondoñedo,3568,,
2021-02-03,Mondoñedo,3568,,
2021-02-04,Mondoñedo,3568,,
2021-02-05,Mondoñedo,3568,,
2021-02-06,Mondoñedo,3568,,
2021-02-07,Mondoñedo,3568,,
2021-02-08,Mondoñedo,3568,,
2021-02-09,Mondoñedo,3568,,
2021-02-10,Mondoñedo,3568,,
2021-02-11,Mondoñedo,3568,,
2021-02-12,Mondoñedo,3568,,
2021-02-13,Mondoñedo,3568,,
2021-02-14,Mondoñedo,3568,,
2021-02-15,Mondoñedo,3568,,
2021-02-16,Mondoñedo,3568,,
2021-02-17,Mondoñedo,3568,,
2021-02-18,Mondoñedo,3568,,
2021-02-19,Mondoñedo,3568,,
2021-02-20,Mondoñedo,3568,,
2021-02-21,Mondoñedo,3568,,
2021-02-22,Mondoñedo,3568,,
2021-02-23,Mondoñedo,3568,,
2021-02-24,Mondoñedo,3568,0,
2021-02-25,Mondoñedo,3568,0,
2021-02-26,Mondoñedo,3568,0,
2021-02-27,Mondoñedo,3568,,
2021-02-28,Mondoñedo,3568,,
2021-03-01,Mondoñedo,3568,,
2021-03-02,Mondoñedo,3568,,
2021-03-03,Mondoñedo,3568,,
2021-03-04,Mondoñedo,3568,,
2021-03-05,Mondoñedo,3568,,
2021-03-06,Mondoñedo,3568,,0
2021-03-07,Mondoñedo,3568,,0
2021-03-08,Mondoñedo,3568,,0
2021-03-09,Mondoñedo,3568,,0
2021-03-10,Mondoñedo,3568,,0
2021-03-11,Mondoñedo,3568,,0
2021-03-12,Mondoñedo,3568,,0
2021-03-13,Mondoñedo,3568,0,0
2021-03-14,Mondoñedo,3568,0,0
2021-03-15,Mondoñedo,3568,0,0
2021-03-16,Mondoñedo,3568,0,0
2021-03-17,Mondoñedo,3568,0,0
2021-03-18,Mondoñedo,3568,0,0
2021-03-19,Mondoñedo,3568,0,0
2021-03-20,Mondoñedo,3568,0,0
2021-03-21,Mondoñedo,3568,0,0
2021-03-22,Mondoñedo,3568,0,0
2021-03-23,Mondoñedo,3568,0,0
2021-03-24,Mondoñedo,3568,0,0
2021-03-25,Mondoñedo,3568,0,0
2021-03-26,Mondoñedo,3568,0,0
2021-03-27,Mondoñedo,3568,0,0
2021-03-28,Mondoñedo,3568,0,0
2021-03-29,Mondoñedo,3568,0,0
2021-03-30,Mondoñedo,3568,0,0
2021-03-31,Mondoñedo,3568,0,0
2021-04-01,Mondoñedo,3568,0,0
2021-04-02,Mondoñedo,3568,0,0
2021-04-03,Mondoñedo,3568,0,0
2021-04-04,Mondoñedo,3568,0,0
2021-04-05,Mondoñedo,3568,0,0
2021-04-06,Mondoñedo,3568,0,0
2021-04-07,Mondoñedo,3568,0,0
2021-04-08,Mondoñedo,3568,0,0
2021-04-09,Mondoñedo,3568,,
2021-04-10,Mondoñedo,3568,,
2021-04-11,Mondoñedo,3568,,
2021-04-12,Mondoñedo,3568,,
2021-04-13,Mondoñedo,3568,,
2021-04-14,Mondoñedo,3568,,
2021-04-15,Mondoñedo,3568,,
2021-04-16,Mondoñedo,3568,,
2021-04-17,Mondoñedo,3568,,
2021-04-18,Mondoñedo,3568,,0
2021-04-19,Mondoñedo,3568,,0
2021-04-20,Mondoñedo,3568,,0
2021-04-21,Mondoñedo,3568,,0
2021-04-22,Mondoñedo,3568,,0
2021-04-23,Mondoñedo,3568,,0
2021-04-24,Mondoñedo,3568,,0
2021-04-25,Mondoñedo,3568,0,0
2021-04-26,Mondoñedo,3568,,
2021-04-27,Mondoñedo,3568,,
2021-04-28,Mondoñedo,3568,,
2021-04-29,Mondoñedo,3568,,
2021-04-30,Mondoñedo,3568,,
2021-05-01,Mondoñedo,3568,,
2021-05-02,Mondoñedo,3568,,
2021-05-03,Mondoñedo,3568,,0
2021-05-04,Mondoñedo,3568,,0
2021-05-05,Mondoñedo,3568,,0
2021-05-06,Mondoñedo,3568,,0
2021-05-07,Mondoñedo,3568,,0
2021-05-08,Mondoñedo,3568,,0
2021-05-09,Mondoñedo,3568,,0
2021-05-10,Mondoñedo,3568,0,0
2021-05-11,Mondoñedo,3568,0,0
2021-05-12,Mondoñedo,3568,0,0
2021-05-13,Mondoñedo,3568,0,0
2021-05-14,Mondoñedo,3568,0,0
2021-05-15,Mondoñedo,3568,,
2021-05-16,Mondoñedo,3568,,
2021-05-17,Mondoñedo,3568,,
2021-05-18,Mondoñedo,3568,,
2021-05-19,Mondoñedo,3568,,
2021-05-20,Mondoñedo,3568,,
2021-05-21,Mondoñedo,3568,,
2021-05-22,Mondoñedo,3568,,0
2021-05-23,Mondoñedo,3568,,0
2021-05-24,Mondoñedo,3568,,0
2021-05-25,Mondoñedo,3568,,0
2021-05-26,Mondoñedo,3568,,
2021-05-27,Mondoñedo,3568,,
2021-05-28,Mondoñedo,3568,,
2021-05-29,Mondoñedo,3568,,
2021-05-30,Mondoñedo,3568,,
2021-05-31,Mondoñedo,3568,,
2021-06-01,Mondoñedo,3568,,
2021-06-02,Mondoñedo,3568,,0
2021-06-03,Mondoñedo,3568,,0
2021-06-04,Mondoñedo,3568,,0
2021-06-05,Mondoñedo,3568,,0
2021-06-06,Mondoñedo,3568,,0
2021-06-07,Mondoñedo,3568,,0
2021-06-08,Mondoñedo,3568,,0
2021-06-09,Mondoñedo,3568,0,0
2021-06-10,Mondoñedo,3568,0,0
2021-06-11,Mondoñedo,3568,0,0
2021-06-12,Mondoñedo,3568,0,0
2021-06-13,Mondoñedo,3568,0,0
2021-06-14,Mondoñedo,3568,0,0
2021-06-15,Mondoñedo,3568,0,0
2021-06-16,Mondoñedo,3568,0,0
2021-06-17,Mondoñedo,3568,0,0
2021-06-18,Mondoñedo,3568,0,0
2021-06-19,Mondoñedo,3568,0,0
2021-06-20,Mondoñedo,3568,0,0
2021-06-21,Mondoñedo,3568,0,0
2021-06-22,Mondoñedo,3568,0,0
2021-06-23,Mondoñedo,3568,0,0
2021-06-24,Mondoñedo,3568,0,0
2021-06-25,Mondoñedo,3568,0,0
2021-06-26,Mondoñedo,3568,0,0
2021-06-27,Mondoñedo,3568,0,0
2021-06-28,Mondoñedo,3568,0,0
2021-06-29,Mondoñedo,3568,0,0
2021-06-30,Mondoñedo,3568,0,0
2021-07-01,Mondoñedo,3568,0,0
2021-07-02,Mondoñedo,3568,0,0
2021-07-03,Mondoñedo,3568,0,0
2021-07-04,Mondoñedo,3568,0,0
2021-07-05,Mondoñedo,3568,0,0
2021-07-06,Mondoñedo,3568,0,0
2021-07-07,Mondoñedo,3568,0,0
2021-07-08,Mondoñedo,3568,0,0
2021-07-09,Mondoñedo,3568,0,0
2021-07-10,Mondoñedo,3568,,
2021-07-11,Mondoñedo,3568,,
2021-07-12,Mondoñedo,3568,,
2021-07-13,Mondoñedo,3568,,
2021-07-14,Mondoñedo,3568,,
2021-07-15,Mondoñedo,3568,,
2021-07-16,Mondoñedo,3568,,
2021-07-17,Mondoñedo,3568,,
2021-07-18,Mondoñedo,3568,,
2021-07-19,Mondoñedo,3568,12,11
2021-07-20,Mondoñedo,3568,15,14
2021-07-21,Mondoñedo,3568,16,14
2021-07-22,Mondoñedo,3568,18,14
2021-07-23,Mondoñedo,3568,20,15
2021-07-24,Mondoñedo,3568,20,13
2021-07-25,Mondoñedo,3568,21,13
2021-07-26,Mondoñedo,3568,21,10
2021-07-27,Mondoñedo,3568,22,
2021-07-28,Mondoñedo,3568,23,
2021-07-29,Mondoñedo,3568,23,
2021-07-30,Mondoñedo,3568,22,
2021-07-31,Mondoñedo,3568,21,
2021-08-01,Mondoñedo,3568,21,
2021-08-02,Mondoñedo,3568,19,
2021-08-03,Mondoñedo,3568,16,
2021-08-04,Mondoñedo,3568,16,
2021-08-05,Mondoñedo,3568,14,
2021-08-06,Mondoñedo,3568,12,
2021-08-07,Mondoñedo,3568,13,
2021-08-08,Mondoñedo,3568,12,
2021-08-09,Mondoñedo,3568,13,
2021-08-10,Mondoñedo,3568,14,
2021-08-11,Mondoñedo,3568,12,
2021-08-12,Mondoñedo,3568,10,
2021-08-13,Mondoñedo,3568,11,
2021-08-14,Mondoñedo,3568,10,
2021-08-15,Mondoñedo,3568,,
2021-08-16,Mondoñedo,3568,10,
2021-08-17,Mondoñedo,3568,11,
2021-08-18,Mondoñedo,3568,10,
2021-08-19,Mondoñedo,3568,10,
2021-08-20,Mondoñedo,3568,11,
2021-08-21,Mondoñedo,3568,,
2021-08-22,Mondoñedo,3568,,
2021-08-23,Mondoñedo,3568,,
2021-08-24,Mondoñedo,3568,,
2021-08-25,Mondoñedo,3568,,
2021-08-26,Mondoñedo,3568,,
2021-08-27,Mondoñedo,3568,,
2021-08-28,Mondoñedo,3568,,
2021-08-29,Mondoñedo,3568,,
2021-08-30,Mondoñedo,3568,,
2021-08-31,Mondoñedo,3568,,
2021-09-01,Mondoñedo,3568,,
2021-09-02,Mondoñedo,3568,,
2021-09-03,Mondoñedo,3568,,
2021-09-04,Mondoñedo,3568,,0
2021-09-05,Mondoñedo,3568,,0
2021-09-06,Mondoñedo,3568,,0
2021-09-07,Mondoñedo,3568,,0
2021-09-08,Mondoñedo,3568,,
2021-09-09,Mondoñedo,3568,,
2021-09-10,Mondoñedo,3568,,
2021-09-11,Mondoñedo,3568,,
2021-09-12,Mondoñedo,3568,,
2021-09-13,Mondoñedo,3568,,
2021-09-14,Mondoñedo,3568,,
2021-09-15,Mondoñedo,3568,,
2021-09-16,Mondoñedo,3568,,
2021-09-17,Mondoñedo,3568,,
2021-09-18,Mondoñedo,3568,,
2021-09-19,Mondoñedo,3568,,
2021-09-20,Mondoñedo,3568,,
2021-09-21,Mondoñedo,3568,,
2021-09-22,Mondoñedo,3568,,
2021-09-23,Mondoñedo,3568,,
2021-09-24,Mondoñedo,3568,,
2021-09-25,Mondoñedo,3568,,0
2021-09-26,Mondoñedo,3568,,0
2021-09-27,Mondoñedo,3568,,0
2021-09-28,Mondoñedo,3568,,0
2021-09-29,Mondoñedo,3568,,0
2021-09-30,Mondoñedo,3568,,0
2021-10-01,Mondoñedo,3568,,0
2021-10-02,Mondoñedo,3568,0,0
2021-10-03,Mondoñedo,3568,0,0
2021-10-04,Mondoñedo,3568,0,0
2021-10-05,Mondoñedo,3568,0,0
2021-10-06,Mondoñedo,3568,0,0
2021-10-07,Mondoñedo,3568,0,0
2021-10-08,Mondoñedo,3568,0,0
2021-10-09,Mondoñedo,3568,0,0
2021-10-10,Mondoñedo,3568,0,0
2021-10-11,Mondoñedo,3568,0,0
2021-10-12,Mondoñedo,3568,0,0
2021-10-13,Mondoñedo,3568,0,0
2021-10-14,Mondoñedo,3568,0,0
2021-10-15,Mondoñedo,3568,0,0
2021-10-16,Mondoñedo,3568,0,0
2021-10-17,Mondoñedo,3568,0,0
2021-10-18,Mondoñedo,3568,0,0
2021-10-19,Mondoñedo,3568,0,0
2021-10-20,Mondoñedo,3568,0,0
2021-10-21,Mondoñedo,3568,0,0
2021-10-22,Mondoñedo,3568,0,0
2021-10-23,Mondoñedo,3568,0,0
2021-10-24,Mondoñedo,3568,0,0
2021-10-25,Mondoñedo,3568,0,0
2021-10-26,Mondoñedo,3568,0,0
2021-10-27,Mondoñedo,3568,0,0
2021-10-28,Mondoñedo,3568,0,0
2021-10-29,Mondoñedo,3568,0,0
2021-10-30,Mondoñedo,3568,0,0
2021-10-31,Mondoñedo,3568,0,0
2021-11-01,Mondoñedo,3568,0,0
2021-11-02,Mondoñedo,3568,0,0
2021-11-03,Mondoñedo,3568,0,0
2021-11-04,Mondoñedo,3568,0,0
2021-11-05,Mondoñedo,3568,0,0
2021-11-06,Mondoñedo,3568,0,0
2021-11-07,Mondoñedo,3568,0,0
2021-11-08,Mondoñedo,3568,0,0
2021-11-09,Mondoñedo,3568,0,0
2021-11-10,Mondoñedo,3568,0,0
2021-11-11,Mondoñedo,3568,0,0
2021-11-12,Mondoñedo,3568,0,0
2021-11-13,Mondoñedo,3568,0,0
2021-11-14,Mondoñedo,3568,0,0
2021-11-15,Mondoñedo,3568,0,0
2021-11-16,Mondoñedo,3568,0,0
2021-11-17,Mondoñedo,3568,0,0
2021-11-18,Mondoñedo,3568,0,0
2021-11-19,Mondoñedo,3568,0,0
2021-11-20,Mondoñedo,3568,,
2021-11-21,Mondoñedo,3568,,
2021-11-22,Mondoñedo,3568,,
2021-11-23,Mondoñedo,3568,,
2021-11-24,Mondoñedo,3568,,
2021-11-25,Mondoñedo,3568,,
2021-11-26,Mondoñedo,3568,,
2021-11-27,Mondoñedo,3568,,0
2021-11-28,Mondoñedo,3568,,0
2021-11-29,Mondoñedo,3568,,0
2021-11-30,Mondoñedo,3568,,0
2021-12-01,Mondoñedo,3568,,0
2021-12-02,Mondoñedo,3568,,0
2021-12-03,Mondoñedo,3568,,
2021-12-04,Mondoñedo,3568,,
2021-12-05,Mondoñedo,3568,,
2021-12-06,Mondoñedo,3568,,
2021-12-07,Mondoñedo,3568,,
2021-12-08,Mondoñedo,3568,,
2021-12-09,Mondoñedo,3568,,
2021-12-10,Mondoñedo,3568,,
2021-12-11,Mondoñedo,3568,,
2021-12-12,Mondoñedo,3568,,
2021-12-13,Mondoñedo,3568,,
2021-12-14,Mondoñedo,3568,,
2021-12-15,Mondoñedo,3568,,
2021-12-16,Mondoñedo,3568,,
2021-12-17,Mondoñedo,3568,,
2021-12-18,Mondoñedo,3568,,
2021-12-19,Mondoñedo,3568,,
2021-12-20,Mondoñedo,3568,,
2021-12-21,Mondoñedo,3568,10,
2021-12-22,Mondoñedo,3568,11,
2021-12-23,Mondoñedo,3568,11,
2021-12-24,Mondoñedo,3568,12,
2021-12-25,Mondoñedo,3568,20,15
2021-12-26,Mondoñedo,3568,21,16
2021-12-27,Mondoñedo,3568,19,16
2021-12-28,Mondoñedo,3568,22,16
2021-12-29,Mondoñedo,3568,29,23
2021-12-30,Mondoñedo,3568,30,24
2021-12-31,Mondoñedo,3568,32,24
2022-01-01,Mondoñedo,3568,33,18
2022-01-02,Mondoñedo,3568,33,17
2022-01-03,Mondoñedo,3568,33,17
2022-01-04,Mondoñedo,3568,33,17
2022-01-05,Mondoñedo,3568,34,11
2022-01-06,Mondoñedo,3568,38,14
2022-01-07,Mondoñedo,3568,39,15
2022-01-08,Mondoñedo,3568,33,15
2022-01-09,Mondoñedo,3568,34,17
2022-01-10,Mondoñedo,3568,37,20
2022-01-11,Mondoñedo,3568,37,20
2022-01-12,Mondoñedo,3568,33,22
2022-01-13,Mondoñedo,3568,52,38
2022-01-14,Mondoñedo,3568,58,43
2022-01-15,Mondoñedo,3568,63,48
2022-01-16,Mondoñedo,3568,69,49
2022-01-17,Mondoñedo,3568,73,44
2022-01-18,Mondoñedo,3568,74,40
2022-01-19,Mondoñedo,3568,89,51
2022-01-20,Mondoñedo,3568,96,57
2022-01-21,Mondoñedo,3568,106,61
2022-01-22,Mondoñedo,3568,112,64
2022-01-23,Mondoñedo,3568,112,63
2022-01-24,Mondoñedo,3568,109,65
2022-01-25,Mondoñedo,3568,105,63
2022-01-26,Mondoñedo,3568,110,59
2022-01-27,Mondoñedo,3568,116,58
