fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Monfero,1932,14,
2020-11-22,Monfero,1932,11,
2020-11-23,Monfero,1932,12,
2020-11-24,Monfero,1932,12,
2020-11-25,Monfero,1932,11,
2020-11-26,Monfero,1932,15,
2020-11-27,Monfero,1932,18,
2020-11-28,Monfero,1932,17,
2020-11-29,Monfero,1932,18,
2020-11-30,Monfero,1932,18,
2020-12-01,Monfero,1932,17,
2020-12-02,Monfero,1932,19,
2020-12-03,Monfero,1932,18,
2020-12-04,Monfero,1932,16,
2020-12-05,Monfero,1932,14,
2020-12-06,Monfero,1932,15,
2020-12-07,Monfero,1932,14,
2020-12-08,Monfero,1932,14,
2020-12-09,Monfero,1932,15,
2020-12-10,Monfero,1932,11,
2020-12-11,Monfero,1932,,
2020-12-12,Monfero,1932,,
2020-12-13,Monfero,1932,,
2020-12-14,Monfero,1932,,
2020-12-15,Monfero,1932,,
2020-12-16,Monfero,1932,,
2020-12-17,Monfero,1932,,
2020-12-18,Monfero,1932,,
2020-12-19,Monfero,1932,,
2020-12-20,Monfero,1932,,
2020-12-21,Monfero,1932,,
2020-12-22,Monfero,1932,,
2020-12-23,Monfero,1932,,
2020-12-24,Monfero,1932,,
2020-12-25,Monfero,1932,,
2020-12-26,Monfero,1932,,
2020-12-27,Monfero,1932,,
2020-12-28,Monfero,1932,,
2020-12-29,Monfero,1932,,
2020-12-30,Monfero,1932,,
2020-12-31,Monfero,1932,,
2021-01-01,Monfero,1932,,
2021-01-02,Monfero,1932,,
2021-01-03,Monfero,1932,,
2021-01-04,Monfero,1932,,
2021-01-05,Monfero,1932,,
2021-01-06,Monfero,1932,,
2021-01-07,Monfero,1932,,
2021-01-08,Monfero,1932,,
2021-01-09,Monfero,1932,,
2021-01-10,Monfero,1932,,
2021-01-11,Monfero,1932,,
2021-01-12,Monfero,1932,,
2021-01-13,Monfero,1932,,
2021-01-14,Monfero,1932,,
2021-01-15,Monfero,1932,,
2021-01-16,Monfero,1932,,
2021-01-17,Monfero,1932,,
2021-01-18,Monfero,1932,,
2021-01-19,Monfero,1932,,
2021-01-20,Monfero,1932,,
2021-01-21,Monfero,1932,,
2021-01-22,Monfero,1932,,
2021-01-23,Monfero,1932,,
2021-01-24,Monfero,1932,,
2021-01-25,Monfero,1932,,
2021-01-26,Monfero,1932,,
2021-01-27,Monfero,1932,,
2021-01-28,Monfero,1932,,
2021-01-29,Monfero,1932,11,
2021-01-30,Monfero,1932,11,
2021-01-31,Monfero,1932,11,
2021-02-01,Monfero,1932,12,
2021-02-02,Monfero,1932,12,
2021-02-03,Monfero,1932,11,
2021-02-04,Monfero,1932,12,
2021-02-05,Monfero,1932,12,
2021-02-06,Monfero,1932,17,
2021-02-07,Monfero,1932,15,
2021-02-08,Monfero,1932,15,
2021-02-09,Monfero,1932,14,
2021-02-10,Monfero,1932,14,
2021-02-11,Monfero,1932,13,
2021-02-12,Monfero,1932,11,
2021-02-13,Monfero,1932,11,
2021-02-14,Monfero,1932,11,
2021-02-15,Monfero,1932,10,
2021-02-16,Monfero,1932,10,
2021-02-17,Monfero,1932,10,
2021-02-18,Monfero,1932,,
2021-02-19,Monfero,1932,,
2021-02-20,Monfero,1932,,
2021-02-21,Monfero,1932,,
2021-02-22,Monfero,1932,,
2021-02-23,Monfero,1932,,
