fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,27031,"Monforte de Lemos",18433,29,,,157.326533933706,,,,,,,,
2020-11-22,27031,"Monforte de Lemos",18433,29,,,157.326533933706,,,,,,,,
2020-11-23,27031,"Monforte de Lemos",18433,25,,,135.626322356643,,,,,,,,
2020-11-24,27031,"Monforte de Lemos",18433,21,,,113.92611077958,,,,,,,,
2020-11-25,27031,"Monforte de Lemos",18433,16,,,86.8008463082515,,,,,,,,
2020-11-26,27031,"Monforte de Lemos",18433,13,,,70.5256876254543,,,,,,,,
2020-11-27,27031,"Monforte de Lemos",18433,12,,,65.1006347311886,,,,,,,,
2020-11-28,27031,"Monforte de Lemos",18433,12,,,65.1006347311886,,,,,,,,
2020-11-29,27031,"Monforte de Lemos",18433,10,,,54.2505289426572,,,,,,,,
2020-11-30,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-01,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-02,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-03,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-04,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-05,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-06,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-07,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-08,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-09,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-10,27031,"Monforte de Lemos",18433,10,,,54.2505289426572,,,,,,,,
2020-12-11,27031,"Monforte de Lemos",18433,12,,,65.1006347311886,,,,,,,,
2020-12-12,27031,"Monforte de Lemos",18433,13,,,70.5256876254543,,,,,,,,
2020-12-13,27031,"Monforte de Lemos",18433,14,,,75.9507405197201,,,,,,,,
2020-12-14,27031,"Monforte de Lemos",18433,14,,,75.9507405197201,,,,,,,,
2020-12-15,27031,"Monforte de Lemos",18433,14,,,75.9507405197201,,,,,,,,
2020-12-16,27031,"Monforte de Lemos",18433,14,,,75.9507405197201,,,,,,,,
2020-12-17,27031,"Monforte de Lemos",18433,16,,,86.8008463082515,,,,,,,,
2020-12-18,27031,"Monforte de Lemos",18433,16,,,86.8008463082515,,,,,,,,
2020-12-19,27031,"Monforte de Lemos",18433,15,,,81.3757934139858,,,,,,,,
2020-12-20,27031,"Monforte de Lemos",18433,12,,,65.1006347311886,,,,,,,,
2020-12-21,27031,"Monforte de Lemos",18433,12,,,65.1006347311886,,,,,,,,
2020-12-22,27031,"Monforte de Lemos",18433,11,,,59.6755818369229,,,,,,,,
2020-12-23,27031,"Monforte de Lemos",18433,12,,,65.1006347311886,,,,,,,,
2020-12-24,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-25,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-26,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-27,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-28,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-29,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-30,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2020-12-31,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2021-01-01,27031,"Monforte de Lemos",18433,,1,9,,5.42505289426572,48.8254760483915,,,,,,
2021-01-02,27031,"Monforte de Lemos",18433,10,,,54.2505289426572,,,,,,,,
