fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Montederramo,711,0,
2020-11-22,Montederramo,711,0,
2020-11-23,Montederramo,711,0,
2020-11-24,Montederramo,711,0,
2020-11-25,Montederramo,711,0,
2020-11-26,Montederramo,711,0,
2020-11-27,Montederramo,711,0,
2020-11-28,Montederramo,711,0,
2020-11-29,Montederramo,711,0,
2020-11-30,Montederramo,711,0,
2020-12-01,Montederramo,711,0,
2020-12-02,Montederramo,711,0,
2020-12-03,Montederramo,711,0,
2020-12-04,Montederramo,711,0,
2020-12-05,Montederramo,711,0,
2020-12-06,Montederramo,711,0,
2020-12-07,Montederramo,711,0,
2020-12-08,Montederramo,711,0,
2020-12-09,Montederramo,711,0,
2020-12-10,Montederramo,711,0,
2020-12-11,Montederramo,711,0,
2020-12-12,Montederramo,711,0,
2020-12-13,Montederramo,711,0,
2020-12-14,Montederramo,711,0,
2020-12-15,Montederramo,711,0,
2020-12-16,Montederramo,711,0,
2020-12-17,Montederramo,711,0,
2020-12-18,Montederramo,711,0,
2020-12-19,Montederramo,711,0,
2020-12-20,Montederramo,711,0,
2020-12-21,Montederramo,711,0,
2020-12-22,Montederramo,711,0,
2020-12-23,Montederramo,711,0,
2020-12-24,Montederramo,711,0,
2020-12-25,Montederramo,711,0,
2020-12-26,Montederramo,711,0,
2020-12-27,Montederramo,711,0,
2020-12-28,Montederramo,711,0,
2020-12-29,Montederramo,711,0,
2020-12-30,Montederramo,711,0,
2020-12-31,Montederramo,711,0,
2021-01-01,Montederramo,711,0,
2021-01-02,Montederramo,711,0,
2021-01-03,Montederramo,711,0,
2021-01-04,Montederramo,711,0,
2021-01-05,Montederramo,711,0,
2021-01-06,Montederramo,711,0,
2021-01-07,Montederramo,711,0,
2021-01-08,Montederramo,711,0,
2021-01-09,Montederramo,711,0,
2021-01-10,Montederramo,711,0,
2021-01-11,Montederramo,711,0,
2021-01-12,Montederramo,711,,
2021-01-13,Montederramo,711,,
2021-01-14,Montederramo,711,,
2021-01-15,Montederramo,711,,
2021-01-16,Montederramo,711,,
2021-01-17,Montederramo,711,,
2021-01-18,Montederramo,711,,
2021-01-19,Montederramo,711,,
2021-01-20,Montederramo,711,,
2021-01-21,Montederramo,711,,
