fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Monterrei,2529,,
2020-11-22,Monterrei,2529,,
2020-11-23,Monterrei,2529,,
2020-11-24,Monterrei,2529,,
2020-11-25,Monterrei,2529,,
2020-11-26,Monterrei,2529,,
2020-11-27,Monterrei,2529,,
2020-11-28,Monterrei,2529,,
2020-11-29,Monterrei,2529,,
2020-11-30,Monterrei,2529,,
2020-12-01,Monterrei,2529,0,
2020-12-02,Monterrei,2529,0,
2020-12-03,Monterrei,2529,0,
2020-12-04,Monterrei,2529,0,
2020-12-05,Monterrei,2529,0,
2020-12-06,Monterrei,2529,0,
2020-12-07,Monterrei,2529,0,
2020-12-08,Monterrei,2529,0,
2020-12-09,Monterrei,2529,0,
2020-12-10,Monterrei,2529,0,
2020-12-11,Monterrei,2529,0,
2020-12-12,Monterrei,2529,0,
2020-12-13,Monterrei,2529,0,
2020-12-14,Monterrei,2529,0,
2020-12-15,Monterrei,2529,0,
2020-12-16,Monterrei,2529,,
2020-12-17,Monterrei,2529,,
2020-12-18,Monterrei,2529,,
2020-12-19,Monterrei,2529,,
2020-12-20,Monterrei,2529,,
2020-12-21,Monterrei,2529,,
2020-12-22,Monterrei,2529,,
2020-12-23,Monterrei,2529,,
2020-12-24,Monterrei,2529,10,
2020-12-25,Monterrei,2529,12,
2020-12-26,Monterrei,2529,14,
2020-12-27,Monterrei,2529,15,
2020-12-28,Monterrei,2529,15,
2020-12-29,Monterrei,2529,16,
2020-12-30,Monterrei,2529,18,
2020-12-31,Monterrei,2529,20,
2021-01-01,Monterrei,2529,20,
2021-01-02,Monterrei,2529,21,
2021-01-03,Monterrei,2529,22,
2021-01-04,Monterrei,2529,23,
2021-01-05,Monterrei,2529,24,
2021-01-06,Monterrei,2529,25,
2021-01-07,Monterrei,2529,24,
2021-01-08,Monterrei,2529,23,
2021-01-09,Monterrei,2529,24,
2021-01-10,Monterrei,2529,24,
2021-01-11,Monterrei,2529,27,
2021-01-12,Monterrei,2529,26,
2021-01-13,Monterrei,2529,31,
2021-01-14,Monterrei,2529,32,
2021-01-15,Monterrei,2529,39,
2021-01-16,Monterrei,2529,39,
2021-01-17,Monterrei,2529,39,
2021-01-18,Monterrei,2529,37,
2021-01-19,Monterrei,2529,36,
2021-01-20,Monterrei,2529,32,
2021-01-21,Monterrei,2529,34,
2021-01-22,Monterrei,2529,34,
2021-01-23,Monterrei,2529,34,
2021-01-24,Monterrei,2529,33,
2021-01-25,Monterrei,2529,33,
2021-01-26,Monterrei,2529,33,
2021-01-27,Monterrei,2529,27,
2021-01-28,Monterrei,2529,23,
2021-01-29,Monterrei,2529,16,
2021-01-30,Monterrei,2529,16,
2021-01-31,Monterrei,2529,16,
2021-02-01,Monterrei,2529,17,
2021-02-02,Monterrei,2529,17,
2021-02-03,Monterrei,2529,17,
2021-02-04,Monterrei,2529,14,
2021-02-05,Monterrei,2529,13,
2021-02-06,Monterrei,2529,10,
2021-02-07,Monterrei,2529,10,
2021-02-08,Monterrei,2529,,
2021-02-09,Monterrei,2529,,
2021-02-10,Monterrei,2529,,
2021-02-11,Monterrei,2529,,
2021-02-12,Monterrei,2529,,
2021-02-13,Monterrei,2529,,
2021-02-14,Monterrei,2529,,
2021-02-15,Monterrei,2529,,
2021-02-16,Monterrei,2529,,
2021-02-17,Monterrei,2529,,
2021-02-18,Monterrei,2529,,
2021-02-19,Monterrei,2529,,
2021-02-20,Monterrei,2529,,
2021-02-21,Monterrei,2529,,
2021-02-22,Monterrei,2529,,
2021-02-23,Monterrei,2529,,
2021-02-24,Monterrei,2529,,
2021-02-25,Monterrei,2529,0,
2021-02-26,Monterrei,2529,0,
2021-02-27,Monterrei,2529,0,
2021-02-28,Monterrei,2529,0,
2021-03-01,Monterrei,2529,0,
2021-03-02,Monterrei,2529,0,0
2021-03-03,Monterrei,2529,0,0
2021-03-04,Monterrei,2529,0,0
2021-03-05,Monterrei,2529,0,0
2021-03-06,Monterrei,2529,0,0
2021-03-07,Monterrei,2529,,
2021-03-08,Monterrei,2529,,
2021-03-09,Monterrei,2529,,
2021-03-10,Monterrei,2529,,
2021-03-11,Monterrei,2529,,
2021-03-12,Monterrei,2529,,
2021-03-13,Monterrei,2529,,
2021-03-14,Monterrei,2529,,0
2021-03-15,Monterrei,2529,,0
2021-03-16,Monterrei,2529,,0
2021-03-17,Monterrei,2529,,
2021-03-18,Monterrei,2529,,
2021-03-19,Monterrei,2529,,
2021-03-20,Monterrei,2529,,
2021-03-21,Monterrei,2529,,
2021-03-22,Monterrei,2529,,
2021-03-23,Monterrei,2529,,
2021-03-24,Monterrei,2529,,0
2021-03-25,Monterrei,2529,,0
2021-03-26,Monterrei,2529,,0
2021-03-27,Monterrei,2529,,0
2021-03-28,Monterrei,2529,,0
2021-03-29,Monterrei,2529,,0
2021-03-30,Monterrei,2529,,0
2021-03-31,Monterrei,2529,,
2021-04-01,Monterrei,2529,,
2021-04-02,Monterrei,2529,,
2021-04-03,Monterrei,2529,,
2021-04-04,Monterrei,2529,,
2021-04-05,Monterrei,2529,,
2021-04-06,Monterrei,2529,,
2021-04-07,Monterrei,2529,,
2021-04-08,Monterrei,2529,,
2021-04-09,Monterrei,2529,,
2021-04-10,Monterrei,2529,,
2021-04-11,Monterrei,2529,,
2021-04-12,Monterrei,2529,,
2021-04-13,Monterrei,2529,,
2021-04-14,Monterrei,2529,,0
2021-04-15,Monterrei,2529,,0
2021-04-16,Monterrei,2529,,0
2021-04-17,Monterrei,2529,,0
2021-04-18,Monterrei,2529,,0
2021-04-19,Monterrei,2529,,0
2021-04-20,Monterrei,2529,,0
2021-04-21,Monterrei,2529,0,0
2021-04-22,Monterrei,2529,0,0
2021-04-23,Monterrei,2529,0,0
2021-04-24,Monterrei,2529,0,0
2021-04-25,Monterrei,2529,0,0
2021-04-26,Monterrei,2529,0,0
2021-04-27,Monterrei,2529,0,0
2021-04-28,Monterrei,2529,0,0
2021-04-29,Monterrei,2529,0,0
2021-04-30,Monterrei,2529,0,0
2021-05-01,Monterrei,2529,0,0
2021-05-02,Monterrei,2529,0,0
2021-05-03,Monterrei,2529,0,0
2021-05-04,Monterrei,2529,0,0
2021-05-05,Monterrei,2529,0,0
2021-05-06,Monterrei,2529,0,0
2021-05-07,Monterrei,2529,0,0
2021-05-08,Monterrei,2529,0,0
2021-05-09,Monterrei,2529,0,0
2021-05-10,Monterrei,2529,0,0
2021-05-11,Monterrei,2529,0,0
2021-05-12,Monterrei,2529,0,0
2021-05-13,Monterrei,2529,0,0
2021-05-14,Monterrei,2529,0,0
2021-05-15,Monterrei,2529,0,0
2021-05-16,Monterrei,2529,0,0
2021-05-17,Monterrei,2529,0,0
2021-05-18,Monterrei,2529,0,0
2021-05-19,Monterrei,2529,0,0
2021-05-20,Monterrei,2529,0,0
2021-05-21,Monterrei,2529,0,0
2021-05-22,Monterrei,2529,0,0
2021-05-23,Monterrei,2529,0,0
2021-05-24,Monterrei,2529,0,0
2021-05-25,Monterrei,2529,0,0
2021-05-26,Monterrei,2529,0,0
2021-05-27,Monterrei,2529,0,0
2021-05-28,Monterrei,2529,0,0
2021-05-29,Monterrei,2529,0,0
2021-05-30,Monterrei,2529,0,0
2021-05-31,Monterrei,2529,0,0
2021-06-01,Monterrei,2529,0,0
2021-06-02,Monterrei,2529,0,0
2021-06-03,Monterrei,2529,0,0
2021-06-04,Monterrei,2529,0,0
2021-06-05,Monterrei,2529,0,0
2021-06-06,Monterrei,2529,0,0
2021-06-07,Monterrei,2529,0,0
2021-06-08,Monterrei,2529,0,0
2021-06-09,Monterrei,2529,0,0
2021-06-10,Monterrei,2529,0,0
2021-06-11,Monterrei,2529,0,0
2021-06-12,Monterrei,2529,0,0
2021-06-13,Monterrei,2529,0,0
2021-06-14,Monterrei,2529,0,0
2021-06-15,Monterrei,2529,0,0
2021-06-16,Monterrei,2529,0,0
2021-06-17,Monterrei,2529,0,0
2021-06-18,Monterrei,2529,0,0
2021-06-19,Monterrei,2529,0,0
2021-06-20,Monterrei,2529,0,0
2021-06-21,Monterrei,2529,0,0
2021-06-22,Monterrei,2529,0,0
2021-06-23,Monterrei,2529,0,0
2021-06-24,Monterrei,2529,0,0
2021-06-25,Monterrei,2529,0,0
2021-06-26,Monterrei,2529,0,0
2021-06-27,Monterrei,2529,0,0
2021-06-28,Monterrei,2529,0,0
2021-06-29,Monterrei,2529,0,0
2021-06-30,Monterrei,2529,0,0
2021-07-01,Monterrei,2529,0,0
2021-07-02,Monterrei,2529,0,0
2021-07-03,Monterrei,2529,0,0
2021-07-04,Monterrei,2529,0,0
2021-07-05,Monterrei,2529,0,0
2021-07-06,Monterrei,2529,0,0
2021-07-07,Monterrei,2529,,
2021-07-08,Monterrei,2529,,
2021-07-09,Monterrei,2529,,
2021-07-10,Monterrei,2529,,
2021-07-11,Monterrei,2529,,
2021-07-12,Monterrei,2529,,
2021-07-13,Monterrei,2529,,
2021-07-14,Monterrei,2529,,
2021-07-15,Monterrei,2529,,
2021-07-16,Monterrei,2529,,
2021-07-17,Monterrei,2529,,
2021-07-18,Monterrei,2529,,
2021-07-19,Monterrei,2529,,
2021-07-20,Monterrei,2529,,
2021-07-21,Monterrei,2529,,
2021-07-22,Monterrei,2529,12,10
2021-07-23,Monterrei,2529,17,13
2021-07-24,Monterrei,2529,16,14
2021-07-25,Monterrei,2529,19,17
2021-07-26,Monterrei,2529,20,17
2021-07-27,Monterrei,2529,20,15
2021-07-28,Monterrei,2529,23,17
2021-07-29,Monterrei,2529,23,13
2021-07-30,Monterrei,2529,24,11
2021-07-31,Monterrei,2529,27,13
2021-08-01,Monterrei,2529,27,10
2021-08-02,Monterrei,2529,27,10
2021-08-03,Monterrei,2529,25,10
2021-08-04,Monterrei,2529,25,
2021-08-05,Monterrei,2529,35,22
2021-08-06,Monterrei,2529,30,19
2021-08-07,Monterrei,2529,30,17
2021-08-08,Monterrei,2529,27,17
2021-08-09,Monterrei,2529,26,16
2021-08-10,Monterrei,2529,33,23
2021-08-11,Monterrei,2529,31,23
2021-08-12,Monterrei,2529,31,
2021-08-13,Monterrei,2529,28,
2021-08-14,Monterrei,2529,26,
2021-08-15,Monterrei,2529,26,
2021-08-16,Monterrei,2529,26,10
2021-08-17,Monterrei,2529,26,
2021-08-18,Monterrei,2529,25,
2021-08-19,Monterrei,2529,10,
2021-08-20,Monterrei,2529,10,
2021-08-21,Monterrei,2529,10,
2021-08-22,Monterrei,2529,10,
2021-08-23,Monterrei,2529,10,0
2021-08-24,Monterrei,2529,,0
2021-08-25,Monterrei,2529,,0
2021-08-26,Monterrei,2529,,
2021-08-27,Monterrei,2529,,
2021-08-28,Monterrei,2529,,
2021-08-29,Monterrei,2529,,
2021-08-30,Monterrei,2529,,
2021-08-31,Monterrei,2529,,
2021-09-01,Monterrei,2529,,
2021-09-02,Monterrei,2529,,
2021-09-03,Monterrei,2529,,
2021-09-04,Monterrei,2529,,
2021-09-05,Monterrei,2529,,
2021-09-06,Monterrei,2529,,0
2021-09-07,Monterrei,2529,,0
2021-09-08,Monterrei,2529,,0
2021-09-09,Monterrei,2529,,0
2021-09-10,Monterrei,2529,,0
2021-09-11,Monterrei,2529,,0
2021-09-12,Monterrei,2529,,0
2021-09-13,Monterrei,2529,0,0
2021-09-14,Monterrei,2529,0,0
2021-09-15,Monterrei,2529,0,0
2021-09-16,Monterrei,2529,0,0
2021-09-17,Monterrei,2529,0,0
2021-09-18,Monterrei,2529,0,0
2021-09-19,Monterrei,2529,0,0
2021-09-20,Monterrei,2529,0,0
2021-09-21,Monterrei,2529,0,0
2021-09-22,Monterrei,2529,0,0
2021-09-23,Monterrei,2529,0,0
2021-09-24,Monterrei,2529,0,0
2021-09-25,Monterrei,2529,0,0
2021-09-26,Monterrei,2529,0,0
2021-09-27,Monterrei,2529,0,0
2021-09-28,Monterrei,2529,0,0
2021-09-29,Monterrei,2529,0,0
2021-09-30,Monterrei,2529,0,0
2021-10-01,Monterrei,2529,0,0
2021-10-02,Monterrei,2529,0,0
2021-10-03,Monterrei,2529,0,0
2021-10-04,Monterrei,2529,0,0
2021-10-05,Monterrei,2529,0,0
2021-10-06,Monterrei,2529,0,0
2021-10-07,Monterrei,2529,0,0
2021-10-08,Monterrei,2529,0,0
2021-10-09,Monterrei,2529,0,0
2021-10-10,Monterrei,2529,0,0
2021-10-11,Monterrei,2529,0,0
2021-10-12,Monterrei,2529,0,0
2021-10-13,Monterrei,2529,0,0
2021-10-14,Monterrei,2529,0,0
2021-10-15,Monterrei,2529,0,0
2021-10-16,Monterrei,2529,0,0
2021-10-17,Monterrei,2529,0,0
2021-10-18,Monterrei,2529,0,0
2021-10-19,Monterrei,2529,0,0
2021-10-20,Monterrei,2529,0,0
2021-10-21,Monterrei,2529,0,0
2021-10-22,Monterrei,2529,0,0
2021-10-23,Monterrei,2529,0,0
2021-10-24,Monterrei,2529,0,0
2021-10-25,Monterrei,2529,0,0
2021-10-26,Monterrei,2529,0,0
2021-10-27,Monterrei,2529,0,0
2021-10-28,Monterrei,2529,0,0
2021-10-29,Monterrei,2529,0,0
2021-10-30,Monterrei,2529,0,0
2021-10-31,Monterrei,2529,0,0
2021-11-01,Monterrei,2529,0,0
2021-11-02,Monterrei,2529,0,0
2021-11-03,Monterrei,2529,0,0
2021-11-04,Monterrei,2529,0,0
2021-11-05,Monterrei,2529,0,0
2021-11-06,Monterrei,2529,0,0
2021-11-07,Monterrei,2529,0,0
2021-11-08,Monterrei,2529,0,0
2021-11-09,Monterrei,2529,0,0
2021-11-10,Monterrei,2529,0,0
