fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Monterroso,3616,16,
2020-11-22,Monterroso,3616,23,
2020-11-23,Monterroso,3616,22,
2020-11-24,Monterroso,3616,22,
2020-11-25,Monterroso,3616,22,
2020-11-26,Monterroso,3616,24,
2020-11-27,Monterroso,3616,24,
2020-11-28,Monterroso,3616,24,
2020-11-29,Monterroso,3616,23,
2020-11-30,Monterroso,3616,23,
2020-12-01,Monterroso,3616,21,
2020-12-02,Monterroso,3616,25,
2020-12-03,Monterroso,3616,23,
2020-12-04,Monterroso,3616,22,
2020-12-05,Monterroso,3616,21,
2020-12-06,Monterroso,3616,16,
2020-12-07,Monterroso,3616,15,
2020-12-08,Monterroso,3616,14,
2020-12-09,Monterroso,3616,14,
2020-12-10,Monterroso,3616,15,
2020-12-11,Monterroso,3616,15,
2020-12-12,Monterroso,3616,14,
2020-12-13,Monterroso,3616,14,
2020-12-14,Monterroso,3616,13,
2020-12-15,Monterroso,3616,12,
2020-12-16,Monterroso,3616,,
2020-12-17,Monterroso,3616,,
2020-12-18,Monterroso,3616,,
2020-12-19,Monterroso,3616,,
2020-12-20,Monterroso,3616,,
2020-12-21,Monterroso,3616,,
2020-12-22,Monterroso,3616,,
2020-12-23,Monterroso,3616,,
2020-12-24,Monterroso,3616,,
2020-12-25,Monterroso,3616,,
2020-12-26,Monterroso,3616,,
2020-12-27,Monterroso,3616,,
2020-12-28,Monterroso,3616,,
2020-12-29,Monterroso,3616,,
2020-12-30,Monterroso,3616,,
2020-12-31,Monterroso,3616,,
2021-01-01,Monterroso,3616,,
2021-01-02,Monterroso,3616,,
2021-01-03,Monterroso,3616,,
2021-01-04,Monterroso,3616,,
2021-01-05,Monterroso,3616,,
2021-01-06,Monterroso,3616,,
2021-01-07,Monterroso,3616,,
2021-01-08,Monterroso,3616,,
2021-01-09,Monterroso,3616,,
2021-01-10,Monterroso,3616,,
2021-01-11,Monterroso,3616,,
2021-01-12,Monterroso,3616,,
2021-01-13,Monterroso,3616,,
2021-01-14,Monterroso,3616,,
2021-01-15,Monterroso,3616,,
2021-01-16,Monterroso,3616,,
2021-01-17,Monterroso,3616,,
2021-01-18,Monterroso,3616,,
2021-01-19,Monterroso,3616,,
2021-01-20,Monterroso,3616,,
2021-01-21,Monterroso,3616,,
