fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Moraña,4179,,
2020-11-22,Moraña,4179,,
2020-11-23,Moraña,4179,,
2020-11-24,Moraña,4179,,
2020-11-25,Moraña,4179,,
2020-11-26,Moraña,4179,,
2020-11-27,Moraña,4179,,
2020-11-28,Moraña,4179,12,
2020-11-29,Moraña,4179,13,
2020-11-30,Moraña,4179,12,
2020-12-01,Moraña,4179,13,
2020-12-02,Moraña,4179,14,
2020-12-03,Moraña,4179,13,
2020-12-04,Moraña,4179,,
2020-12-05,Moraña,4179,,
2020-12-06,Moraña,4179,,
2020-12-07,Moraña,4179,,
2020-12-08,Moraña,4179,,
2020-12-09,Moraña,4179,,
2020-12-10,Moraña,4179,,
2020-12-11,Moraña,4179,,
2020-12-12,Moraña,4179,,
2020-12-13,Moraña,4179,,
2020-12-14,Moraña,4179,,
2020-12-15,Moraña,4179,11,
2020-12-16,Moraña,4179,10,
2020-12-17,Moraña,4179,10,
2020-12-18,Moraña,4179,10,
2020-12-19,Moraña,4179,10,
2020-12-20,Moraña,4179,10,
2020-12-21,Moraña,4179,10,
2020-12-22,Moraña,4179,,
2020-12-23,Moraña,4179,,
2020-12-24,Moraña,4179,,
2020-12-25,Moraña,4179,,
2020-12-26,Moraña,4179,,
2020-12-27,Moraña,4179,,
2020-12-28,Moraña,4179,,
2020-12-29,Moraña,4179,0,
2020-12-30,Moraña,4179,,
2020-12-31,Moraña,4179,,
2021-01-01,Moraña,4179,,
2021-01-02,Moraña,4179,,
2021-01-03,Moraña,4179,,
2021-01-04,Moraña,4179,,
2021-01-05,Moraña,4179,,
2021-01-06,Moraña,4179,,
2021-01-07,Moraña,4179,,
2021-01-08,Moraña,4179,,
2021-01-09,Moraña,4179,,
2021-01-10,Moraña,4179,,
2021-01-11,Moraña,4179,10,
2021-01-12,Moraña,4179,11,
2021-01-13,Moraña,4179,11,
2021-01-14,Moraña,4179,12,
2021-01-15,Moraña,4179,15,
2021-01-16,Moraña,4179,18,
2021-01-17,Moraña,4179,22,
2021-01-18,Moraña,4179,23,
2021-01-19,Moraña,4179,26,
2021-01-20,Moraña,4179,27,
2021-01-21,Moraña,4179,32,
2021-01-22,Moraña,4179,37,
2021-01-23,Moraña,4179,35,
2021-01-24,Moraña,4179,37,
2021-01-25,Moraña,4179,39,
2021-01-26,Moraña,4179,43,
2021-01-27,Moraña,4179,45,
2021-01-28,Moraña,4179,46,
2021-01-29,Moraña,4179,49,
2021-01-30,Moraña,4179,50,
2021-01-31,Moraña,4179,54,
2021-02-01,Moraña,4179,52,
2021-02-02,Moraña,4179,50,
2021-02-03,Moraña,4179,49,
2021-02-04,Moraña,4179,42,
2021-02-05,Moraña,4179,41,
2021-02-06,Moraña,4179,41,
2021-02-07,Moraña,4179,42,
