fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Mos,15078,205,
2020-11-22,Mos,15078,204,
2020-11-23,Mos,15078,203,
2020-11-24,Mos,15078,198,
2020-11-25,Mos,15078,204,
2020-11-26,Mos,15078,201,
2020-11-27,Mos,15078,140,
2020-11-28,Mos,15078,105,
2020-11-29,Mos,15078,103,
2020-11-30,Mos,15078,94,
2020-12-01,Mos,15078,90,
2020-12-02,Mos,15078,87,
2020-12-03,Mos,15078,33,
2020-12-04,Mos,15078,35,
2020-12-05,Mos,15078,34,
2020-12-06,Mos,15078,34,
2020-12-07,Mos,15078,35,
2020-12-08,Mos,15078,36,
2020-12-09,Mos,15078,30,
2020-12-10,Mos,15078,27,
2020-12-11,Mos,15078,26,
2020-12-12,Mos,15078,22,
2020-12-13,Mos,15078,24,
2020-12-14,Mos,15078,24,
2020-12-15,Mos,15078,23,
2020-12-16,Mos,15078,23,
2020-12-17,Mos,15078,27,
2020-12-18,Mos,15078,23,
2020-12-19,Mos,15078,25,
2020-12-20,Mos,15078,26,
2020-12-21,Mos,15078,25,
2020-12-22,Mos,15078,26,
2020-12-23,Mos,15078,29,
2020-12-24,Mos,15078,30,
2020-12-25,Mos,15078,31,
2020-12-26,Mos,15078,34,
2020-12-27,Mos,15078,31,
2020-12-28,Mos,15078,34,
2020-12-29,Mos,15078,37,
2020-12-30,Mos,15078,38,
2020-12-31,Mos,15078,40,
2021-01-01,Mos,15078,44,
2021-01-02,Mos,15078,42,
2021-01-03,Mos,15078,47,
2021-01-04,Mos,15078,47,
2021-01-05,Mos,15078,46,
2021-01-06,Mos,15078,44,
2021-01-07,Mos,15078,44,
2021-01-08,Mos,15078,44,
2021-01-09,Mos,15078,43,
2021-01-10,Mos,15078,43,
2021-01-11,Mos,15078,41,
2021-01-12,Mos,15078,40,
2021-01-13,Mos,15078,39,
2021-01-14,Mos,15078,35,
2021-01-15,Mos,15078,37,
2021-01-16,Mos,15078,41,
2021-01-17,Mos,15078,38,
2021-01-18,Mos,15078,45,
2021-01-19,Mos,15078,45,
2021-01-20,Mos,15078,47,
2021-01-21,Mos,15078,50,
2021-01-22,Mos,15078,64,
2021-01-23,Mos,15078,70,
2021-01-24,Mos,15078,74,
2021-01-25,Mos,15078,73,
2021-01-26,Mos,15078,72,
2021-01-27,Mos,15078,79,
2021-01-28,Mos,15078,79,
2021-01-29,Mos,15078,84,
2021-01-30,Mos,15078,84,
2021-01-31,Mos,15078,85,
2021-02-01,Mos,15078,79,
2021-02-02,Mos,15078,81,
2021-02-03,Mos,15078,82,
2021-02-04,Mos,15078,82,
2021-02-05,Mos,15078,72,
2021-02-06,Mos,15078,75,
2021-02-07,Mos,15078,79,
2021-02-08,Mos,15078,85,
2021-02-09,Mos,15078,86,
2021-02-10,Mos,15078,79,
2021-02-11,Mos,15078,77,
2021-02-12,Mos,15078,68,
2021-02-13,Mos,15078,67,
2021-02-14,Mos,15078,65,
2021-02-15,Mos,15078,65,
2021-02-16,Mos,15078,65,
2021-02-17,Mos,15078,64,
2021-02-18,Mos,15078,62,
2021-02-19,Mos,15078,60,
2021-02-20,Mos,15078,50,
2021-02-21,Mos,15078,45,
2021-02-22,Mos,15078,41,
2021-02-23,Mos,15078,39,
2021-02-24,Mos,15078,37,
2021-02-25,Mos,15078,40,
2021-02-26,Mos,15078,43,
2021-02-27,Mos,15078,44,
2021-02-28,Mos,15078,45,
2021-03-01,Mos,15078,46,
2021-03-02,Mos,15078,46,28
2021-03-03,Mos,15078,45,28
2021-03-04,Mos,15078,42,22
2021-03-05,Mos,15078,40,15
2021-03-06,Mos,15078,39,12
2021-03-07,Mos,15078,38,11
2021-03-08,Mos,15078,36,
2021-03-09,Mos,15078,34,
2021-03-10,Mos,15078,33,
2021-03-11,Mos,15078,27,
2021-03-12,Mos,15078,19,
2021-03-13,Mos,15078,15,
2021-03-14,Mos,15078,15,
2021-03-15,Mos,15078,13,
2021-03-16,Mos,15078,10,
2021-03-17,Mos,15078,,
2021-03-18,Mos,15078,11,
2021-03-19,Mos,15078,10,
2021-03-20,Mos,15078,,
2021-03-21,Mos,15078,,
2021-03-22,Mos,15078,,
2021-03-23,Mos,15078,,
2021-03-24,Mos,15078,,
2021-03-25,Mos,15078,,
2021-03-26,Mos,15078,,
2021-03-27,Mos,15078,,
2021-03-28,Mos,15078,10,
2021-03-29,Mos,15078,13,11
2021-03-30,Mos,15078,14,12
2021-03-31,Mos,15078,18,16
2021-04-01,Mos,15078,17,16
2021-04-02,Mos,15078,18,15
2021-04-03,Mos,15078,18,13
2021-04-04,Mos,15078,18,10
2021-04-05,Mos,15078,18,
2021-04-06,Mos,15078,18,
2021-04-07,Mos,15078,18,
2021-04-08,Mos,15078,18,
2021-04-09,Mos,15078,16,
2021-04-10,Mos,15078,14,
2021-04-11,Mos,15078,12,
2021-04-12,Mos,15078,,
2021-04-13,Mos,15078,,
2021-04-14,Mos,15078,,
2021-04-15,Mos,15078,,
2021-04-16,Mos,15078,,
2021-04-17,Mos,15078,,
2021-04-18,Mos,15078,,0
2021-04-19,Mos,15078,,0
2021-04-20,Mos,15078,,0
2021-04-21,Mos,15078,,
2021-04-22,Mos,15078,,
2021-04-23,Mos,15078,,
2021-04-24,Mos,15078,,
2021-04-25,Mos,15078,,
2021-04-26,Mos,15078,,
2021-04-27,Mos,15078,,
2021-04-28,Mos,15078,,
2021-04-29,Mos,15078,,
2021-04-30,Mos,15078,,
2021-05-01,Mos,15078,12,
2021-05-02,Mos,15078,12,
2021-05-03,Mos,15078,13,10
2021-05-04,Mos,15078,13,
2021-05-05,Mos,15078,14,
2021-05-06,Mos,15078,13,
2021-05-07,Mos,15078,16,10
2021-05-08,Mos,15078,18,
2021-05-09,Mos,15078,20,11
2021-05-10,Mos,15078,21,11
2021-05-11,Mos,15078,19,11
2021-05-12,Mos,15078,20,11
2021-05-13,Mos,15078,18,11
2021-05-14,Mos,15078,19,
2021-05-15,Mos,15078,19,10
2021-05-16,Mos,15078,20,
2021-05-17,Mos,15078,22,11
2021-05-18,Mos,15078,27,16
2021-05-19,Mos,15078,26,15
2021-05-20,Mos,15078,44,33
2021-05-21,Mos,15078,50,41
2021-05-22,Mos,15078,55,45
2021-05-23,Mos,15078,61,52
2021-05-24,Mos,15078,70,59
2021-05-25,Mos,15078,70,54
2021-05-26,Mos,15078,76,61
2021-05-27,Mos,15078,79,46
2021-05-28,Mos,15078,91,50
2021-05-29,Mos,15078,93,47
2021-05-30,Mos,15078,98,45
2021-05-31,Mos,15078,96,36
2021-06-01,Mos,15078,95,40
2021-06-02,Mos,15078,95,33
2021-06-03,Mos,15078,76,30
2021-06-04,Mos,15078,67,17
2021-06-05,Mos,15078,61,14
