fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Mugardos,5245,,
2020-11-22,Mugardos,5245,,
2020-11-23,Mugardos,5245,,
2020-11-24,Mugardos,5245,,
2020-11-25,Mugardos,5245,,
2020-11-26,Mugardos,5245,,
2020-11-27,Mugardos,5245,,
2020-11-28,Mugardos,5245,,
2020-11-29,Mugardos,5245,,
2020-11-30,Mugardos,5245,,
2020-12-01,Mugardos,5245,,
2020-12-02,Mugardos,5245,,
2020-12-03,Mugardos,5245,,
2020-12-04,Mugardos,5245,,
2020-12-05,Mugardos,5245,,
2020-12-06,Mugardos,5245,,
2020-12-07,Mugardos,5245,,
2020-12-08,Mugardos,5245,,
2020-12-09,Mugardos,5245,,
2020-12-10,Mugardos,5245,,
2020-12-11,Mugardos,5245,,
2020-12-12,Mugardos,5245,,
2020-12-13,Mugardos,5245,,
2020-12-14,Mugardos,5245,,
2020-12-15,Mugardos,5245,,
2020-12-16,Mugardos,5245,,
2020-12-17,Mugardos,5245,0,
2020-12-18,Mugardos,5245,,
2020-12-19,Mugardos,5245,,
2020-12-20,Mugardos,5245,,
2020-12-21,Mugardos,5245,,
2020-12-22,Mugardos,5245,,
2020-12-23,Mugardos,5245,,
2020-12-24,Mugardos,5245,,
2020-12-25,Mugardos,5245,,
2020-12-26,Mugardos,5245,,
2020-12-27,Mugardos,5245,,
2020-12-28,Mugardos,5245,,
2020-12-29,Mugardos,5245,,
2020-12-30,Mugardos,5245,,
2020-12-31,Mugardos,5245,,
2021-01-01,Mugardos,5245,,
2021-01-02,Mugardos,5245,,
2021-01-03,Mugardos,5245,,
2021-01-04,Mugardos,5245,,
2021-01-05,Mugardos,5245,,
2021-01-06,Mugardos,5245,,
2021-01-07,Mugardos,5245,,
2021-01-08,Mugardos,5245,,
2021-01-09,Mugardos,5245,,
2021-01-10,Mugardos,5245,,
2021-01-11,Mugardos,5245,10,
2021-01-12,Mugardos,5245,10,
2021-01-13,Mugardos,5245,11,
2021-01-14,Mugardos,5245,12,
2021-01-15,Mugardos,5245,16,
2021-01-16,Mugardos,5245,21,
2021-01-17,Mugardos,5245,23,
2021-01-18,Mugardos,5245,26,
2021-01-19,Mugardos,5245,32,
2021-01-20,Mugardos,5245,39,
2021-01-21,Mugardos,5245,44,
2021-01-22,Mugardos,5245,52,
2021-01-23,Mugardos,5245,56,
2021-01-24,Mugardos,5245,61,
2021-01-25,Mugardos,5245,57,
2021-01-26,Mugardos,5245,59,
2021-01-27,Mugardos,5245,60,
2021-01-28,Mugardos,5245,62,
2021-01-29,Mugardos,5245,63,
2021-01-30,Mugardos,5245,65,
2021-01-31,Mugardos,5245,67,
2021-02-01,Mugardos,5245,66,
2021-02-02,Mugardos,5245,66,
2021-02-03,Mugardos,5245,61,
2021-02-04,Mugardos,5245,62,
2021-02-05,Mugardos,5245,56,
2021-02-06,Mugardos,5245,55,
2021-02-07,Mugardos,5245,52,
2021-02-08,Mugardos,5245,50,
2021-02-09,Mugardos,5245,47,
2021-02-10,Mugardos,5245,46,
2021-02-11,Mugardos,5245,43,
2021-02-12,Mugardos,5245,39,
2021-02-13,Mugardos,5245,32,
2021-02-14,Mugardos,5245,30,
2021-02-15,Mugardos,5245,27,
2021-02-16,Mugardos,5245,21,
2021-02-17,Mugardos,5245,22,
2021-02-18,Mugardos,5245,15,
2021-02-19,Mugardos,5245,13,
2021-02-20,Mugardos,5245,12,
2021-02-21,Mugardos,5245,10,
2021-02-22,Mugardos,5245,10,
2021-02-23,Mugardos,5245,10,
2021-02-24,Mugardos,5245,,
2021-02-25,Mugardos,5245,10,
2021-02-26,Mugardos,5245,,
2021-02-27,Mugardos,5245,,
2021-02-28,Mugardos,5245,,
2021-03-01,Mugardos,5245,,
2021-03-02,Mugardos,5245,10,
2021-03-03,Mugardos,5245,,
2021-03-04,Mugardos,5245,13,10
2021-03-05,Mugardos,5245,13,10
2021-03-06,Mugardos,5245,12,11
2021-03-07,Mugardos,5245,12,10
2021-03-08,Mugardos,5245,12,10
2021-03-09,Mugardos,5245,12,
2021-03-10,Mugardos,5245,12,
2021-03-11,Mugardos,5245,11,
2021-03-12,Mugardos,5245,11,
2021-03-13,Mugardos,5245,11,0
2021-03-14,Mugardos,5245,11,
2021-03-15,Mugardos,5245,12,
2021-03-16,Mugardos,5245,10,
2021-03-17,Mugardos,5245,,
2021-03-18,Mugardos,5245,,
2021-03-19,Mugardos,5245,,
2021-03-20,Mugardos,5245,,
2021-03-21,Mugardos,5245,,
2021-03-22,Mugardos,5245,,
2021-03-23,Mugardos,5245,,
2021-03-24,Mugardos,5245,,
2021-03-25,Mugardos,5245,,
2021-03-26,Mugardos,5245,,
2021-03-27,Mugardos,5245,,
2021-03-28,Mugardos,5245,,
2021-03-29,Mugardos,5245,,
2021-03-30,Mugardos,5245,,
2021-03-31,Mugardos,5245,,
2021-04-01,Mugardos,5245,,
2021-04-02,Mugardos,5245,,
2021-04-03,Mugardos,5245,,
2021-04-04,Mugardos,5245,,
2021-04-05,Mugardos,5245,,
2021-04-06,Mugardos,5245,,0
2021-04-07,Mugardos,5245,,0
2021-04-08,Mugardos,5245,,0
2021-04-09,Mugardos,5245,,0
2021-04-10,Mugardos,5245,,0
2021-04-11,Mugardos,5245,,0
2021-04-12,Mugardos,5245,,0
2021-04-13,Mugardos,5245,0,0
2021-04-14,Mugardos,5245,0,0
2021-04-15,Mugardos,5245,0,0
2021-04-16,Mugardos,5245,0,0
2021-04-17,Mugardos,5245,,
2021-04-18,Mugardos,5245,,
2021-04-19,Mugardos,5245,,
2021-04-20,Mugardos,5245,,
2021-04-21,Mugardos,5245,,
2021-04-22,Mugardos,5245,,
2021-04-23,Mugardos,5245,,
2021-04-24,Mugardos,5245,,
2021-04-25,Mugardos,5245,,
2021-04-26,Mugardos,5245,,
2021-04-27,Mugardos,5245,,
2021-04-28,Mugardos,5245,,
