fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Muros,8556,16,
2020-11-22,Muros,8556,14,
2020-11-23,Muros,8556,10,
2020-11-24,Muros,8556,10,
2020-11-25,Muros,8556,10,
2020-11-26,Muros,8556,,
2020-11-27,Muros,8556,,
2020-11-28,Muros,8556,,
2020-11-29,Muros,8556,,
2020-11-30,Muros,8556,,
2020-12-01,Muros,8556,,
2020-12-02,Muros,8556,,
2020-12-03,Muros,8556,,
2020-12-04,Muros,8556,,
2020-12-05,Muros,8556,,
2020-12-06,Muros,8556,,
2020-12-07,Muros,8556,,
2020-12-08,Muros,8556,,
2020-12-09,Muros,8556,,
2020-12-10,Muros,8556,,
2020-12-11,Muros,8556,,
2020-12-12,Muros,8556,,
2020-12-13,Muros,8556,12,
2020-12-14,Muros,8556,18,
2020-12-15,Muros,8556,18,
2020-12-16,Muros,8556,20,
2020-12-17,Muros,8556,20,
2020-12-18,Muros,8556,21,
2020-12-19,Muros,8556,22,
2020-12-20,Muros,8556,23,
2020-12-21,Muros,8556,24,
2020-12-22,Muros,8556,27,
2020-12-23,Muros,8556,28,
2020-12-24,Muros,8556,27,
2020-12-25,Muros,8556,28,
2020-12-26,Muros,8556,27,
2020-12-27,Muros,8556,28,
2020-12-28,Muros,8556,24,
2020-12-29,Muros,8556,30,
2020-12-30,Muros,8556,29,
2020-12-31,Muros,8556,32,
2021-01-01,Muros,8556,32,
2021-01-02,Muros,8556,31,
2021-01-03,Muros,8556,32,
2021-01-04,Muros,8556,31,
2021-01-05,Muros,8556,28,
2021-01-06,Muros,8556,32,
2021-01-07,Muros,8556,30,
2021-01-08,Muros,8556,34,
2021-01-09,Muros,8556,33,
2021-01-10,Muros,8556,30,
2021-01-11,Muros,8556,28,
2021-01-12,Muros,8556,22,
2021-01-13,Muros,8556,21,
2021-01-14,Muros,8556,18,
2021-01-15,Muros,8556,20,
2021-01-16,Muros,8556,23,
2021-01-17,Muros,8556,23,
2021-01-18,Muros,8556,25,
2021-01-19,Muros,8556,25,
2021-01-20,Muros,8556,23,
2021-01-21,Muros,8556,27,
2021-01-22,Muros,8556,26,
2021-01-23,Muros,8556,26,
2021-01-24,Muros,8556,26,
2021-01-25,Muros,8556,28,
2021-01-26,Muros,8556,28,
2021-01-27,Muros,8556,31,
2021-01-28,Muros,8556,32,
2021-01-29,Muros,8556,29,
2021-01-30,Muros,8556,27,
2021-01-31,Muros,8556,26,
