fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Muíños,1502,,
2020-11-22,Muíños,1502,,
2020-11-23,Muíños,1502,,
2020-11-24,Muíños,1502,,
2020-11-25,Muíños,1502,0,
2020-11-26,Muíños,1502,,
2020-11-27,Muíños,1502,,
2020-11-28,Muíños,1502,,
2020-11-29,Muíños,1502,,
2020-11-30,Muíños,1502,,
2020-12-01,Muíños,1502,,
2020-12-02,Muíños,1502,,
2020-12-03,Muíños,1502,,
2020-12-04,Muíños,1502,,
2020-12-05,Muíños,1502,,
2020-12-06,Muíños,1502,,
2020-12-07,Muíños,1502,,
2020-12-08,Muíños,1502,,
2020-12-09,Muíños,1502,,
2020-12-10,Muíños,1502,0,
2020-12-11,Muíños,1502,0,
2020-12-12,Muíños,1502,0,
2020-12-13,Muíños,1502,0,
2020-12-14,Muíños,1502,0,
2020-12-15,Muíños,1502,0,
2020-12-16,Muíños,1502,0,
2020-12-17,Muíños,1502,0,
2020-12-18,Muíños,1502,0,
2020-12-19,Muíños,1502,0,
2020-12-20,Muíños,1502,0,
2020-12-21,Muíños,1502,0,
2020-12-22,Muíños,1502,,
2020-12-23,Muíños,1502,,
2020-12-24,Muíños,1502,,
2020-12-25,Muíños,1502,,
2020-12-26,Muíños,1502,,
2020-12-27,Muíños,1502,,
2020-12-28,Muíños,1502,,
2020-12-29,Muíños,1502,,
2020-12-30,Muíños,1502,,
2020-12-31,Muíños,1502,,
2021-01-01,Muíños,1502,,
2021-01-02,Muíños,1502,,
2021-01-03,Muíños,1502,,
2021-01-04,Muíños,1502,14,
2021-01-05,Muíños,1502,14,
2021-01-06,Muíños,1502,15,
2021-01-07,Muíños,1502,18,
2021-01-08,Muíños,1502,21,
2021-01-09,Muíños,1502,26,
2021-01-10,Muíños,1502,26,
2021-01-11,Muíños,1502,28,
2021-01-12,Muíños,1502,31,
2021-01-13,Muíños,1502,35,
2021-01-14,Muíños,1502,37,
2021-01-15,Muíños,1502,38,
2021-01-16,Muíños,1502,36,
2021-01-17,Muíños,1502,37,
2021-01-18,Muíños,1502,29,
2021-01-19,Muíños,1502,33,
2021-01-20,Muíños,1502,31,
2021-01-21,Muíños,1502,29,
