fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,15054,Narón,39080,130,,,332.650972364381,,,,,,,,
2020-11-22,15054,Narón,39080,136,,,348.004094165814,,,,,,,,
2020-11-23,15054,Narón,39080,139,,,355.68065506653,,,,,,,,
2020-11-24,15054,Narón,39080,139,,,355.68065506653,,,,,,,,
2020-11-25,15054,Narón,39080,133,,,340.327533265097,,,,,,,,
2020-11-26,15054,Narón,39080,133,,,340.327533265097,,,,,,,,
2020-11-27,15054,Narón,39080,135,,,345.445240532242,,,,,,,,
2020-11-28,15054,Narón,39080,135,,,345.445240532242,,,,,,,,
2020-11-29,15054,Narón,39080,138,,,353.121801432958,,,,,,,,
2020-11-30,15054,Narón,39080,136,,,348.004094165814,,,,,,,,
2020-12-01,15054,Narón,39080,129,,,330.092118730809,,,,,,,,
2020-12-02,15054,Narón,39080,126,,,322.415557830092,,,,,,,,
2020-12-03,15054,Narón,39080,118,,,301.944728761515,,,,,,,,
2020-12-04,15054,Narón,39080,112,,,286.591606960082,,,,,,,,
2020-12-05,15054,Narón,39080,114,,,291.709314227226,,,,,,,,
2020-12-06,15054,Narón,39080,104,,,266.120777891505,,,,,,,,
2020-12-07,15054,Narón,39080,97,,,248.208802456499,,,,,,,,
2020-12-08,15054,Narón,39080,91,,,232.855680655067,,,,,,,,
2020-12-09,15054,Narón,39080,99,,,253.326509723644,,,,,,,,
2020-12-10,15054,Narón,39080,95,,,243.091095189355,,,,,,,,
2020-12-11,15054,Narón,39080,86,,,220.061412487206,,,,,,,,
2020-12-12,15054,Narón,39080,79,,,202.149437052201,,,,,,,,
2020-12-13,15054,Narón,39080,74,,,189.35516888434,,,,,,,,
2020-12-14,15054,Narón,39080,74,,,189.35516888434,,,,,,,,
2020-12-15,15054,Narón,39080,73,,,186.796315250768,,,,,,,,
2020-12-16,15054,Narón,39080,75,,,191.914022517912,,,,,,,,
2020-12-17,15054,Narón,39080,73,,,186.796315250768,,,,,,,,
2020-12-18,15054,Narón,39080,72,,,184.237461617195,,,,,,,,
2020-12-19,15054,Narón,39080,60,,,153.53121801433,,,,,,,,
2020-12-20,15054,Narón,39080,62,,,158.648925281474,,,,,,,,
2020-12-21,15054,Narón,39080,61,,,156.090071647902,,,,,,,,
2020-12-22,15054,Narón,39080,65,,,166.32548618219,,,,,,,,
2020-12-23,15054,Narón,39080,54,,,138.178096212897,,,,,,,,
2020-12-24,15054,Narón,39080,54,,,138.178096212897,,,,,,,,
2020-12-25,15054,Narón,39080,52,,,133.060388945752,,,,,,,,
2020-12-26,15054,Narón,39080,48,,,122.824974411464,,,,,,,,
2020-12-27,15054,Narón,39080,46,,,117.707267144319,,,,,,,,
2020-12-28,15054,Narón,39080,44,,,112.589559877175,,,,,,,,
2020-12-29,15054,Narón,39080,48,,,122.824974411464,,,,,,,,
2020-12-30,15054,Narón,39080,43,,,110.030706243603,,,,,,,,
2020-12-31,15054,Narón,39080,46,,,117.707267144319,,,,,,,,
2021-01-01,15054,Narón,39080,44,,,112.589559877175,,,,,,,,
2021-01-02,15054,Narón,39080,46,,,117.707267144319,,,,,,,,
2021-01-03,15054,Narón,39080,41,,,104.912998976459,,,,,,,,
2021-01-04,15054,Narón,39080,45,,,115.148413510747,,,,,,,,
2021-01-05,15054,Narón,39080,47,,,120.266120777892,,,,,,,,
2021-01-06,15054,Narón,39080,58,,,148.413510747185,,,,,,,,
2021-01-07,15054,Narón,39080,60,,,153.53121801433,,,,,,,,
2021-01-08,15054,Narón,39080,69,,,176.560900716479,,,,,,,,
2021-01-09,15054,Narón,39080,73,,,186.796315250768,,,,,,,,
2021-01-10,15054,Narón,39080,86,,,220.061412487206,,,,,,,,
2021-01-11,15054,Narón,39080,99,,,253.326509723644,,,,,,,,
2021-01-12,15054,Narón,39080,103,,,263.561924257932,,,,,,,,
2021-01-13,15054,Narón,39080,113,,,289.150460593654,,,,,,,,
2021-01-14,15054,Narón,39080,114,,,291.709314227226,,,,,,,,
2021-01-15,15054,Narón,39080,135,,,345.445240532242,,,,,,,,
2021-01-16,15054,Narón,39080,150,,,383.828045035824,,,,,,,,
2021-01-17,15054,Narón,39080,157,,,401.740020470829,,,,,,,,
2021-01-18,15054,Narón,39080,170,,,435.005117707267,,,,,,,,
2021-01-19,15054,Narón,39080,177,,,452.917093142272,,,,,,,,
2021-01-20,15054,Narón,39080,182,,,465.711361310133,,,,,,,,
2021-01-21,15054,Narón,39080,210,,,537.359263050154,,,,,,,,
2021-01-22,15054,Narón,39080,223,,,570.624360286592,,,,,,,,
2021-01-23,15054,Narón,39080,245,,,626.919140225179,,,,,,,,
2021-01-24,15054,Narón,39080,250,,,639.71340839304,,,,,,,,
2021-01-25,15054,Narón,39080,251,,,642.272262026612,,,,,,,,
2021-01-26,15054,Narón,39080,261,,,667.860798362334,,,,,,,,
2021-01-27,15054,Narón,39080,268,,,685.772773797339,,,,,,,,
2021-01-28,15054,Narón,39080,278,,,711.36131013306,,,,,,,,
2021-01-29,15054,Narón,39080,285,,,729.273285568065,,,,,,,,
2021-01-30,15054,Narón,39080,295,,,754.861821903787,,,,,,,,
2021-01-31,15054,Narón,39080,301,,,770.21494370522,,,,,,,,
2021-02-01,15054,Narón,39080,297,,,759.979529170931,,,,,,,,
2021-02-02,15054,Narón,39080,315,,,806.03889457523,,,,,,,,
2021-02-03,15054,Narón,39080,312,,,798.362333674514,,,,,,,,
2021-02-04,15054,Narón,39080,296,,,757.420675537359,,,,,,,,
2021-02-05,15054,Narón,39080,288,,,736.949846468782,,,,,,,,
2021-02-06,15054,Narón,39080,270,,,690.890481064483,,,,,,,,
2021-02-07,15054,Narón,39080,263,,,672.978505629478,,,,,,,,
2021-02-08,15054,Narón,39080,257,,,657.625383828045,,,,,,,,
2021-02-09,15054,Narón,39080,242,,,619.242579324463,,,,,,,,
2021-02-10,15054,Narón,39080,228,,,583.418628454452,,,,,,,,
2021-02-11,15054,Narón,39080,218,,,557.830092118731,,,,,,,,
2021-02-12,15054,Narón,39080,201,,,514.329580348004,,,,,,,,
2021-02-13,15054,Narón,39080,182,,,465.711361310133,,,,,,,,
2021-02-14,15054,Narón,39080,182,,,465.711361310133,,,,,,,,
2021-02-15,15054,Narón,39080,172,,,440.122824974411,,,,,,,,
2021-02-16,15054,Narón,39080,148,,,378.71033776868,,,,,,,,
2021-02-17,15054,Narón,39080,143,,,365.916069600819,,,,,,,,
2021-02-18,15054,Narón,39080,136,,,348.004094165814,,,,,,,,
2021-02-19,15054,Narón,39080,129,,,330.092118730809,,,,,,,,
2021-02-20,15054,Narón,39080,126,,,322.415557830092,,,,,,,,
2021-02-21,15054,Narón,39080,122,,,312.180143295803,,,,,,,,
2021-02-22,15054,Narón,39080,113,,,289.150460593654,,,,,,,,
2021-02-23,15054,Narón,39080,114,,,291.709314227226,,,,,,,,
2021-02-24,15054,Narón,39080,115,,,294.268167860798,,,,,,,,
2021-02-25,15054,Narón,39080,116,,,296.827021494371,,,,,,,,
2021-02-26,15054,Narón,39080,106,,,271.238485158649,,,,,,,,
2021-02-27,15054,Narón,39080,101,,,258.444216990788,,,,,,,,
2021-02-28,15054,Narón,39080,87,,,222.620266120778,,,,,,,,
2021-03-01,15054,Narón,39080,81,,,207.267144319345,,,,,,,,
2021-03-02,15054,Narón,39080,74,,,189.35516888434,,,19,,,48.618219037871,,
2021-03-03,15054,Narón,39080,64,,,163.766632548618,,,15,,,38.3828045035824,,
2021-03-04,15054,Narón,39080,55,,,140.736949846469,,,10,,,25.5885363357216,,
2021-03-05,15054,Narón,39080,47,,,120.266120777892,,,11,,,28.1473899692938,,
2021-03-06,15054,Narón,39080,42,,,107.471852610031,,,11,,,28.1473899692938,,
2021-03-07,15054,Narón,39080,38,,,97.2364380757421,,,11,,,28.1473899692938,,
2021-03-08,15054,Narón,39080,37,,,94.6775844421699,,,13,,,33.2650972364381,,
2021-03-09,15054,Narón,39080,34,,,87.0010235414534,,,15,,,38.3828045035824,,
2021-03-10,15054,Narón,39080,32,,,81.8833162743091,,,17,,,43.5005117707267,,
2021-03-11,15054,Narón,39080,29,,,74.2067553735926,,,19,,,48.618219037871,,
2021-03-12,15054,Narón,39080,28,,,71.6479017400205,,,18,,,46.0593654042989,,
2021-03-13,15054,Narón,39080,28,,,71.6479017400205,,,18,,,46.0593654042989,,
2021-03-14,15054,Narón,39080,28,,,71.6479017400205,,,17,,,43.5005117707267,,
2021-03-15,15054,Narón,39080,28,,,71.6479017400205,,,15,,,38.3828045035824,,
2021-03-16,15054,Narón,39080,28,,,71.6479017400205,,,13,,,33.2650972364381,,
2021-03-17,15054,Narón,39080,27,,,69.0890481064483,,,10,,,25.5885363357216,,
2021-03-18,15054,Narón,39080,26,,,66.5301944728762,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-19,15054,Narón,39080,25,,,63.971340839304,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-20,15054,Narón,39080,24,,,61.4124872057318,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-21,15054,Narón,39080,22,,,56.2947799385875,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-22,15054,Narón,39080,20,,,51.1770726714432,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-23,15054,Narón,39080,17,,,43.5005117707267,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-24,15054,Narón,39080,14,,,35.8239508700102,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-25,15054,Narón,39080,13,,,33.2650972364381,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-26,15054,Narón,39080,14,,,35.8239508700102,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-27,15054,Narón,39080,13,,,33.2650972364381,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-28,15054,Narón,39080,13,,,33.2650972364381,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-29,15054,Narón,39080,13,,,33.2650972364381,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-30,15054,Narón,39080,12,,,30.7062436028659,,,,1,9,,2.55885363357216,23.0296827021494
2021-03-31,15054,Narón,39080,11,,,28.1473899692938,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-01,15054,Narón,39080,11,,,28.1473899692938,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-02,15054,Narón,39080,10,,,25.5885363357216,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-03,15054,Narón,39080,10,,,25.5885363357216,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-04,15054,Narón,39080,10,,,25.5885363357216,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-05,15054,Narón,39080,,1,9,,2.55885363357216,23.0296827021494,,1,9,,2.55885363357216,23.0296827021494
2021-04-06,15054,Narón,39080,13,,,33.2650972364381,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-07,15054,Narón,39080,12,,,30.7062436028659,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-08,15054,Narón,39080,11,,,28.1473899692938,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-09,15054,Narón,39080,,1,9,,2.55885363357216,23.0296827021494,,1,9,,2.55885363357216,23.0296827021494
2021-04-10,15054,Narón,39080,,1,9,,2.55885363357216,23.0296827021494,,1,9,,2.55885363357216,23.0296827021494
2021-04-11,15054,Narón,39080,,1,9,,2.55885363357216,23.0296827021494,,1,9,,2.55885363357216,23.0296827021494
2021-04-12,15054,Narón,39080,10,,,25.5885363357216,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-13,15054,Narón,39080,13,,,33.2650972364381,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-14,15054,Narón,39080,14,,,35.8239508700102,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-15,15054,Narón,39080,15,,,38.3828045035824,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-16,15054,Narón,39080,16,,,40.9416581371546,,,10,,,25.5885363357216,,
2021-04-17,15054,Narón,39080,16,,,40.9416581371546,,,10,,,25.5885363357216,,
2021-04-18,15054,Narón,39080,17,,,43.5005117707267,,,11,,,28.1473899692938,,
2021-04-19,15054,Narón,39080,17,,,43.5005117707267,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-20,15054,Narón,39080,14,,,35.8239508700102,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-21,15054,Narón,39080,15,,,38.3828045035824,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-22,15054,Narón,39080,14,,,35.8239508700102,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-23,15054,Narón,39080,17,,,43.5005117707267,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-24,15054,Narón,39080,17,,,43.5005117707267,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-25,15054,Narón,39080,18,,,46.0593654042989,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-26,15054,Narón,39080,15,,,38.3828045035824,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-27,15054,Narón,39080,12,,,30.7062436028659,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-28,15054,Narón,39080,13,,,33.2650972364381,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-29,15054,Narón,39080,12,,,30.7062436028659,,,,1,9,,2.55885363357216,23.0296827021494
2021-04-30,15054,Narón,39080,12,,,30.7062436028659,,,,1,9,,2.55885363357216,23.0296827021494
2021-05-01,15054,Narón,39080,12,,,30.7062436028659,,,,1,9,,2.55885363357216,23.0296827021494
2021-05-02,15054,Narón,39080,11,,,28.1473899692938,,,,1,9,,2.55885363357216,23.0296827021494
2021-05-03,15054,Narón,39080,11,,,28.1473899692938,,,,1,9,,2.55885363357216,23.0296827021494
2021-05-04,15054,Narón,39080,10,,,25.5885363357216,,,,1,9,,2.55885363357216,23.0296827021494
