fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,15055,Neda,5079,12,,,236.266981689309,,,,,,,,
2020-11-22,15055,Neda,5079,12,,,236.266981689309,,,,,,,,
2020-11-23,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2020-11-24,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2020-11-25,15055,Neda,5079,16,,,315.022642252412,,,,,,,,
2020-11-26,15055,Neda,5079,15,,,295.333727111636,,,,,,,,
2020-11-27,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2020-11-28,15055,Neda,5079,13,,,255.955896830085,,,,,,,,
2020-11-29,15055,Neda,5079,12,,,236.266981689309,,,,,,,,
2020-11-30,15055,Neda,5079,10,,,196.889151407757,,,,,,,,
2020-12-01,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-02,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-03,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-04,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-05,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-06,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-07,15055,Neda,5079,11,,,216.578066548533,,,,,,,,
2020-12-08,15055,Neda,5079,11,,,216.578066548533,,,,,,,,
2020-12-09,15055,Neda,5079,13,,,255.955896830085,,,,,,,,
2020-12-10,15055,Neda,5079,12,,,236.266981689309,,,,,,,,
2020-12-11,15055,Neda,5079,11,,,216.578066548533,,,,,,,,
2020-12-12,15055,Neda,5079,11,,,216.578066548533,,,,,,,,
2020-12-13,15055,Neda,5079,11,,,216.578066548533,,,,,,,,
2020-12-14,15055,Neda,5079,12,,,236.266981689309,,,,,,,,
2020-12-15,15055,Neda,5079,13,,,255.955896830085,,,,,,,,
2020-12-16,15055,Neda,5079,13,,,255.955896830085,,,,,,,,
2020-12-17,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2020-12-18,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2020-12-19,15055,Neda,5079,13,,,255.955896830085,,,,,,,,
2020-12-20,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-21,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-22,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-23,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-24,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-25,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-26,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-27,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-28,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-29,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-30,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2020-12-31,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-01,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-02,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-03,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-04,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-05,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-06,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-07,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-08,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-09,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-10,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-11,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-12,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-13,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-01-14,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2021-01-15,15055,Neda,5079,22,,,433.156133097066,,,,,,,,
2021-01-16,15055,Neda,5079,25,,,492.222878519394,,,,,,,,
2021-01-17,15055,Neda,5079,27,,,531.600708800945,,,,,,,,
2021-01-18,15055,Neda,5079,27,,,531.600708800945,,,,,,,,
2021-01-19,15055,Neda,5079,32,,,630.045284504824,,,,,,,,
2021-01-20,15055,Neda,5079,34,,,669.423114786375,,,,,,,,
2021-01-21,15055,Neda,5079,37,,,728.489860208702,,,,,,,,
2021-01-22,15055,Neda,5079,39,,,767.867690490254,,,,,,,,
2021-01-23,15055,Neda,5079,41,,,807.245520771806,,,,,,,,
2021-01-24,15055,Neda,5079,42,,,826.934435912581,,,,,,,,
2021-01-25,15055,Neda,5079,43,,,846.623351053357,,,,,,,,
2021-01-26,15055,Neda,5079,43,,,846.623351053357,,,,,,,,
2021-01-27,15055,Neda,5079,41,,,807.245520771806,,,,,,,,
2021-01-28,15055,Neda,5079,40,,,787.55660563103,,,,,,,,
2021-01-29,15055,Neda,5079,33,,,649.7341996456,,,,,,,,
2021-01-30,15055,Neda,5079,31,,,610.356369364048,,,,,,,,
2021-01-31,15055,Neda,5079,30,,,590.667454223272,,,,,,,,
2021-02-01,15055,Neda,5079,30,,,590.667454223272,,,,,,,,
2021-02-02,15055,Neda,5079,25,,,492.222878519394,,,,,,,,
2021-02-03,15055,Neda,5079,23,,,452.845048237842,,,,,,,,
2021-02-04,15055,Neda,5079,21,,,413.467217956291,,,,,,,,
2021-02-05,15055,Neda,5079,20,,,393.778302815515,,,,,,,,
2021-02-06,15055,Neda,5079,18,,,354.400472533963,,,,,,,,
2021-02-07,15055,Neda,5079,19,,,374.089387674739,,,,,,,,
2021-02-08,15055,Neda,5079,15,,,295.333727111636,,,,,,,,
2021-02-09,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2021-02-10,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2021-02-11,15055,Neda,5079,11,,,216.578066548533,,,,,,,,
2021-02-12,15055,Neda,5079,11,,,216.578066548533,,,,,,,,
2021-02-13,15055,Neda,5079,11,,,216.578066548533,,,,,,,,
2021-02-14,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2021-02-15,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2021-02-16,15055,Neda,5079,15,,,295.333727111636,,,,,,,,
2021-02-17,15055,Neda,5079,15,,,295.333727111636,,,,,,,,
2021-02-18,15055,Neda,5079,18,,,354.400472533963,,,,,,,,
2021-02-19,15055,Neda,5079,19,,,374.089387674739,,,,,,,,
2021-02-20,15055,Neda,5079,20,,,393.778302815515,,,,,,,,
2021-02-21,15055,Neda,5079,18,,,354.400472533963,,,,,,,,
2021-02-22,15055,Neda,5079,18,,,354.400472533963,,,,,,,,
2021-02-23,15055,Neda,5079,18,,,354.400472533963,,,,,,,,
2021-02-24,15055,Neda,5079,17,,,334.711557393188,,,,,,,,
2021-02-25,15055,Neda,5079,16,,,315.022642252412,,,,,,,,
2021-02-26,15055,Neda,5079,15,,,295.333727111636,,,,,,,,
2021-02-27,15055,Neda,5079,14,,,275.64481197086,,,,,,,,
2021-02-28,15055,Neda,5079,10,,,196.889151407757,,,,,,,,
2021-03-01,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,,,,,
2021-03-02,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,0,,,0,,
2021-03-03,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,0,,,0,,
2021-03-04,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,0,,,0,,
2021-03-05,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,0,,,0,,
2021-03-06,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,1,9,,19.6889151407757,177.200236266982
2021-03-07,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,1,9,,19.6889151407757,177.200236266982
2021-03-08,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,1,9,,19.6889151407757,177.200236266982
2021-03-09,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,1,9,,19.6889151407757,177.200236266982
2021-03-10,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,1,9,,19.6889151407757,177.200236266982
2021-03-11,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,1,9,,19.6889151407757,177.200236266982
2021-03-12,15055,Neda,5079,,1,9,,19.6889151407757,177.200236266982,,1,9,,19.6889151407757,177.200236266982
