fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Negueira de Muñiz",215,0,
2020-11-22,"Negueira de Muñiz",215,0,
2020-11-23,"Negueira de Muñiz",215,0,
2020-11-24,"Negueira de Muñiz",215,0,
2020-11-25,"Negueira de Muñiz",215,0,
2020-11-26,"Negueira de Muñiz",215,0,
2020-11-27,"Negueira de Muñiz",215,0,
2020-11-28,"Negueira de Muñiz",215,0,
2020-11-29,"Negueira de Muñiz",215,0,
2020-11-30,"Negueira de Muñiz",215,0,
2020-12-01,"Negueira de Muñiz",215,0,
2020-12-02,"Negueira de Muñiz",215,0,
2020-12-03,"Negueira de Muñiz",215,0,
2020-12-04,"Negueira de Muñiz",215,0,
2020-12-05,"Negueira de Muñiz",215,0,
2020-12-06,"Negueira de Muñiz",215,0,
2020-12-07,"Negueira de Muñiz",215,0,
2020-12-08,"Negueira de Muñiz",215,0,
2020-12-09,"Negueira de Muñiz",215,0,
2020-12-10,"Negueira de Muñiz",215,0,
2020-12-11,"Negueira de Muñiz",215,0,
2020-12-12,"Negueira de Muñiz",215,0,
2020-12-13,"Negueira de Muñiz",215,0,
2020-12-14,"Negueira de Muñiz",215,0,
2020-12-15,"Negueira de Muñiz",215,0,
2020-12-16,"Negueira de Muñiz",215,0,
2020-12-17,"Negueira de Muñiz",215,0,
2020-12-18,"Negueira de Muñiz",215,0,
2020-12-19,"Negueira de Muñiz",215,0,
2020-12-20,"Negueira de Muñiz",215,0,
2020-12-21,"Negueira de Muñiz",215,0,
2020-12-22,"Negueira de Muñiz",215,0,
2020-12-23,"Negueira de Muñiz",215,0,
2020-12-24,"Negueira de Muñiz",215,0,
2020-12-25,"Negueira de Muñiz",215,0,
2020-12-26,"Negueira de Muñiz",215,0,
2020-12-27,"Negueira de Muñiz",215,0,
2020-12-28,"Negueira de Muñiz",215,0,
2020-12-29,"Negueira de Muñiz",215,0,
2020-12-30,"Negueira de Muñiz",215,0,
2020-12-31,"Negueira de Muñiz",215,0,
2021-01-01,"Negueira de Muñiz",215,0,
2021-01-02,"Negueira de Muñiz",215,0,
2021-01-03,"Negueira de Muñiz",215,0,
2021-01-04,"Negueira de Muñiz",215,0,
2021-01-05,"Negueira de Muñiz",215,0,
2021-01-06,"Negueira de Muñiz",215,0,
2021-01-07,"Negueira de Muñiz",215,0,
2021-01-08,"Negueira de Muñiz",215,0,
2021-01-09,"Negueira de Muñiz",215,0,
2021-01-10,"Negueira de Muñiz",215,0,
2021-01-11,"Negueira de Muñiz",215,0,
2021-01-12,"Negueira de Muñiz",215,0,
2021-01-13,"Negueira de Muñiz",215,0,
2021-01-14,"Negueira de Muñiz",215,0,
2021-01-15,"Negueira de Muñiz",215,0,
2021-01-16,"Negueira de Muñiz",215,0,
2021-01-17,"Negueira de Muñiz",215,0,
2021-01-18,"Negueira de Muñiz",215,0,
2021-01-19,"Negueira de Muñiz",215,0,
2021-01-20,"Negueira de Muñiz",215,0,
2021-01-21,"Negueira de Muñiz",215,0,
2021-01-22,"Negueira de Muñiz",215,0,
2021-01-23,"Negueira de Muñiz",215,0,
2021-01-24,"Negueira de Muñiz",215,0,
2021-01-25,"Negueira de Muñiz",215,0,
2021-01-26,"Negueira de Muñiz",215,0,
2021-01-27,"Negueira de Muñiz",215,0,
2021-01-28,"Negueira de Muñiz",215,0,
2021-01-29,"Negueira de Muñiz",215,0,
2021-01-30,"Negueira de Muñiz",215,0,
2021-01-31,"Negueira de Muñiz",215,0,
2021-02-01,"Negueira de Muñiz",215,0,
2021-02-02,"Negueira de Muñiz",215,0,
2021-02-03,"Negueira de Muñiz",215,0,
2021-02-04,"Negueira de Muñiz",215,0,
2021-02-05,"Negueira de Muñiz",215,0,
2021-02-06,"Negueira de Muñiz",215,0,
2021-02-07,"Negueira de Muñiz",215,0,
2021-02-08,"Negueira de Muñiz",215,0,
2021-02-09,"Negueira de Muñiz",215,0,
2021-02-10,"Negueira de Muñiz",215,0,
2021-02-11,"Negueira de Muñiz",215,0,
2021-02-12,"Negueira de Muñiz",215,0,
2021-02-13,"Negueira de Muñiz",215,0,
2021-02-14,"Negueira de Muñiz",215,0,
2021-02-15,"Negueira de Muñiz",215,0,
2021-02-16,"Negueira de Muñiz",215,0,
2021-02-17,"Negueira de Muñiz",215,0,
2021-02-18,"Negueira de Muñiz",215,0,
2021-02-19,"Negueira de Muñiz",215,0,
2021-02-20,"Negueira de Muñiz",215,0,
2021-02-21,"Negueira de Muñiz",215,0,
2021-02-22,"Negueira de Muñiz",215,0,
2021-02-23,"Negueira de Muñiz",215,0,
2021-02-24,"Negueira de Muñiz",215,0,
2021-02-25,"Negueira de Muñiz",215,0,
