fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Nigrán,17675,44,
2020-11-22,Nigrán,17675,40,
2020-11-23,Nigrán,17675,42,
2020-11-24,Nigrán,17675,45,
2020-11-25,Nigrán,17675,43,
2020-11-26,Nigrán,17675,43,
2020-11-27,Nigrán,17675,43,
2020-11-28,Nigrán,17675,36,
2020-11-29,Nigrán,17675,35,
2020-11-30,Nigrán,17675,33,
2020-12-01,Nigrán,17675,31,
2020-12-02,Nigrán,17675,30,
2020-12-03,Nigrán,17675,29,
2020-12-04,Nigrán,17675,27,
2020-12-05,Nigrán,17675,26,
2020-12-06,Nigrán,17675,24,
2020-12-07,Nigrán,17675,25,
2020-12-08,Nigrán,17675,24,
2020-12-09,Nigrán,17675,23,
2020-12-10,Nigrán,17675,18,
2020-12-11,Nigrán,17675,19,
2020-12-12,Nigrán,17675,19,
2020-12-13,Nigrán,17675,19,
2020-12-14,Nigrán,17675,22,
2020-12-15,Nigrán,17675,24,
2020-12-16,Nigrán,17675,26,
2020-12-17,Nigrán,17675,27,
2020-12-18,Nigrán,17675,30,
2020-12-19,Nigrán,17675,29,
2020-12-20,Nigrán,17675,29,
2020-12-21,Nigrán,17675,30,
2020-12-22,Nigrán,17675,27,
2020-12-23,Nigrán,17675,31,
2020-12-24,Nigrán,17675,35,
2020-12-25,Nigrán,17675,37,
2020-12-26,Nigrán,17675,41,
2020-12-27,Nigrán,17675,39,
2020-12-28,Nigrán,17675,38,
2020-12-29,Nigrán,17675,38,
2020-12-30,Nigrán,17675,34,
2020-12-31,Nigrán,17675,31,
2021-01-01,Nigrán,17675,28,
2021-01-02,Nigrán,17675,29,
2021-01-03,Nigrán,17675,29,
2021-01-04,Nigrán,17675,27,
2021-01-05,Nigrán,17675,28,
2021-01-06,Nigrán,17675,27,
2021-01-07,Nigrán,17675,29,
2021-01-08,Nigrán,17675,27,
2021-01-09,Nigrán,17675,25,
2021-01-10,Nigrán,17675,26,
2021-01-11,Nigrán,17675,30,
2021-01-12,Nigrán,17675,34,
2021-01-13,Nigrán,17675,37,
2021-01-14,Nigrán,17675,38,
2021-01-15,Nigrán,17675,39,
2021-01-16,Nigrán,17675,46,
2021-01-17,Nigrán,17675,48,
2021-01-18,Nigrán,17675,49,
2021-01-19,Nigrán,17675,53,
2021-01-20,Nigrán,17675,53,
2021-01-21,Nigrán,17675,49,
2021-01-22,Nigrán,17675,51,
2021-01-23,Nigrán,17675,52,
2021-01-24,Nigrán,17675,57,
2021-01-25,Nigrán,17675,56,
2021-01-26,Nigrán,17675,52,
2021-01-27,Nigrán,17675,55,
2021-01-28,Nigrán,17675,55,
2021-01-29,Nigrán,17675,57,
2021-01-30,Nigrán,17675,53,
2021-01-31,Nigrán,17675,56,
2021-02-01,Nigrán,17675,58,
2021-02-02,Nigrán,17675,56,
2021-02-03,Nigrán,17675,53,
2021-02-04,Nigrán,17675,52,
2021-02-05,Nigrán,17675,49,
2021-02-06,Nigrán,17675,47,
2021-02-07,Nigrán,17675,41,
2021-02-08,Nigrán,17675,39,
2021-02-09,Nigrán,17675,40,
2021-02-10,Nigrán,17675,35,
2021-02-11,Nigrán,17675,35,
2021-02-12,Nigrán,17675,30,
2021-02-13,Nigrán,17675,26,
2021-02-14,Nigrán,17675,21,
2021-02-15,Nigrán,17675,20,
2021-02-16,Nigrán,17675,19,
2021-02-17,Nigrán,17675,18,
2021-02-18,Nigrán,17675,17,
2021-02-19,Nigrán,17675,19,
2021-02-20,Nigrán,17675,20,
2021-02-21,Nigrán,17675,20,
2021-02-22,Nigrán,17675,18,
2021-02-23,Nigrán,17675,16,
2021-02-24,Nigrán,17675,15,
2021-02-25,Nigrán,17675,14,
2021-02-26,Nigrán,17675,14,
2021-02-27,Nigrán,17675,14,
2021-02-28,Nigrán,17675,16,
2021-03-01,Nigrán,17675,13,
2021-03-02,Nigrán,17675,11,
2021-03-03,Nigrán,17675,11,
2021-03-04,Nigrán,17675,10,
2021-03-05,Nigrán,17675,,
2021-03-06,Nigrán,17675,,
2021-03-07,Nigrán,17675,,0
2021-03-08,Nigrán,17675,,0
2021-03-09,Nigrán,17675,,0
2021-03-10,Nigrán,17675,,0
2021-03-11,Nigrán,17675,,0
2021-03-12,Nigrán,17675,,
2021-03-13,Nigrán,17675,,
2021-03-14,Nigrán,17675,,
2021-03-15,Nigrán,17675,,
2021-03-16,Nigrán,17675,,
2021-03-17,Nigrán,17675,,
2021-03-18,Nigrán,17675,,
2021-03-19,Nigrán,17675,,
2021-03-20,Nigrán,17675,,
2021-03-21,Nigrán,17675,,
2021-03-22,Nigrán,17675,,
2021-03-23,Nigrán,17675,,
2021-03-24,Nigrán,17675,,
2021-03-25,Nigrán,17675,,
2021-03-26,Nigrán,17675,10,
2021-03-27,Nigrán,17675,10,
2021-03-28,Nigrán,17675,10,
2021-03-29,Nigrán,17675,10,
2021-03-30,Nigrán,17675,10,
2021-03-31,Nigrán,17675,12,
2021-04-01,Nigrán,17675,12,
2021-04-02,Nigrán,17675,12,
2021-04-03,Nigrán,17675,10,
2021-04-04,Nigrán,17675,11,
2021-04-05,Nigrán,17675,11,
2021-04-06,Nigrán,17675,10,
2021-04-07,Nigrán,17675,11,
2021-04-08,Nigrán,17675,12,
2021-04-09,Nigrán,17675,11,
2021-04-10,Nigrán,17675,11,
2021-04-11,Nigrán,17675,10,
2021-04-12,Nigrán,17675,11,
2021-04-13,Nigrán,17675,11,
2021-04-14,Nigrán,17675,12,
2021-04-15,Nigrán,17675,12,
2021-04-16,Nigrán,17675,11,
2021-04-17,Nigrán,17675,13,
2021-04-18,Nigrán,17675,15,11
2021-04-19,Nigrán,17675,16,11
2021-04-20,Nigrán,17675,15,10
2021-04-21,Nigrán,17675,17,10
2021-04-22,Nigrán,17675,23,16
2021-04-23,Nigrán,17675,25,19
2021-04-24,Nigrán,17675,26,18
2021-04-25,Nigrán,17675,28,17
2021-04-26,Nigrán,17675,27,16
2021-04-27,Nigrán,17675,29,19
2021-04-28,Nigrán,17675,26,16
2021-04-29,Nigrán,17675,26,10
2021-04-30,Nigrán,17675,27,
2021-05-01,Nigrán,17675,26,
2021-05-02,Nigrán,17675,23,
2021-05-03,Nigrán,17675,22,
2021-05-04,Nigrán,17675,22,
2021-05-05,Nigrán,17675,20,
2021-05-06,Nigrán,17675,14,
2021-05-07,Nigrán,17675,12,
