fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Noia,14263,20,
2020-11-22,Noia,14263,22,
2020-11-23,Noia,14263,22,
2020-11-24,Noia,14263,24,
2020-11-25,Noia,14263,24,
2020-11-26,Noia,14263,20,
2020-11-27,Noia,14263,23,
2020-11-28,Noia,14263,24,
2020-11-29,Noia,14263,27,
2020-11-30,Noia,14263,25,
2020-12-01,Noia,14263,25,
2020-12-02,Noia,14263,26,
2020-12-03,Noia,14263,22,
2020-12-04,Noia,14263,27,
2020-12-05,Noia,14263,28,
2020-12-06,Noia,14263,27,
2020-12-07,Noia,14263,28,
2020-12-08,Noia,14263,26,
2020-12-09,Noia,14263,25,
2020-12-10,Noia,14263,28,
2020-12-11,Noia,14263,25,
2020-12-12,Noia,14263,26,
2020-12-13,Noia,14263,26,
2020-12-14,Noia,14263,28,
2020-12-15,Noia,14263,34,
2020-12-16,Noia,14263,35,
2020-12-17,Noia,14263,43,
2020-12-18,Noia,14263,43,
2020-12-19,Noia,14263,43,
2020-12-20,Noia,14263,42,
2020-12-21,Noia,14263,44,
2020-12-22,Noia,14263,45,
2020-12-23,Noia,14263,53,
2020-12-24,Noia,14263,56,
2020-12-25,Noia,14263,59,
2020-12-26,Noia,14263,59,
2020-12-27,Noia,14263,55,
2020-12-28,Noia,14263,56,
2020-12-29,Noia,14263,51,
2020-12-30,Noia,14263,49,
2020-12-31,Noia,14263,50,
2021-01-01,Noia,14263,51,
2021-01-02,Noia,14263,54,
2021-01-03,Noia,14263,53,
2021-01-04,Noia,14263,51,
2021-01-05,Noia,14263,52,
2021-01-06,Noia,14263,55,
2021-01-07,Noia,14263,52,
2021-01-08,Noia,14263,55,
2021-01-09,Noia,14263,66,
2021-01-10,Noia,14263,68,
2021-01-11,Noia,14263,66,
2021-01-12,Noia,14263,65,
2021-01-13,Noia,14263,68,
2021-01-14,Noia,14263,65,
2021-01-15,Noia,14263,67,
2021-01-16,Noia,14263,71,
2021-01-17,Noia,14263,75,
2021-01-18,Noia,14263,76,
2021-01-19,Noia,14263,77,
2021-01-20,Noia,14263,73,
2021-01-21,Noia,14263,70,
2021-01-22,Noia,14263,70,
2021-01-23,Noia,14263,59,
2021-01-24,Noia,14263,59,
2021-01-25,Noia,14263,62,
2021-01-26,Noia,14263,67,
2021-01-27,Noia,14263,66,
2021-01-28,Noia,14263,65,
2021-01-29,Noia,14263,63,
2021-01-30,Noia,14263,60,
2021-01-31,Noia,14263,57,
2021-02-01,Noia,14263,56,
2021-02-02,Noia,14263,53,
2021-02-03,Noia,14263,48,
2021-02-04,Noia,14263,48,
2021-02-05,Noia,14263,42,
2021-02-06,Noia,14263,41,
2021-02-07,Noia,14263,40,
2021-02-08,Noia,14263,36,
2021-02-09,Noia,14263,30,
2021-02-10,Noia,14263,26,
2021-02-11,Noia,14263,23,
2021-02-12,Noia,14263,21,
2021-02-13,Noia,14263,15,
2021-02-14,Noia,14263,15,
2021-02-15,Noia,14263,15,
2021-02-16,Noia,14263,16,
2021-02-17,Noia,14263,13,
2021-02-18,Noia,14263,11,
2021-02-19,Noia,14263,11,
2021-02-20,Noia,14263,11,
2021-02-21,Noia,14263,13,
2021-02-22,Noia,14263,14,
2021-02-23,Noia,14263,15,
2021-02-24,Noia,14263,15,
2021-02-25,Noia,14263,14,
2021-02-26,Noia,14263,10,
2021-02-27,Noia,14263,10,
2021-02-28,Noia,14263,,
2021-03-01,Noia,14263,,
2021-03-02,Noia,14263,,
2021-03-03,Noia,14263,,
2021-03-04,Noia,14263,,0
2021-03-05,Noia,14263,,0
2021-03-06,Noia,14263,,0
2021-03-07,Noia,14263,,
2021-03-08,Noia,14263,,
2021-03-09,Noia,14263,,
2021-03-10,Noia,14263,,
2021-03-11,Noia,14263,,
2021-03-12,Noia,14263,,
2021-03-13,Noia,14263,,
2021-03-14,Noia,14263,,
2021-03-15,Noia,14263,,
2021-03-16,Noia,14263,,0
2021-03-17,Noia,14263,,0
2021-03-18,Noia,14263,,0
2021-03-19,Noia,14263,,0
2021-03-20,Noia,14263,,0
2021-03-21,Noia,14263,,0
2021-03-22,Noia,14263,,0
2021-03-23,Noia,14263,0,0
2021-03-24,Noia,14263,0,0
2021-03-25,Noia,14263,0,0
2021-03-26,Noia,14263,0,0
