fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"O Barco de Valdeorras",13395,26,
2020-11-22,"O Barco de Valdeorras",13395,26,
2020-11-23,"O Barco de Valdeorras",13395,22,
2020-11-24,"O Barco de Valdeorras",13395,23,
2020-11-25,"O Barco de Valdeorras",13395,22,
2020-11-26,"O Barco de Valdeorras",13395,22,
2020-11-27,"O Barco de Valdeorras",13395,20,
2020-11-28,"O Barco de Valdeorras",13395,20,
2020-11-29,"O Barco de Valdeorras",13395,18,
2020-11-30,"O Barco de Valdeorras",13395,17,
2020-12-01,"O Barco de Valdeorras",13395,16,
2020-12-02,"O Barco de Valdeorras",13395,17,
2020-12-03,"O Barco de Valdeorras",13395,16,
2020-12-04,"O Barco de Valdeorras",13395,16,
2020-12-05,"O Barco de Valdeorras",13395,15,
2020-12-06,"O Barco de Valdeorras",13395,14,
2020-12-07,"O Barco de Valdeorras",13395,17,
2020-12-08,"O Barco de Valdeorras",13395,14,
2020-12-09,"O Barco de Valdeorras",13395,22,
2020-12-10,"O Barco de Valdeorras",13395,21,
2020-12-11,"O Barco de Valdeorras",13395,20,
2020-12-12,"O Barco de Valdeorras",13395,18,
2020-12-13,"O Barco de Valdeorras",13395,21,
2020-12-14,"O Barco de Valdeorras",13395,23,
2020-12-15,"O Barco de Valdeorras",13395,24,
2020-12-16,"O Barco de Valdeorras",13395,23,
2020-12-17,"O Barco de Valdeorras",13395,26,
2020-12-18,"O Barco de Valdeorras",13395,24,
2020-12-19,"O Barco de Valdeorras",13395,25,
2020-12-20,"O Barco de Valdeorras",13395,23,
2020-12-21,"O Barco de Valdeorras",13395,20,
2020-12-22,"O Barco de Valdeorras",13395,20,
2020-12-23,"O Barco de Valdeorras",13395,12,
2020-12-24,"O Barco de Valdeorras",13395,12,
2020-12-25,"O Barco de Valdeorras",13395,13,
2020-12-26,"O Barco de Valdeorras",13395,13,
2020-12-27,"O Barco de Valdeorras",13395,11,
2020-12-28,"O Barco de Valdeorras",13395,,
2020-12-29,"O Barco de Valdeorras",13395,,
2020-12-30,"O Barco de Valdeorras",13395,,
2020-12-31,"O Barco de Valdeorras",13395,,
2021-01-01,"O Barco de Valdeorras",13395,,
2021-01-02,"O Barco de Valdeorras",13395,,
2021-01-03,"O Barco de Valdeorras",13395,,
2021-01-04,"O Barco de Valdeorras",13395,,
2021-01-05,"O Barco de Valdeorras",13395,,
2021-01-06,"O Barco de Valdeorras",13395,,
2021-01-07,"O Barco de Valdeorras",13395,,
2021-01-08,"O Barco de Valdeorras",13395,,
2021-01-09,"O Barco de Valdeorras",13395,,
2021-01-10,"O Barco de Valdeorras",13395,,
2021-01-11,"O Barco de Valdeorras",13395,,
2021-01-12,"O Barco de Valdeorras",13395,,
2021-01-13,"O Barco de Valdeorras",13395,,
2021-01-14,"O Barco de Valdeorras",13395,,
2021-01-15,"O Barco de Valdeorras",13395,,
2021-01-16,"O Barco de Valdeorras",13395,,
2021-01-17,"O Barco de Valdeorras",13395,,
2021-01-18,"O Barco de Valdeorras",13395,,
2021-01-19,"O Barco de Valdeorras",13395,,
2021-01-20,"O Barco de Valdeorras",13395,,
2021-01-21,"O Barco de Valdeorras",13395,13,
2021-01-22,"O Barco de Valdeorras",13395,23,
2021-01-23,"O Barco de Valdeorras",13395,24,
2021-01-24,"O Barco de Valdeorras",13395,28,
2021-01-25,"O Barco de Valdeorras",13395,30,
2021-01-26,"O Barco de Valdeorras",13395,30,
2021-01-27,"O Barco de Valdeorras",13395,35,
2021-01-28,"O Barco de Valdeorras",13395,40,
2021-01-29,"O Barco de Valdeorras",13395,42,
2021-01-30,"O Barco de Valdeorras",13395,47,
2021-01-31,"O Barco de Valdeorras",13395,51,
2021-02-01,"O Barco de Valdeorras",13395,55,
