fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,36022,"O Grove",10650,43,,,403.755868544601,,,,,,,,
2020-11-22,36022,"O Grove",10650,45,,,422.535211267606,,,,,,,,
2020-11-23,36022,"O Grove",10650,49,,,460.093896713615,,,,,,,,
2020-11-24,36022,"O Grove",10650,49,,,460.093896713615,,,,,,,,
2020-11-25,36022,"O Grove",10650,48,,,450.704225352113,,,,,,,,
2020-11-26,36022,"O Grove",10650,47,,,441.31455399061,,,,,,,,
2020-11-27,36022,"O Grove",10650,48,,,450.704225352113,,,,,,,,
2020-11-28,36022,"O Grove",10650,46,,,431.924882629108,,,,,,,,
2020-11-29,36022,"O Grove",10650,43,,,403.755868544601,,,,,,,,
2020-11-30,36022,"O Grove",10650,43,,,403.755868544601,,,,,,,,
2020-12-01,36022,"O Grove",10650,44,,,413.145539906103,,,,,,,,
2020-12-02,36022,"O Grove",10650,45,,,422.535211267606,,,,,,,,
2020-12-03,36022,"O Grove",10650,41,,,384.976525821596,,,,,,,,
2020-12-04,36022,"O Grove",10650,36,,,338.028169014085,,,,,,,,
2020-12-05,36022,"O Grove",10650,35,,,328.638497652582,,,,,,,,
2020-12-06,36022,"O Grove",10650,36,,,338.028169014085,,,,,,,,
2020-12-07,36022,"O Grove",10650,36,,,338.028169014085,,,,,,,,
2020-12-08,36022,"O Grove",10650,33,,,309.859154929577,,,,,,,,
2020-12-09,36022,"O Grove",10650,33,,,309.859154929577,,,,,,,,
2020-12-10,36022,"O Grove",10650,32,,,300.469483568075,,,,,,,,
2020-12-11,36022,"O Grove",10650,35,,,328.638497652582,,,,,,,,
2020-12-12,36022,"O Grove",10650,38,,,356.807511737089,,,,,,,,
2020-12-13,36022,"O Grove",10650,46,,,431.924882629108,,,,,,,,
2020-12-14,36022,"O Grove",10650,49,,,460.093896713615,,,,,,,,
2020-12-15,36022,"O Grove",10650,56,,,525.821596244131,,,,,,,,
2020-12-16,36022,"O Grove",10650,50,,,469.483568075117,,,,,,,,
2020-12-17,36022,"O Grove",10650,56,,,525.821596244131,,,,,,,,
2020-12-18,36022,"O Grove",10650,55,,,516.431924882629,,,,,,,,
2020-12-19,36022,"O Grove",10650,56,,,525.821596244131,,,,,,,,
2020-12-20,36022,"O Grove",10650,62,,,582.159624413146,,,,,,,,
2020-12-21,36022,"O Grove",10650,57,,,535.211267605634,,,,,,,,
2020-12-22,36022,"O Grove",10650,53,,,497.652582159624,,,,,,,,
2020-12-23,36022,"O Grove",10650,59,,,553.990610328639,,,,,,,,
2020-12-24,36022,"O Grove",10650,62,,,582.159624413146,,,,,,,,
2020-12-25,36022,"O Grove",10650,60,,,563.380281690141,,,,,,,,
2020-12-26,36022,"O Grove",10650,58,,,544.600938967136,,,,,,,,
2020-12-27,36022,"O Grove",10650,49,,,460.093896713615,,,,,,,,
2020-12-28,36022,"O Grove",10650,44,,,413.145539906103,,,,,,,,
2020-12-29,36022,"O Grove",10650,34,,,319.24882629108,,,,,,,,
2020-12-30,36022,"O Grove",10650,34,,,319.24882629108,,,,,,,,
2020-12-31,36022,"O Grove",10650,29,,,272.300469483568,,,,,,,,
2021-01-01,36022,"O Grove",10650,30,,,281.69014084507,,,,,,,,
2021-01-02,36022,"O Grove",10650,30,,,281.69014084507,,,,,,,,
2021-01-03,36022,"O Grove",10650,21,,,197.183098591549,,,,,,,,
2021-01-04,36022,"O Grove",10650,21,,,197.183098591549,,,,,,,,
2021-01-05,36022,"O Grove",10650,21,,,197.183098591549,,,,,,,,
2021-01-06,36022,"O Grove",10650,14,,,131.455399061033,,,,,,,,
2021-01-07,36022,"O Grove",10650,11,,,103.286384976526,,,,,,,,
2021-01-08,36022,"O Grove",10650,,1,9,,9.38967136150235,84.5070422535211,,,,,,
