fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"O Pereiro de Aguiar",6275,14,
2020-11-22,"O Pereiro de Aguiar",6275,13,
2020-11-23,"O Pereiro de Aguiar",6275,13,
2020-11-24,"O Pereiro de Aguiar",6275,13,
2020-11-25,"O Pereiro de Aguiar",6275,13,
2020-11-26,"O Pereiro de Aguiar",6275,14,
2020-11-27,"O Pereiro de Aguiar",6275,14,
2020-11-28,"O Pereiro de Aguiar",6275,16,
2020-11-29,"O Pereiro de Aguiar",6275,13,
2020-11-30,"O Pereiro de Aguiar",6275,10,
2020-12-01,"O Pereiro de Aguiar",6275,10,
2020-12-02,"O Pereiro de Aguiar",6275,,
2020-12-03,"O Pereiro de Aguiar",6275,,
2020-12-04,"O Pereiro de Aguiar",6275,,
2020-12-05,"O Pereiro de Aguiar",6275,,
2020-12-06,"O Pereiro de Aguiar",6275,,
2020-12-07,"O Pereiro de Aguiar",6275,,
2020-12-08,"O Pereiro de Aguiar",6275,,
2020-12-09,"O Pereiro de Aguiar",6275,,
2020-12-10,"O Pereiro de Aguiar",6275,,
2020-12-11,"O Pereiro de Aguiar",6275,,
2020-12-12,"O Pereiro de Aguiar",6275,,
2020-12-13,"O Pereiro de Aguiar",6275,,
2020-12-14,"O Pereiro de Aguiar",6275,,
2020-12-15,"O Pereiro de Aguiar",6275,,
2020-12-16,"O Pereiro de Aguiar",6275,,
2020-12-17,"O Pereiro de Aguiar",6275,,
2020-12-18,"O Pereiro de Aguiar",6275,18,
2020-12-19,"O Pereiro de Aguiar",6275,20,
2020-12-20,"O Pereiro de Aguiar",6275,22,
2020-12-21,"O Pereiro de Aguiar",6275,25,
2020-12-22,"O Pereiro de Aguiar",6275,30,
2020-12-23,"O Pereiro de Aguiar",6275,30,
2020-12-24,"O Pereiro de Aguiar",6275,32,
2020-12-25,"O Pereiro de Aguiar",6275,31,
2020-12-26,"O Pereiro de Aguiar",6275,31,
2020-12-27,"O Pereiro de Aguiar",6275,30,
2020-12-28,"O Pereiro de Aguiar",6275,29,
2020-12-29,"O Pereiro de Aguiar",6275,29,
2020-12-30,"O Pereiro de Aguiar",6275,28,
2020-12-31,"O Pereiro de Aguiar",6275,27,
2021-01-01,"O Pereiro de Aguiar",6275,16,
2021-01-02,"O Pereiro de Aguiar",6275,14,
2021-01-03,"O Pereiro de Aguiar",6275,12,
2021-01-04,"O Pereiro de Aguiar",6275,,
2021-01-05,"O Pereiro de Aguiar",6275,,
2021-01-06,"O Pereiro de Aguiar",6275,,
2021-01-07,"O Pereiro de Aguiar",6275,,
2021-01-08,"O Pereiro de Aguiar",6275,,
2021-01-09,"O Pereiro de Aguiar",6275,,
2021-01-10,"O Pereiro de Aguiar",6275,,
2021-01-11,"O Pereiro de Aguiar",6275,,
2021-01-12,"O Pereiro de Aguiar",6275,,
2021-01-13,"O Pereiro de Aguiar",6275,,
2021-01-14,"O Pereiro de Aguiar",6275,,
2021-01-15,"O Pereiro de Aguiar",6275,,
2021-01-16,"O Pereiro de Aguiar",6275,,
2021-01-17,"O Pereiro de Aguiar",6275,,
2021-01-18,"O Pereiro de Aguiar",6275,,
2021-01-19,"O Pereiro de Aguiar",6275,,
2021-01-20,"O Pereiro de Aguiar",6275,,
2021-01-21,"O Pereiro de Aguiar",6275,12,
2021-01-22,"O Pereiro de Aguiar",6275,18,
2021-01-23,"O Pereiro de Aguiar",6275,20,
2021-01-24,"O Pereiro de Aguiar",6275,26,
2021-01-25,"O Pereiro de Aguiar",6275,27,
2021-01-26,"O Pereiro de Aguiar",6275,30,
2021-01-27,"O Pereiro de Aguiar",6275,32,
2021-01-28,"O Pereiro de Aguiar",6275,33,
2021-01-29,"O Pereiro de Aguiar",6275,34,
2021-01-30,"O Pereiro de Aguiar",6275,33,
2021-01-31,"O Pereiro de Aguiar",6275,36,
2021-02-01,"O Pereiro de Aguiar",6275,37,
2021-02-02,"O Pereiro de Aguiar",6275,35,
2021-02-03,"O Pereiro de Aguiar",6275,39,
2021-02-04,"O Pereiro de Aguiar",6275,34,
2021-02-05,"O Pereiro de Aguiar",6275,29,
2021-02-06,"O Pereiro de Aguiar",6275,28,
2021-02-07,"O Pereiro de Aguiar",6275,23,
2021-02-08,"O Pereiro de Aguiar",6275,22,
2021-02-09,"O Pereiro de Aguiar",6275,19,
2021-02-10,"O Pereiro de Aguiar",6275,15,
2021-02-11,"O Pereiro de Aguiar",6275,14,
2021-02-12,"O Pereiro de Aguiar",6275,13,
2021-02-13,"O Pereiro de Aguiar",6275,12,
2021-02-14,"O Pereiro de Aguiar",6275,10,
2021-02-15,"O Pereiro de Aguiar",6275,,
2021-02-16,"O Pereiro de Aguiar",6275,10,
2021-02-17,"O Pereiro de Aguiar",6275,,
2021-02-18,"O Pereiro de Aguiar",6275,,
2021-02-19,"O Pereiro de Aguiar",6275,,
2021-02-20,"O Pereiro de Aguiar",6275,,
2021-02-21,"O Pereiro de Aguiar",6275,,
2021-02-22,"O Pereiro de Aguiar",6275,,
2021-02-23,"O Pereiro de Aguiar",6275,,
2021-02-24,"O Pereiro de Aguiar",6275,,
2021-02-25,"O Pereiro de Aguiar",6275,,
2021-02-26,"O Pereiro de Aguiar",6275,,
2021-02-27,"O Pereiro de Aguiar",6275,,
2021-02-28,"O Pereiro de Aguiar",6275,,
2021-03-01,"O Pereiro de Aguiar",6275,,
2021-03-02,"O Pereiro de Aguiar",6275,,
2021-03-03,"O Pereiro de Aguiar",6275,,
2021-03-04,"O Pereiro de Aguiar",6275,,
2021-03-05,"O Pereiro de Aguiar",6275,,0
2021-03-06,"O Pereiro de Aguiar",6275,,0
2021-03-07,"O Pereiro de Aguiar",6275,,0
2021-03-08,"O Pereiro de Aguiar",6275,,
2021-03-09,"O Pereiro de Aguiar",6275,,
2021-03-10,"O Pereiro de Aguiar",6275,,
2021-03-11,"O Pereiro de Aguiar",6275,,
2021-03-12,"O Pereiro de Aguiar",6275,,
2021-03-13,"O Pereiro de Aguiar",6275,,
2021-03-14,"O Pereiro de Aguiar",6275,,
2021-03-15,"O Pereiro de Aguiar",6275,,0
