fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"O Porriño",19848,79,
2020-11-22,"O Porriño",19848,83,
2020-11-23,"O Porriño",19848,84,
2020-11-24,"O Porriño",19848,78,
2020-11-25,"O Porriño",19848,80,
2020-11-26,"O Porriño",19848,79,
2020-11-27,"O Porriño",19848,76,
2020-11-28,"O Porriño",19848,70,
2020-11-29,"O Porriño",19848,70,
2020-11-30,"O Porriño",19848,62,
2020-12-01,"O Porriño",19848,60,
2020-12-02,"O Porriño",19848,58,
2020-12-03,"O Porriño",19848,46,
2020-12-04,"O Porriño",19848,47,
2020-12-05,"O Porriño",19848,40,
2020-12-06,"O Porriño",19848,38,
2020-12-07,"O Porriño",19848,39,
2020-12-08,"O Porriño",19848,37,
2020-12-09,"O Porriño",19848,33,
2020-12-10,"O Porriño",19848,37,
2020-12-11,"O Porriño",19848,38,
2020-12-12,"O Porriño",19848,39,
2020-12-13,"O Porriño",19848,46,
2020-12-14,"O Porriño",19848,50,
2020-12-15,"O Porriño",19848,51,
2020-12-16,"O Porriño",19848,59,
2020-12-17,"O Porriño",19848,63,
2020-12-18,"O Porriño",19848,63,
2020-12-19,"O Porriño",19848,65,
2020-12-20,"O Porriño",19848,63,
2020-12-21,"O Porriño",19848,64,
2020-12-22,"O Porriño",19848,65,
2020-12-23,"O Porriño",19848,67,
2020-12-24,"O Porriño",19848,64,
2020-12-25,"O Porriño",19848,60,
2020-12-26,"O Porriño",19848,62,
2020-12-27,"O Porriño",19848,53,
2020-12-28,"O Porriño",19848,49,
2020-12-29,"O Porriño",19848,47,
2020-12-30,"O Porriño",19848,39,
2020-12-31,"O Porriño",19848,36,
2021-01-01,"O Porriño",19848,34,
2021-01-02,"O Porriño",19848,30,
2021-01-03,"O Porriño",19848,34,
2021-01-04,"O Porriño",19848,32,
2021-01-05,"O Porriño",19848,29,
2021-01-06,"O Porriño",19848,25,
2021-01-07,"O Porriño",19848,25,
2021-01-08,"O Porriño",19848,24,
2021-01-09,"O Porriño",19848,22,
2021-01-10,"O Porriño",19848,25,
2021-01-11,"O Porriño",19848,29,
2021-01-12,"O Porriño",19848,32,
2021-01-13,"O Porriño",19848,37,
2021-01-14,"O Porriño",19848,44,
2021-01-15,"O Porriño",19848,54,
2021-01-16,"O Porriño",19848,62,
2021-01-17,"O Porriño",19848,67,
2021-01-18,"O Porriño",19848,70,
2021-01-19,"O Porriño",19848,78,
2021-01-20,"O Porriño",19848,80,
2021-01-21,"O Porriño",19848,87,
2021-01-22,"O Porriño",19848,91,
2021-01-23,"O Porriño",19848,102,
2021-01-24,"O Porriño",19848,100,
2021-01-25,"O Porriño",19848,101,
2021-01-26,"O Porriño",19848,100,
2021-01-27,"O Porriño",19848,103,
2021-01-28,"O Porriño",19848,102,
2021-01-29,"O Porriño",19848,104,
2021-01-30,"O Porriño",19848,109,
2021-01-31,"O Porriño",19848,117,
2021-02-01,"O Porriño",19848,121,
2021-02-02,"O Porriño",19848,121,
2021-02-03,"O Porriño",19848,130,
2021-02-04,"O Porriño",19848,129,
2021-02-05,"O Porriño",19848,134,
2021-02-06,"O Porriño",19848,125,
2021-02-07,"O Porriño",19848,129,
2021-02-08,"O Porriño",19848,129,
2021-02-09,"O Porriño",19848,138,
2021-02-10,"O Porriño",19848,134,
2021-02-11,"O Porriño",19848,131,
2021-02-12,"O Porriño",19848,114,
2021-02-13,"O Porriño",19848,110,
2021-02-14,"O Porriño",19848,95,
2021-02-15,"O Porriño",19848,91,
2021-02-16,"O Porriño",19848,87,
2021-02-17,"O Porriño",19848,76,
2021-02-18,"O Porriño",19848,69,
2021-02-19,"O Porriño",19848,62,
2021-02-20,"O Porriño",19848,63,
2021-02-21,"O Porriño",19848,59,
2021-02-22,"O Porriño",19848,54,
2021-02-23,"O Porriño",19848,44,
2021-02-24,"O Porriño",19848,37,
2021-02-25,"O Porriño",19848,34,
2021-02-26,"O Porriño",19848,35,
2021-02-27,"O Porriño",19848,33,
2021-02-28,"O Porriño",19848,36,
2021-03-01,"O Porriño",19848,35,
2021-03-02,"O Porriño",19848,32,16
2021-03-03,"O Porriño",19848,31,16
2021-03-04,"O Porriño",19848,29,13
2021-03-05,"O Porriño",19848,27,11
2021-03-06,"O Porriño",19848,22,
2021-03-07,"O Porriño",19848,21,
2021-03-08,"O Porriño",19848,21,
2021-03-09,"O Porriño",19848,18,
2021-03-10,"O Porriño",19848,18,
2021-03-11,"O Porriño",19848,17,
2021-03-12,"O Porriño",19848,17,
2021-03-13,"O Porriño",19848,14,
2021-03-14,"O Porriño",19848,10,
2021-03-15,"O Porriño",19848,,
2021-03-16,"O Porriño",19848,,
2021-03-17,"O Porriño",19848,11,
2021-03-18,"O Porriño",19848,13,
2021-03-19,"O Porriño",19848,13,
2021-03-20,"O Porriño",19848,13,
2021-03-21,"O Porriño",19848,14,
2021-03-22,"O Porriño",19848,13,
2021-03-23,"O Porriño",19848,13,
2021-03-24,"O Porriño",19848,14,
2021-03-25,"O Porriño",19848,13,
2021-03-26,"O Porriño",19848,11,
2021-03-27,"O Porriño",19848,11,
2021-03-28,"O Porriño",19848,12,
2021-03-29,"O Porriño",19848,12,
2021-03-30,"O Porriño",19848,11,
2021-03-31,"O Porriño",19848,,
2021-04-01,"O Porriño",19848,10,
2021-04-02,"O Porriño",19848,10,
2021-04-03,"O Porriño",19848,13,
2021-04-04,"O Porriño",19848,12,
2021-04-05,"O Porriño",19848,12,
2021-04-06,"O Porriño",19848,12,
2021-04-07,"O Porriño",19848,12,
2021-04-08,"O Porriño",19848,11,
2021-04-09,"O Porriño",19848,11,
2021-04-10,"O Porriño",19848,,
2021-04-11,"O Porriño",19848,,
2021-04-12,"O Porriño",19848,,
2021-04-13,"O Porriño",19848,,
2021-04-14,"O Porriño",19848,,0
2021-04-15,"O Porriño",19848,,0
2021-04-16,"O Porriño",19848,,
2021-04-17,"O Porriño",19848,,
2021-04-18,"O Porriño",19848,,
2021-04-19,"O Porriño",19848,,
2021-04-20,"O Porriño",19848,,
2021-04-21,"O Porriño",19848,,
2021-04-22,"O Porriño",19848,,
2021-04-23,"O Porriño",19848,,
2021-04-24,"O Porriño",19848,,
2021-04-25,"O Porriño",19848,,
2021-04-26,"O Porriño",19848,11,10
2021-04-27,"O Porriño",19848,13,12
2021-04-28,"O Porriño",19848,18,16
2021-04-29,"O Porriño",19848,21,19
2021-04-30,"O Porriño",19848,22,21
2021-05-01,"O Porriño",19848,23,21
2021-05-02,"O Porriño",19848,28,21
2021-05-03,"O Porriño",19848,30,20
2021-05-04,"O Porriño",19848,33,21
2021-05-05,"O Porriño",19848,35,19
2021-05-06,"O Porriño",19848,35,16
2021-05-07,"O Porriño",19848,35,14
2021-05-08,"O Porriño",19848,34,13
2021-05-09,"O Porriño",19848,32,11
2021-05-10,"O Porriño",19848,31,11
2021-05-11,"O Porriño",19848,30,
2021-05-12,"O Porriño",19848,26,
2021-05-13,"O Porriño",19848,24,
2021-05-14,"O Porriño",19848,22,
2021-05-15,"O Porriño",19848,21,
2021-05-16,"O Porriño",19848,17,
2021-05-17,"O Porriño",19848,15,
2021-05-18,"O Porriño",19848,14,
2021-05-19,"O Porriño",19848,12,
2021-05-20,"O Porriño",19848,16,
2021-05-21,"O Porriño",19848,17,
2021-05-22,"O Porriño",19848,19,11
2021-05-23,"O Porriño",19848,17,11
2021-05-24,"O Porriño",19848,16,12
2021-05-25,"O Porriño",19848,15,10
2021-05-26,"O Porriño",19848,15,10
2021-05-27,"O Porriño",19848,14,
2021-05-28,"O Porriño",19848,15,
2021-05-29,"O Porriño",19848,15,
2021-05-30,"O Porriño",19848,14,
2021-05-31,"O Porriño",19848,18,
2021-06-01,"O Porriño",19848,16,
2021-06-02,"O Porriño",19848,15,
2021-06-03,"O Porriño",19848,12,
2021-06-04,"O Porriño",19848,11,
2021-06-05,"O Porriño",19848,10,
2021-06-06,"O Porriño",19848,,
2021-06-07,"O Porriño",19848,,
2021-06-08,"O Porriño",19848,,
2021-06-09,"O Porriño",19848,,
2021-06-10,"O Porriño",19848,,
2021-06-11,"O Porriño",19848,,
2021-06-12,"O Porriño",19848,,0
2021-06-13,"O Porriño",19848,,0
2021-06-14,"O Porriño",19848,,0
2021-06-15,"O Porriño",19848,,0
2021-06-16,"O Porriño",19848,,0
