fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,36048,"O Rosal",6234,20,,,320.821302534488,,,,,,,,
2020-11-22,36048,"O Rosal",6234,19,,,304.780237407764,,,,,,,,
2020-11-23,36048,"O Rosal",6234,18,,,288.739172281039,,,,,,,,
2020-11-24,36048,"O Rosal",6234,19,,,304.780237407764,,,,,,,,
2020-11-25,36048,"O Rosal",6234,18,,,288.739172281039,,,,,,,,
2020-11-26,36048,"O Rosal",6234,18,,,288.739172281039,,,,,,,,
2020-11-27,36048,"O Rosal",6234,16,,,256.657042027591,,,,,,,,
2020-11-28,36048,"O Rosal",6234,21,,,336.862367661213,,,,,,,,
2020-11-29,36048,"O Rosal",6234,20,,,320.821302534488,,,,,,,,
2020-11-30,36048,"O Rosal",6234,19,,,304.780237407764,,,,,,,,
2020-12-01,36048,"O Rosal",6234,21,,,336.862367661213,,,,,,,,
2020-12-02,36048,"O Rosal",6234,22,,,352.903432787937,,,,,,,,
2020-12-03,36048,"O Rosal",6234,19,,,304.780237407764,,,,,,,,
2020-12-04,36048,"O Rosal",6234,19,,,304.780237407764,,,,,,,,
2020-12-05,36048,"O Rosal",6234,18,,,288.739172281039,,,,,,,,
2020-12-06,36048,"O Rosal",6234,16,,,256.657042027591,,,,,,,,
2020-12-07,36048,"O Rosal",6234,16,,,256.657042027591,,,,,,,,
2020-12-08,36048,"O Rosal",6234,15,,,240.615976900866,,,,,,,,
2020-12-09,36048,"O Rosal",6234,18,,,288.739172281039,,,,,,,,
2020-12-10,36048,"O Rosal",6234,16,,,256.657042027591,,,,,,,,
2020-12-11,36048,"O Rosal",6234,16,,,256.657042027591,,,,,,,,
2020-12-12,36048,"O Rosal",6234,13,,,208.533846647417,,,,,,,,
2020-12-13,36048,"O Rosal",6234,14,,,224.574911774142,,,,,,,,
2020-12-14,36048,"O Rosal",6234,16,,,256.657042027591,,,,,,,,
2020-12-15,36048,"O Rosal",6234,13,,,208.533846647417,,,,,,,,
2020-12-16,36048,"O Rosal",6234,11,,,176.451716393969,,,,,,,,
2020-12-17,36048,"O Rosal",6234,12,,,192.492781520693,,,,,,,,
2020-12-18,36048,"O Rosal",6234,13,,,208.533846647417,,,,,,,,
2020-12-19,36048,"O Rosal",6234,17,,,272.698107154315,,,,,,,,
2020-12-20,36048,"O Rosal",6234,18,,,288.739172281039,,,,,,,,
2020-12-21,36048,"O Rosal",6234,19,,,304.780237407764,,,,,,,,
