fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Oia,3053,18,
2020-11-22,Oia,3053,18,
2020-11-23,Oia,3053,15,
2020-11-24,Oia,3053,14,
2020-11-25,Oia,3053,12,
2020-11-26,Oia,3053,,
2020-11-27,Oia,3053,,
2020-11-28,Oia,3053,,
2020-11-29,Oia,3053,,
2020-11-30,Oia,3053,,
2020-12-01,Oia,3053,,
2020-12-02,Oia,3053,,
2020-12-03,Oia,3053,,
2020-12-04,Oia,3053,0,
2020-12-05,Oia,3053,0,
2020-12-06,Oia,3053,0,
2020-12-07,Oia,3053,0,
2020-12-08,Oia,3053,0,
2020-12-09,Oia,3053,0,
2020-12-10,Oia,3053,0,
2020-12-11,Oia,3053,0,
2020-12-12,Oia,3053,0,
2020-12-13,Oia,3053,0,
2020-12-14,Oia,3053,0,
2020-12-15,Oia,3053,0,
2020-12-16,Oia,3053,0,
2020-12-17,Oia,3053,0,
2020-12-18,Oia,3053,,
2020-12-19,Oia,3053,,
2020-12-20,Oia,3053,,
2020-12-21,Oia,3053,,
2020-12-22,Oia,3053,,
2020-12-23,Oia,3053,,
2020-12-24,Oia,3053,,
2020-12-25,Oia,3053,,
2020-12-26,Oia,3053,,
2020-12-27,Oia,3053,,
2020-12-28,Oia,3053,,
2020-12-29,Oia,3053,,
2020-12-30,Oia,3053,,
2020-12-31,Oia,3053,,
2021-01-01,Oia,3053,,
2021-01-02,Oia,3053,,
2021-01-03,Oia,3053,,
2021-01-04,Oia,3053,,
2021-01-05,Oia,3053,,
2021-01-06,Oia,3053,11,
2021-01-07,Oia,3053,10,
2021-01-08,Oia,3053,10,
2021-01-09,Oia,3053,17,
2021-01-10,Oia,3053,30,
2021-01-11,Oia,3053,32,
2021-01-12,Oia,3053,32,
2021-01-13,Oia,3053,37,
2021-01-14,Oia,3053,44,
2021-01-15,Oia,3053,43,
2021-01-16,Oia,3053,47,
2021-01-17,Oia,3053,48,
2021-01-18,Oia,3053,50,
2021-01-19,Oia,3053,50,
2021-01-20,Oia,3053,49,
2021-01-21,Oia,3053,53,
2021-01-22,Oia,3053,56,
2021-01-23,Oia,3053,49,
2021-01-24,Oia,3053,38,
2021-01-25,Oia,3053,34,
2021-01-26,Oia,3053,36,
2021-01-27,Oia,3053,32,
2021-01-28,Oia,3053,27,
2021-01-29,Oia,3053,30,
2021-01-30,Oia,3053,26,
2021-01-31,Oia,3053,28,
2021-02-01,Oia,3053,26,
2021-02-02,Oia,3053,26,
2021-02-03,Oia,3053,26,
2021-02-04,Oia,3053,24,
2021-02-05,Oia,3053,20,
2021-02-06,Oia,3053,20,
2021-02-07,Oia,3053,19,
2021-02-08,Oia,3053,19,
2021-02-09,Oia,3053,18,
2021-02-10,Oia,3053,19,
2021-02-11,Oia,3053,17,
2021-02-12,Oia,3053,14,
2021-02-13,Oia,3053,14,
2021-02-14,Oia,3053,11,
2021-02-15,Oia,3053,11,
2021-02-16,Oia,3053,12,
2021-02-17,Oia,3053,12,
2021-02-18,Oia,3053,10,
2021-02-19,Oia,3053,12,
2021-02-20,Oia,3053,13,
2021-02-21,Oia,3053,12,
2021-02-22,Oia,3053,12,
2021-02-23,Oia,3053,11,
2021-02-24,Oia,3053,,
2021-02-25,Oia,3053,,
2021-02-26,Oia,3053,,
2021-02-27,Oia,3053,,
2021-02-28,Oia,3053,,
2021-03-01,Oia,3053,,
2021-03-02,Oia,3053,,0
2021-03-03,Oia,3053,,0
2021-03-04,Oia,3053,,0
2021-03-05,Oia,3053,,0
2021-03-06,Oia,3053,0,0
2021-03-07,Oia,3053,0,0
2021-03-08,Oia,3053,0,0
2021-03-09,Oia,3053,0,0
2021-03-10,Oia,3053,0,0
2021-03-11,Oia,3053,0,0
2021-03-12,Oia,3053,0,0
2021-03-13,Oia,3053,0,0
2021-03-14,Oia,3053,0,0
2021-03-15,Oia,3053,0,0
2021-03-16,Oia,3053,0,0
2021-03-17,Oia,3053,,
2021-03-18,Oia,3053,,
2021-03-19,Oia,3053,,
2021-03-20,Oia,3053,,
2021-03-21,Oia,3053,,
2021-03-22,Oia,3053,,
2021-03-23,Oia,3053,,
2021-03-24,Oia,3053,,
2021-03-25,Oia,3053,,
2021-03-26,Oia,3053,,
2021-03-27,Oia,3053,,
2021-03-28,Oia,3053,,
2021-03-29,Oia,3053,,
2021-03-30,Oia,3053,,
2021-03-31,Oia,3053,,
2021-04-01,Oia,3053,,
2021-04-02,Oia,3053,,
2021-04-03,Oia,3053,,
2021-04-04,Oia,3053,,
2021-04-05,Oia,3053,,
2021-04-06,Oia,3053,,
2021-04-07,Oia,3053,,
2021-04-08,Oia,3053,,0
2021-04-09,Oia,3053,,0
2021-04-10,Oia,3053,,0
2021-04-11,Oia,3053,,
2021-04-12,Oia,3053,,
2021-04-13,Oia,3053,,
2021-04-14,Oia,3053,,
2021-04-15,Oia,3053,,
2021-04-16,Oia,3053,,
2021-04-17,Oia,3053,,
2021-04-18,Oia,3053,,0
2021-04-19,Oia,3053,,0
2021-04-20,Oia,3053,,0
2021-04-21,Oia,3053,,0
2021-04-22,Oia,3053,,0
2021-04-23,Oia,3053,,0
2021-04-24,Oia,3053,,0
2021-04-25,Oia,3053,0,0
2021-04-26,Oia,3053,0,0
2021-04-27,Oia,3053,0,0
2021-04-28,Oia,3053,0,0
2021-04-29,Oia,3053,0,0
2021-04-30,Oia,3053,0,0
2021-05-01,Oia,3053,0,0
2021-05-02,Oia,3053,0,0
2021-05-03,Oia,3053,0,0
2021-05-04,Oia,3053,0,0
2021-05-05,Oia,3053,0,0
2021-05-06,Oia,3053,0,0
2021-05-07,Oia,3053,0,0
2021-05-08,Oia,3053,0,0
2021-05-09,Oia,3053,0,0
