fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ordes,12674,37,
2020-11-22,Ordes,12674,36,
2020-11-23,Ordes,12674,36,
2020-11-24,Ordes,12674,36,
2020-11-25,Ordes,12674,31,
2020-11-26,Ordes,12674,32,
2020-11-27,Ordes,12674,30,
2020-11-28,Ordes,12674,32,
2020-11-29,Ordes,12674,31,
2020-11-30,Ordes,12674,27,
2020-12-01,Ordes,12674,27,
2020-12-02,Ordes,12674,27,
2020-12-03,Ordes,12674,33,
2020-12-04,Ordes,12674,30,
2020-12-05,Ordes,12674,29,
2020-12-06,Ordes,12674,30,
2020-12-07,Ordes,12674,29,
2020-12-08,Ordes,12674,30,
2020-12-09,Ordes,12674,30,
2020-12-10,Ordes,12674,28,
2020-12-11,Ordes,12674,27,
2020-12-12,Ordes,12674,27,
2020-12-13,Ordes,12674,26,
2020-12-14,Ordes,12674,25,
2020-12-15,Ordes,12674,23,
2020-12-16,Ordes,12674,22,
2020-12-17,Ordes,12674,13,
2020-12-18,Ordes,12674,13,
2020-12-19,Ordes,12674,15,
2020-12-20,Ordes,12674,15,
2020-12-21,Ordes,12674,14,
2020-12-22,Ordes,12674,14,
2020-12-23,Ordes,12674,15,
2020-12-24,Ordes,12674,15,
2020-12-25,Ordes,12674,17,
2020-12-26,Ordes,12674,15,
2020-12-27,Ordes,12674,14,
2020-12-28,Ordes,12674,14,
2020-12-29,Ordes,12674,14,
2020-12-30,Ordes,12674,16,
2020-12-31,Ordes,12674,16,
2021-01-01,Ordes,12674,15,
2021-01-02,Ordes,12674,13,
2021-01-03,Ordes,12674,12,
2021-01-04,Ordes,12674,14,
2021-01-05,Ordes,12674,12,
2021-01-06,Ordes,12674,11,
2021-01-07,Ordes,12674,11,
2021-01-08,Ordes,12674,10,
2021-01-09,Ordes,12674,16,
2021-01-10,Ordes,12674,20,
2021-01-11,Ordes,12674,19,
2021-01-12,Ordes,12674,24,
2021-01-13,Ordes,12674,27,
2021-01-14,Ordes,12674,30,
2021-01-15,Ordes,12674,33,
2021-01-16,Ordes,12674,35,
2021-01-17,Ordes,12674,40,
2021-01-18,Ordes,12674,41,
2021-01-19,Ordes,12674,48,
2021-01-20,Ordes,12674,56,
2021-01-21,Ordes,12674,62,
2021-01-22,Ordes,12674,72,
2021-01-23,Ordes,12674,81,
2021-01-24,Ordes,12674,82,
2021-01-25,Ordes,12674,88,
