fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ourense,105233,210,
2020-11-22,Ourense,105233,203,
2020-11-23,Ourense,105233,195,
2020-11-24,Ourense,105233,187,
2020-11-25,Ourense,105233,177,
2020-11-26,Ourense,105233,171,
2020-11-27,Ourense,105233,155,
2020-11-28,Ourense,105233,143,
2020-11-29,Ourense,105233,125,
2020-11-30,Ourense,105233,115,
2020-12-01,Ourense,105233,110,
2020-12-02,Ourense,105233,111,
2020-12-03,Ourense,105233,126,
2020-12-04,Ourense,105233,115,
2020-12-05,Ourense,105233,108,
2020-12-06,Ourense,105233,99,
2020-12-07,Ourense,105233,99,
2020-12-08,Ourense,105233,103,
2020-12-09,Ourense,105233,103,
2020-12-10,Ourense,105233,99,
2020-12-11,Ourense,105233,109,
2020-12-12,Ourense,105233,116,
2020-12-13,Ourense,105233,130,
2020-12-14,Ourense,105233,143,
2020-12-15,Ourense,105233,142,
2020-12-16,Ourense,105233,142,
2020-12-17,Ourense,105233,124,
2020-12-18,Ourense,105233,130,
2020-12-19,Ourense,105233,135,
2020-12-20,Ourense,105233,139,
2020-12-21,Ourense,105233,151,
2020-12-22,Ourense,105233,151,
2020-12-23,Ourense,105233,155,
2020-12-24,Ourense,105233,158,
2020-12-25,Ourense,105233,157,
2020-12-26,Ourense,105233,156,
2020-12-27,Ourense,105233,142,
2020-12-28,Ourense,105233,135,
2020-12-29,Ourense,105233,140,
2020-12-30,Ourense,105233,138,
2020-12-31,Ourense,105233,151,
2021-01-01,Ourense,105233,161,
2021-01-02,Ourense,105233,162,
2021-01-03,Ourense,105233,157,
2021-01-04,Ourense,105233,168,
2021-01-05,Ourense,105233,179,
2021-01-06,Ourense,105233,192,
2021-01-07,Ourense,105233,204,
2021-01-08,Ourense,105233,221,
2021-01-09,Ourense,105233,241,
2021-01-10,Ourense,105233,272,
2021-01-11,Ourense,105233,301,
2021-01-12,Ourense,105233,335,
2021-01-13,Ourense,105233,378,
2021-01-14,Ourense,105233,422,
2021-01-15,Ourense,105233,458,
2021-01-16,Ourense,105233,486,
2021-01-17,Ourense,105233,538,
2021-01-18,Ourense,105233,548,
2021-01-19,Ourense,105233,593,
2021-01-20,Ourense,105233,634,
2021-01-21,Ourense,105233,697,
2021-01-22,Ourense,105233,736,
2021-01-23,Ourense,105233,815,
2021-01-24,Ourense,105233,861,
2021-01-25,Ourense,105233,886,
2021-01-26,Ourense,105233,926,
2021-01-27,Ourense,105233,957,
2021-01-28,Ourense,105233,956,
2021-01-29,Ourense,105233,957,
2021-01-30,Ourense,105233,955,
2021-01-31,Ourense,105233,966,
2021-02-01,Ourense,105233,989,
2021-02-02,Ourense,105233,969,
2021-02-03,Ourense,105233,950,
2021-02-04,Ourense,105233,913,
2021-02-05,Ourense,105233,879,
2021-02-06,Ourense,105233,802,
2021-02-07,Ourense,105233,755,
2021-02-08,Ourense,105233,707,
2021-02-09,Ourense,105233,656,
2021-02-10,Ourense,105233,604,
2021-02-11,Ourense,105233,563,
2021-02-12,Ourense,105233,525,
2021-02-13,Ourense,105233,507,
2021-02-14,Ourense,105233,450,
2021-02-15,Ourense,105233,402,
2021-02-16,Ourense,105233,359,
2021-02-17,Ourense,105233,322,
