fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Outes,6282,,
2020-11-22,Outes,6282,,
2020-11-23,Outes,6282,,
2020-11-24,Outes,6282,,
2020-11-25,Outes,6282,,
2020-11-26,Outes,6282,,
2020-11-27,Outes,6282,,
2020-11-28,Outes,6282,,
2020-11-29,Outes,6282,,
2020-11-30,Outes,6282,,
2020-12-01,Outes,6282,,
2020-12-02,Outes,6282,,
2020-12-03,Outes,6282,,
2020-12-04,Outes,6282,,
2020-12-05,Outes,6282,11,
2020-12-06,Outes,6282,11,
2020-12-07,Outes,6282,10,
2020-12-08,Outes,6282,10,
2020-12-09,Outes,6282,10,
2020-12-10,Outes,6282,,
2020-12-11,Outes,6282,,
2020-12-12,Outes,6282,,
2020-12-13,Outes,6282,10,
2020-12-14,Outes,6282,10,
2020-12-15,Outes,6282,11,
2020-12-16,Outes,6282,13,
2020-12-17,Outes,6282,13,
2020-12-18,Outes,6282,14,
2020-12-19,Outes,6282,12,
2020-12-20,Outes,6282,15,
2020-12-21,Outes,6282,15,
2020-12-22,Outes,6282,16,
2020-12-23,Outes,6282,17,
2020-12-24,Outes,6282,20,
2020-12-25,Outes,6282,21,
2020-12-26,Outes,6282,27,
2020-12-27,Outes,6282,27,
2020-12-28,Outes,6282,30,
2020-12-29,Outes,6282,31,
2020-12-30,Outes,6282,30,
2020-12-31,Outes,6282,28,
2021-01-01,Outes,6282,28,
2021-01-02,Outes,6282,34,
2021-01-03,Outes,6282,32,
2021-01-04,Outes,6282,33,
2021-01-05,Outes,6282,34,
2021-01-06,Outes,6282,35,
2021-01-07,Outes,6282,33,
2021-01-08,Outes,6282,38,
2021-01-09,Outes,6282,34,
2021-01-10,Outes,6282,36,
2021-01-11,Outes,6282,38,
2021-01-12,Outes,6282,36,
2021-01-13,Outes,6282,38,
2021-01-14,Outes,6282,42,
2021-01-15,Outes,6282,41,
2021-01-16,Outes,6282,34,
2021-01-17,Outes,6282,35,
2021-01-18,Outes,6282,34,
2021-01-19,Outes,6282,31,
2021-01-20,Outes,6282,32,
2021-01-21,Outes,6282,33,
2021-01-22,Outes,6282,28,
2021-01-23,Outes,6282,26,
2021-01-24,Outes,6282,24,
2021-01-25,Outes,6282,23,
2021-01-26,Outes,6282,27,
2021-01-27,Outes,6282,28,
2021-01-28,Outes,6282,25,
2021-01-29,Outes,6282,27,
2021-01-30,Outes,6282,27,
2021-01-31,Outes,6282,26,
2021-02-01,Outes,6282,27,
2021-02-02,Outes,6282,28,
2021-02-03,Outes,6282,26,
2021-02-04,Outes,6282,28,
2021-02-05,Outes,6282,28,
2021-02-06,Outes,6282,28,
2021-02-07,Outes,6282,29,
2021-02-08,Outes,6282,25,
2021-02-09,Outes,6282,21,
2021-02-10,Outes,6282,17,
2021-02-11,Outes,6282,16,
2021-02-12,Outes,6282,12,
2021-02-13,Outes,6282,12,
2021-02-14,Outes,6282,11,
2021-02-15,Outes,6282,10,
2021-02-16,Outes,6282,,
2021-02-17,Outes,6282,,
2021-02-18,Outes,6282,,
2021-02-19,Outes,6282,,
2021-02-20,Outes,6282,,
2021-02-21,Outes,6282,,
2021-02-22,Outes,6282,,
2021-02-23,Outes,6282,,
2021-02-24,Outes,6282,,
2021-02-25,Outes,6282,,
2021-02-26,Outes,6282,,
2021-02-27,Outes,6282,,
2021-02-28,Outes,6282,,
2021-03-01,Outes,6282,,
2021-03-02,Outes,6282,,
2021-03-03,Outes,6282,,
2021-03-04,Outes,6282,,
2021-03-05,Outes,6282,,
2021-03-06,Outes,6282,,
2021-03-07,Outes,6282,,
2021-03-08,Outes,6282,,
2021-03-09,Outes,6282,,
2021-03-10,Outes,6282,,
2021-03-11,Outes,6282,,
2021-03-12,Outes,6282,,
2021-03-13,Outes,6282,,
2021-03-14,Outes,6282,,
2021-03-15,Outes,6282,,
2021-03-16,Outes,6282,,
2021-03-17,Outes,6282,,
2021-03-18,Outes,6282,,0
2021-03-19,Outes,6282,,0
2021-03-20,Outes,6282,,0
2021-03-21,Outes,6282,,0
2021-03-22,Outes,6282,,0
2021-03-23,Outes,6282,,0
2021-03-24,Outes,6282,,0
2021-03-25,Outes,6282,0,0
2021-03-26,Outes,6282,0,0
2021-03-27,Outes,6282,,
2021-03-28,Outes,6282,,
2021-03-29,Outes,6282,,
2021-03-30,Outes,6282,,
2021-03-31,Outes,6282,,
2021-04-01,Outes,6282,,
2021-04-02,Outes,6282,,
2021-04-03,Outes,6282,,0
2021-04-04,Outes,6282,,
2021-04-05,Outes,6282,,
2021-04-06,Outes,6282,,
2021-04-07,Outes,6282,,
2021-04-08,Outes,6282,,
2021-04-09,Outes,6282,,
2021-04-10,Outes,6282,,
2021-04-11,Outes,6282,,0
2021-04-12,Outes,6282,,0
2021-04-13,Outes,6282,,0
2021-04-14,Outes,6282,,0
2021-04-15,Outes,6282,,
2021-04-16,Outes,6282,,
2021-04-17,Outes,6282,,
2021-04-18,Outes,6282,,
2021-04-19,Outes,6282,,
2021-04-20,Outes,6282,,
2021-04-21,Outes,6282,,
2021-04-22,Outes,6282,,0
2021-04-23,Outes,6282,,0
2021-04-24,Outes,6282,,0
2021-04-25,Outes,6282,,0
2021-04-26,Outes,6282,,0
2021-04-27,Outes,6282,,0
2021-04-28,Outes,6282,,0
2021-04-29,Outes,6282,0,0
2021-04-30,Outes,6282,0,0
2021-05-01,Outes,6282,,
2021-05-02,Outes,6282,,
2021-05-03,Outes,6282,,
2021-05-04,Outes,6282,,
2021-05-05,Outes,6282,,
2021-05-06,Outes,6282,,
