fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Oza-Cesuras,5101,,
2020-11-22,Oza-Cesuras,5101,,
2020-11-23,Oza-Cesuras,5101,,
2020-11-24,Oza-Cesuras,5101,,
2020-11-25,Oza-Cesuras,5101,,
2020-11-26,Oza-Cesuras,5101,,
2020-11-27,Oza-Cesuras,5101,,
2020-11-28,Oza-Cesuras,5101,,
2020-11-29,Oza-Cesuras,5101,,
2020-11-30,Oza-Cesuras,5101,,
2020-12-01,Oza-Cesuras,5101,,
2020-12-02,Oza-Cesuras,5101,,
2020-12-03,Oza-Cesuras,5101,,
2020-12-04,Oza-Cesuras,5101,,
2020-12-05,Oza-Cesuras,5101,,
2020-12-06,Oza-Cesuras,5101,,
2020-12-07,Oza-Cesuras,5101,,
2020-12-08,Oza-Cesuras,5101,,
2020-12-09,Oza-Cesuras,5101,,
2020-12-10,Oza-Cesuras,5101,,
2020-12-11,Oza-Cesuras,5101,,
2020-12-12,Oza-Cesuras,5101,,
2020-12-13,Oza-Cesuras,5101,,
2020-12-14,Oza-Cesuras,5101,,
2020-12-15,Oza-Cesuras,5101,,
2020-12-16,Oza-Cesuras,5101,,
2020-12-17,Oza-Cesuras,5101,,
2020-12-18,Oza-Cesuras,5101,,
2020-12-19,Oza-Cesuras,5101,,
2020-12-20,Oza-Cesuras,5101,,
2020-12-21,Oza-Cesuras,5101,,
2020-12-22,Oza-Cesuras,5101,,
2020-12-23,Oza-Cesuras,5101,,
2020-12-24,Oza-Cesuras,5101,,
2020-12-25,Oza-Cesuras,5101,,
2020-12-26,Oza-Cesuras,5101,,
2020-12-27,Oza-Cesuras,5101,,
2020-12-28,Oza-Cesuras,5101,,
2020-12-29,Oza-Cesuras,5101,,
2020-12-30,Oza-Cesuras,5101,,
2020-12-31,Oza-Cesuras,5101,,
2021-01-01,Oza-Cesuras,5101,,
2021-01-02,Oza-Cesuras,5101,,
2021-01-03,Oza-Cesuras,5101,,
2021-01-04,Oza-Cesuras,5101,,
2021-01-05,Oza-Cesuras,5101,,
2021-01-06,Oza-Cesuras,5101,,
2021-01-07,Oza-Cesuras,5101,,
2021-01-08,Oza-Cesuras,5101,,
2021-01-09,Oza-Cesuras,5101,,
2021-01-10,Oza-Cesuras,5101,14,
2021-01-11,Oza-Cesuras,5101,14,
2021-01-12,Oza-Cesuras,5101,16,
2021-01-13,Oza-Cesuras,5101,22,
2021-01-14,Oza-Cesuras,5101,23,
2021-01-15,Oza-Cesuras,5101,22,
2021-01-16,Oza-Cesuras,5101,22,
2021-01-17,Oza-Cesuras,5101,27,
2021-01-18,Oza-Cesuras,5101,29,
2021-01-19,Oza-Cesuras,5101,33,
2021-01-20,Oza-Cesuras,5101,33,
2021-01-21,Oza-Cesuras,5101,38,
2021-01-22,Oza-Cesuras,5101,42,
2021-01-23,Oza-Cesuras,5101,47,
