fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Oímbra,1712,0,
2020-11-22,Oímbra,1712,0,
2020-11-23,Oímbra,1712,,
2020-11-24,Oímbra,1712,,
2020-11-25,Oímbra,1712,,
2020-11-26,Oímbra,1712,,
2020-11-27,Oímbra,1712,,
2020-11-28,Oímbra,1712,,
2020-11-29,Oímbra,1712,,
2020-11-30,Oímbra,1712,,
2020-12-01,Oímbra,1712,,
2020-12-02,Oímbra,1712,,
2020-12-03,Oímbra,1712,,
2020-12-04,Oímbra,1712,,
2020-12-05,Oímbra,1712,,
2020-12-06,Oímbra,1712,,
2020-12-07,Oímbra,1712,,
2020-12-08,Oímbra,1712,,
2020-12-09,Oímbra,1712,0,
2020-12-10,Oímbra,1712,0,
2020-12-11,Oímbra,1712,0,
2020-12-12,Oímbra,1712,0,
2020-12-13,Oímbra,1712,,
2020-12-14,Oímbra,1712,,
2020-12-15,Oímbra,1712,,
2020-12-16,Oímbra,1712,,
2020-12-17,Oímbra,1712,,
2020-12-18,Oímbra,1712,,
2020-12-19,Oímbra,1712,,
2020-12-20,Oímbra,1712,,
2020-12-21,Oímbra,1712,,
2020-12-22,Oímbra,1712,,
2020-12-23,Oímbra,1712,,
2020-12-24,Oímbra,1712,,
2020-12-25,Oímbra,1712,,
2020-12-26,Oímbra,1712,,
2020-12-27,Oímbra,1712,0,
2020-12-28,Oímbra,1712,0,
2020-12-29,Oímbra,1712,0,
2020-12-30,Oímbra,1712,0,
2020-12-31,Oímbra,1712,0,
2021-01-01,Oímbra,1712,0,
2021-01-02,Oímbra,1712,0,
2021-01-03,Oímbra,1712,0,
2021-01-04,Oímbra,1712,0,
2021-01-05,Oímbra,1712,0,
2021-01-06,Oímbra,1712,0,
2021-01-07,Oímbra,1712,0,
2021-01-08,Oímbra,1712,0,
2021-01-09,Oímbra,1712,0,
2021-01-10,Oímbra,1712,0,
2021-01-11,Oímbra,1712,0,
2021-01-12,Oímbra,1712,0,
2021-01-13,Oímbra,1712,0,
2021-01-14,Oímbra,1712,,
2021-01-15,Oímbra,1712,,
2021-01-16,Oímbra,1712,12,
2021-01-17,Oímbra,1712,13,
2021-01-18,Oímbra,1712,16,
2021-01-19,Oímbra,1712,21,
2021-01-20,Oímbra,1712,29,
2021-01-21,Oímbra,1712,37,
2021-01-22,Oímbra,1712,41,
2021-01-23,Oímbra,1712,49,
2021-01-24,Oímbra,1712,50,
2021-01-25,Oímbra,1712,55,
2021-01-26,Oímbra,1712,58,
2021-01-27,Oímbra,1712,69,
2021-01-28,Oímbra,1712,73,
2021-01-29,Oímbra,1712,73,
2021-01-30,Oímbra,1712,65,
2021-01-31,Oímbra,1712,65,
2021-02-01,Oímbra,1712,64,
2021-02-02,Oímbra,1712,60,
2021-02-03,Oímbra,1712,54,
2021-02-04,Oímbra,1712,47,
2021-02-05,Oímbra,1712,44,
2021-02-06,Oímbra,1712,36,
2021-02-07,Oímbra,1712,35,
2021-02-08,Oímbra,1712,31,
2021-02-09,Oímbra,1712,29,
2021-02-10,Oímbra,1712,18,
2021-02-11,Oímbra,1712,13,
2021-02-12,Oímbra,1712,12,
2021-02-13,Oímbra,1712,11,
2021-02-14,Oímbra,1712,10,
2021-02-15,Oímbra,1712,,
2021-02-16,Oímbra,1712,,
2021-02-17,Oímbra,1712,,
2021-02-18,Oímbra,1712,,
2021-02-19,Oímbra,1712,,
2021-02-20,Oímbra,1712,,
2021-02-21,Oímbra,1712,,
2021-02-22,Oímbra,1712,,
2021-02-23,Oímbra,1712,,
2021-02-24,Oímbra,1712,,
2021-02-25,Oímbra,1712,,
2021-02-26,Oímbra,1712,,
2021-02-27,Oímbra,1712,,
2021-02-28,Oímbra,1712,,
2021-03-01,Oímbra,1712,,
2021-03-02,Oímbra,1712,,0
2021-03-03,Oímbra,1712,,0
2021-03-04,Oímbra,1712,,
2021-03-05,Oímbra,1712,,
2021-03-06,Oímbra,1712,,
2021-03-07,Oímbra,1712,,
2021-03-08,Oímbra,1712,,
2021-03-09,Oímbra,1712,,
2021-03-10,Oímbra,1712,,
2021-03-11,Oímbra,1712,,
2021-03-12,Oímbra,1712,,
2021-03-13,Oímbra,1712,,
2021-03-14,Oímbra,1712,,
2021-03-15,Oímbra,1712,,
2021-03-16,Oímbra,1712,,
2021-03-17,Oímbra,1712,,0
2021-03-18,Oímbra,1712,,0
2021-03-19,Oímbra,1712,,0
2021-03-20,Oímbra,1712,,0
2021-03-21,Oímbra,1712,,0
