fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Paderne,2394,10,
2020-11-22,Paderne,2394,10,
2020-11-23,Paderne,2394,10,
2020-11-24,Paderne,2394,11,
2020-11-25,Paderne,2394,10,
2020-11-26,Paderne,2394,10,
2020-11-27,Paderne,2394,10,
2020-11-28,Paderne,2394,11,
2020-11-29,Paderne,2394,11,
2020-11-30,Paderne,2394,10,
2020-12-01,Paderne,2394,10,
2020-12-02,Paderne,2394,10,
2020-12-03,Paderne,2394,,
2020-12-04,Paderne,2394,,
2020-12-05,Paderne,2394,,
2020-12-06,Paderne,2394,,
2020-12-07,Paderne,2394,,
2020-12-08,Paderne,2394,,
2020-12-09,Paderne,2394,,
2020-12-10,Paderne,2394,,
2020-12-11,Paderne,2394,,
2020-12-12,Paderne,2394,,
2020-12-13,Paderne,2394,,
2020-12-14,Paderne,2394,,
2020-12-15,Paderne,2394,,
2020-12-16,Paderne,2394,,
2020-12-17,Paderne,2394,,
2020-12-18,Paderne,2394,,
2020-12-19,Paderne,2394,0,
2020-12-20,Paderne,2394,0,
2020-12-21,Paderne,2394,0,
2020-12-22,Paderne,2394,0,
2020-12-23,Paderne,2394,0,
2020-12-24,Paderne,2394,0,
2020-12-25,Paderne,2394,0,
2020-12-26,Paderne,2394,0,
2020-12-27,Paderne,2394,0,
2020-12-28,Paderne,2394,0,
2020-12-29,Paderne,2394,0,
2020-12-30,Paderne,2394,0,
2020-12-31,Paderne,2394,,
2021-01-01,Paderne,2394,,
2021-01-02,Paderne,2394,,
2021-01-03,Paderne,2394,,
2021-01-04,Paderne,2394,,
2021-01-05,Paderne,2394,,
2021-01-06,Paderne,2394,,
2021-01-07,Paderne,2394,,
2021-01-08,Paderne,2394,,
2021-01-09,Paderne,2394,,
2021-01-10,Paderne,2394,,
2021-01-11,Paderne,2394,,
2021-01-12,Paderne,2394,,
2021-01-13,Paderne,2394,,
2021-01-14,Paderne,2394,,
2021-01-15,Paderne,2394,,
2021-01-16,Paderne,2394,,
2021-01-17,Paderne,2394,,
2021-01-18,Paderne,2394,,
2021-01-19,Paderne,2394,,
2021-01-20,Paderne,2394,,
2021-01-21,Paderne,2394,,
2021-01-22,Paderne,2394,,
2021-01-23,Paderne,2394,,
2021-01-24,Paderne,2394,10,
2021-01-25,Paderne,2394,12,
2021-01-26,Paderne,2394,16,
2021-01-27,Paderne,2394,17,
2021-01-28,Paderne,2394,17,
2021-01-29,Paderne,2394,20,
2021-01-30,Paderne,2394,20,
2021-01-31,Paderne,2394,21,
2021-02-01,Paderne,2394,20,
2021-02-02,Paderne,2394,21,
2021-02-03,Paderne,2394,21,
2021-02-04,Paderne,2394,19,
2021-02-05,Paderne,2394,19,
2021-02-06,Paderne,2394,17,
2021-02-07,Paderne,2394,15,
2021-02-08,Paderne,2394,14,
2021-02-09,Paderne,2394,10,
2021-02-10,Paderne,2394,,
2021-02-11,Paderne,2394,13,
2021-02-12,Paderne,2394,12,
2021-02-13,Paderne,2394,12,
2021-02-14,Paderne,2394,11,
2021-02-15,Paderne,2394,10,
2021-02-16,Paderne,2394,,
2021-02-17,Paderne,2394,,
2021-02-18,Paderne,2394,,
2021-02-19,Paderne,2394,,
2021-02-20,Paderne,2394,,
2021-02-21,Paderne,2394,,
2021-02-22,Paderne,2394,,
2021-02-23,Paderne,2394,,
2021-02-24,Paderne,2394,,
2021-02-25,Paderne,2394,,
2021-02-26,Paderne,2394,,
2021-02-27,Paderne,2394,,
2021-02-28,Paderne,2394,,
2021-03-01,Paderne,2394,,
