fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Palas de Rei",3388,,
2020-11-22,"Palas de Rei",3388,,
2020-11-23,"Palas de Rei",3388,,
2020-11-24,"Palas de Rei",3388,,
2020-11-25,"Palas de Rei",3388,,
2020-11-26,"Palas de Rei",3388,,
2020-11-27,"Palas de Rei",3388,,
2020-11-28,"Palas de Rei",3388,,
2020-11-29,"Palas de Rei",3388,,
2020-11-30,"Palas de Rei",3388,,
2020-12-01,"Palas de Rei",3388,,
2020-12-02,"Palas de Rei",3388,,
2020-12-03,"Palas de Rei",3388,,
2020-12-04,"Palas de Rei",3388,,
2020-12-05,"Palas de Rei",3388,,
2020-12-06,"Palas de Rei",3388,,
2020-12-07,"Palas de Rei",3388,10,
2020-12-08,"Palas de Rei",3388,10,
2020-12-09,"Palas de Rei",3388,10,
2020-12-10,"Palas de Rei",3388,10,
2020-12-11,"Palas de Rei",3388,,
2020-12-12,"Palas de Rei",3388,10,
2020-12-13,"Palas de Rei",3388,11,
2020-12-14,"Palas de Rei",3388,12,
2020-12-15,"Palas de Rei",3388,12,
2020-12-16,"Palas de Rei",3388,,
2020-12-17,"Palas de Rei",3388,,
2020-12-18,"Palas de Rei",3388,,
2020-12-19,"Palas de Rei",3388,,
2020-12-20,"Palas de Rei",3388,,
2020-12-21,"Palas de Rei",3388,,
2020-12-22,"Palas de Rei",3388,,
2020-12-23,"Palas de Rei",3388,,
2020-12-24,"Palas de Rei",3388,,
2020-12-25,"Palas de Rei",3388,,
2020-12-26,"Palas de Rei",3388,,
2020-12-27,"Palas de Rei",3388,,
2020-12-28,"Palas de Rei",3388,0,
2020-12-29,"Palas de Rei",3388,0,
2020-12-30,"Palas de Rei",3388,0,
2020-12-31,"Palas de Rei",3388,0,
2021-01-01,"Palas de Rei",3388,0,
2021-01-02,"Palas de Rei",3388,0,
2021-01-03,"Palas de Rei",3388,0,
2021-01-04,"Palas de Rei",3388,,
2021-01-05,"Palas de Rei",3388,,
2021-01-06,"Palas de Rei",3388,,
2021-01-07,"Palas de Rei",3388,,
2021-01-08,"Palas de Rei",3388,,
2021-01-09,"Palas de Rei",3388,,
2021-01-10,"Palas de Rei",3388,,
2021-01-11,"Palas de Rei",3388,,
2021-01-12,"Palas de Rei",3388,,
2021-01-13,"Palas de Rei",3388,,
2021-01-14,"Palas de Rei",3388,,
2021-01-15,"Palas de Rei",3388,,
2021-01-16,"Palas de Rei",3388,,
2021-01-17,"Palas de Rei",3388,10,
2021-01-18,"Palas de Rei",3388,11,
2021-01-19,"Palas de Rei",3388,15,
2021-01-20,"Palas de Rei",3388,23,
2021-01-21,"Palas de Rei",3388,29,
2021-01-22,"Palas de Rei",3388,36,
2021-01-23,"Palas de Rei",3388,41,
2021-01-24,"Palas de Rei",3388,41,
2021-01-25,"Palas de Rei",3388,45,
2021-01-26,"Palas de Rei",3388,48,
2021-01-27,"Palas de Rei",3388,54,
2021-01-28,"Palas de Rei",3388,57,
2021-01-29,"Palas de Rei",3388,66,
2021-01-30,"Palas de Rei",3388,76,
2021-01-31,"Palas de Rei",3388,74,
2021-02-01,"Palas de Rei",3388,72,
2021-02-02,"Palas de Rei",3388,68,
2021-02-03,"Palas de Rei",3388,61,
2021-02-04,"Palas de Rei",3388,57,
2021-02-05,"Palas de Rei",3388,55,
2021-02-06,"Palas de Rei",3388,51,
2021-02-07,"Palas de Rei",3388,50,
2021-02-08,"Palas de Rei",3388,46,
2021-02-09,"Palas de Rei",3388,43,
2021-02-10,"Palas de Rei",3388,37,
2021-02-11,"Palas de Rei",3388,34,
2021-02-12,"Palas de Rei",3388,26,
2021-02-13,"Palas de Rei",3388,15,
2021-02-14,"Palas de Rei",3388,15,
2021-02-15,"Palas de Rei",3388,15,
2021-02-16,"Palas de Rei",3388,13,
2021-02-17,"Palas de Rei",3388,12,
2021-02-18,"Palas de Rei",3388,11,
2021-02-19,"Palas de Rei",3388,,
2021-02-20,"Palas de Rei",3388,,
2021-02-21,"Palas de Rei",3388,,
2021-02-22,"Palas de Rei",3388,,
2021-02-23,"Palas de Rei",3388,,
2021-02-24,"Palas de Rei",3388,,
2021-02-25,"Palas de Rei",3388,,
2021-02-26,"Palas de Rei",3388,,
2021-02-27,"Palas de Rei",3388,,
2021-02-28,"Palas de Rei",3388,,
2021-03-01,"Palas de Rei",3388,,
2021-03-02,"Palas de Rei",3388,,0
2021-03-03,"Palas de Rei",3388,,0
2021-03-04,"Palas de Rei",3388,,0
2021-03-05,"Palas de Rei",3388,0,0
2021-03-06,"Palas de Rei",3388,0,0
2021-03-07,"Palas de Rei",3388,0,0
2021-03-08,"Palas de Rei",3388,0,0
2021-03-09,"Palas de Rei",3388,0,0
