fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Parada de Sil",538,0,
2020-11-22,"Parada de Sil",538,0,
2020-11-23,"Parada de Sil",538,0,
2020-11-24,"Parada de Sil",538,0,
2020-11-25,"Parada de Sil",538,0,
2020-11-26,"Parada de Sil",538,0,
2020-11-27,"Parada de Sil",538,0,
2020-11-28,"Parada de Sil",538,0,
2020-11-29,"Parada de Sil",538,0,
2020-11-30,"Parada de Sil",538,0,
2020-12-01,"Parada de Sil",538,0,
2020-12-02,"Parada de Sil",538,0,
2020-12-03,"Parada de Sil",538,0,
2020-12-04,"Parada de Sil",538,0,
2020-12-05,"Parada de Sil",538,0,
2020-12-06,"Parada de Sil",538,0,
2020-12-07,"Parada de Sil",538,0,
2020-12-08,"Parada de Sil",538,0,
2020-12-09,"Parada de Sil",538,0,
2020-12-10,"Parada de Sil",538,0,
2020-12-11,"Parada de Sil",538,0,
2020-12-12,"Parada de Sil",538,0,
2020-12-13,"Parada de Sil",538,0,
2020-12-14,"Parada de Sil",538,0,
2020-12-15,"Parada de Sil",538,0,
2020-12-16,"Parada de Sil",538,0,
2020-12-17,"Parada de Sil",538,0,
2020-12-18,"Parada de Sil",538,0,
2020-12-19,"Parada de Sil",538,0,
2020-12-20,"Parada de Sil",538,0,
2020-12-21,"Parada de Sil",538,0,
2020-12-22,"Parada de Sil",538,0,
2020-12-23,"Parada de Sil",538,0,
2020-12-24,"Parada de Sil",538,0,
2020-12-25,"Parada de Sil",538,0,
2020-12-26,"Parada de Sil",538,0,
2020-12-27,"Parada de Sil",538,0,
2020-12-28,"Parada de Sil",538,0,
2020-12-29,"Parada de Sil",538,0,
2020-12-30,"Parada de Sil",538,0,
2020-12-31,"Parada de Sil",538,0,
2021-01-01,"Parada de Sil",538,,
2021-01-02,"Parada de Sil",538,,
2021-01-03,"Parada de Sil",538,,
2021-01-04,"Parada de Sil",538,,
2021-01-05,"Parada de Sil",538,,
2021-01-06,"Parada de Sil",538,,
2021-01-07,"Parada de Sil",538,,
2021-01-08,"Parada de Sil",538,,
2021-01-09,"Parada de Sil",538,,
2021-01-10,"Parada de Sil",538,,
2021-01-11,"Parada de Sil",538,,
2021-01-12,"Parada de Sil",538,,
2021-01-13,"Parada de Sil",538,,
2021-01-14,"Parada de Sil",538,0,
2021-01-15,"Parada de Sil",538,0,
2021-01-16,"Parada de Sil",538,0,
2021-01-17,"Parada de Sil",538,0,
2021-01-18,"Parada de Sil",538,0,
2021-01-19,"Parada de Sil",538,0,
2021-01-20,"Parada de Sil",538,0,
2021-01-21,"Parada de Sil",538,0,
2021-01-22,"Parada de Sil",538,0,
2021-01-23,"Parada de Sil",538,0,
2021-01-24,"Parada de Sil",538,0,
2021-01-25,"Parada de Sil",538,0,
2021-01-26,"Parada de Sil",538,0,
2021-01-27,"Parada de Sil",538,0,
2021-01-28,"Parada de Sil",538,0,
2021-01-29,"Parada de Sil",538,0,
2021-01-30,"Parada de Sil",538,0,
2021-01-31,"Parada de Sil",538,0,
2021-02-01,"Parada de Sil",538,0,
2021-02-02,"Parada de Sil",538,0,
2021-02-03,"Parada de Sil",538,0,
2021-02-04,"Parada de Sil",538,0,
2021-02-05,"Parada de Sil",538,0,
2021-02-06,"Parada de Sil",538,0,
2021-02-07,"Parada de Sil",538,0,
2021-02-08,"Parada de Sil",538,0,
2021-02-09,"Parada de Sil",538,0,
2021-02-10,"Parada de Sil",538,0,
2021-02-11,"Parada de Sil",538,0,
2021-02-12,"Parada de Sil",538,0,
2021-02-13,"Parada de Sil",538,0,
2021-02-14,"Parada de Sil",538,0,
2021-02-15,"Parada de Sil",538,0,
2021-02-16,"Parada de Sil",538,0,
2021-02-17,"Parada de Sil",538,0,
2021-02-18,"Parada de Sil",538,0,
2021-02-19,"Parada de Sil",538,0,
2021-02-20,"Parada de Sil",538,0,
2021-02-21,"Parada de Sil",538,0,
2021-02-22,"Parada de Sil",538,0,
2021-02-23,"Parada de Sil",538,0,
2021-02-24,"Parada de Sil",538,0,
2021-02-25,"Parada de Sil",538,0,
2021-02-26,"Parada de Sil",538,0,
2021-02-27,"Parada de Sil",538,0,
2021-02-28,"Parada de Sil",538,0,
2021-03-01,"Parada de Sil",538,0,
2021-03-02,"Parada de Sil",538,0,0
2021-03-03,"Parada de Sil",538,0,0
2021-03-04,"Parada de Sil",538,0,0
2021-03-05,"Parada de Sil",538,0,0
2021-03-06,"Parada de Sil",538,0,0
2021-03-07,"Parada de Sil",538,0,0
2021-03-08,"Parada de Sil",538,0,0
2021-03-09,"Parada de Sil",538,0,0
2021-03-10,"Parada de Sil",538,0,0
2021-03-11,"Parada de Sil",538,0,0
2021-03-12,"Parada de Sil",538,0,0
2021-03-13,"Parada de Sil",538,0,0
2021-03-14,"Parada de Sil",538,0,0
2021-03-15,"Parada de Sil",538,0,0
2021-03-16,"Parada de Sil",538,0,0
2021-03-17,"Parada de Sil",538,0,0
2021-03-18,"Parada de Sil",538,0,0
2021-03-19,"Parada de Sil",538,0,0
2021-03-20,"Parada de Sil",538,0,0
2021-03-21,"Parada de Sil",538,0,0
2021-03-22,"Parada de Sil",538,0,0
2021-03-23,"Parada de Sil",538,0,0
2021-03-24,"Parada de Sil",538,0,0
2021-03-25,"Parada de Sil",538,0,0
2021-03-26,"Parada de Sil",538,0,0
2021-03-27,"Parada de Sil",538,0,0
2021-03-28,"Parada de Sil",538,0,0
2021-03-29,"Parada de Sil",538,0,0
2021-03-30,"Parada de Sil",538,0,0
2021-03-31,"Parada de Sil",538,0,0
2021-04-01,"Parada de Sil",538,0,0
2021-04-02,"Parada de Sil",538,0,0
2021-04-03,"Parada de Sil",538,0,0
2021-04-04,"Parada de Sil",538,0,0
2021-04-05,"Parada de Sil",538,0,0
2021-04-06,"Parada de Sil",538,0,0
2021-04-07,"Parada de Sil",538,0,0
2021-04-08,"Parada de Sil",538,0,0
2021-04-09,"Parada de Sil",538,0,0
2021-04-10,"Parada de Sil",538,0,0
2021-04-11,"Parada de Sil",538,0,0
2021-04-12,"Parada de Sil",538,0,0
2021-04-13,"Parada de Sil",538,0,0
2021-04-14,"Parada de Sil",538,0,0
2021-04-15,"Parada de Sil",538,0,0
2021-04-16,"Parada de Sil",538,0,0
2021-04-17,"Parada de Sil",538,0,0
2021-04-18,"Parada de Sil",538,0,0
2021-04-19,"Parada de Sil",538,0,0
2021-04-20,"Parada de Sil",538,0,0
2021-04-21,"Parada de Sil",538,0,0
2021-04-22,"Parada de Sil",538,0,0
2021-04-23,"Parada de Sil",538,0,0
2021-04-24,"Parada de Sil",538,0,0
2021-04-25,"Parada de Sil",538,0,0
2021-04-26,"Parada de Sil",538,0,0
2021-04-27,"Parada de Sil",538,0,0
2021-04-28,"Parada de Sil",538,0,0
2021-04-29,"Parada de Sil",538,0,0
2021-04-30,"Parada de Sil",538,0,0
2021-05-01,"Parada de Sil",538,0,0
2021-05-02,"Parada de Sil",538,0,0
2021-05-03,"Parada de Sil",538,0,0
2021-05-04,"Parada de Sil",538,0,0
2021-05-05,"Parada de Sil",538,0,0
2021-05-06,"Parada de Sil",538,0,0
2021-05-07,"Parada de Sil",538,0,0
2021-05-08,"Parada de Sil",538,0,0
2021-05-09,"Parada de Sil",538,0,0
