fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Pedrafita do Cebreiro",1001,,
2020-11-22,"Pedrafita do Cebreiro",1001,0,
2020-11-23,"Pedrafita do Cebreiro",1001,0,
2020-11-24,"Pedrafita do Cebreiro",1001,0,
2020-11-25,"Pedrafita do Cebreiro",1001,0,
2020-11-26,"Pedrafita do Cebreiro",1001,0,
2020-11-27,"Pedrafita do Cebreiro",1001,0,
2020-11-28,"Pedrafita do Cebreiro",1001,0,
2020-11-29,"Pedrafita do Cebreiro",1001,0,
2020-11-30,"Pedrafita do Cebreiro",1001,0,
2020-12-01,"Pedrafita do Cebreiro",1001,0,
2020-12-02,"Pedrafita do Cebreiro",1001,0,
2020-12-03,"Pedrafita do Cebreiro",1001,0,
2020-12-04,"Pedrafita do Cebreiro",1001,0,
2020-12-05,"Pedrafita do Cebreiro",1001,0,
2020-12-06,"Pedrafita do Cebreiro",1001,0,
2020-12-07,"Pedrafita do Cebreiro",1001,0,
2020-12-08,"Pedrafita do Cebreiro",1001,0,
2020-12-09,"Pedrafita do Cebreiro",1001,0,
2020-12-10,"Pedrafita do Cebreiro",1001,,
2020-12-11,"Pedrafita do Cebreiro",1001,,
2020-12-12,"Pedrafita do Cebreiro",1001,,
2020-12-13,"Pedrafita do Cebreiro",1001,,
2020-12-14,"Pedrafita do Cebreiro",1001,,
2020-12-15,"Pedrafita do Cebreiro",1001,,
2020-12-16,"Pedrafita do Cebreiro",1001,,
2020-12-17,"Pedrafita do Cebreiro",1001,,
2020-12-18,"Pedrafita do Cebreiro",1001,,
2020-12-19,"Pedrafita do Cebreiro",1001,,
2020-12-20,"Pedrafita do Cebreiro",1001,,
2020-12-21,"Pedrafita do Cebreiro",1001,,
2020-12-22,"Pedrafita do Cebreiro",1001,,
2020-12-23,"Pedrafita do Cebreiro",1001,0,
2020-12-24,"Pedrafita do Cebreiro",1001,0,
2020-12-25,"Pedrafita do Cebreiro",1001,0,
2020-12-26,"Pedrafita do Cebreiro",1001,0,
2020-12-27,"Pedrafita do Cebreiro",1001,0,
2020-12-28,"Pedrafita do Cebreiro",1001,0,
2020-12-29,"Pedrafita do Cebreiro",1001,0,
2020-12-30,"Pedrafita do Cebreiro",1001,0,
2020-12-31,"Pedrafita do Cebreiro",1001,0,
2021-01-01,"Pedrafita do Cebreiro",1001,0,
2021-01-02,"Pedrafita do Cebreiro",1001,0,
2021-01-03,"Pedrafita do Cebreiro",1001,0,
2021-01-04,"Pedrafita do Cebreiro",1001,0,
2021-01-05,"Pedrafita do Cebreiro",1001,0,
2021-01-06,"Pedrafita do Cebreiro",1001,0,
2021-01-07,"Pedrafita do Cebreiro",1001,0,
2021-01-08,"Pedrafita do Cebreiro",1001,0,
2021-01-09,"Pedrafita do Cebreiro",1001,0,
2021-01-10,"Pedrafita do Cebreiro",1001,0,
2021-01-11,"Pedrafita do Cebreiro",1001,0,
2021-01-12,"Pedrafita do Cebreiro",1001,0,
2021-01-13,"Pedrafita do Cebreiro",1001,0,
2021-01-14,"Pedrafita do Cebreiro",1001,0,
2021-01-15,"Pedrafita do Cebreiro",1001,0,
2021-01-16,"Pedrafita do Cebreiro",1001,0,
2021-01-17,"Pedrafita do Cebreiro",1001,0,
2021-01-18,"Pedrafita do Cebreiro",1001,0,
2021-01-19,"Pedrafita do Cebreiro",1001,0,
2021-01-20,"Pedrafita do Cebreiro",1001,0,
2021-01-21,"Pedrafita do Cebreiro",1001,0,
2021-01-22,"Pedrafita do Cebreiro",1001,0,
2021-01-23,"Pedrafita do Cebreiro",1001,0,
2021-01-24,"Pedrafita do Cebreiro",1001,,
2021-01-25,"Pedrafita do Cebreiro",1001,,
2021-01-26,"Pedrafita do Cebreiro",1001,,
2021-01-27,"Pedrafita do Cebreiro",1001,,
2021-01-28,"Pedrafita do Cebreiro",1001,,
2021-01-29,"Pedrafita do Cebreiro",1001,,
2021-01-30,"Pedrafita do Cebreiro",1001,,
2021-01-31,"Pedrafita do Cebreiro",1001,,
2021-02-01,"Pedrafita do Cebreiro",1001,,
2021-02-02,"Pedrafita do Cebreiro",1001,,
2021-02-03,"Pedrafita do Cebreiro",1001,,
2021-02-04,"Pedrafita do Cebreiro",1001,,
2021-02-05,"Pedrafita do Cebreiro",1001,,
2021-02-06,"Pedrafita do Cebreiro",1001,,
2021-02-07,"Pedrafita do Cebreiro",1001,,
2021-02-08,"Pedrafita do Cebreiro",1001,,
2021-02-09,"Pedrafita do Cebreiro",1001,,
2021-02-10,"Pedrafita do Cebreiro",1001,,
2021-02-11,"Pedrafita do Cebreiro",1001,,
2021-02-12,"Pedrafita do Cebreiro",1001,,
2021-02-13,"Pedrafita do Cebreiro",1001,,
2021-02-14,"Pedrafita do Cebreiro",1001,,
2021-02-15,"Pedrafita do Cebreiro",1001,,
2021-02-16,"Pedrafita do Cebreiro",1001,,
2021-02-17,"Pedrafita do Cebreiro",1001,,
2021-02-18,"Pedrafita do Cebreiro",1001,,
2021-02-19,"Pedrafita do Cebreiro",1001,,
2021-02-20,"Pedrafita do Cebreiro",1001,,
2021-02-21,"Pedrafita do Cebreiro",1001,0,
2021-02-22,"Pedrafita do Cebreiro",1001,0,
2021-02-23,"Pedrafita do Cebreiro",1001,0,
2021-02-24,"Pedrafita do Cebreiro",1001,0,
2021-02-25,"Pedrafita do Cebreiro",1001,0,
2021-02-26,"Pedrafita do Cebreiro",1001,0,
2021-02-27,"Pedrafita do Cebreiro",1001,0,
2021-02-28,"Pedrafita do Cebreiro",1001,0,
2021-03-01,"Pedrafita do Cebreiro",1001,0,
2021-03-02,"Pedrafita do Cebreiro",1001,0,0
2021-03-03,"Pedrafita do Cebreiro",1001,0,0
2021-03-04,"Pedrafita do Cebreiro",1001,0,0
2021-03-05,"Pedrafita do Cebreiro",1001,0,0
2021-03-06,"Pedrafita do Cebreiro",1001,0,0
2021-03-07,"Pedrafita do Cebreiro",1001,0,0
2021-03-08,"Pedrafita do Cebreiro",1001,0,0
2021-03-09,"Pedrafita do Cebreiro",1001,0,0
2021-03-10,"Pedrafita do Cebreiro",1001,0,0
2021-03-11,"Pedrafita do Cebreiro",1001,0,0
2021-03-12,"Pedrafita do Cebreiro",1001,0,0
2021-03-13,"Pedrafita do Cebreiro",1001,0,0
2021-03-14,"Pedrafita do Cebreiro",1001,0,0
2021-03-15,"Pedrafita do Cebreiro",1001,0,0
2021-03-16,"Pedrafita do Cebreiro",1001,0,0
2021-03-17,"Pedrafita do Cebreiro",1001,0,0
2021-03-18,"Pedrafita do Cebreiro",1001,0,0
2021-03-19,"Pedrafita do Cebreiro",1001,0,0
2021-03-20,"Pedrafita do Cebreiro",1001,0,0
2021-03-21,"Pedrafita do Cebreiro",1001,0,0
2021-03-22,"Pedrafita do Cebreiro",1001,0,0
2021-03-23,"Pedrafita do Cebreiro",1001,0,0
2021-03-24,"Pedrafita do Cebreiro",1001,0,0
2021-03-25,"Pedrafita do Cebreiro",1001,0,0
2021-03-26,"Pedrafita do Cebreiro",1001,0,0
2021-03-27,"Pedrafita do Cebreiro",1001,,
2021-03-28,"Pedrafita do Cebreiro",1001,,
2021-03-29,"Pedrafita do Cebreiro",1001,,
2021-03-30,"Pedrafita do Cebreiro",1001,,
2021-03-31,"Pedrafita do Cebreiro",1001,,
2021-04-01,"Pedrafita do Cebreiro",1001,,
2021-04-02,"Pedrafita do Cebreiro",1001,,
2021-04-03,"Pedrafita do Cebreiro",1001,,0
2021-04-04,"Pedrafita do Cebreiro",1001,,0
2021-04-05,"Pedrafita do Cebreiro",1001,,0
2021-04-06,"Pedrafita do Cebreiro",1001,,0
2021-04-07,"Pedrafita do Cebreiro",1001,,0
2021-04-08,"Pedrafita do Cebreiro",1001,,0
2021-04-09,"Pedrafita do Cebreiro",1001,,0
2021-04-10,"Pedrafita do Cebreiro",1001,0,0
2021-04-11,"Pedrafita do Cebreiro",1001,0,0
2021-04-12,"Pedrafita do Cebreiro",1001,0,0
2021-04-13,"Pedrafita do Cebreiro",1001,0,0
2021-04-14,"Pedrafita do Cebreiro",1001,0,0
2021-04-15,"Pedrafita do Cebreiro",1001,0,0
2021-04-16,"Pedrafita do Cebreiro",1001,0,0
2021-04-17,"Pedrafita do Cebreiro",1001,0,0
2021-04-18,"Pedrafita do Cebreiro",1001,0,0
2021-04-19,"Pedrafita do Cebreiro",1001,0,0
2021-04-20,"Pedrafita do Cebreiro",1001,0,0
2021-04-21,"Pedrafita do Cebreiro",1001,0,0
2021-04-22,"Pedrafita do Cebreiro",1001,0,0
2021-04-23,"Pedrafita do Cebreiro",1001,0,0
2021-04-24,"Pedrafita do Cebreiro",1001,0,0
2021-04-25,"Pedrafita do Cebreiro",1001,0,0
2021-04-26,"Pedrafita do Cebreiro",1001,0,0
2021-04-27,"Pedrafita do Cebreiro",1001,0,0
2021-04-28,"Pedrafita do Cebreiro",1001,0,0
2021-04-29,"Pedrafita do Cebreiro",1001,0,0
2021-04-30,"Pedrafita do Cebreiro",1001,0,0
2021-05-01,"Pedrafita do Cebreiro",1001,0,0
2021-05-02,"Pedrafita do Cebreiro",1001,0,0
2021-05-03,"Pedrafita do Cebreiro",1001,0,0
2021-05-04,"Pedrafita do Cebreiro",1001,0,0
2021-05-05,"Pedrafita do Cebreiro",1001,0,0
2021-05-06,"Pedrafita do Cebreiro",1001,0,0
2021-05-07,"Pedrafita do Cebreiro",1001,0,0
2021-05-08,"Pedrafita do Cebreiro",1001,0,0
2021-05-09,"Pedrafita do Cebreiro",1001,0,0
2021-05-10,"Pedrafita do Cebreiro",1001,0,0
2021-05-11,"Pedrafita do Cebreiro",1001,0,0
2021-05-12,"Pedrafita do Cebreiro",1001,0,0
2021-05-13,"Pedrafita do Cebreiro",1001,0,0
2021-05-14,"Pedrafita do Cebreiro",1001,0,0
2021-05-15,"Pedrafita do Cebreiro",1001,0,0
2021-05-16,"Pedrafita do Cebreiro",1001,0,0
2021-05-17,"Pedrafita do Cebreiro",1001,0,0
2021-05-18,"Pedrafita do Cebreiro",1001,0,0
2021-05-19,"Pedrafita do Cebreiro",1001,0,0
2021-05-20,"Pedrafita do Cebreiro",1001,0,0
2021-05-21,"Pedrafita do Cebreiro",1001,0,0
2021-05-22,"Pedrafita do Cebreiro",1001,0,0
2021-05-23,"Pedrafita do Cebreiro",1001,0,0
2021-05-24,"Pedrafita do Cebreiro",1001,0,0
2021-05-25,"Pedrafita do Cebreiro",1001,0,0
2021-05-26,"Pedrafita do Cebreiro",1001,0,0
2021-05-27,"Pedrafita do Cebreiro",1001,0,0
2021-05-28,"Pedrafita do Cebreiro",1001,0,0
2021-05-29,"Pedrafita do Cebreiro",1001,0,0
2021-05-30,"Pedrafita do Cebreiro",1001,0,0
2021-05-31,"Pedrafita do Cebreiro",1001,0,0
2021-06-01,"Pedrafita do Cebreiro",1001,0,0
2021-06-02,"Pedrafita do Cebreiro",1001,0,0
2021-06-03,"Pedrafita do Cebreiro",1001,0,0
2021-06-04,"Pedrafita do Cebreiro",1001,0,0
2021-06-05,"Pedrafita do Cebreiro",1001,0,0
2021-06-06,"Pedrafita do Cebreiro",1001,0,0
2021-06-07,"Pedrafita do Cebreiro",1001,0,0
2021-06-08,"Pedrafita do Cebreiro",1001,0,0
2021-06-09,"Pedrafita do Cebreiro",1001,0,0
2021-06-10,"Pedrafita do Cebreiro",1001,0,0
2021-06-11,"Pedrafita do Cebreiro",1001,0,0
2021-06-12,"Pedrafita do Cebreiro",1001,0,0
2021-06-13,"Pedrafita do Cebreiro",1001,0,0
2021-06-14,"Pedrafita do Cebreiro",1001,0,0
2021-06-15,"Pedrafita do Cebreiro",1001,0,0
2021-06-16,"Pedrafita do Cebreiro",1001,0,0
2021-06-17,"Pedrafita do Cebreiro",1001,0,0
2021-06-18,"Pedrafita do Cebreiro",1001,0,0
2021-06-19,"Pedrafita do Cebreiro",1001,0,0
2021-06-20,"Pedrafita do Cebreiro",1001,0,0
2021-06-21,"Pedrafita do Cebreiro",1001,0,0
2021-06-22,"Pedrafita do Cebreiro",1001,0,0
2021-06-23,"Pedrafita do Cebreiro",1001,0,0
2021-06-24,"Pedrafita do Cebreiro",1001,0,0
2021-06-25,"Pedrafita do Cebreiro",1001,0,0
2021-06-26,"Pedrafita do Cebreiro",1001,0,0
2021-06-27,"Pedrafita do Cebreiro",1001,0,0
2021-06-28,"Pedrafita do Cebreiro",1001,0,0
2021-06-29,"Pedrafita do Cebreiro",1001,0,0
2021-06-30,"Pedrafita do Cebreiro",1001,0,0
2021-07-01,"Pedrafita do Cebreiro",1001,0,0
2021-07-02,"Pedrafita do Cebreiro",1001,0,0
2021-07-03,"Pedrafita do Cebreiro",1001,0,0
2021-07-04,"Pedrafita do Cebreiro",1001,0,0
2021-07-05,"Pedrafita do Cebreiro",1001,0,0
2021-07-06,"Pedrafita do Cebreiro",1001,0,0
