fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Piñor,1176,,
2020-11-22,Piñor,1176,,
2020-11-23,Piñor,1176,,
2020-11-24,Piñor,1176,,
2020-11-25,Piñor,1176,,
2020-11-26,Piñor,1176,,
2020-11-27,Piñor,1176,,
2020-11-28,Piñor,1176,,
2020-11-29,Piñor,1176,,
2020-11-30,Piñor,1176,,
2020-12-01,Piñor,1176,,
2020-12-02,Piñor,1176,,
2020-12-03,Piñor,1176,,
2020-12-04,Piñor,1176,,
2020-12-05,Piñor,1176,,
2020-12-06,Piñor,1176,0,
2020-12-07,Piñor,1176,0,
2020-12-08,Piñor,1176,0,
2020-12-09,Piñor,1176,0,
2020-12-10,Piñor,1176,0,
2020-12-11,Piñor,1176,0,
2020-12-12,Piñor,1176,0,
2020-12-13,Piñor,1176,0,
2020-12-14,Piñor,1176,0,
2020-12-15,Piñor,1176,0,
2020-12-16,Piñor,1176,0,
2020-12-17,Piñor,1176,,
2020-12-18,Piñor,1176,,
2020-12-19,Piñor,1176,,
2020-12-20,Piñor,1176,,
2020-12-21,Piñor,1176,,
2020-12-22,Piñor,1176,,
2020-12-23,Piñor,1176,,
2020-12-24,Piñor,1176,,
2020-12-25,Piñor,1176,,
2020-12-26,Piñor,1176,,
2020-12-27,Piñor,1176,,
2020-12-28,Piñor,1176,,
2020-12-29,Piñor,1176,,
2020-12-30,Piñor,1176,,
2020-12-31,Piñor,1176,,
2021-01-01,Piñor,1176,,
2021-01-02,Piñor,1176,,
2021-01-03,Piñor,1176,,
2021-01-04,Piñor,1176,,
2021-01-05,Piñor,1176,,
2021-01-06,Piñor,1176,,
2021-01-07,Piñor,1176,,
2021-01-08,Piñor,1176,,
2021-01-09,Piñor,1176,,
2021-01-10,Piñor,1176,,
2021-01-11,Piñor,1176,,
2021-01-12,Piñor,1176,,
2021-01-13,Piñor,1176,,
2021-01-14,Piñor,1176,0,
2021-01-15,Piñor,1176,0,
2021-01-16,Piñor,1176,0,
2021-01-17,Piñor,1176,0,
2021-01-18,Piñor,1176,0,
2021-01-19,Piñor,1176,0,
2021-01-20,Piñor,1176,0,
2021-01-21,Piñor,1176,0,
2021-01-22,Piñor,1176,0,
2021-01-23,Piñor,1176,,
2021-01-24,Piñor,1176,,
2021-01-25,Piñor,1176,,
2021-01-26,Piñor,1176,,
2021-01-27,Piñor,1176,,
2021-01-28,Piñor,1176,,
2021-01-29,Piñor,1176,,
2021-01-30,Piñor,1176,,
2021-01-31,Piñor,1176,,
2021-02-01,Piñor,1176,,
2021-02-02,Piñor,1176,,
2021-02-03,Piñor,1176,,
2021-02-04,Piñor,1176,,
2021-02-05,Piñor,1176,,
2021-02-06,Piñor,1176,,
2021-02-07,Piñor,1176,,
2021-02-08,Piñor,1176,,
2021-02-09,Piñor,1176,0,
2021-02-10,Piñor,1176,0,
2021-02-11,Piñor,1176,0,
2021-02-12,Piñor,1176,0,
2021-02-13,Piñor,1176,0,
2021-02-14,Piñor,1176,0,
