fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Ponte Caldelas",5494,,
2020-11-22,"Ponte Caldelas",5494,,
2020-11-23,"Ponte Caldelas",5494,,
2020-11-24,"Ponte Caldelas",5494,,
2020-11-25,"Ponte Caldelas",5494,10,
2020-11-26,"Ponte Caldelas",5494,,
2020-11-27,"Ponte Caldelas",5494,,
2020-11-28,"Ponte Caldelas",5494,,
2020-11-29,"Ponte Caldelas",5494,10,
2020-11-30,"Ponte Caldelas",5494,15,
2020-12-01,"Ponte Caldelas",5494,15,
2020-12-02,"Ponte Caldelas",5494,13,
2020-12-03,"Ponte Caldelas",5494,14,
2020-12-04,"Ponte Caldelas",5494,13,
2020-12-05,"Ponte Caldelas",5494,13,
2020-12-06,"Ponte Caldelas",5494,14,
2020-12-07,"Ponte Caldelas",5494,14,
2020-12-08,"Ponte Caldelas",5494,15,
2020-12-09,"Ponte Caldelas",5494,14,
2020-12-10,"Ponte Caldelas",5494,15,
2020-12-11,"Ponte Caldelas",5494,15,
2020-12-12,"Ponte Caldelas",5494,15,
2020-12-13,"Ponte Caldelas",5494,11,
2020-12-14,"Ponte Caldelas",5494,,
2020-12-15,"Ponte Caldelas",5494,,
2020-12-16,"Ponte Caldelas",5494,,
2020-12-17,"Ponte Caldelas",5494,,
2020-12-18,"Ponte Caldelas",5494,,
2020-12-19,"Ponte Caldelas",5494,,
2020-12-20,"Ponte Caldelas",5494,,
2020-12-21,"Ponte Caldelas",5494,,
2020-12-22,"Ponte Caldelas",5494,,
2020-12-23,"Ponte Caldelas",5494,,
2020-12-24,"Ponte Caldelas",5494,,
2020-12-25,"Ponte Caldelas",5494,,
2020-12-26,"Ponte Caldelas",5494,,
2020-12-27,"Ponte Caldelas",5494,,
2020-12-28,"Ponte Caldelas",5494,,
2020-12-29,"Ponte Caldelas",5494,,
2020-12-30,"Ponte Caldelas",5494,,
2020-12-31,"Ponte Caldelas",5494,,
2021-01-01,"Ponte Caldelas",5494,,
2021-01-02,"Ponte Caldelas",5494,,
2021-01-03,"Ponte Caldelas",5494,,
2021-01-04,"Ponte Caldelas",5494,,
2021-01-05,"Ponte Caldelas",5494,,
2021-01-06,"Ponte Caldelas",5494,,
2021-01-07,"Ponte Caldelas",5494,,
2021-01-08,"Ponte Caldelas",5494,,
2021-01-09,"Ponte Caldelas",5494,,
2021-01-10,"Ponte Caldelas",5494,,
2021-01-11,"Ponte Caldelas",5494,,
2021-01-12,"Ponte Caldelas",5494,,
2021-01-13,"Ponte Caldelas",5494,,
2021-01-14,"Ponte Caldelas",5494,,
2021-01-15,"Ponte Caldelas",5494,,
2021-01-16,"Ponte Caldelas",5494,,
2021-01-17,"Ponte Caldelas",5494,,
2021-01-18,"Ponte Caldelas",5494,,
2021-01-19,"Ponte Caldelas",5494,,
2021-01-20,"Ponte Caldelas",5494,11,
2021-01-21,"Ponte Caldelas",5494,14,
2021-01-22,"Ponte Caldelas",5494,16,
2021-01-23,"Ponte Caldelas",5494,22,
2021-01-24,"Ponte Caldelas",5494,24,
2021-01-25,"Ponte Caldelas",5494,34,
2021-01-26,"Ponte Caldelas",5494,40,
2021-01-27,"Ponte Caldelas",5494,41,
2021-01-28,"Ponte Caldelas",5494,44,
2021-01-29,"Ponte Caldelas",5494,45,
2021-01-30,"Ponte Caldelas",5494,48,
2021-01-31,"Ponte Caldelas",5494,50,
2021-02-01,"Ponte Caldelas",5494,52,
2021-02-02,"Ponte Caldelas",5494,52,
2021-02-03,"Ponte Caldelas",5494,54,
2021-02-04,"Ponte Caldelas",5494,53,
2021-02-05,"Ponte Caldelas",5494,57,
2021-02-06,"Ponte Caldelas",5494,52,
2021-02-07,"Ponte Caldelas",5494,53,
2021-02-08,"Ponte Caldelas",5494,46,
2021-02-09,"Ponte Caldelas",5494,39,
2021-02-10,"Ponte Caldelas",5494,43,
2021-02-11,"Ponte Caldelas",5494,38,
2021-02-12,"Ponte Caldelas",5494,38,
2021-02-13,"Ponte Caldelas",5494,33,
2021-02-14,"Ponte Caldelas",5494,37,
2021-02-15,"Ponte Caldelas",5494,34,
2021-02-16,"Ponte Caldelas",5494,36,
2021-02-17,"Ponte Caldelas",5494,34,
2021-02-18,"Ponte Caldelas",5494,33,
2021-02-19,"Ponte Caldelas",5494,31,
2021-02-20,"Ponte Caldelas",5494,31,
2021-02-21,"Ponte Caldelas",5494,27,
2021-02-22,"Ponte Caldelas",5494,24,
2021-02-23,"Ponte Caldelas",5494,25,
2021-02-24,"Ponte Caldelas",5494,20,
2021-02-25,"Ponte Caldelas",5494,25,
2021-02-26,"Ponte Caldelas",5494,24,
2021-02-27,"Ponte Caldelas",5494,30,
2021-02-28,"Ponte Caldelas",5494,25,
2021-03-01,"Ponte Caldelas",5494,27,
2021-03-02,"Ponte Caldelas",5494,24,14
2021-03-03,"Ponte Caldelas",5494,22,14
2021-03-04,"Ponte Caldelas",5494,21,10
2021-03-05,"Ponte Caldelas",5494,18,10
2021-03-06,"Ponte Caldelas",5494,16,
2021-03-07,"Ponte Caldelas",5494,16,
2021-03-08,"Ponte Caldelas",5494,16,
2021-03-09,"Ponte Caldelas",5494,15,
2021-03-10,"Ponte Caldelas",5494,15,
2021-03-11,"Ponte Caldelas",5494,10,0
2021-03-12,"Ponte Caldelas",5494,10,0
2021-03-13,"Ponte Caldelas",5494,,0
2021-03-14,"Ponte Caldelas",5494,,0
2021-03-15,"Ponte Caldelas",5494,,0
2021-03-16,"Ponte Caldelas",5494,,0
2021-03-17,"Ponte Caldelas",5494,,0
2021-03-18,"Ponte Caldelas",5494,0,0
2021-03-19,"Ponte Caldelas",5494,0,0
2021-03-20,"Ponte Caldelas",5494,0,0
2021-03-21,"Ponte Caldelas",5494,0,0
2021-03-22,"Ponte Caldelas",5494,0,0
2021-03-23,"Ponte Caldelas",5494,0,0
2021-03-24,"Ponte Caldelas",5494,0,0
2021-03-25,"Ponte Caldelas",5494,0,0
2021-03-26,"Ponte Caldelas",5494,0,0
2021-03-27,"Ponte Caldelas",5494,0,0
2021-03-28,"Ponte Caldelas",5494,0,0
2021-03-29,"Ponte Caldelas",5494,,
2021-03-30,"Ponte Caldelas",5494,,
2021-03-31,"Ponte Caldelas",5494,,
2021-04-01,"Ponte Caldelas",5494,,
2021-04-02,"Ponte Caldelas",5494,,
2021-04-03,"Ponte Caldelas",5494,,
2021-04-04,"Ponte Caldelas",5494,,
2021-04-05,"Ponte Caldelas",5494,,0
2021-04-06,"Ponte Caldelas",5494,,0
2021-04-07,"Ponte Caldelas",5494,,0
2021-04-08,"Ponte Caldelas",5494,,0
2021-04-09,"Ponte Caldelas",5494,,0
2021-04-10,"Ponte Caldelas",5494,,0
2021-04-11,"Ponte Caldelas",5494,,0
2021-04-12,"Ponte Caldelas",5494,0,0
2021-04-13,"Ponte Caldelas",5494,0,0
2021-04-14,"Ponte Caldelas",5494,0,0
2021-04-15,"Ponte Caldelas",5494,0,0
2021-04-16,"Ponte Caldelas",5494,0,0
2021-04-17,"Ponte Caldelas",5494,0,0
2021-04-18,"Ponte Caldelas",5494,0,0
2021-04-19,"Ponte Caldelas",5494,0,0
2021-04-20,"Ponte Caldelas",5494,0,0
2021-04-21,"Ponte Caldelas",5494,0,0
2021-04-22,"Ponte Caldelas",5494,0,0
2021-04-23,"Ponte Caldelas",5494,0,0
2021-04-24,"Ponte Caldelas",5494,0,0
2021-04-25,"Ponte Caldelas",5494,0,0
2021-04-26,"Ponte Caldelas",5494,0,0
2021-04-27,"Ponte Caldelas",5494,0,0
2021-04-28,"Ponte Caldelas",5494,,
2021-04-29,"Ponte Caldelas",5494,,
2021-04-30,"Ponte Caldelas",5494,,
2021-05-01,"Ponte Caldelas",5494,,
2021-05-02,"Ponte Caldelas",5494,,
2021-05-03,"Ponte Caldelas",5494,,
2021-05-04,"Ponte Caldelas",5494,,
2021-05-05,"Ponte Caldelas",5494,,
2021-05-06,"Ponte Caldelas",5494,,
2021-05-07,"Ponte Caldelas",5494,,
2021-05-08,"Ponte Caldelas",5494,,
2021-05-09,"Ponte Caldelas",5494,10,
2021-05-10,"Ponte Caldelas",5494,10,
2021-05-11,"Ponte Caldelas",5494,11,
2021-05-12,"Ponte Caldelas",5494,10,
2021-05-13,"Ponte Caldelas",5494,12,
2021-05-14,"Ponte Caldelas",5494,12,
2021-05-15,"Ponte Caldelas",5494,13,
2021-05-16,"Ponte Caldelas",5494,11,
2021-05-17,"Ponte Caldelas",5494,11,
2021-05-18,"Ponte Caldelas",5494,14,
2021-05-19,"Ponte Caldelas",5494,16,10
2021-05-20,"Ponte Caldelas",5494,15,
2021-05-21,"Ponte Caldelas",5494,14,
2021-05-22,"Ponte Caldelas",5494,15,
2021-05-23,"Ponte Caldelas",5494,12,
2021-05-24,"Ponte Caldelas",5494,12,
2021-05-25,"Ponte Caldelas",5494,12,
2021-05-26,"Ponte Caldelas",5494,13,
2021-05-27,"Ponte Caldelas",5494,12,
2021-05-28,"Ponte Caldelas",5494,12,
2021-05-29,"Ponte Caldelas",5494,11,
2021-05-30,"Ponte Caldelas",5494,11,
2021-05-31,"Ponte Caldelas",5494,11,
2021-06-01,"Ponte Caldelas",5494,,
2021-06-02,"Ponte Caldelas",5494,,
2021-06-03,"Ponte Caldelas",5494,,0
2021-06-04,"Ponte Caldelas",5494,,
2021-06-05,"Ponte Caldelas",5494,,
2021-06-06,"Ponte Caldelas",5494,,
2021-06-07,"Ponte Caldelas",5494,,
2021-06-08,"Ponte Caldelas",5494,,
2021-06-09,"Ponte Caldelas",5494,,
2021-06-10,"Ponte Caldelas",5494,,
2021-06-11,"Ponte Caldelas",5494,,
2021-06-12,"Ponte Caldelas",5494,,
2021-06-13,"Ponte Caldelas",5494,,
2021-06-14,"Ponte Caldelas",5494,,
2021-06-15,"Ponte Caldelas",5494,,
2021-06-16,"Ponte Caldelas",5494,,
2021-06-17,"Ponte Caldelas",5494,,
2021-06-18,"Ponte Caldelas",5494,,0
2021-06-19,"Ponte Caldelas",5494,,0
2021-06-20,"Ponte Caldelas",5494,,0
2021-06-21,"Ponte Caldelas",5494,,0
2021-06-22,"Ponte Caldelas",5494,,0
2021-06-23,"Ponte Caldelas",5494,,0
2021-06-24,"Ponte Caldelas",5494,,0
2021-06-25,"Ponte Caldelas",5494,0,0
2021-06-26,"Ponte Caldelas",5494,0,0
2021-06-27,"Ponte Caldelas",5494,0,0
2021-06-28,"Ponte Caldelas",5494,0,0
2021-06-29,"Ponte Caldelas",5494,0,0
2021-06-30,"Ponte Caldelas",5494,0,0
2021-07-01,"Ponte Caldelas",5494,,
2021-07-02,"Ponte Caldelas",5494,,
2021-07-03,"Ponte Caldelas",5494,,
2021-07-04,"Ponte Caldelas",5494,,
2021-07-05,"Ponte Caldelas",5494,,
2021-07-06,"Ponte Caldelas",5494,,
2021-07-07,"Ponte Caldelas",5494,,
2021-07-08,"Ponte Caldelas",5494,,
2021-07-09,"Ponte Caldelas",5494,,
2021-07-10,"Ponte Caldelas",5494,,
2021-07-11,"Ponte Caldelas",5494,,
2021-07-12,"Ponte Caldelas",5494,,
2021-07-13,"Ponte Caldelas",5494,10,
2021-07-14,"Ponte Caldelas",5494,12,
2021-07-15,"Ponte Caldelas",5494,10,
2021-07-16,"Ponte Caldelas",5494,11,
2021-07-17,"Ponte Caldelas",5494,10,
2021-07-18,"Ponte Caldelas",5494,14,10
2021-07-19,"Ponte Caldelas",5494,15,11
2021-07-20,"Ponte Caldelas",5494,17,12
2021-07-21,"Ponte Caldelas",5494,17,11
2021-07-22,"Ponte Caldelas",5494,19,13
2021-07-23,"Ponte Caldelas",5494,20,13
2021-07-24,"Ponte Caldelas",5494,24,18
2021-07-25,"Ponte Caldelas",5494,26,16
2021-07-26,"Ponte Caldelas",5494,28,17
2021-07-27,"Ponte Caldelas",5494,29,17
2021-07-28,"Ponte Caldelas",5494,32,21
2021-07-29,"Ponte Caldelas",5494,32,19
2021-07-30,"Ponte Caldelas",5494,34,21
2021-07-31,"Ponte Caldelas",5494,34,16
2021-08-01,"Ponte Caldelas",5494,30,14
2021-08-02,"Ponte Caldelas",5494,31,14
2021-08-03,"Ponte Caldelas",5494,29,12
2021-08-04,"Ponte Caldelas",5494,29,
2021-08-05,"Ponte Caldelas",5494,31,12
2021-08-06,"Ponte Caldelas",5494,33,12
2021-08-07,"Ponte Caldelas",5494,30,14
2021-08-08,"Ponte Caldelas",5494,28,14
2021-08-09,"Ponte Caldelas",5494,26,12
2021-08-10,"Ponte Caldelas",5494,25,13
2021-08-11,"Ponte Caldelas",5494,20,12
2021-08-12,"Ponte Caldelas",5494,26,14
2021-08-13,"Ponte Caldelas",5494,24,12
2021-08-14,"Ponte Caldelas",5494,28,14
2021-08-15,"Ponte Caldelas",5494,33,19
2021-08-16,"Ponte Caldelas",5494,32,20
2021-08-17,"Ponte Caldelas",5494,33,20
2021-08-18,"Ponte Caldelas",5494,34,22
2021-08-19,"Ponte Caldelas",5494,31,17
2021-08-20,"Ponte Caldelas",5494,27,15
2021-08-21,"Ponte Caldelas",5494,26,12
2021-08-22,"Ponte Caldelas",5494,25,
2021-08-23,"Ponte Caldelas",5494,27,
2021-08-24,"Ponte Caldelas",5494,27,
2021-08-25,"Ponte Caldelas",5494,27,
2021-08-26,"Ponte Caldelas",5494,21,
2021-08-27,"Ponte Caldelas",5494,20,
2021-08-28,"Ponte Caldelas",5494,16,
2021-08-29,"Ponte Caldelas",5494,11,
2021-08-30,"Ponte Caldelas",5494,11,
2021-08-31,"Ponte Caldelas",5494,10,
2021-09-01,"Ponte Caldelas",5494,,
2021-09-02,"Ponte Caldelas",5494,,
2021-09-03,"Ponte Caldelas",5494,,
2021-09-04,"Ponte Caldelas",5494,,
2021-09-05,"Ponte Caldelas",5494,,
2021-09-06,"Ponte Caldelas",5494,,
2021-09-07,"Ponte Caldelas",5494,,
2021-09-08,"Ponte Caldelas",5494,,
2021-09-09,"Ponte Caldelas",5494,,
2021-09-10,"Ponte Caldelas",5494,,
2021-09-11,"Ponte Caldelas",5494,,0
2021-09-12,"Ponte Caldelas",5494,,0
2021-09-13,"Ponte Caldelas",5494,,0
2021-09-14,"Ponte Caldelas",5494,,0
2021-09-15,"Ponte Caldelas",5494,,0
2021-09-16,"Ponte Caldelas",5494,,0
2021-09-17,"Ponte Caldelas",5494,,0
2021-09-18,"Ponte Caldelas",5494,0,0
2021-09-19,"Ponte Caldelas",5494,0,0
2021-09-20,"Ponte Caldelas",5494,0,0
2021-09-21,"Ponte Caldelas",5494,,
2021-09-22,"Ponte Caldelas",5494,,
2021-09-23,"Ponte Caldelas",5494,,
2021-09-24,"Ponte Caldelas",5494,,
2021-09-25,"Ponte Caldelas",5494,,
2021-09-26,"Ponte Caldelas",5494,,
2021-09-27,"Ponte Caldelas",5494,,
2021-09-28,"Ponte Caldelas",5494,,0
2021-09-29,"Ponte Caldelas",5494,,0
2021-09-30,"Ponte Caldelas",5494,,0
2021-10-01,"Ponte Caldelas",5494,,0
2021-10-02,"Ponte Caldelas",5494,,0
2021-10-03,"Ponte Caldelas",5494,,0
2021-10-04,"Ponte Caldelas",5494,,0
2021-10-05,"Ponte Caldelas",5494,0,0
2021-10-06,"Ponte Caldelas",5494,0,0
2021-10-07,"Ponte Caldelas",5494,0,0
2021-10-08,"Ponte Caldelas",5494,0,0
2021-10-09,"Ponte Caldelas",5494,0,0
2021-10-10,"Ponte Caldelas",5494,0,0
2021-10-11,"Ponte Caldelas",5494,0,0
2021-10-12,"Ponte Caldelas",5494,0,0
2021-10-13,"Ponte Caldelas",5494,0,0
2021-10-14,"Ponte Caldelas",5494,0,0
2021-10-15,"Ponte Caldelas",5494,0,0
2021-10-16,"Ponte Caldelas",5494,0,0
2021-10-17,"Ponte Caldelas",5494,,
2021-10-18,"Ponte Caldelas",5494,,
2021-10-19,"Ponte Caldelas",5494,,
2021-10-20,"Ponte Caldelas",5494,,
2021-10-21,"Ponte Caldelas",5494,,
2021-10-22,"Ponte Caldelas",5494,,
2021-10-23,"Ponte Caldelas",5494,,
2021-10-24,"Ponte Caldelas",5494,,0
2021-10-25,"Ponte Caldelas",5494,,0
2021-10-26,"Ponte Caldelas",5494,,0
2021-10-27,"Ponte Caldelas",5494,,0
2021-10-28,"Ponte Caldelas",5494,,0
2021-10-29,"Ponte Caldelas",5494,,0
2021-10-30,"Ponte Caldelas",5494,,0
2021-10-31,"Ponte Caldelas",5494,0,0
2021-11-01,"Ponte Caldelas",5494,0,0
2021-11-02,"Ponte Caldelas",5494,0,0
2021-11-03,"Ponte Caldelas",5494,0,0
2021-11-04,"Ponte Caldelas",5494,0,0
2021-11-05,"Ponte Caldelas",5494,0,0
2021-11-06,"Ponte Caldelas",5494,0,0
2021-11-07,"Ponte Caldelas",5494,0,0
2021-11-08,"Ponte Caldelas",5494,0,0
2021-11-09,"Ponte Caldelas",5494,0,0
2021-11-10,"Ponte Caldelas",5494,0,0
2021-11-11,"Ponte Caldelas",5494,0,0
2021-11-12,"Ponte Caldelas",5494,0,0
2021-11-13,"Ponte Caldelas",5494,0,0
2021-11-14,"Ponte Caldelas",5494,0,0
2021-11-15,"Ponte Caldelas",5494,0,0
2021-11-16,"Ponte Caldelas",5494,0,0
2021-11-17,"Ponte Caldelas",5494,0,0
2021-11-18,"Ponte Caldelas",5494,0,0
2021-11-19,"Ponte Caldelas",5494,0,0
2021-11-20,"Ponte Caldelas",5494,0,0
2021-11-21,"Ponte Caldelas",5494,0,0
2021-11-22,"Ponte Caldelas",5494,0,0
2021-11-23,"Ponte Caldelas",5494,0,0
2021-11-24,"Ponte Caldelas",5494,0,0
2021-11-25,"Ponte Caldelas",5494,0,0
2021-11-26,"Ponte Caldelas",5494,0,0
2021-11-27,"Ponte Caldelas",5494,0,0
2021-11-28,"Ponte Caldelas",5494,,
2021-11-29,"Ponte Caldelas",5494,,
2021-11-30,"Ponte Caldelas",5494,,
2021-12-01,"Ponte Caldelas",5494,,
2021-12-02,"Ponte Caldelas",5494,,
2021-12-03,"Ponte Caldelas",5494,12,12
2021-12-04,"Ponte Caldelas",5494,16,16
2021-12-05,"Ponte Caldelas",5494,18,17
2021-12-06,"Ponte Caldelas",5494,21,19
2021-12-07,"Ponte Caldelas",5494,26,19
2021-12-08,"Ponte Caldelas",5494,30,22
2021-12-09,"Ponte Caldelas",5494,32,23
2021-12-10,"Ponte Caldelas",5494,34,22
2021-12-11,"Ponte Caldelas",5494,37,21
2021-12-12,"Ponte Caldelas",5494,38,21
2021-12-13,"Ponte Caldelas",5494,44,25
2021-12-14,"Ponte Caldelas",5494,42,23
2021-12-15,"Ponte Caldelas",5494,44,22
2021-12-16,"Ponte Caldelas",5494,44,21
