fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,36042,Ponteareas,22877,82,,,358.438606460637,,,,,,,,
2020-11-22,36042,Ponteareas,22877,88,,,384.665821567513,,,,,,,,
2020-11-23,36042,Ponteareas,22877,89,,,389.037024085326,,,,,,,,
2020-11-24,36042,Ponteareas,22877,80,,,349.696201425012,,,,,,,,
2020-11-25,36042,Ponteareas,22877,83,,,362.80980897845,,,,,,,,
2020-11-26,36042,Ponteareas,22877,79,,,345.324998907199,,,,,,,,
2020-11-27,36042,Ponteareas,22877,83,,,362.80980897845,,,,,,,,
2020-11-28,36042,Ponteareas,22877,74,,,323.468986318136,,,,,,,,
2020-11-29,36042,Ponteareas,22877,71,,,310.355378764698,,,,,,,,
2020-11-30,36042,Ponteareas,22877,71,,,310.355378764698,,,,,,,,
2020-12-01,36042,Ponteareas,22877,69,,,301.612973729073,,,,,,,,
2020-12-02,36042,Ponteareas,22877,67,,,292.870568693448,,,,,,,,
2020-12-03,36042,Ponteareas,22877,66,,,288.499366175635,,,,,,,,
2020-12-04,36042,Ponteareas,22877,62,,,271.014556104384,,,,,,,,
2020-12-05,36042,Ponteareas,22877,55,,,240.416138479696,,,,,,,,
2020-12-06,36042,Ponteareas,22877,53,,,231.67373344407,,,,,,,,
2020-12-07,36042,Ponteareas,22877,50,,,218.560125890633,,,,,,,,
2020-12-08,36042,Ponteareas,22877,52,,,227.302530926258,,,,,,,,
2020-12-09,36042,Ponteareas,22877,46,,,201.075315819382,,,,,,,,
2020-12-10,36042,Ponteareas,22877,48,,,209.817720855007,,,,,,,,
2020-12-11,36042,Ponteareas,22877,46,,,201.075315819382,,,,,,,,
2020-12-12,36042,Ponteareas,22877,50,,,218.560125890633,,,,,,,,
2020-12-13,36042,Ponteareas,22877,50,,,218.560125890633,,,,,,,,
2020-12-14,36042,Ponteareas,22877,49,,,214.18892337282,,,,,,,,
2020-12-15,36042,Ponteareas,22877,51,,,222.931328408445,,,,,,,,
2020-12-16,36042,Ponteareas,22877,50,,,218.560125890633,,,,,,,,
2020-12-17,36042,Ponteareas,22877,47,,,205.446518337195,,,,,,,,
2020-12-18,36042,Ponteareas,22877,42,,,183.590505748131,,,,,,,,
2020-12-19,36042,Ponteareas,22877,44,,,192.332910783757,,,,,,,,
2020-12-20,36042,Ponteareas,22877,40,,,174.848100712506,,,,,,,,
2020-12-21,36042,Ponteareas,22877,40,,,174.848100712506,,,,,,,,
2020-12-22,36042,Ponteareas,22877,40,,,174.848100712506,,,,,,,,
2020-12-23,36042,Ponteareas,22877,38,,,166.105695676881,,,,,,,,
2020-12-24,36042,Ponteareas,22877,34,,,148.62088560563,,,,,,,,
2020-12-25,36042,Ponteareas,22877,31,,,135.507278052192,,,,,,,,
2020-12-26,36042,Ponteareas,22877,24,,,104.908860427504,,,,,,,,
2020-12-27,36042,Ponteareas,22877,23,,,100.537657909691,,,,,,,,
2020-12-28,36042,Ponteareas,22877,22,,,96.1664553918783,,,,,,,,
2020-12-29,36042,Ponteareas,22877,18,,,78.6816453206277,,,,,,,,
2020-12-30,36042,Ponteareas,22877,17,,,74.3104428028151,,,,,,,,
2020-12-31,36042,Ponteareas,22877,18,,,78.6816453206277,,,,,,,,
2021-01-01,36042,Ponteareas,22877,20,,,87.424050356253,,,,,,,,
2021-01-02,36042,Ponteareas,22877,18,,,78.6816453206277,,,,,,,,
2021-01-03,36042,Ponteareas,22877,21,,,91.7952528740657,,,,,,,,
2021-01-04,36042,Ponteareas,22877,21,,,91.7952528740657,,,,,,,,
2021-01-05,36042,Ponteareas,22877,19,,,83.0528478384404,,,,,,,,
2021-01-06,36042,Ponteareas,22877,25,,,109.280062945316,,,,,,,,
2021-01-07,36042,Ponteareas,22877,31,,,135.507278052192,,,,,,,,
2021-01-08,36042,Ponteareas,22877,33,,,144.249683087817,,,,,,,,
2021-01-09,36042,Ponteareas,22877,51,,,222.931328408445,,,,,,,,
2021-01-10,36042,Ponteareas,22877,59,,,257.900948550946,,,,,,,,
2021-01-11,36042,Ponteareas,22877,62,,,271.014556104384,,,,,,,,
2021-01-12,36042,Ponteareas,22877,72,,,314.726581282511,,,,,,,,
2021-01-13,36042,Ponteareas,22877,84,,,367.181011496263,,,,,,,,
2021-01-14,36042,Ponteareas,22877,99,,,432.749049263452,,,,,,,,
2021-01-15,36042,Ponteareas,22877,108,,,472.089871923766,,,,,,,,
2021-01-16,36042,Ponteareas,22877,130,,,568.256327315645,,,,,,,,
2021-01-17,36042,Ponteareas,22877,141,,,616.339555011584,,,,,,,,
2021-01-18,36042,Ponteareas,22877,156,,,681.907592778774,,,,,,,,
2021-01-19,36042,Ponteareas,22877,174,,,760.589238099401,,,,,,,,
2021-01-20,36042,Ponteareas,22877,193,,,843.642085937842,,,,,,,,
2021-01-21,36042,Ponteareas,22877,212,,,926.694933776282,,,,,,,,
2021-01-22,36042,Ponteareas,22877,240,,,1049.08860427504,,,,,,,,
2021-01-23,36042,Ponteareas,22877,242,,,1057.83100931066,,,,,,,,
2021-01-24,36042,Ponteareas,22877,247,,,1079.68702189972,,,,,,,,
2021-01-25,36042,Ponteareas,22877,262,,,1145.25505966691,,,,,,,,
2021-01-26,36042,Ponteareas,22877,264,,,1153.99746470254,,,,,,,,
2021-01-27,36042,Ponteareas,22877,270,,,1180.22467980942,,,,,,,,
2021-01-28,36042,Ponteareas,22877,271,,,1184.59588232723,,,,,,,,
2021-01-29,36042,Ponteareas,22877,295,,,1289.50474275473,,,,,,,,
2021-01-30,36042,Ponteareas,22877,294,,,1285.13354023692,,,,,,,,
2021-01-31,36042,Ponteareas,22877,296,,,1293.87594527254,,,,,,,,
2021-02-01,36042,Ponteareas,22877,292,,,1276.39113520129,,,,,,,,
2021-02-02,36042,Ponteareas,22877,279,,,1219.56550246973,,,,,,,,
2021-02-03,36042,Ponteareas,22877,266,,,1162.73986973816,,,,,,,,
2021-02-04,36042,Ponteareas,22877,251,,,1097.17183197098,,,,,,,,
2021-02-05,36042,Ponteareas,22877,234,,,1022.86138916816,,,,,,,,
2021-02-06,36042,Ponteareas,22877,223,,,974.778161472221,,,,,,,,
2021-02-07,36042,Ponteareas,22877,218,,,952.922148883158,,,,,,,,
2021-02-08,36042,Ponteareas,22877,202,,,882.982908598155,,,,,,,,
2021-02-09,36042,Ponteareas,22877,192,,,839.270883420029,,,,,,,,
2021-02-10,36042,Ponteareas,22877,175,,,764.960440617214,,,,,,,,
2021-02-11,36042,Ponteareas,22877,162,,,708.134807885649,,,,,,,,
2021-02-12,36042,Ponteareas,22877,128,,,559.513922280019,,,,,,,,
2021-02-13,36042,Ponteareas,22877,109,,,476.461074441579,,,,,,,,
2021-02-14,36042,Ponteareas,22877,96,,,419.635441710014,,,,,,,,
2021-02-15,36042,Ponteareas,22877,85,,,371.552214014075,,,,,,,,
2021-02-16,36042,Ponteareas,22877,79,,,345.324998907199,,,,,,,,
2021-02-17,36042,Ponteareas,22877,68,,,297.24177121126,,,,,,,,
2021-02-18,36042,Ponteareas,22877,58,,,253.529746033134,,,,,,,,
2021-02-19,36042,Ponteareas,22877,51,,,222.931328408445,,,,,,,,
2021-02-20,36042,Ponteareas,22877,45,,,196.704113301569,,,,,,,,
2021-02-21,36042,Ponteareas,22877,40,,,174.848100712506,,,,,,,,
2021-02-22,36042,Ponteareas,22877,37,,,161.734493159068,,,,,,,,
2021-02-23,36042,Ponteareas,22877,37,,,161.734493159068,,,,,,,,
2021-02-24,36042,Ponteareas,22877,32,,,139.878480570005,,,,,,,,
2021-02-25,36042,Ponteareas,22877,28,,,122.393670498754,,,,,,,,
2021-02-26,36042,Ponteareas,22877,26,,,113.651265463129,,,,,,,,
2021-02-27,36042,Ponteareas,22877,22,,,96.1664553918783,,,,,,,,
2021-02-28,36042,Ponteareas,22877,20,,,87.424050356253,,,,,,,,
2021-03-01,36042,Ponteareas,22877,19,,,83.0528478384404,,,,,,,,
2021-03-02,36042,Ponteareas,22877,22,,,96.1664553918783,,,,1,9,,4.37120251781265,39.3408226603139
2021-03-03,36042,Ponteareas,22877,21,,,91.7952528740657,,,,1,9,,4.37120251781265,39.3408226603139
2021-03-04,36042,Ponteareas,22877,20,,,87.424050356253,,,,1,9,,4.37120251781265,39.3408226603139
2021-03-05,36042,Ponteareas,22877,15,,,65.5680377671898,,,,1,9,,4.37120251781265,39.3408226603139
2021-03-06,36042,Ponteareas,22877,12,,,52.4544302137518,,,,1,9,,4.37120251781265,39.3408226603139
2021-03-07,36042,Ponteareas,22877,10,,,43.7120251781265,,,,1,9,,4.37120251781265,39.3408226603139
2021-03-08,36042,Ponteareas,22877,10,,,43.7120251781265,,,,1,9,,4.37120251781265,39.3408226603139
2021-03-09,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-10,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-11,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-12,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-13,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-14,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-15,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-16,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-17,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-18,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-19,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-20,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-21,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-22,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
2021-03-23,36042,Ponteareas,22877,,1,9,,4.37120251781265,39.3408226603139,,1,9,,4.37120251781265,39.3408226603139
