fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ponteceso,5502,44,
2020-11-22,Ponteceso,5502,45,
2020-11-23,Ponteceso,5502,36,
2020-11-24,Ponteceso,5502,31,
2020-11-25,Ponteceso,5502,34,
2020-11-26,Ponteceso,5502,30,
2020-11-27,Ponteceso,5502,35,
2020-11-28,Ponteceso,5502,30,
2020-11-29,Ponteceso,5502,29,
2020-11-30,Ponteceso,5502,28,
2020-12-01,Ponteceso,5502,30,
2020-12-02,Ponteceso,5502,30,
2020-12-03,Ponteceso,5502,29,
2020-12-04,Ponteceso,5502,27,
2020-12-05,Ponteceso,5502,24,
2020-12-06,Ponteceso,5502,22,
2020-12-07,Ponteceso,5502,22,
2020-12-08,Ponteceso,5502,21,
2020-12-09,Ponteceso,5502,18,
2020-12-10,Ponteceso,5502,19,
2020-12-11,Ponteceso,5502,14,
2020-12-12,Ponteceso,5502,13,
2020-12-13,Ponteceso,5502,11,
2020-12-14,Ponteceso,5502,,
2020-12-15,Ponteceso,5502,,
2020-12-16,Ponteceso,5502,,
2020-12-17,Ponteceso,5502,,
2020-12-18,Ponteceso,5502,,
2020-12-19,Ponteceso,5502,,
2020-12-20,Ponteceso,5502,,
2020-12-21,Ponteceso,5502,,
2020-12-22,Ponteceso,5502,,
2020-12-23,Ponteceso,5502,,
2020-12-24,Ponteceso,5502,,
2020-12-25,Ponteceso,5502,,
2020-12-26,Ponteceso,5502,,
2020-12-27,Ponteceso,5502,,
2020-12-28,Ponteceso,5502,,
2020-12-29,Ponteceso,5502,,
2020-12-30,Ponteceso,5502,,
2020-12-31,Ponteceso,5502,,
2021-01-01,Ponteceso,5502,10,
2021-01-02,Ponteceso,5502,,
2021-01-03,Ponteceso,5502,,
2021-01-04,Ponteceso,5502,,
2021-01-05,Ponteceso,5502,,
2021-01-06,Ponteceso,5502,,
2021-01-07,Ponteceso,5502,,
2021-01-08,Ponteceso,5502,,
2021-01-09,Ponteceso,5502,,
2021-01-10,Ponteceso,5502,,
2021-01-11,Ponteceso,5502,,
2021-01-12,Ponteceso,5502,,
2021-01-13,Ponteceso,5502,,
2021-01-14,Ponteceso,5502,,
2021-01-15,Ponteceso,5502,,
2021-01-16,Ponteceso,5502,,
2021-01-17,Ponteceso,5502,,
2021-01-18,Ponteceso,5502,,
2021-01-19,Ponteceso,5502,,
2021-01-20,Ponteceso,5502,10,
2021-01-21,Ponteceso,5502,11,
2021-01-22,Ponteceso,5502,13,
2021-01-23,Ponteceso,5502,15,
2021-01-24,Ponteceso,5502,22,
2021-01-25,Ponteceso,5502,23,
2021-01-26,Ponteceso,5502,24,
2021-01-27,Ponteceso,5502,25,
2021-01-28,Ponteceso,5502,29,
2021-01-29,Ponteceso,5502,29,
2021-01-30,Ponteceso,5502,31,
2021-01-31,Ponteceso,5502,32,
2021-02-01,Ponteceso,5502,32,
2021-02-02,Ponteceso,5502,32,
2021-02-03,Ponteceso,5502,30,
2021-02-04,Ponteceso,5502,28,
2021-02-05,Ponteceso,5502,27,
2021-02-06,Ponteceso,5502,28,
2021-02-07,Ponteceso,5502,20,
2021-02-08,Ponteceso,5502,20,
2021-02-09,Ponteceso,5502,19,
2021-02-10,Ponteceso,5502,18,
2021-02-11,Ponteceso,5502,15,
2021-02-12,Ponteceso,5502,17,
2021-02-13,Ponteceso,5502,16,
2021-02-14,Ponteceso,5502,18,
2021-02-15,Ponteceso,5502,17,
2021-02-16,Ponteceso,5502,19,
2021-02-17,Ponteceso,5502,22,
2021-02-18,Ponteceso,5502,27,
2021-02-19,Ponteceso,5502,36,
2021-02-20,Ponteceso,5502,32,
2021-02-21,Ponteceso,5502,36,
2021-02-22,Ponteceso,5502,35,
2021-02-23,Ponteceso,5502,35,
2021-02-24,Ponteceso,5502,37,
2021-02-25,Ponteceso,5502,37,
2021-02-26,Ponteceso,5502,36,
2021-02-27,Ponteceso,5502,36,
2021-02-28,Ponteceso,5502,33,
2021-03-01,Ponteceso,5502,34,
2021-03-02,Ponteceso,5502,32,
2021-03-03,Ponteceso,5502,29,
2021-03-04,Ponteceso,5502,24,
2021-03-05,Ponteceso,5502,15,
2021-03-06,Ponteceso,5502,15,
2021-03-07,Ponteceso,5502,11,
2021-03-08,Ponteceso,5502,11,
2021-03-09,Ponteceso,5502,12,
2021-03-10,Ponteceso,5502,12,
2021-03-11,Ponteceso,5502,13,
2021-03-12,Ponteceso,5502,13,
2021-03-13,Ponteceso,5502,14,
2021-03-14,Ponteceso,5502,14,
2021-03-15,Ponteceso,5502,12,
2021-03-16,Ponteceso,5502,12,
2021-03-17,Ponteceso,5502,11,
2021-03-18,Ponteceso,5502,10,
2021-03-19,Ponteceso,5502,,
2021-03-20,Ponteceso,5502,,
2021-03-21,Ponteceso,5502,,0
2021-03-22,Ponteceso,5502,,0
2021-03-23,Ponteceso,5502,,0
2021-03-24,Ponteceso,5502,,
2021-03-25,Ponteceso,5502,,
2021-03-26,Ponteceso,5502,,
2021-03-27,Ponteceso,5502,,
2021-03-28,Ponteceso,5502,,
2021-03-29,Ponteceso,5502,,
2021-03-30,Ponteceso,5502,,
2021-03-31,Ponteceso,5502,,
2021-04-01,Ponteceso,5502,,
2021-04-02,Ponteceso,5502,,
2021-04-03,Ponteceso,5502,,
2021-04-04,Ponteceso,5502,,
2021-04-05,Ponteceso,5502,,0
2021-04-06,Ponteceso,5502,,0
2021-04-07,Ponteceso,5502,,0
2021-04-08,Ponteceso,5502,,0
2021-04-09,Ponteceso,5502,,0
2021-04-10,Ponteceso,5502,,0
2021-04-11,Ponteceso,5502,,0
2021-04-12,Ponteceso,5502,0,0
2021-04-13,Ponteceso,5502,0,0
2021-04-14,Ponteceso,5502,0,0
2021-04-15,Ponteceso,5502,0,0
2021-04-16,Ponteceso,5502,0,0
2021-04-17,Ponteceso,5502,0,0
2021-04-18,Ponteceso,5502,0,0
2021-04-19,Ponteceso,5502,0,0
2021-04-20,Ponteceso,5502,0,0
