fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Pontecesures,3052,,
2020-11-22,Pontecesures,3052,,
2020-11-23,Pontecesures,3052,10,
2020-11-24,Pontecesures,3052,10,
2020-11-25,Pontecesures,3052,10,
2020-11-26,Pontecesures,3052,10,
2020-11-27,Pontecesures,3052,10,
2020-11-28,Pontecesures,3052,10,
2020-11-29,Pontecesures,3052,10,
2020-11-30,Pontecesures,3052,10,
2020-12-01,Pontecesures,3052,,
2020-12-02,Pontecesures,3052,,
2020-12-03,Pontecesures,3052,11,
2020-12-04,Pontecesures,3052,11,
2020-12-05,Pontecesures,3052,10,
2020-12-06,Pontecesures,3052,,
2020-12-07,Pontecesures,3052,,
2020-12-08,Pontecesures,3052,,
2020-12-09,Pontecesures,3052,,
2020-12-10,Pontecesures,3052,,
2020-12-11,Pontecesures,3052,,
2020-12-12,Pontecesures,3052,,
2020-12-13,Pontecesures,3052,10,
2020-12-14,Pontecesures,3052,11,
2020-12-15,Pontecesures,3052,13,
2020-12-16,Pontecesures,3052,15,
2020-12-17,Pontecesures,3052,14,
2020-12-18,Pontecesures,3052,18,
2020-12-19,Pontecesures,3052,18,
2020-12-20,Pontecesures,3052,17,
2020-12-21,Pontecesures,3052,17,
2020-12-22,Pontecesures,3052,17,
2020-12-23,Pontecesures,3052,18,
2020-12-24,Pontecesures,3052,18,
2020-12-25,Pontecesures,3052,19,
2020-12-26,Pontecesures,3052,18,
2020-12-27,Pontecesures,3052,18,
2020-12-28,Pontecesures,3052,18,
2020-12-29,Pontecesures,3052,16,
2020-12-30,Pontecesures,3052,14,
2020-12-31,Pontecesures,3052,12,
2021-01-01,Pontecesures,3052,,
2021-01-02,Pontecesures,3052,,
2021-01-03,Pontecesures,3052,,
2021-01-04,Pontecesures,3052,,
2021-01-05,Pontecesures,3052,,
2021-01-06,Pontecesures,3052,,
2021-01-07,Pontecesures,3052,12,
2021-01-08,Pontecesures,3052,25,
2021-01-09,Pontecesures,3052,39,
2021-01-10,Pontecesures,3052,39,
2021-01-11,Pontecesures,3052,40,
2021-01-12,Pontecesures,3052,42,
2021-01-13,Pontecesures,3052,45,
2021-01-14,Pontecesures,3052,47,
2021-01-15,Pontecesures,3052,52,
2021-01-16,Pontecesures,3052,59,
2021-01-17,Pontecesures,3052,68,
2021-01-18,Pontecesures,3052,75,
2021-01-19,Pontecesures,3052,79,
2021-01-20,Pontecesures,3052,78,
2021-01-21,Pontecesures,3052,84,
2021-01-22,Pontecesures,3052,76,
2021-01-23,Pontecesures,3052,68,
2021-01-24,Pontecesures,3052,68,
2021-01-25,Pontecesures,3052,76,
2021-01-26,Pontecesures,3052,79,
2021-01-27,Pontecesures,3052,82,
2021-01-28,Pontecesures,3052,82,
2021-01-29,Pontecesures,3052,82,
2021-01-30,Pontecesures,3052,81,
2021-01-31,Pontecesures,3052,73,
2021-02-01,Pontecesures,3052,67,
2021-02-02,Pontecesures,3052,71,
2021-02-03,Pontecesures,3052,68,
2021-02-04,Pontecesures,3052,63,
2021-02-05,Pontecesures,3052,60,
2021-02-06,Pontecesures,3052,57,
2021-02-07,Pontecesures,3052,58,
2021-02-08,Pontecesures,3052,48,
2021-02-09,Pontecesures,3052,43,
2021-02-10,Pontecesures,3052,38,
2021-02-11,Pontecesures,3052,36,
2021-02-12,Pontecesures,3052,30,
2021-02-13,Pontecesures,3052,24,
2021-02-14,Pontecesures,3052,24,
2021-02-15,Pontecesures,3052,24,
2021-02-16,Pontecesures,3052,17,
2021-02-17,Pontecesures,3052,16,
2021-02-18,Pontecesures,3052,11,
2021-02-19,Pontecesures,3052,,
2021-02-20,Pontecesures,3052,,
2021-02-21,Pontecesures,3052,,
2021-02-22,Pontecesures,3052,,
2021-02-23,Pontecesures,3052,,
2021-02-24,Pontecesures,3052,,
2021-02-25,Pontecesures,3052,,
2021-02-26,Pontecesures,3052,,
2021-02-27,Pontecesures,3052,,
2021-02-28,Pontecesures,3052,,
2021-03-01,Pontecesures,3052,,
2021-03-02,Pontecesures,3052,,
2021-03-03,Pontecesures,3052,,
2021-03-04,Pontecesures,3052,,
2021-03-05,Pontecesures,3052,,
2021-03-06,Pontecesures,3052,,
2021-03-07,Pontecesures,3052,,
2021-03-08,Pontecesures,3052,,
2021-03-09,Pontecesures,3052,10,
2021-03-10,Pontecesures,3052,,
2021-03-11,Pontecesures,3052,,
2021-03-12,Pontecesures,3052,,
2021-03-13,Pontecesures,3052,,
2021-03-14,Pontecesures,3052,,
2021-03-15,Pontecesures,3052,,
2021-03-16,Pontecesures,3052,,
2021-03-17,Pontecesures,3052,,0
2021-03-18,Pontecesures,3052,,0
2021-03-19,Pontecesures,3052,,0
2021-03-20,Pontecesures,3052,,0
2021-03-21,Pontecesures,3052,,0
2021-03-22,Pontecesures,3052,,0
2021-03-23,Pontecesures,3052,,0
2021-03-24,Pontecesures,3052,0,0
2021-03-25,Pontecesures,3052,0,0
2021-03-26,Pontecesures,3052,0,0
2021-03-27,Pontecesures,3052,0,0
2021-03-28,Pontecesures,3052,0,0
2021-03-29,Pontecesures,3052,0,0
2021-03-30,Pontecesures,3052,0,0
2021-03-31,Pontecesures,3052,0,0
2021-04-01,Pontecesures,3052,0,0
2021-04-02,Pontecesures,3052,0,0
2021-04-03,Pontecesures,3052,0,0
2021-04-04,Pontecesures,3052,0,0
2021-04-05,Pontecesures,3052,0,0
2021-04-06,Pontecesures,3052,0,0
2021-04-07,Pontecesures,3052,0,0
2021-04-08,Pontecesures,3052,0,0
2021-04-09,Pontecesures,3052,0,0
2021-04-10,Pontecesures,3052,0,0
2021-04-11,Pontecesures,3052,0,0
2021-04-12,Pontecesures,3052,0,0
2021-04-13,Pontecesures,3052,0,0
2021-04-14,Pontecesures,3052,0,0
2021-04-15,Pontecesures,3052,0,0
2021-04-16,Pontecesures,3052,0,0
2021-04-17,Pontecesures,3052,0,0
2021-04-18,Pontecesures,3052,0,0
2021-04-19,Pontecesures,3052,0,0
2021-04-20,Pontecesures,3052,0,0
2021-04-21,Pontecesures,3052,0,0
2021-04-22,Pontecesures,3052,0,0
2021-04-23,Pontecesures,3052,0,0
2021-04-24,Pontecesures,3052,0,0
2021-04-25,Pontecesures,3052,0,0
2021-04-26,Pontecesures,3052,0,0
2021-04-27,Pontecesures,3052,0,0
2021-04-28,Pontecesures,3052,0,0
2021-04-29,Pontecesures,3052,0,0
2021-04-30,Pontecesures,3052,0,0
2021-05-01,Pontecesures,3052,0,0
2021-05-02,Pontecesures,3052,0,0
2021-05-03,Pontecesures,3052,0,0
2021-05-04,Pontecesures,3052,0,0
2021-05-05,Pontecesures,3052,0,0
2021-05-06,Pontecesures,3052,0,0
2021-05-07,Pontecesures,3052,0,0
2021-05-08,Pontecesures,3052,0,0
2021-05-09,Pontecesures,3052,0,0
2021-05-10,Pontecesures,3052,0,0
2021-05-11,Pontecesures,3052,0,0
2021-05-12,Pontecesures,3052,0,0
2021-05-13,Pontecesures,3052,0,0
2021-05-14,Pontecesures,3052,,
2021-05-15,Pontecesures,3052,,
2021-05-16,Pontecesures,3052,,
2021-05-17,Pontecesures,3052,,
2021-05-18,Pontecesures,3052,,
2021-05-19,Pontecesures,3052,,
2021-05-20,Pontecesures,3052,,
2021-05-21,Pontecesures,3052,,0
2021-05-22,Pontecesures,3052,,0
2021-05-23,Pontecesures,3052,,0
2021-05-24,Pontecesures,3052,,0
2021-05-25,Pontecesures,3052,,0
2021-05-26,Pontecesures,3052,,0
2021-05-27,Pontecesures,3052,,0
2021-05-28,Pontecesures,3052,0,0
2021-05-29,Pontecesures,3052,0,0
2021-05-30,Pontecesures,3052,0,0
2021-05-31,Pontecesures,3052,0,0
2021-06-01,Pontecesures,3052,0,0
2021-06-02,Pontecesures,3052,0,0
2021-06-03,Pontecesures,3052,0,0
2021-06-04,Pontecesures,3052,0,0
2021-06-05,Pontecesures,3052,0,0
2021-06-06,Pontecesures,3052,0,0
2021-06-07,Pontecesures,3052,0,0
2021-06-08,Pontecesures,3052,0,0
2021-06-09,Pontecesures,3052,0,0
2021-06-10,Pontecesures,3052,0,0
2021-06-11,Pontecesures,3052,,
2021-06-12,Pontecesures,3052,,
2021-06-13,Pontecesures,3052,,
2021-06-14,Pontecesures,3052,,
2021-06-15,Pontecesures,3052,,
2021-06-16,Pontecesures,3052,,
2021-06-17,Pontecesures,3052,,
2021-06-18,Pontecesures,3052,,0
2021-06-19,Pontecesures,3052,,0
2021-06-20,Pontecesures,3052,,0
2021-06-21,Pontecesures,3052,,
2021-06-22,Pontecesures,3052,,
2021-06-23,Pontecesures,3052,,
2021-06-24,Pontecesures,3052,,
2021-06-25,Pontecesures,3052,,
2021-06-26,Pontecesures,3052,,
2021-06-27,Pontecesures,3052,,
2021-06-28,Pontecesures,3052,,0
2021-06-29,Pontecesures,3052,,0
2021-06-30,Pontecesures,3052,,0
2021-07-01,Pontecesures,3052,,0
2021-07-02,Pontecesures,3052,,0
2021-07-03,Pontecesures,3052,,0
2021-07-04,Pontecesures,3052,,0
2021-07-05,Pontecesures,3052,0,0
2021-07-06,Pontecesures,3052,0,0
2021-07-07,Pontecesures,3052,0,0
2021-07-08,Pontecesures,3052,0,0
2021-07-09,Pontecesures,3052,0,0
2021-07-10,Pontecesures,3052,0,0
2021-07-11,Pontecesures,3052,0,0
2021-07-12,Pontecesures,3052,,
2021-07-13,Pontecesures,3052,,
2021-07-14,Pontecesures,3052,,
2021-07-15,Pontecesures,3052,,
2021-07-16,Pontecesures,3052,,
2021-07-17,Pontecesures,3052,,
2021-07-18,Pontecesures,3052,,
2021-07-19,Pontecesures,3052,12,11
2021-07-20,Pontecesures,3052,15,14
2021-07-21,Pontecesures,3052,15,13
2021-07-22,Pontecesures,3052,15,10
2021-07-23,Pontecesures,3052,16,11
2021-07-24,Pontecesures,3052,16,
2021-07-25,Pontecesures,3052,16,
2021-07-26,Pontecesures,3052,15,
2021-07-27,Pontecesures,3052,16,
2021-07-28,Pontecesures,3052,15,
2021-07-29,Pontecesures,3052,15,
2021-07-30,Pontecesures,3052,15,
2021-07-31,Pontecesures,3052,12,
2021-08-01,Pontecesures,3052,11,
2021-08-02,Pontecesures,3052,,
2021-08-03,Pontecesures,3052,,
2021-08-04,Pontecesures,3052,,
2021-08-05,Pontecesures,3052,,
2021-08-06,Pontecesures,3052,,
2021-08-07,Pontecesures,3052,,
2021-08-08,Pontecesures,3052,,
2021-08-09,Pontecesures,3052,,
2021-08-10,Pontecesures,3052,,
2021-08-11,Pontecesures,3052,,
2021-08-12,Pontecesures,3052,,
2021-08-13,Pontecesures,3052,,
2021-08-14,Pontecesures,3052,,
2021-08-15,Pontecesures,3052,,
2021-08-16,Pontecesures,3052,,
2021-08-17,Pontecesures,3052,,
2021-08-18,Pontecesures,3052,,
2021-08-19,Pontecesures,3052,,
2021-08-20,Pontecesures,3052,,
2021-08-21,Pontecesures,3052,,
2021-08-22,Pontecesures,3052,,
2021-08-23,Pontecesures,3052,,
2021-08-24,Pontecesures,3052,,
2021-08-25,Pontecesures,3052,,
2021-08-26,Pontecesures,3052,,
2021-08-27,Pontecesures,3052,,
2021-08-28,Pontecesures,3052,,
2021-08-29,Pontecesures,3052,,0
2021-08-30,Pontecesures,3052,,0
2021-08-31,Pontecesures,3052,,0
2021-09-01,Pontecesures,3052,,0
2021-09-02,Pontecesures,3052,,0
2021-09-03,Pontecesures,3052,,0
2021-09-04,Pontecesures,3052,,
2021-09-05,Pontecesures,3052,,
2021-09-06,Pontecesures,3052,,
2021-09-07,Pontecesures,3052,,
2021-09-08,Pontecesures,3052,,0
2021-09-09,Pontecesures,3052,,0
2021-09-10,Pontecesures,3052,,
2021-09-11,Pontecesures,3052,,
2021-09-12,Pontecesures,3052,,
2021-09-13,Pontecesures,3052,,
2021-09-14,Pontecesures,3052,,
2021-09-15,Pontecesures,3052,,
2021-09-16,Pontecesures,3052,,
2021-09-17,Pontecesures,3052,,
2021-09-18,Pontecesures,3052,,
2021-09-19,Pontecesures,3052,,
2021-09-20,Pontecesures,3052,,
2021-09-21,Pontecesures,3052,,
2021-09-22,Pontecesures,3052,,
2021-09-23,Pontecesures,3052,,
2021-09-24,Pontecesures,3052,,
2021-09-25,Pontecesures,3052,,
2021-09-26,Pontecesures,3052,,
2021-09-27,Pontecesures,3052,,
2021-09-28,Pontecesures,3052,,
2021-09-29,Pontecesures,3052,,0
2021-09-30,Pontecesures,3052,,0
2021-10-01,Pontecesures,3052,,0
2021-10-02,Pontecesures,3052,,0
2021-10-03,Pontecesures,3052,,0
2021-10-04,Pontecesures,3052,,0
2021-10-05,Pontecesures,3052,,0
2021-10-06,Pontecesures,3052,0,0
2021-10-07,Pontecesures,3052,0,0
2021-10-08,Pontecesures,3052,0,0
2021-10-09,Pontecesures,3052,0,0
2021-10-10,Pontecesures,3052,0,0
2021-10-11,Pontecesures,3052,0,0
2021-10-12,Pontecesures,3052,0,0
2021-10-13,Pontecesures,3052,0,0
2021-10-14,Pontecesures,3052,0,0
2021-10-15,Pontecesures,3052,0,0
2021-10-16,Pontecesures,3052,,
2021-10-17,Pontecesures,3052,,
2021-10-18,Pontecesures,3052,,
2021-10-19,Pontecesures,3052,,
2021-10-20,Pontecesures,3052,,
2021-10-21,Pontecesures,3052,,
2021-10-22,Pontecesures,3052,,
2021-10-23,Pontecesures,3052,,0
2021-10-24,Pontecesures,3052,,0
2021-10-25,Pontecesures,3052,,0
2021-10-26,Pontecesures,3052,,0
2021-10-27,Pontecesures,3052,,0
2021-10-28,Pontecesures,3052,,0
2021-10-29,Pontecesures,3052,,0
2021-10-30,Pontecesures,3052,0,0
2021-10-31,Pontecesures,3052,0,0
2021-11-01,Pontecesures,3052,0,0
2021-11-02,Pontecesures,3052,0,0
2021-11-03,Pontecesures,3052,0,0
2021-11-04,Pontecesures,3052,0,0
2021-11-05,Pontecesures,3052,0,0
2021-11-06,Pontecesures,3052,0,0
2021-11-07,Pontecesures,3052,0,0
2021-11-08,Pontecesures,3052,0,0
2021-11-09,Pontecesures,3052,0,0
2021-11-10,Pontecesures,3052,0,0
2021-11-11,Pontecesures,3052,0,0
2021-11-12,Pontecesures,3052,0,0
2021-11-13,Pontecesures,3052,0,0
2021-11-14,Pontecesures,3052,0,0
2021-11-15,Pontecesures,3052,0,0
