fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Pontedeume,7777,39,
2020-11-22,Pontedeume,7777,46,
2020-11-23,Pontedeume,7777,47,
2020-11-24,Pontedeume,7777,47,
2020-11-25,Pontedeume,7777,48,
2020-11-26,Pontedeume,7777,48,
2020-11-27,Pontedeume,7777,54,
2020-11-28,Pontedeume,7777,41,
2020-11-29,Pontedeume,7777,42,
2020-11-30,Pontedeume,7777,37,
2020-12-01,Pontedeume,7777,34,
2020-12-02,Pontedeume,7777,35,
2020-12-03,Pontedeume,7777,35,
2020-12-04,Pontedeume,7777,31,
2020-12-05,Pontedeume,7777,26,
2020-12-06,Pontedeume,7777,20,
2020-12-07,Pontedeume,7777,18,
2020-12-08,Pontedeume,7777,15,
2020-12-09,Pontedeume,7777,17,
2020-12-10,Pontedeume,7777,15,
2020-12-11,Pontedeume,7777,15,
2020-12-12,Pontedeume,7777,12,
2020-12-13,Pontedeume,7777,12,
2020-12-14,Pontedeume,7777,16,
2020-12-15,Pontedeume,7777,17,
2020-12-16,Pontedeume,7777,19,
2020-12-17,Pontedeume,7777,20,
2020-12-18,Pontedeume,7777,22,
2020-12-19,Pontedeume,7777,25,
2020-12-20,Pontedeume,7777,24,
2020-12-21,Pontedeume,7777,24,
2020-12-22,Pontedeume,7777,25,
2020-12-23,Pontedeume,7777,23,
2020-12-24,Pontedeume,7777,23,
2020-12-25,Pontedeume,7777,23,
2020-12-26,Pontedeume,7777,24,
2020-12-27,Pontedeume,7777,23,
2020-12-28,Pontedeume,7777,19,
2020-12-29,Pontedeume,7777,21,
2020-12-30,Pontedeume,7777,16,
2020-12-31,Pontedeume,7777,14,
2021-01-01,Pontedeume,7777,11,
2021-01-02,Pontedeume,7777,,
2021-01-03,Pontedeume,7777,,
2021-01-04,Pontedeume,7777,20,
2021-01-05,Pontedeume,7777,20,
2021-01-06,Pontedeume,7777,26,
2021-01-07,Pontedeume,7777,27,
2021-01-08,Pontedeume,7777,28,
2021-01-09,Pontedeume,7777,26,
2021-01-10,Pontedeume,7777,29,
2021-01-11,Pontedeume,7777,33,
2021-01-12,Pontedeume,7777,32,
2021-01-13,Pontedeume,7777,35,
2021-01-14,Pontedeume,7777,38,
2021-01-15,Pontedeume,7777,46,
2021-01-16,Pontedeume,7777,56,
2021-01-17,Pontedeume,7777,70,
2021-01-18,Pontedeume,7777,64,
2021-01-19,Pontedeume,7777,66,
2021-01-20,Pontedeume,7777,63,
2021-01-21,Pontedeume,7777,69,
2021-01-22,Pontedeume,7777,78,
2021-01-23,Pontedeume,7777,84,
2021-01-24,Pontedeume,7777,86,
2021-01-25,Pontedeume,7777,88,
2021-01-26,Pontedeume,7777,90,
2021-01-27,Pontedeume,7777,91,
2021-01-28,Pontedeume,7777,92,
2021-01-29,Pontedeume,7777,96,
2021-01-30,Pontedeume,7777,92,
2021-01-31,Pontedeume,7777,82,
2021-02-01,Pontedeume,7777,80,
2021-02-02,Pontedeume,7777,80,
2021-02-03,Pontedeume,7777,76,
2021-02-04,Pontedeume,7777,74,
2021-02-05,Pontedeume,7777,71,
2021-02-06,Pontedeume,7777,66,
2021-02-07,Pontedeume,7777,62,
2021-02-08,Pontedeume,7777,58,
2021-02-09,Pontedeume,7777,55,
2021-02-10,Pontedeume,7777,51,
2021-02-11,Pontedeume,7777,47,
2021-02-12,Pontedeume,7777,36,
