fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Pontevedra,83029,276,
2020-11-22,Pontevedra,83029,289,
2020-11-23,Pontevedra,83029,290,
2020-11-24,Pontevedra,83029,298,
2020-11-25,Pontevedra,83029,290,
2020-11-26,Pontevedra,83029,283,
2020-11-27,Pontevedra,83029,274,
2020-11-28,Pontevedra,83029,278,
2020-11-29,Pontevedra,83029,272,
2020-11-30,Pontevedra,83029,269,
2020-12-01,Pontevedra,83029,272,
2020-12-02,Pontevedra,83029,255,
2020-12-03,Pontevedra,83029,237,
2020-12-04,Pontevedra,83029,230,
2020-12-05,Pontevedra,83029,213,
2020-12-06,Pontevedra,83029,209,
2020-12-07,Pontevedra,83029,191,
2020-12-08,Pontevedra,83029,186,
2020-12-09,Pontevedra,83029,183,
2020-12-10,Pontevedra,83029,177,
2020-12-11,Pontevedra,83029,170,
2020-12-12,Pontevedra,83029,171,
2020-12-13,Pontevedra,83029,176,
2020-12-14,Pontevedra,83029,182,
2020-12-15,Pontevedra,83029,183,
2020-12-16,Pontevedra,83029,179,
2020-12-17,Pontevedra,83029,179,
2020-12-18,Pontevedra,83029,182,
2020-12-19,Pontevedra,83029,179,
2020-12-20,Pontevedra,83029,172,
2020-12-21,Pontevedra,83029,167,
2020-12-22,Pontevedra,83029,161,
2020-12-23,Pontevedra,83029,152,
2020-12-24,Pontevedra,83029,156,
2020-12-25,Pontevedra,83029,167,
2020-12-26,Pontevedra,83029,152,
2020-12-27,Pontevedra,83029,149,
2020-12-28,Pontevedra,83029,143,
2020-12-29,Pontevedra,83029,129,
2020-12-30,Pontevedra,83029,132,
2020-12-31,Pontevedra,83029,127,
2021-01-01,Pontevedra,83029,121,
2021-01-02,Pontevedra,83029,113,
2021-01-03,Pontevedra,83029,118,
2021-01-04,Pontevedra,83029,128,
2021-01-05,Pontevedra,83029,131,
2021-01-06,Pontevedra,83029,133,
2021-01-07,Pontevedra,83029,130,
2021-01-08,Pontevedra,83029,119,
2021-01-09,Pontevedra,83029,123,
2021-01-10,Pontevedra,83029,124,
2021-01-11,Pontevedra,83029,131,
2021-01-12,Pontevedra,83029,146,
2021-01-13,Pontevedra,83029,151,
2021-01-14,Pontevedra,83029,162,
2021-01-15,Pontevedra,83029,176,
2021-01-16,Pontevedra,83029,190,
2021-01-17,Pontevedra,83029,205,
2021-01-18,Pontevedra,83029,225,
2021-01-19,Pontevedra,83029,238,
2021-01-20,Pontevedra,83029,245,
2021-01-21,Pontevedra,83029,261,
2021-01-22,Pontevedra,83029,299,
2021-01-23,Pontevedra,83029,321,
2021-01-24,Pontevedra,83029,340,
2021-01-25,Pontevedra,83029,377,
2021-01-26,Pontevedra,83029,392,
2021-01-27,Pontevedra,83029,418,
2021-01-28,Pontevedra,83029,449,
2021-01-29,Pontevedra,83029,476,
2021-01-30,Pontevedra,83029,506,
2021-01-31,Pontevedra,83029,530,
2021-02-01,Pontevedra,83029,528,
2021-02-02,Pontevedra,83029,550,
2021-02-03,Pontevedra,83029,566,
2021-02-04,Pontevedra,83029,568,
2021-02-05,Pontevedra,83029,565,
2021-02-06,Pontevedra,83029,560,
2021-02-07,Pontevedra,83029,562,
2021-02-08,Pontevedra,83029,523,
2021-02-09,Pontevedra,83029,508,
2021-02-10,Pontevedra,83029,494,
2021-02-11,Pontevedra,83029,457,
2021-02-12,Pontevedra,83029,422,
2021-02-13,Pontevedra,83029,382,
2021-02-14,Pontevedra,83029,346,
2021-02-15,Pontevedra,83029,329,
2021-02-16,Pontevedra,83029,290,
2021-02-17,Pontevedra,83029,275,
2021-02-18,Pontevedra,83029,260,
2021-02-19,Pontevedra,83029,229,
