fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Punxín,693,,
2020-11-22,Punxín,693,,
2020-11-23,Punxín,693,,
2020-11-24,Punxín,693,,
2020-11-25,Punxín,693,0,
2020-11-26,Punxín,693,0,
2020-11-27,Punxín,693,0,
2020-11-28,Punxín,693,0,
2020-11-29,Punxín,693,0,
2020-11-30,Punxín,693,0,
2020-12-01,Punxín,693,0,
2020-12-02,Punxín,693,0,
2020-12-03,Punxín,693,0,
2020-12-04,Punxín,693,0,
2020-12-05,Punxín,693,0,
2020-12-06,Punxín,693,0,
2020-12-07,Punxín,693,0,
2020-12-08,Punxín,693,0,
2020-12-09,Punxín,693,0,
2020-12-10,Punxín,693,0,
2020-12-11,Punxín,693,0,
2020-12-12,Punxín,693,0,
2020-12-13,Punxín,693,0,
2020-12-14,Punxín,693,0,
2020-12-15,Punxín,693,0,
2020-12-16,Punxín,693,0,
2020-12-17,Punxín,693,0,
2020-12-18,Punxín,693,0,
2020-12-19,Punxín,693,0,
2020-12-20,Punxín,693,0,
2020-12-21,Punxín,693,0,
2020-12-22,Punxín,693,0,
2020-12-23,Punxín,693,0,
2020-12-24,Punxín,693,0,
2020-12-25,Punxín,693,0,
2020-12-26,Punxín,693,0,
2020-12-27,Punxín,693,0,
2020-12-28,Punxín,693,0,
2020-12-29,Punxín,693,0,
2020-12-30,Punxín,693,0,
2020-12-31,Punxín,693,0,
2021-01-01,Punxín,693,0,
2021-01-02,Punxín,693,0,
2021-01-03,Punxín,693,0,
2021-01-04,Punxín,693,0,
2021-01-05,Punxín,693,0,
2021-01-06,Punxín,693,0,
2021-01-07,Punxín,693,0,
2021-01-08,Punxín,693,,
2021-01-09,Punxín,693,,
2021-01-10,Punxín,693,,
2021-01-11,Punxín,693,,
2021-01-12,Punxín,693,,
2021-01-13,Punxín,693,,
2021-01-14,Punxín,693,,
2021-01-15,Punxín,693,,
2021-01-16,Punxín,693,,
2021-01-17,Punxín,693,,
2021-01-18,Punxín,693,,
2021-01-19,Punxín,693,,
2021-01-20,Punxín,693,,
2021-01-21,Punxín,693,,
2021-01-22,Punxín,693,0,
2021-01-23,Punxín,693,0,
2021-01-24,Punxín,693,0,
2021-01-25,Punxín,693,,
2021-01-26,Punxín,693,,
2021-01-27,Punxín,693,,
