fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Quintela de Leirado",619,0,
2020-11-22,"Quintela de Leirado",619,0,
2020-11-23,"Quintela de Leirado",619,0,
2020-11-24,"Quintela de Leirado",619,0,
2020-11-25,"Quintela de Leirado",619,0,
2020-11-26,"Quintela de Leirado",619,0,
2020-11-27,"Quintela de Leirado",619,0,
2020-11-28,"Quintela de Leirado",619,0,
2020-11-29,"Quintela de Leirado",619,0,
2020-11-30,"Quintela de Leirado",619,0,
2020-12-01,"Quintela de Leirado",619,0,
2020-12-02,"Quintela de Leirado",619,0,
2020-12-03,"Quintela de Leirado",619,0,
2020-12-04,"Quintela de Leirado",619,0,
2020-12-05,"Quintela de Leirado",619,0,
2020-12-06,"Quintela de Leirado",619,0,
2020-12-07,"Quintela de Leirado",619,0,
2020-12-08,"Quintela de Leirado",619,0,
2020-12-09,"Quintela de Leirado",619,0,
2020-12-10,"Quintela de Leirado",619,0,
2020-12-11,"Quintela de Leirado",619,0,
2020-12-12,"Quintela de Leirado",619,0,
2020-12-13,"Quintela de Leirado",619,0,
2020-12-14,"Quintela de Leirado",619,0,
2020-12-15,"Quintela de Leirado",619,0,
2020-12-16,"Quintela de Leirado",619,0,
2020-12-17,"Quintela de Leirado",619,0,
2020-12-18,"Quintela de Leirado",619,0,
2020-12-19,"Quintela de Leirado",619,0,
2020-12-20,"Quintela de Leirado",619,0,
2020-12-21,"Quintela de Leirado",619,0,
2020-12-22,"Quintela de Leirado",619,0,
2020-12-23,"Quintela de Leirado",619,0,
2020-12-24,"Quintela de Leirado",619,0,
2020-12-25,"Quintela de Leirado",619,0,
2020-12-26,"Quintela de Leirado",619,0,
2020-12-27,"Quintela de Leirado",619,0,
2020-12-28,"Quintela de Leirado",619,,
2020-12-29,"Quintela de Leirado",619,,
2020-12-30,"Quintela de Leirado",619,,
2020-12-31,"Quintela de Leirado",619,,
2021-01-01,"Quintela de Leirado",619,,
2021-01-02,"Quintela de Leirado",619,,
2021-01-03,"Quintela de Leirado",619,,
2021-01-04,"Quintela de Leirado",619,,
2021-01-05,"Quintela de Leirado",619,,
2021-01-06,"Quintela de Leirado",619,,
2021-01-07,"Quintela de Leirado",619,,
2021-01-08,"Quintela de Leirado",619,,
2021-01-09,"Quintela de Leirado",619,,
2021-01-10,"Quintela de Leirado",619,,
2021-01-11,"Quintela de Leirado",619,0,
2021-01-12,"Quintela de Leirado",619,0,
2021-01-13,"Quintela de Leirado",619,0,
2021-01-14,"Quintela de Leirado",619,0,
2021-01-15,"Quintela de Leirado",619,0,
2021-01-16,"Quintela de Leirado",619,0,
2021-01-17,"Quintela de Leirado",619,0,
2021-01-18,"Quintela de Leirado",619,0,
2021-01-19,"Quintela de Leirado",619,0,
2021-01-20,"Quintela de Leirado",619,0,
2021-01-21,"Quintela de Leirado",619,0,
2021-01-22,"Quintela de Leirado",619,0,
2021-01-23,"Quintela de Leirado",619,0,
2021-01-24,"Quintela de Leirado",619,0,
2021-01-25,"Quintela de Leirado",619,0,
2021-01-26,"Quintela de Leirado",619,0,
2021-01-27,"Quintela de Leirado",619,0,
2021-01-28,"Quintela de Leirado",619,,
2021-01-29,"Quintela de Leirado",619,,
2021-01-30,"Quintela de Leirado",619,,
2021-01-31,"Quintela de Leirado",619,,
