fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Quiroga,3207,,
2020-11-22,Quiroga,3207,,
2020-11-23,Quiroga,3207,,
2020-11-24,Quiroga,3207,,
2020-11-25,Quiroga,3207,,
2020-11-26,Quiroga,3207,,
2020-11-27,Quiroga,3207,,
2020-11-28,Quiroga,3207,,
2020-11-29,Quiroga,3207,,
2020-11-30,Quiroga,3207,,
2020-12-01,Quiroga,3207,,
2020-12-02,Quiroga,3207,,
2020-12-03,Quiroga,3207,,
2020-12-04,Quiroga,3207,,
2020-12-05,Quiroga,3207,,
2020-12-06,Quiroga,3207,,
2020-12-07,Quiroga,3207,,
2020-12-08,Quiroga,3207,,
2020-12-09,Quiroga,3207,0,
2020-12-10,Quiroga,3207,0,
2020-12-11,Quiroga,3207,0,
2020-12-12,Quiroga,3207,0,
2020-12-13,Quiroga,3207,0,
2020-12-14,Quiroga,3207,0,
2020-12-15,Quiroga,3207,0,
2020-12-16,Quiroga,3207,0,
2020-12-17,Quiroga,3207,0,
2020-12-18,Quiroga,3207,0,
2020-12-19,Quiroga,3207,0,
2020-12-20,Quiroga,3207,0,
2020-12-21,Quiroga,3207,0,
2020-12-22,Quiroga,3207,0,
2020-12-23,Quiroga,3207,0,
2020-12-24,Quiroga,3207,0,
2020-12-25,Quiroga,3207,0,
2020-12-26,Quiroga,3207,0,
2020-12-27,Quiroga,3207,0,
2020-12-28,Quiroga,3207,0,
2020-12-29,Quiroga,3207,0,
2020-12-30,Quiroga,3207,0,
2020-12-31,Quiroga,3207,0,
2021-01-01,Quiroga,3207,0,
2021-01-02,Quiroga,3207,0,
2021-01-03,Quiroga,3207,0,
2021-01-04,Quiroga,3207,0,
2021-01-05,Quiroga,3207,0,
2021-01-06,Quiroga,3207,0,
2021-01-07,Quiroga,3207,0,
2021-01-08,Quiroga,3207,0,
2021-01-09,Quiroga,3207,0,
2021-01-10,Quiroga,3207,,
2021-01-11,Quiroga,3207,,
2021-01-12,Quiroga,3207,,
2021-01-13,Quiroga,3207,,
2021-01-14,Quiroga,3207,,
2021-01-15,Quiroga,3207,,
2021-01-16,Quiroga,3207,,
2021-01-17,Quiroga,3207,,
2021-01-18,Quiroga,3207,11,
2021-01-19,Quiroga,3207,17,
2021-01-20,Quiroga,3207,26,
2021-01-21,Quiroga,3207,34,
2021-01-22,Quiroga,3207,44,
2021-01-23,Quiroga,3207,62,
2021-01-24,Quiroga,3207,68,
2021-01-25,Quiroga,3207,77,
2021-01-26,Quiroga,3207,83,
2021-01-27,Quiroga,3207,95,
2021-01-28,Quiroga,3207,103,
2021-01-29,Quiroga,3207,112,
2021-01-30,Quiroga,3207,117,
2021-01-31,Quiroga,3207,121,
2021-02-01,Quiroga,3207,119,
2021-02-02,Quiroga,3207,116,
2021-02-03,Quiroga,3207,110,
2021-02-04,Quiroga,3207,103,
2021-02-05,Quiroga,3207,95,
2021-02-06,Quiroga,3207,79,
2021-02-07,Quiroga,3207,68,
2021-02-08,Quiroga,3207,59,
2021-02-09,Quiroga,3207,54,
2021-02-10,Quiroga,3207,42,
2021-02-11,Quiroga,3207,35,
2021-02-12,Quiroga,3207,24,
2021-02-13,Quiroga,3207,17,
2021-02-14,Quiroga,3207,14,
2021-02-15,Quiroga,3207,13,
2021-02-16,Quiroga,3207,10,
2021-02-17,Quiroga,3207,,
2021-02-18,Quiroga,3207,,
2021-02-19,Quiroga,3207,,
2021-02-20,Quiroga,3207,,
2021-02-21,Quiroga,3207,,
2021-02-22,Quiroga,3207,,
2021-02-23,Quiroga,3207,,
2021-02-24,Quiroga,3207,,
2021-02-25,Quiroga,3207,,
2021-02-26,Quiroga,3207,,
2021-02-27,Quiroga,3207,,
2021-02-28,Quiroga,3207,0,
2021-03-01,Quiroga,3207,0,
2021-03-02,Quiroga,3207,0,0
2021-03-03,Quiroga,3207,0,0
2021-03-04,Quiroga,3207,0,0
2021-03-05,Quiroga,3207,0,0
2021-03-06,Quiroga,3207,0,0
2021-03-07,Quiroga,3207,0,0
2021-03-08,Quiroga,3207,0,0
2021-03-09,Quiroga,3207,0,0
2021-03-10,Quiroga,3207,0,0
2021-03-11,Quiroga,3207,0,0
2021-03-12,Quiroga,3207,0,0
2021-03-13,Quiroga,3207,,
2021-03-14,Quiroga,3207,,
2021-03-15,Quiroga,3207,,
2021-03-16,Quiroga,3207,,
2021-03-17,Quiroga,3207,,
2021-03-18,Quiroga,3207,,
2021-03-19,Quiroga,3207,,
2021-03-20,Quiroga,3207,,
2021-03-21,Quiroga,3207,,
2021-03-22,Quiroga,3207,,
2021-03-23,Quiroga,3207,,
2021-03-24,Quiroga,3207,,
2021-03-25,Quiroga,3207,,
2021-03-26,Quiroga,3207,,0
2021-03-27,Quiroga,3207,,0
2021-03-28,Quiroga,3207,,
2021-03-29,Quiroga,3207,,
2021-03-30,Quiroga,3207,,
2021-03-31,Quiroga,3207,,
2021-04-01,Quiroga,3207,,
2021-04-02,Quiroga,3207,,
2021-04-03,Quiroga,3207,,
2021-04-04,Quiroga,3207,,0
2021-04-05,Quiroga,3207,,0
2021-04-06,Quiroga,3207,,0
2021-04-07,Quiroga,3207,,0
2021-04-08,Quiroga,3207,,0
2021-04-09,Quiroga,3207,,0
2021-04-10,Quiroga,3207,,0
2021-04-11,Quiroga,3207,0,0
2021-04-12,Quiroga,3207,0,0
2021-04-13,Quiroga,3207,0,0
2021-04-14,Quiroga,3207,,
2021-04-15,Quiroga,3207,,
2021-04-16,Quiroga,3207,,
2021-04-17,Quiroga,3207,,
2021-04-18,Quiroga,3207,,
2021-04-19,Quiroga,3207,,
2021-04-20,Quiroga,3207,,
2021-04-21,Quiroga,3207,,
2021-04-22,Quiroga,3207,,
2021-04-23,Quiroga,3207,,
2021-04-24,Quiroga,3207,,
2021-04-25,Quiroga,3207,,0
2021-04-26,Quiroga,3207,,0
2021-04-27,Quiroga,3207,,0
2021-04-28,Quiroga,3207,,0
2021-04-29,Quiroga,3207,,0
2021-04-30,Quiroga,3207,,0
2021-05-01,Quiroga,3207,,0
2021-05-02,Quiroga,3207,0,0
2021-05-03,Quiroga,3207,0,0
2021-05-04,Quiroga,3207,0,0
2021-05-05,Quiroga,3207,0,0
2021-05-06,Quiroga,3207,0,0
2021-05-07,Quiroga,3207,0,0
2021-05-08,Quiroga,3207,0,0
2021-05-09,Quiroga,3207,0,0
2021-05-10,Quiroga,3207,0,0
2021-05-11,Quiroga,3207,0,0
2021-05-12,Quiroga,3207,0,0
2021-05-13,Quiroga,3207,0,0
2021-05-14,Quiroga,3207,0,0
2021-05-15,Quiroga,3207,0,0
2021-05-16,Quiroga,3207,0,0
2021-05-17,Quiroga,3207,0,0
2021-05-18,Quiroga,3207,0,0
2021-05-19,Quiroga,3207,0,0
2021-05-20,Quiroga,3207,0,0
2021-05-21,Quiroga,3207,0,0
2021-05-22,Quiroga,3207,0,0
2021-05-23,Quiroga,3207,0,0
2021-05-24,Quiroga,3207,0,0
2021-05-25,Quiroga,3207,0,0
2021-05-26,Quiroga,3207,0,0
2021-05-27,Quiroga,3207,0,0
2021-05-28,Quiroga,3207,0,0
2021-05-29,Quiroga,3207,,
2021-05-30,Quiroga,3207,,
2021-05-31,Quiroga,3207,,
2021-06-01,Quiroga,3207,,
2021-06-02,Quiroga,3207,,
2021-06-03,Quiroga,3207,,
2021-06-04,Quiroga,3207,,
2021-06-05,Quiroga,3207,,0
2021-06-06,Quiroga,3207,,0
2021-06-07,Quiroga,3207,,0
2021-06-08,Quiroga,3207,,0
2021-06-09,Quiroga,3207,,0
2021-06-10,Quiroga,3207,,0
2021-06-11,Quiroga,3207,,0
2021-06-12,Quiroga,3207,0,0
2021-06-13,Quiroga,3207,0,0
2021-06-14,Quiroga,3207,0,0
2021-06-15,Quiroga,3207,0,0
2021-06-16,Quiroga,3207,0,0
2021-06-17,Quiroga,3207,0,0
2021-06-18,Quiroga,3207,0,0
2021-06-19,Quiroga,3207,0,0
2021-06-20,Quiroga,3207,0,0
2021-06-21,Quiroga,3207,0,0
2021-06-22,Quiroga,3207,0,0
2021-06-23,Quiroga,3207,0,0
2021-06-24,Quiroga,3207,,
2021-06-25,Quiroga,3207,,
2021-06-26,Quiroga,3207,,
2021-06-27,Quiroga,3207,,
2021-06-28,Quiroga,3207,,
2021-06-29,Quiroga,3207,,
2021-06-30,Quiroga,3207,,
2021-07-01,Quiroga,3207,,
2021-07-02,Quiroga,3207,,
2021-07-03,Quiroga,3207,,
2021-07-04,Quiroga,3207,,
2021-07-05,Quiroga,3207,,
2021-07-06,Quiroga,3207,,
2021-07-07,Quiroga,3207,,
2021-07-08,Quiroga,3207,,
2021-07-09,Quiroga,3207,,
2021-07-10,Quiroga,3207,,
2021-07-11,Quiroga,3207,,
2021-07-12,Quiroga,3207,,
2021-07-13,Quiroga,3207,,
2021-07-14,Quiroga,3207,,0
2021-07-15,Quiroga,3207,,0
2021-07-16,Quiroga,3207,,0
2021-07-17,Quiroga,3207,,0
2021-07-18,Quiroga,3207,,0
2021-07-19,Quiroga,3207,,0
2021-07-20,Quiroga,3207,,0
2021-07-21,Quiroga,3207,0,0
2021-07-22,Quiroga,3207,0,0
2021-07-23,Quiroga,3207,0,0
2021-07-24,Quiroga,3207,0,0
2021-07-25,Quiroga,3207,,
2021-07-26,Quiroga,3207,,
2021-07-27,Quiroga,3207,,
2021-07-28,Quiroga,3207,,
2021-07-29,Quiroga,3207,,
2021-07-30,Quiroga,3207,,
2021-07-31,Quiroga,3207,,
2021-08-01,Quiroga,3207,,
2021-08-02,Quiroga,3207,10,
2021-08-03,Quiroga,3207,16,14
2021-08-04,Quiroga,3207,16,14
2021-08-05,Quiroga,3207,16,14
2021-08-06,Quiroga,3207,16,14
2021-08-07,Quiroga,3207,16,14
2021-08-08,Quiroga,3207,15,
2021-08-09,Quiroga,3207,15,
2021-08-10,Quiroga,3207,14,0
2021-08-11,Quiroga,3207,14,0
2021-08-12,Quiroga,3207,14,0
2021-08-13,Quiroga,3207,14,0
2021-08-14,Quiroga,3207,16,
2021-08-15,Quiroga,3207,,
2021-08-16,Quiroga,3207,,
2021-08-17,Quiroga,3207,,
2021-08-18,Quiroga,3207,,
2021-08-19,Quiroga,3207,,
2021-08-20,Quiroga,3207,,
2021-08-21,Quiroga,3207,,
2021-08-22,Quiroga,3207,,
2021-08-23,Quiroga,3207,,
2021-08-24,Quiroga,3207,,
2021-08-25,Quiroga,3207,,
2021-08-26,Quiroga,3207,,
2021-08-27,Quiroga,3207,11,
2021-08-28,Quiroga,3207,,
2021-08-29,Quiroga,3207,10,
