fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Rairiz de Veiga",1266,,
2020-11-22,"Rairiz de Veiga",1266,,
2020-11-23,"Rairiz de Veiga",1266,,
2020-11-24,"Rairiz de Veiga",1266,,
2020-11-25,"Rairiz de Veiga",1266,,
2020-11-26,"Rairiz de Veiga",1266,,
2020-11-27,"Rairiz de Veiga",1266,,
2020-11-28,"Rairiz de Veiga",1266,,
2020-11-29,"Rairiz de Veiga",1266,,
2020-11-30,"Rairiz de Veiga",1266,,
2020-12-01,"Rairiz de Veiga",1266,,
2020-12-02,"Rairiz de Veiga",1266,,
2020-12-03,"Rairiz de Veiga",1266,,
2020-12-04,"Rairiz de Veiga",1266,0,
2020-12-05,"Rairiz de Veiga",1266,0,
2020-12-06,"Rairiz de Veiga",1266,0,
2020-12-07,"Rairiz de Veiga",1266,0,
2020-12-08,"Rairiz de Veiga",1266,0,
2020-12-09,"Rairiz de Veiga",1266,0,
2020-12-10,"Rairiz de Veiga",1266,0,
2020-12-11,"Rairiz de Veiga",1266,0,
2020-12-12,"Rairiz de Veiga",1266,0,
2020-12-13,"Rairiz de Veiga",1266,0,
2020-12-14,"Rairiz de Veiga",1266,0,
2020-12-15,"Rairiz de Veiga",1266,0,
2020-12-16,"Rairiz de Veiga",1266,0,
2020-12-17,"Rairiz de Veiga",1266,0,
2020-12-18,"Rairiz de Veiga",1266,0,
2020-12-19,"Rairiz de Veiga",1266,0,
2020-12-20,"Rairiz de Veiga",1266,0,
2020-12-21,"Rairiz de Veiga",1266,0,
2020-12-22,"Rairiz de Veiga",1266,,
2020-12-23,"Rairiz de Veiga",1266,,
2020-12-24,"Rairiz de Veiga",1266,,
2020-12-25,"Rairiz de Veiga",1266,,
2020-12-26,"Rairiz de Veiga",1266,,
2020-12-27,"Rairiz de Veiga",1266,,
2020-12-28,"Rairiz de Veiga",1266,,
2020-12-29,"Rairiz de Veiga",1266,,
2020-12-30,"Rairiz de Veiga",1266,,
2020-12-31,"Rairiz de Veiga",1266,,
2021-01-01,"Rairiz de Veiga",1266,,
2021-01-02,"Rairiz de Veiga",1266,,
2021-01-03,"Rairiz de Veiga",1266,,
2021-01-04,"Rairiz de Veiga",1266,,
2021-01-05,"Rairiz de Veiga",1266,0,
2021-01-06,"Rairiz de Veiga",1266,0,
2021-01-07,"Rairiz de Veiga",1266,0,
2021-01-08,"Rairiz de Veiga",1266,,
2021-01-09,"Rairiz de Veiga",1266,,
2021-01-10,"Rairiz de Veiga",1266,,
2021-01-11,"Rairiz de Veiga",1266,,
2021-01-12,"Rairiz de Veiga",1266,,
2021-01-13,"Rairiz de Veiga",1266,,
2021-01-14,"Rairiz de Veiga",1266,,
2021-01-15,"Rairiz de Veiga",1266,10,
2021-01-16,"Rairiz de Veiga",1266,13,
2021-01-17,"Rairiz de Veiga",1266,13,
