fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ramirás,1584,,
2020-11-22,Ramirás,1584,,
2020-11-23,Ramirás,1584,,
2020-11-24,Ramirás,1584,,
2020-11-25,Ramirás,1584,,
2020-11-26,Ramirás,1584,,
2020-11-27,Ramirás,1584,,
2020-11-28,Ramirás,1584,,
2020-11-29,Ramirás,1584,,
2020-11-30,Ramirás,1584,,
2020-12-01,Ramirás,1584,,
2020-12-02,Ramirás,1584,,
2020-12-03,Ramirás,1584,0,
2020-12-04,Ramirás,1584,0,
2020-12-05,Ramirás,1584,0,
2020-12-06,Ramirás,1584,0,
2020-12-07,Ramirás,1584,0,
2020-12-08,Ramirás,1584,0,
2020-12-09,Ramirás,1584,0,
2020-12-10,Ramirás,1584,0,
2020-12-11,Ramirás,1584,0,
2020-12-12,Ramirás,1584,0,
2020-12-13,Ramirás,1584,0,
2020-12-14,Ramirás,1584,0,
2020-12-15,Ramirás,1584,0,
2020-12-16,Ramirás,1584,0,
2020-12-17,Ramirás,1584,0,
2020-12-18,Ramirás,1584,0,
2020-12-19,Ramirás,1584,0,
2020-12-20,Ramirás,1584,0,
2020-12-21,Ramirás,1584,0,
2020-12-22,Ramirás,1584,0,
2020-12-23,Ramirás,1584,0,
2020-12-24,Ramirás,1584,0,
2020-12-25,Ramirás,1584,0,
2020-12-26,Ramirás,1584,0,
2020-12-27,Ramirás,1584,0,
2020-12-28,Ramirás,1584,0,
2020-12-29,Ramirás,1584,0,
2020-12-30,Ramirás,1584,0,
2020-12-31,Ramirás,1584,0,
2021-01-01,Ramirás,1584,0,
2021-01-02,Ramirás,1584,0,
2021-01-03,Ramirás,1584,0,
2021-01-04,Ramirás,1584,0,
2021-01-05,Ramirás,1584,0,
2021-01-06,Ramirás,1584,0,
2021-01-07,Ramirás,1584,0,
2021-01-08,Ramirás,1584,0,
2021-01-09,Ramirás,1584,,
2021-01-10,Ramirás,1584,,
2021-01-11,Ramirás,1584,,
2021-01-12,Ramirás,1584,,
2021-01-13,Ramirás,1584,,
2021-01-14,Ramirás,1584,,
2021-01-15,Ramirás,1584,,
2021-01-16,Ramirás,1584,12,
2021-01-17,Ramirás,1584,12,
2021-01-18,Ramirás,1584,12,
2021-01-19,Ramirás,1584,12,
2021-01-20,Ramirás,1584,12,
2021-01-21,Ramirás,1584,12,
2021-01-22,Ramirás,1584,12,
2021-01-23,Ramirás,1584,10,
2021-01-24,Ramirás,1584,,
2021-01-25,Ramirás,1584,10,
2021-01-26,Ramirás,1584,,
2021-01-27,Ramirás,1584,,
2021-01-28,Ramirás,1584,,
2021-01-29,Ramirás,1584,,
2021-01-30,Ramirás,1584,,
2021-01-31,Ramirás,1584,,
2021-02-01,Ramirás,1584,,
2021-02-02,Ramirás,1584,,
2021-02-03,Ramirás,1584,,
2021-02-04,Ramirás,1584,,
2021-02-05,Ramirás,1584,,
2021-02-06,Ramirás,1584,,
2021-02-07,Ramirás,1584,,
2021-02-08,Ramirás,1584,,
2021-02-09,Ramirás,1584,,
2021-02-10,Ramirás,1584,,
2021-02-11,Ramirás,1584,,
2021-02-12,Ramirás,1584,,
2021-02-13,Ramirás,1584,0,
2021-02-14,Ramirás,1584,0,
2021-02-15,Ramirás,1584,0,
2021-02-16,Ramirás,1584,0,
2021-02-17,Ramirás,1584,0,
2021-02-18,Ramirás,1584,0,
2021-02-19,Ramirás,1584,0,
2021-02-20,Ramirás,1584,0,
2021-02-21,Ramirás,1584,0,
2021-02-22,Ramirás,1584,0,
2021-02-23,Ramirás,1584,0,
2021-02-24,Ramirás,1584,0,
2021-02-25,Ramirás,1584,0,
2021-02-26,Ramirás,1584,0,
2021-02-27,Ramirás,1584,0,
2021-02-28,Ramirás,1584,0,
2021-03-01,Ramirás,1584,0,
2021-03-02,Ramirás,1584,0,0
2021-03-03,Ramirás,1584,0,0
2021-03-04,Ramirás,1584,0,0
2021-03-05,Ramirás,1584,0,0
2021-03-06,Ramirás,1584,0,0
2021-03-07,Ramirás,1584,0,0
2021-03-08,Ramirás,1584,0,0
2021-03-09,Ramirás,1584,0,0
2021-03-10,Ramirás,1584,0,0
2021-03-11,Ramirás,1584,0,0
2021-03-12,Ramirás,1584,0,0
2021-03-13,Ramirás,1584,0,0
2021-03-14,Ramirás,1584,0,0
2021-03-15,Ramirás,1584,0,0
2021-03-16,Ramirás,1584,0,0
2021-03-17,Ramirás,1584,0,0
2021-03-18,Ramirás,1584,0,0
2021-03-19,Ramirás,1584,0,0
2021-03-20,Ramirás,1584,0,0
2021-03-21,Ramirás,1584,0,0
