fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Redondela,29218,111,
2020-11-22,Redondela,29218,121,
2020-11-23,Redondela,29218,113,
2020-11-24,Redondela,29218,116,
2020-11-25,Redondela,29218,123,
2020-11-26,Redondela,29218,125,
2020-11-27,Redondela,29218,125,
2020-11-28,Redondela,29218,121,
2020-11-29,Redondela,29218,112,
2020-11-30,Redondela,29218,108,
2020-12-01,Redondela,29218,107,
2020-12-02,Redondela,29218,116,
2020-12-03,Redondela,29218,115,
2020-12-04,Redondela,29218,99,
2020-12-05,Redondela,29218,103,
2020-12-06,Redondela,29218,104,
2020-12-07,Redondela,29218,105,
2020-12-08,Redondela,29218,105,
2020-12-09,Redondela,29218,102,
2020-12-10,Redondela,29218,104,
2020-12-11,Redondela,29218,111,
2020-12-12,Redondela,29218,112,
2020-12-13,Redondela,29218,113,
2020-12-14,Redondela,29218,111,
2020-12-15,Redondela,29218,102,
2020-12-16,Redondela,29218,91,
2020-12-17,Redondela,29218,79,
2020-12-18,Redondela,29218,79,
2020-12-19,Redondela,29218,68,
2020-12-20,Redondela,29218,67,
2020-12-21,Redondela,29218,72,
2020-12-22,Redondela,29218,69,
2020-12-23,Redondela,29218,66,
2020-12-24,Redondela,29218,65,
2020-12-25,Redondela,29218,58,
2020-12-26,Redondela,29218,55,
2020-12-27,Redondela,29218,53,
2020-12-28,Redondela,29218,57,
2020-12-29,Redondela,29218,61,
2020-12-30,Redondela,29218,64,
2020-12-31,Redondela,29218,64,
2021-01-01,Redondela,29218,65,
2021-01-02,Redondela,29218,66,
2021-01-03,Redondela,29218,60,
2021-01-04,Redondela,29218,52,
2021-01-05,Redondela,29218,50,
2021-01-06,Redondela,29218,50,
2021-01-07,Redondela,29218,45,
2021-01-08,Redondela,29218,49,
2021-01-09,Redondela,29218,61,
2021-01-10,Redondela,29218,61,
2021-01-11,Redondela,29218,64,
2021-01-12,Redondela,29218,70,
2021-01-13,Redondela,29218,69,
2021-01-14,Redondela,29218,75,
2021-01-15,Redondela,29218,76,
2021-01-16,Redondela,29218,81,
2021-01-17,Redondela,29218,90,
2021-01-18,Redondela,29218,100,
2021-01-19,Redondela,29218,105,
2021-01-20,Redondela,29218,113,
2021-01-21,Redondela,29218,119,
2021-01-22,Redondela,29218,133,
2021-01-23,Redondela,29218,142,
2021-01-24,Redondela,29218,162,
2021-01-25,Redondela,29218,164,
2021-01-26,Redondela,29218,168,
2021-01-27,Redondela,29218,181,
2021-01-28,Redondela,29218,196,
2021-01-29,Redondela,29218,212,
2021-01-30,Redondela,29218,218,
