fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Rianxo,11033,,
2020-11-22,Rianxo,11033,,
2020-11-23,Rianxo,11033,,
2020-11-24,Rianxo,11033,,
2020-11-25,Rianxo,11033,12,
2020-11-26,Rianxo,11033,12,
2020-11-27,Rianxo,11033,13,
2020-11-28,Rianxo,11033,14,
2020-11-29,Rianxo,11033,13,
2020-11-30,Rianxo,11033,13,
2020-12-01,Rianxo,11033,14,
2020-12-02,Rianxo,11033,14,
2020-12-03,Rianxo,11033,14,
2020-12-04,Rianxo,11033,17,
2020-12-05,Rianxo,11033,23,
2020-12-06,Rianxo,11033,24,
2020-12-07,Rianxo,11033,23,
2020-12-08,Rianxo,11033,23,
2020-12-09,Rianxo,11033,21,
2020-12-10,Rianxo,11033,21,
2020-12-11,Rianxo,11033,22,
2020-12-12,Rianxo,11033,21,
2020-12-13,Rianxo,11033,21,
2020-12-14,Rianxo,11033,22,
2020-12-15,Rianxo,11033,22,
2020-12-16,Rianxo,11033,23,
2020-12-17,Rianxo,11033,25,
2020-12-18,Rianxo,11033,27,
2020-12-19,Rianxo,11033,30,
2020-12-20,Rianxo,11033,31,
2020-12-21,Rianxo,11033,33,
2020-12-22,Rianxo,11033,35,
2020-12-23,Rianxo,11033,38,
2020-12-24,Rianxo,11033,41,
2020-12-25,Rianxo,11033,41,
2020-12-26,Rianxo,11033,47,
2020-12-27,Rianxo,11033,51,
2020-12-28,Rianxo,11033,51,
2020-12-29,Rianxo,11033,55,
2020-12-30,Rianxo,11033,56,
2020-12-31,Rianxo,11033,58,
2021-01-01,Rianxo,11033,58,
2021-01-02,Rianxo,11033,53,
2021-01-03,Rianxo,11033,54,
2021-01-04,Rianxo,11033,52,
2021-01-05,Rianxo,11033,50,
2021-01-06,Rianxo,11033,50,
2021-01-07,Rianxo,11033,47,
2021-01-08,Rianxo,11033,50,
2021-01-09,Rianxo,11033,47,
2021-01-10,Rianxo,11033,44,
2021-01-11,Rianxo,11033,52,
2021-01-12,Rianxo,11033,49,
2021-01-13,Rianxo,11033,47,
2021-01-14,Rianxo,11033,43,
2021-01-15,Rianxo,11033,39,
2021-01-16,Rianxo,11033,35,
2021-01-17,Rianxo,11033,35,
2021-01-18,Rianxo,11033,37,
2021-01-19,Rianxo,11033,41,
2021-01-20,Rianxo,11033,40,
2021-01-21,Rianxo,11033,42,
2021-01-22,Rianxo,11033,39,
2021-01-23,Rianxo,11033,41,
2021-01-24,Rianxo,11033,41,
2021-01-25,Rianxo,11033,33,
2021-01-26,Rianxo,11033,35,
2021-01-27,Rianxo,11033,39,
2021-01-28,Rianxo,11033,39,
2021-01-29,Rianxo,11033,43,
2021-01-30,Rianxo,11033,48,
2021-01-31,Rianxo,11033,50,
2021-02-01,Rianxo,11033,49,
2021-02-02,Rianxo,11033,45,
2021-02-03,Rianxo,11033,42,
2021-02-04,Rianxo,11033,40,
2021-02-05,Rianxo,11033,42,
2021-02-06,Rianxo,11033,38,
2021-02-07,Rianxo,11033,39,
2021-02-08,Rianxo,11033,40,
2021-02-09,Rianxo,11033,37,
2021-02-10,Rianxo,11033,34,
2021-02-11,Rianxo,11033,33,
2021-02-12,Rianxo,11033,28,
2021-02-13,Rianxo,11033,23,
2021-02-14,Rianxo,11033,18,
2021-02-15,Rianxo,11033,16,
2021-02-16,Rianxo,11033,16,
2021-02-17,Rianxo,11033,18,
2021-02-18,Rianxo,11033,21,
2021-02-19,Rianxo,11033,17,
2021-02-20,Rianxo,11033,15,
2021-02-21,Rianxo,11033,11,
2021-02-22,Rianxo,11033,10,
2021-02-23,Rianxo,11033,10,
2021-02-24,Rianxo,11033,,
2021-02-25,Rianxo,11033,,
2021-02-26,Rianxo,11033,,
2021-02-27,Rianxo,11033,,
2021-02-28,Rianxo,11033,,
2021-03-01,Rianxo,11033,,
2021-03-02,Rianxo,11033,,0
2021-03-03,Rianxo,11033,,0
2021-03-04,Rianxo,11033,,0
2021-03-05,Rianxo,11033,,0
2021-03-06,Rianxo,11033,,0
2021-03-07,Rianxo,11033,,0
2021-03-08,Rianxo,11033,,0
2021-03-09,Rianxo,11033,0,0
2021-03-10,Rianxo,11033,0,0
2021-03-11,Rianxo,11033,0,0
2021-03-12,Rianxo,11033,,
2021-03-13,Rianxo,11033,,
2021-03-14,Rianxo,11033,,
2021-03-15,Rianxo,11033,,
2021-03-16,Rianxo,11033,,
2021-03-17,Rianxo,11033,,
2021-03-18,Rianxo,11033,,
2021-03-19,Rianxo,11033,,
2021-03-20,Rianxo,11033,,
2021-03-21,Rianxo,11033,,
2021-03-22,Rianxo,11033,,
2021-03-23,Rianxo,11033,,0
2021-03-24,Rianxo,11033,,0
2021-03-25,Rianxo,11033,,
2021-03-26,Rianxo,11033,,
2021-03-27,Rianxo,11033,,
2021-03-28,Rianxo,11033,,
2021-03-29,Rianxo,11033,,
2021-03-30,Rianxo,11033,,
2021-03-31,Rianxo,11033,,
2021-04-01,Rianxo,11033,,
2021-04-02,Rianxo,11033,,
2021-04-03,Rianxo,11033,,
2021-04-04,Rianxo,11033,,0
2021-04-05,Rianxo,11033,,
2021-04-06,Rianxo,11033,,
2021-04-07,Rianxo,11033,,
2021-04-08,Rianxo,11033,,
2021-04-09,Rianxo,11033,,
2021-04-10,Rianxo,11033,,
2021-04-11,Rianxo,11033,,
2021-04-12,Rianxo,11033,,
2021-04-13,Rianxo,11033,10,
2021-04-14,Rianxo,11033,11,
2021-04-15,Rianxo,11033,15,
2021-04-16,Rianxo,11033,16,10
2021-04-17,Rianxo,11033,17,
2021-04-18,Rianxo,11033,18,10
2021-04-19,Rianxo,11033,14,10
2021-04-20,Rianxo,11033,14,10
2021-04-21,Rianxo,11033,16,11
2021-04-22,Rianxo,11033,16,
2021-04-23,Rianxo,11033,16,
2021-04-24,Rianxo,11033,14,
2021-04-25,Rianxo,11033,14,
2021-04-26,Rianxo,11033,13,
2021-04-27,Rianxo,11033,12,
2021-04-28,Rianxo,11033,12,
2021-04-29,Rianxo,11033,,
2021-04-30,Rianxo,11033,,
2021-05-01,Rianxo,11033,,
2021-05-02,Rianxo,11033,,
2021-05-03,Rianxo,11033,,
2021-05-04,Rianxo,11033,,
2021-05-05,Rianxo,11033,,0
2021-05-06,Rianxo,11033,,
2021-05-07,Rianxo,11033,,
2021-05-08,Rianxo,11033,,
2021-05-09,Rianxo,11033,,
2021-05-10,Rianxo,11033,,
2021-05-11,Rianxo,11033,,
2021-05-12,Rianxo,11033,,
2021-05-13,Rianxo,11033,,
2021-05-14,Rianxo,11033,,
2021-05-15,Rianxo,11033,,
2021-05-16,Rianxo,11033,,
2021-05-17,Rianxo,11033,12,
2021-05-18,Rianxo,11033,12,
2021-05-19,Rianxo,11033,14,
2021-05-20,Rianxo,11033,13,
2021-05-21,Rianxo,11033,13,10
2021-05-22,Rianxo,11033,11,
2021-05-23,Rianxo,11033,12,
2021-05-24,Rianxo,11033,12,
2021-05-25,Rianxo,11033,12,
2021-05-26,Rianxo,11033,14,
2021-05-27,Rianxo,11033,14,
2021-05-28,Rianxo,11033,14,
2021-05-29,Rianxo,11033,13,
2021-05-30,Rianxo,11033,11,
2021-05-31,Rianxo,11033,,
2021-06-01,Rianxo,11033,,
2021-06-02,Rianxo,11033,,0
2021-06-03,Rianxo,11033,,0
2021-06-04,Rianxo,11033,,0
2021-06-05,Rianxo,11033,,
2021-06-06,Rianxo,11033,,
2021-06-07,Rianxo,11033,,
2021-06-08,Rianxo,11033,,
2021-06-09,Rianxo,11033,,
2021-06-10,Rianxo,11033,,
2021-06-11,Rianxo,11033,,
2021-06-12,Rianxo,11033,,
2021-06-13,Rianxo,11033,,0
2021-06-14,Rianxo,11033,,0
2021-06-15,Rianxo,11033,,0
2021-06-16,Rianxo,11033,,0
2021-06-17,Rianxo,11033,,0
2021-06-18,Rianxo,11033,,0
2021-06-19,Rianxo,11033,,0
2021-06-20,Rianxo,11033,0,0
2021-06-21,Rianxo,11033,0,0
2021-06-22,Rianxo,11033,0,0
2021-06-23,Rianxo,11033,0,0
2021-06-24,Rianxo,11033,0,0
2021-06-25,Rianxo,11033,0,0
2021-06-26,Rianxo,11033,0,0
2021-06-27,Rianxo,11033,0,0
2021-06-28,Rianxo,11033,0,0
2021-06-29,Rianxo,11033,,
2021-06-30,Rianxo,11033,,
2021-07-01,Rianxo,11033,,
2021-07-02,Rianxo,11033,,
2021-07-03,Rianxo,11033,,
2021-07-04,Rianxo,11033,,
2021-07-05,Rianxo,11033,,
2021-07-06,Rianxo,11033,,
2021-07-07,Rianxo,11033,,
2021-07-08,Rianxo,11033,,
2021-07-09,Rianxo,11033,,
2021-07-10,Rianxo,11033,11,
2021-07-11,Rianxo,11033,15,12
2021-07-12,Rianxo,11033,16,12
2021-07-13,Rianxo,11033,17,12
2021-07-14,Rianxo,11033,19,15
